"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cx3cl1",1.02955646021724e-70,-0.462990424813707,1,1,1.77938243019346e-66
"Cck",1.44746703259678e-69,-0.465930031041855,1,1,2.50165727243702e-65
"AC149090.1",3.67675512219775e-52,-0.420855285331351,1,1,6.35453587769437e-48
"Rtn1",4.15167551880956e-46,-0.373180149589145,1,1,7.17534079915857e-42
"Atp1a1",1.32863529170178e-38,-0.362871570916242,1,1,2.29628037464819e-34
"Enc1",1.17723273932253e-37,-0.357068820391653,1,1,2.03461134337112e-33
"Atp2b2",6.45709100270102e-37,-0.340935206112878,1,1,1.11597903799682e-32
"Atp2b1",1.12387722479593e-33,-0.343496096109773,1,1,1.9423970076148e-29
"Atp1a3",1.30650586488409e-32,-0.308804829744465,1,1,2.25803408627918e-28
"Grin2b",3.50852699051506e-31,-0.325845728156255,1,1,6.06378719770718e-27
"Hspa8",3.29967731411398e-29,-0.300957265808929,1,1,5.7028323019832e-25
"Ahi1",2.20662310907947e-28,-0.283226264094343,1,1,3.81370671942205e-24
"Olfm1",4.25084844704371e-28,-0.290303857019226,1,1,7.34674137102565e-24
"Hsp90ab1",5.30965288612492e-28,-0.293978886014888,1,1,9.1766730830897e-24
"Ywhag",4.50906546664013e-27,-0.286716657641298,1,1,7.79301784599415e-23
"Syt1",2.24311414121543e-26,-0.268669002935949,1,1,3.87677417026264e-22
"Arc",3.2468375136631e-26,-0.307183378419718,1,1,5.61150927486394e-22
"Cyfip2",4.2145763067143e-26,-0.275566068152614,1,1,7.28405223089432e-22
"Adam23",4.58696892475068e-26,-0.291351249173454,1,1,7.9276583926466e-22
"Syne1",9.2903059790836e-26,-0.286100934416304,1,1,1.60564358236502e-21
"Atp6v0c",1.33158242599631e-25,-0.283944357880661,1,1,2.30137390684943e-21
"Malat1",2.01540552016255e-24,-0.307857128306413,1,1,3.48322536049693e-20
"Ntrk2",2.16820422606364e-24,-0.284822782949534,1,1,3.7473073639058e-20
"Syt11",3.00275052146527e-24,-0.270646589709207,1,1,5.18965372624843e-20
"Dclk1",3.10151048185424e-24,-0.271491671276409,1,1,5.36034056578868e-20
"Akap6",6.28926052985229e-24,-0.256951955906535,1,1,1.08697289737437e-19
"Gapdh",6.94537440944972e-24,-0.280549791701357,1,1,1.20036905918519e-19
