"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arc",4.76021255764436e-75,0.626436041539761,1,1,8.40796344056723e-71
"AC149090.1",9.87384048677121e-54,0.57480318020447,1,1,1.7440164451784e-49
"Junb",1.51469011251001e-39,0.47513224382811,1,1,2.67539714572643e-35
"Mid1",3.48577325476638e-37,0.391829440249393,1,1,6.15692129989385e-33
"Egr1",1.51872733173359e-34,0.404847844935859,1,1,2.68252808604105e-30
"Fos",5.81373144235148e-24,0.31097114616111,1,1,1.02687938466254e-19
"mt-Co1",2.74729615931514e-16,-0.247671672420162,1,1,4.85254920619834e-12
"Dusp1",2.83690925501842e-16,0.25041504662654,1,1,5.01083281713904e-12
"Npas4",5.26930554336987e-14,0.234766330899472,1,1,9.3071743812542e-10
"Ptprk",1.51001022280852e-12,-0.218836540363809,1,1,2.66713105654669e-08
"Gm47283",8.13079810329557e-12,0.207883311545779,1,1,1.4361428689851e-07
"Hecw2",1.03181476034661e-11,-0.201624236388748,1,1,1.82249441120021e-07
"Cadm2",5.57915356293967e-11,-0.217121246266372,1,1,9.85445893822033e-07
"Etv1",5.81634086913741e-11,0.226771671126836,1,1,1.02734028771574e-06
"Stx1a",9.29295031178811e-11,-0.182672302469154,1,1,1.64141381357113e-06
"Ctxn1",1.58454934036601e-10,-0.182896361841878,1,1,2.79878949988848e-06
"Malat1",4.72382476398575e-10,-0.24406671604037,1,1,8.34369168062803e-06
"Tmem191c",7.77240172113837e-10,-0.172477228805653,1,1,1.37283931600467e-05
"Nr4a1",1.19944537452882e-09,0.181689081163042,1,1,2.11858036503026e-05
"Apba2",2.89461105028999e-09,-0.166542065842786,1,1,5.11275149812721e-05
"Sh3gl2",8.11726183324983e-09,-0.163695694082884,1,1,0.000143375195760692
"Dlg2",8.12378955341927e-09,-0.184420001286797,1,1,0.000143490494882044
"Rph3a",1.20746318679805e-08,-0.167221784337166,1,1,0.00021327422268414
"Btg2",1.31749806806091e-08,0.173627267179005,1,1,0.000232709683761598
"Numb",1.39911993620012e-08,-0.16223074453343,1,1,0.000247126554331026
"Ptn",1.6496986037421e-08,-0.166530303671168,1,1,0.000291386264378967
"Cacng3",1.9679858870789e-08,-0.162442046466167,1,1,0.000347605347234747
"Bhlhe40",4.11227615501992e-08,0.166211109083995,1,1,0.000726351337261169
"Ntng1",4.49752612010983e-08,0.198186433222407,1,1,0.000794398038595
"Ntm",5.0151164021307e-08,-0.188735290495614,1,1,0.000885820010108346
"Nrgn",5.47346840718161e-08,-0.166726887375633,1,1,0.000966778724760487
"Cpne9",6.63466707789771e-08,-0.163548946003612,1,1,0.00117188124596907
"Gpm6b",7.23357580305402e-08,-0.169265609950653,1,1,0.00127766649409343
"Pdlim7",1.16739217687922e-07,-0.148625959070044,1,1,0.00206196480202177
"Baiap2",2.69653237579646e-07,-0.143038859827981,1,1,0.00476288513536929
"Erc2",3.75979967450802e-07,-0.149384553781621,1,1,0.00664093416508352
"Tmem91",3.90925281708743e-07,-0.157143825919114,1,1,0.00690491325082152
"Ptprd",4.61689238037433e-07,-0.185733762682962,1,1,0.00815481701145518
"Egr4",5.32452376693867e-07,0.152569202771658,1,1,0.00940470632954377
"Nfib",6.53683968565633e-07,0.178060734740369,1,1,0.0115460199367748
"Ano3",7.72914356926782e-07,-0.141923233324851,1,1,0.0136519862863978
"Fbxw7",8.14699779502097e-07,-0.146195316320473,1,1,0.0143900422053455
"Gapdh",1.00556926330813e-06,-0.149820543969714,1,1,0.0177613698978116
"Dlgap2",1.08900722432852e-06,-0.144627935484903,1,1,0.0192351346033146
"Rtn4",2.02782522257173e-06,-0.134471907058291,1,1,0.0358174769062845
"Gm26917",2.39642236722494e-06,0.213731011212996,1,1,0.0423280082722941
"Mir124a-1hg",2.62298301150809e-06,-0.16686733907631,1,1,0.0463297489322673
"Peg3",2.67401320174687e-06,0.194295645213832,1,1,0.0472310951824549
"Lrrtm4",2.72639643518252e-06,0.154222829799247,1,1,0.0481563402346289
"Hcn1",2.78076189149336e-06,0.171304934389062,1,1,0.0491165972894472
