"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arc",1.22125344367206e-76,0.570591250832908,1,1,2.15709995755796e-72
"AC149090.1",8.41796936009415e-62,0.57491096100346,1,1,1.48686592807343e-57
"Junb",3.3414035843575e-46,0.461430193698634,1,1,5.90192115105065e-42
"Egr1",1.06009928433631e-34,0.36761185880376,1,1,1.87245336592322e-30
"Mid1",1.37879890186787e-29,0.310193959326581,1,1,2.43537250036923e-25
"Gm47283",9.00244993534118e-19,0.241989541667716,1,1,1.59010273207931e-14
"Fos",9.35237969688825e-19,0.24323119963428,1,1,1.65191082586137e-14
"Btg2",1.02774697997912e-17,0.235221834510728,1,1,1.81530949073712e-13
"Npas4",1.46450880712052e-15,0.218401980083066,1,1,2.58676190601698e-11
"mt-Co1",1.65792150004661e-11,-0.183329354738281,1,1,2.92838674553234e-07
"Ptgds",1.17582717502831e-10,-0.206012705974565,1,1,2.07686353925251e-06
"Hecw2",1.96611454143807e-10,-0.169404750335708,1,1,3.47274811454206e-06
"Cyr61",9.77982004503793e-10,0.169322835683592,1,1,1.72740961455505e-05
"Dusp1",9.98790950421007e-10,0.16743425290813,1,1,1.76416445572862e-05
"Gm26917",2.53323468630338e-09,0.220663047808028,1,1,4.47445242641766e-05
"Nr4a1",1.76367349462452e-08,0.152945351904913,1,1,0.000311517649355529
"Auts2",1.82987967306576e-07,0.134888626220668,1,1,0.00323211646653606
"Baiap2",6.46523319093545e-07,-0.133211907499442,1,1,0.0114195413851493
"Gm28928",2.26660132088076e-06,-0.154679059034753,1,1,0.0400349791307169
"Dst",2.50422975408228e-06,0.123292366107526,1,1,0.0442322101463552
"Pbx1",2.61594927996863e-06,0.148648027564455,1,1,0.046205512132086
"Nrgn",2.79059743453286e-06,-0.13016664800861,1,1,0.0492903224861539
