"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Syt1",1.69508002520756e-51,0.718681947419894,1,1,2.94350646377292e-47
"Calm1",3.14992682034247e-41,0.583319094265785,1,1,5.4698479235247e-37
"Atp6v0c",1.0823994840882e-28,0.514944271196424,1,1,1.87958670411917e-24
"AC149090.1",6.33042873747926e-28,0.467629125841388,1,1,1.09927895026327e-23
"Actg1",1.94886288348023e-27,0.460273939001066,1,1,3.38420039716342e-23
"Actb",2.95258221226877e-26,0.446432725833307,1,1,5.12715901160472e-22
"Ttc3",9.46892811541122e-25,0.413662327886801,1,1,1.64427936724116e-20
"Hnrnpa2b1",2.791342194315e-24,0.426494943837516,1,1,4.847165720428e-20
"Map1b",1.347343124032e-20,0.402991572292092,1,1,2.33966133488157e-16
"Oaz1",1.05147339528995e-18,0.383103941847421,1,1,1.825883550921e-14
"Lrp1b",3.7951126100127e-18,0.363599414011831,1,1,6.59021304728706e-14
"Atp1b1",2.12455901963465e-17,0.344186626301276,1,1,3.68929673759557e-13
"Ckb",5.29396251806349e-17,0.363019055224428,1,1,9.19296591261725e-13
"Rab3c",2.2491971107578e-14,0.346829526720125,1,1,3.90573078283093e-10
"Snrnp70",3.35159870381641e-14,0.309070047325186,1,1,5.82005114917719e-10
"Stmn3",4.52117457954234e-14,0.319872485362359,1,1,7.85101965737528e-10
"Sncb",5.44798676027702e-14,0.324172042538972,1,1,9.46042900922105e-10
"Atp5g3",5.73173051492958e-14,0.326333202317927,1,1,9.95315003917521e-10
"Rpl8",8.55092138094756e-14,0.322490520442448,1,1,1.48486749780154e-09
"Cst3",1.88459611461337e-13,0.323657224675427,1,1,3.27260115302612e-09
"Uchl1",5.21009772952313e-13,0.305944661322493,1,1,9.04733470731692e-09
"C230004F18Rik",9.7048430629579e-13,0.292267146980318,1,1,1.68524599788264e-08
"Gad1",1.1852577413046e-12,0.399723841476848,1,1,2.05820006777543e-08
"Tmem59l",2.60223608595436e-12,0.302779811052725,1,1,4.51878296325975e-08
"Rbm39",2.60013736116086e-11,0.269109331630424,1,1,4.51513852765583e-07
"Atp1a3",3.66346240860418e-11,0.264517369707652,1,1,6.36160247254117e-07
"Pdlim7",4.69852104607381e-11,0.282507026399654,1,1,8.15898179650718e-07
"Rtn3",6.13686952477584e-11,0.266960164612484,1,1,1.06566739297733e-06
"G3bp2",8.0364315799605e-11,0.278556004861518,1,1,1.39552634386014e-06
"Gprasp2",8.05363377653407e-11,0.271786261238749,1,1,1.39851350529514e-06
"Rtn1",9.77632657191067e-11,0.26560966023529,1,1,1.69765910921229e-06
"Slc25a4",1.068576924269e-10,0.277629853103504,1,1,1.85558382899312e-06
"Hsp90aa1",2.74596848552039e-10,0.261773137788318,1,1,4.76837427510615e-06
"Peg3",3.47209446203414e-10,0.279736568891431,1,1,6.02929203332228e-06
"Srek1",1.56654636740705e-09,0.253017176901016,1,1,2.72030776700234e-05
"Ppia",1.90603395822532e-09,0.247249251329554,1,1,3.30982796845827e-05
"Selenow",2.06011075441758e-09,0.248816946889913,1,1,3.57738232504612e-05
"Ddx5",2.94442587301157e-09,0.243922498057342,1,1,5.1129955284846e-05
"Srrm2",3.50333490500265e-09,0.23827118815725,1,1,6.0835410625371e-05
"2900097C17Rik",4.57521485109637e-09,0.24669134948917,1,1,7.94486058892885e-05
"Atp6v0b",5.02373936604949e-09,0.249023234571256,1,1,8.72372340914493e-05
"Nap1l5",6.382071695399e-09,0.249609840158412,1,1,0.000110824674990604
"Plk2",6.75146670753466e-09,0.249222434687582,1,1,0.000117239219376339
"Aplp1",6.93106042389602e-09,0.243096463102323,1,1,0.000120357864260954
"Prrc2c",7.10503763204065e-09,0.237389645998829,1,1,0.000123378978480386
"Ly6h",1.30413308350704e-08,0.245597486889696,1,1,0.000226462709950998
"Eef1a1",1.62245468106384e-08,0.230355099016759,1,1,0.000281739255366736
"Meg3",1.93782864497068e-08,0.279938480023781,1,1,0.000336503944199158
"Cyfip2",4.670559743371e-08,0.226836947692371,1,1,0.000811042699436373
"Prnp",7.74503806187643e-08,0.221259528658744,1,1,0.00134492585944484
"Add2",9.96832732249913e-08,0.224948494369295,1,1,0.00173100003955197
"Calm2",1.48525038844821e-07,0.217028748380725,1,1,0.00257913729954031
"Nsf",1.89414718727198e-07,0.216176568289954,1,1,0.0032891865906978
"Hsp90ab1",2.05728801430994e-07,0.26175439219744,1,1,0.00357248063684921
"Syp",2.10674773981805e-07,0.21081228666579,1,1,0.00365836745019404
"Cx3cl1",2.46881458730791e-07,0.218388792972038,1,1,0.00428709653086018
"Mapt",2.55567652201659e-07,0.213434438823161,1,1,0.0044379322804818
"Serinc1",2.56106353217822e-07,0.215838219398266,1,1,0.00444728682362747
"Snap25",2.72987005826224e-07,0.218155499045653,1,1,0.00474041935617238
"Pgrmc1",3.16518136326017e-07,0.220754755350148,1,1,0.00549633743730129
