"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Snhg11",1.25189291092804e-17,-0.704318120976599,1,1,2.27268639049877e-13
"Meg3",2.6561759520481e-12,-0.742942173940914,1,1,4.82202182334812e-08
"mt-Atp8",1.82187264294547e-11,-0.247300350431588,1,1,3.30742759600321e-07
"Lrp1b",6.06218500141976e-09,-0.226720942557955,1,1,0.000110052906515774
"Nrxn1",2.04173300682207e-08,-0.221652387957365,1,1,0.000370656210058479
"Csmd1",2.70409156338267e-08,-0.206804435866669,1,1,0.00049090078241649
"Rtn1",4.68393414609549e-08,-0.226819557429135,1,1,0.000850321404882176
"C130073E24Rik",8.61409046134386e-08,-0.221304526033222,1,1,0.00156380198235236
"Cadm2",4.3036408548369e-07,-0.19711301288809,1,1,0.00781282960787091
"Fus",4.58764788130398e-07,-0.187554273383334,1,1,0.00832841596371924
"Opcml",8.35552370735301e-07,-0.201476747399484,1,1,0.0151686177383287
"Malat1",1.10382372067435e-06,-0.511329868861443,1,1,0.0200388158251221
"Celf4",1.60760900909396e-06,-0.196577066327502,1,1,0.0291845339510918
"Ncam1",1.92074457927785e-06,-0.187671927703147,1,1,0.03486919709221
"Tmsb4x",2.05354770754483e-06,0.146706151668069,1,1,0.0372801050827689
"Lrfn5",2.68996507832929e-06,-0.181277049153509,1,1,0.0488336260319899
