"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Calm1",1.14880536090722e-115,0.670155833607556,1,1,1.99490050921539e-111
"Syt1",8.87486457393514e-106,0.650233019147061,1,1,1.54112023326384e-101
"AC149090.1",3.22223549500189e-73,0.497790691443832,1,1,5.59541193707078e-69
"Atp6v0c",1.96408876021323e-62,0.472729185015086,1,1,3.41064013211027e-58
"Ttc3",1.20090796546115e-61,0.422223730272029,1,1,2.08537668202328e-57
"Actb",2.77115368036329e-55,0.419758056253952,1,1,4.81210836595085e-51
"Snrnp70",6.43093577457576e-55,0.395050659816316,1,1,1.11673199725508e-50
"Map1b",1.36817934292257e-53,0.460027552119904,1,1,2.37584342898504e-49
"Actg1",3.70382694614623e-53,0.406075325960822,1,1,6.43169549198294e-49
"Hnrnpa2b1",9.49838032695055e-49,0.387530947547163,1,1,1.64939374377496e-44
"Rpl8",5.18348847416718e-43,0.374043975150396,1,1,9.00112773539131e-39
"Rbm39",1.4499848257396e-41,0.3367123775335,1,1,2.51789864989682e-37
"Ckb",1.29568638202077e-39,0.348621680087578,1,1,2.24995940237907e-35
"Oaz1",5.10152975326311e-36,0.340960707748634,1,1,8.85880641654139e-32
"Plk2",3.53296451992544e-33,0.321779838305826,1,1,6.13499288885052e-29
"Pdlim7",1.30244732632253e-32,0.318722243807179,1,1,2.26169978215908e-28
"Nnat",1.4362505688073e-32,0.445486534875477,1,1,2.49404911273387e-28
"Rtn1",4.25553867556938e-31,0.295022255352906,1,1,7.38974291012622e-27
"C230004F18Rik",6.42075779477281e-31,0.294440758393208,1,1,1.1149645910623e-26
"Cst3",8.55733881568432e-31,0.316452225690429,1,1,1.48598188534358e-26
"Ddx5",3.58749450296476e-28,0.279138764599887,1,1,6.2296842043983e-24
"Ly6h",2.02893437121075e-27,0.293922021840292,1,1,3.52324453560747e-23
"Gprasp2",2.3036467400192e-27,0.287106852022802,1,1,4.00028256404333e-23
"5330434G04Rik",4.90096140055158e-27,0.273997852977496,1,1,8.51051947205782e-23
"Prkcg",5.24686963693668e-27,0.282349681037896,1,1,9.11118912454055e-23
"Stmn3",2.37471424722647e-26,0.273882210234486,1,1,4.12369129030877e-22
"Uchl1",3.54575554241259e-26,0.276727074330338,1,1,6.15720449939947e-22
"Matk",3.59496072526133e-26,0.277131745606708,1,1,6.2426492994163e-22
"Srek1",7.3414663916245e-26,0.27448278319397,1,1,1.2748456389056e-21
"Ube2b",7.4193636558742e-26,0.280303955572505,1,1,1.28837249884255e-21
"AC124490.1",3.77805619097715e-25,0.282439745140326,1,1,6.56059457563182e-21
"Lrp1b",6.81931562948965e-24,0.294231393372373,1,1,1.18417415906088e-19
"Slc25a4",8.94042246694082e-23,0.265418717385256,1,1,1.55250436138427e-18
"Meg3",9.07409028795711e-23,0.327655538352681,1,1,1.57571577850375e-18
"Pgrmc1",2.8124642600963e-22,0.263914533382505,1,1,4.88384418765723e-18
"Cpne7",6.21572821617272e-22,0.26391107174194,1,1,1.07936120473839e-17
"Pea15a",4.72771818380584e-21,0.25482769738585,1,1,8.20968262617883e-17
"Grm5",5.65136502983798e-21,0.236120537531564,1,1,9.81359537431366e-17
"Sncb",7.60124366126967e-21,0.251714045988466,1,1,1.31995596177948e-16
"Hspa5",8.41587931797509e-21,0.24824013956195,1,1,1.46141744356637e-16
"Negr1",1.96119670873077e-20,0.246336010450924,1,1,3.40561808471098e-16
"Atp1b1",4.48023378344524e-20,0.234043945850323,1,1,7.77992596495266e-16
"Celf2",5.9984250269014e-20,0.248518119857936,1,1,1.04162650592143e-15
"Auts2",7.3920318700386e-20,0.243007704725947,1,1,1.2836263342322e-15
"Srrm2",8.40657350926722e-20,0.227643370299769,1,1,1.45980148988425e-15
"Luc7l3",1.12791825055545e-19,0.235887004130767,1,1,1.95863004208955e-15
"Kmt2e",2.13266284905057e-19,0.239242990243215,1,1,3.70336903737632e-15
"Ctxn1",2.78508452199509e-19,0.243459216847781,1,1,4.83629927244447e-15
"Atp5g3",6.56962838870845e-19,0.241412873461339,1,1,1.14081596969922e-14
"Hap1",7.34307653819634e-19,0.239137766043208,1,1,1.27512524085779e-14
"Rps16",1.11742299916507e-18,0.234916954999003,1,1,1.94040503805014e-14
"Rab3c",3.60942573844501e-18,0.230941133702916,1,1,6.26776779480977e-14
"Prrc2c",3.78740293177366e-18,0.224379857776803,1,1,6.57682519102496e-14
"Eef1a1",4.49368476175803e-18,0.221711687863466,1,1,7.80328358879282e-14
"Leng8",5.81465982519155e-18,0.221458876057963,1,1,1.00971567864451e-13
"Nrcam",1.15590971363533e-17,0.213064266551646,1,1,2.00723721772776e-13
"Rtn3",1.4560172410151e-17,0.215039981838021,1,1,2.52837393902272e-13
"Tmem59l",2.09057790467472e-17,0.228699252944138,1,1,3.63028853146765e-13
"Dgkg",2.65005178809422e-17,0.229095398698938,1,1,4.60181493002561e-13
"Rpl27a",4.57035789194743e-17,0.228679923170652,1,1,7.93642647936671e-13
"Tmeff2",9.48538980903146e-17,0.225137551817626,1,1,1.64713794033831e-12
"Olfm1",1.10590718536714e-16,0.215496139702197,1,1,1.92040782739003e-12
"Tia1",1.14132982494119e-16,0.206794828022587,1,1,1.98191924101038e-12
"Cx3cl1",1.17362628401903e-16,0.215297304189379,1,1,2.03800204219905e-12
"Grm7",7.35204470768094e-16,0.216126275130817,1,1,1.27668256348879e-11
"Serinc1",8.68120305291508e-16,0.210888441767664,1,1,1.5074909101387e-11
"Kirrel3",1.00901096603828e-15,0.216307838663176,1,1,1.75214754252548e-11
"Fubp1",1.36184561743632e-15,0.210108341047226,1,1,2.36484491467818e-11
"2900055J20Rik",1.5934589685785e-15,0.21195625806535,1,1,2.76704149893657e-11
"Rps8",1.88352399409666e-15,0.205630605282153,1,1,3.27073941574886e-11
"Hsp90aa1",5.64828772551347e-15,0.20034928745983,1,1,9.80825163535413e-11
"2900097C17Rik",6.18524624323301e-15,0.205557534917842,1,1,1.07406801013741e-10
"Ndrg4",7.35636110901846e-15,0.193950452411547,1,1,1.27743210658106e-10
"Camk2d",7.66492425429427e-15,0.209294587735594,1,1,1.3310140967582e-10
"Dynll1",8.03479220957044e-15,0.20751127695626,1,1,1.39524166719191e-10
"Usp11",5.83137162800314e-14,0.202768698163474,1,1,1.01261768320275e-09
"G3bp2",5.96549153783117e-14,0.201407939565323,1,1,1.03590760554438e-09
"Hsp90b1",8.03550428634735e-14,0.197093107142763,1,1,1.39536531932422e-09
"Grin2b",3.04901008164363e-13,0.198747853057092,1,1,5.29460600677416e-09
"Slc17a7",3.50709209328557e-13,0.185673347097679,1,1,6.0900654199904e-09
"Cttnbp2",5.29913484092029e-13,0.189706674502312,1,1,9.20194765125808e-09
"Atp6v0b",5.5051334977911e-13,0.190872103042135,1,1,9.55966431891424e-09
"Lsamp",5.71888023483813e-13,0.204804377966985,1,1,9.93083552779642e-09
"Ahi1",8.44155266166602e-13,0.186860673468004,1,1,1.4658756196983e-08
"Gria2",9.81193620125626e-13,0.187403361963426,1,1,1.70384272134815e-08
"Add2",1.45093781256519e-12,0.184311249447219,1,1,2.51955351151946e-08
"Rpl9-ps6",1.62415632675396e-12,0.186658683928243,1,1,2.82034746140825e-08
"Camkv",1.8008796936238e-12,0.186692301519293,1,1,3.12722758797772e-08
"Cltc",2.39215792111341e-12,0.185586424274756,1,1,4.15398223001343e-08
"Arnt",2.48826571417855e-12,0.189521992297099,1,1,4.32087341267105e-08
"Cyfip2",3.36103913150633e-12,0.176695041016651,1,1,5.83644445186074e-08
"Mtif2",3.53194737003228e-12,0.189381171331166,1,1,6.13322660806105e-08
"Kcnip4",4.05928264579296e-12,0.183561772001729,1,1,7.04894431441948e-08
"Dusp11",4.0813722880971e-12,0.186888400930014,1,1,7.08730297828062e-08
"Atp2b4",5.28811937249231e-12,0.178810225799601,1,1,9.1828192903329e-08
"Slc22a17",5.95283104304391e-12,0.177558460728773,1,1,1.03370911062457e-07
"Rbm25",7.0915153483962e-12,0.175645777819358,1,1,1.231441640249e-07
"Gls",7.20381283995375e-12,0.174586822305448,1,1,1.25094209965797e-07
"Rpl3",7.41892537871657e-12,0.180107291211843,1,1,1.28829639201413e-07
