"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Syt1",1.66697608905661e-15,0.616235289919175,1,1,2.89470397864681e-11
"Calm1",1.21001564149922e-14,0.526578910002604,1,1,2.10119216146339e-10
"Map1b",8.32727005246724e-13,0.503277572593249,1,1,1.44603044461094e-08
"Atp6v0c",1.13593910825491e-12,0.504648667375063,1,1,1.97255826148464e-08
"Ttc3",2.24389296492892e-11,0.450619793042914,1,1,3.89652013359907e-07
"Hnrnpa2b1",5.76199784614959e-10,0.423274819995445,1,1,1.00057092598388e-05
"Lrp1b",8.63259976948566e-10,0.461080360954615,1,1,1.49905094997118e-05
"Cst3",1.31515219189867e-08,0.413675007327572,1,1,0.000228376178123204
"AC149090.1",1.4762078085246e-08,0.404806302791518,1,1,0.000256343485950297
"Actb",1.07841836349463e-07,0.358870147276785,1,1,0.00187267348820843
"5330434G04Rik",1.15232456607818e-07,0.354416776982136,1,1,0.00200101160899476
"Snrnp70",1.97920478600502e-07,0.341234703197677,1,1,0.00343688911089772
"Actg1",2.15877498865799e-06,0.322711378569586,1,1,0.0374871276780461
"Slc17a7",2.86500770132588e-06,0.316840961072428,1,1,0.0497508587335239
