"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Syt1",1.31236446282518e-44,0.625510704713999,1,1,2.27892088969593e-40
"Atp6v0c",9.53407553673261e-31,0.461041997699532,1,1,1.65559221695362e-26
"Ckb",1.22410762142313e-29,0.463256856794426,1,1,2.12566288460126e-25
"Calm1",1.25222302012362e-29,0.431005964492737,1,1,2.17448527444466e-25
"Actg1",1.29948937439833e-24,0.388326807501737,1,1,2.2565632986427e-20
"Hnrnpa2b1",5.77544168463162e-24,0.381304085465352,1,1,1.00290544853628e-19
"Actb",1.10068233557874e-23,0.378805620779492,1,1,1.91133487573248e-19
"Cst3",3.88282571601324e-22,0.400495389865546,1,1,6.74252685585699e-18
"Ttc3",5.49248610965487e-21,0.340635442712192,1,1,9.53770212941569e-17
"Atp5g3",1.41857378389363e-20,0.362144910691091,1,1,2.46335337573129e-16
"Oaz1",5.3549215690725e-19,0.347278081719406,1,1,9.2988213046944e-15
"Slc25a4",7.08638026929845e-17,0.32203865943849,1,1,1.23054993376368e-12
"Sst",2.77420197441808e-16,0.357627363956279,1,1,4.817401728577e-12
"AC149090.1",2.04459039450598e-15,0.293878248803475,1,1,3.55043122005963e-11
"Cemip",7.67305928588621e-15,-0.329665551322585,1,1,1.33242674499414e-10
"Rpl8",6.08307685339677e-14,0.292575091375331,1,1,1.05632629559235e-09
"Stmn3",1.74574071672288e-13,0.282941163346382,1,1,3.03147875458928e-09
"Snrnp70",5.37525507342415e-13,0.266288041313818,1,1,9.33413043500104e-09
"Map1b",3.47077353661137e-12,0.282597698783549,1,1,6.02699824632565e-08
"Sncb",2.55069471190657e-11,0.256958565728957,1,1,4.42928136722576e-07
"Gprasp2",3.14147437773861e-11,0.250713937103581,1,1,5.45517025694309e-07
"Rbm39",3.4165950013152e-10,0.229005651579643,1,1,5.93291721978384e-06
"Mir124a-1hg",9.27198744422534e-10,-0.267993461336098,1,1,1.61008061968973e-05
"Nap1l5",1.60956776993537e-09,0.233187779232238,1,1,2.79501443249278e-05
"Rtn1",2.2553070509911e-09,0.22555539515642,1,1,3.91634069404604e-05
"Rab3c",4.07328594807287e-09,0.223244588095897,1,1,7.07326104882854e-05
"Uchl1",6.61791029319828e-09,0.222804521062859,1,1,0.000114920012241388
"Mir124-2hg",9.27208725048643e-09,-0.216709716900516,1,1,0.000161009795104697
"Prpf4b",1.55368758441259e-08,0.213474821029339,1,1,0.000269797849033247
"Cd81",1.94788038793264e-08,0.218391297544182,1,1,0.000338249429364503
"Tmem59l",2.65266623599099e-08,0.21692445283109,1,1,0.000460635491879836
"Ly6h",5.60489133219496e-08,0.212588062613678,1,1,0.000973289379835655
"Pgrmc1",9.52925185073553e-08,0.209107164293441,1,1,0.00165475458388022
"Pdlim7",1.4921624915181e-07,0.205046794591744,1,1,0.00259114016652118
"Rsrp1",1.98288467884884e-07,-0.18922374090394,1,1,0.00344327924482101
"Hspa5",2.36307832461288e-07,0.197573862282633,1,1,0.00410348551069027
"Tmeff2",2.5074104352173e-07,0.201360069475279,1,1,0.00435411822075485
"Tmem59",2.77792598479162e-07,0.201250807394236,1,1,0.00482386847259065
"Cox4i1",9.49839657790162e-07,0.186376121054436,1,1,0.0164939656575262
"Srek1",1.05486066213331e-06,0.184355574702302,1,1,0.0183176553979449
"Grin2a",1.12355472227001e-06,-0.186601173595736,1,1,0.0195105277522187
"Spock3",1.33784111845804e-06,0.18816983027601,1,1,0.0232316110220239
"Cx3cl1",1.76202929180732e-06,0.18352585637472,1,1,0.0305976386522341
"Fubp1",2.34249390444598e-06,0.180496720360614,1,1,0.0406774066507045
"Ube2b",2.39916989221315e-06,0.181157748819921,1,1,0.0416615851782813
"Matk",2.64065748309206e-06,0.182144077039306,1,1,0.0458550171938936
