"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sst",1.37473248910765e-37,-1.00156131512693,1,1,2.37595016092475e-33
"Npy",3.63751914337838e-16,-0.470036882545669,1,1,6.28672433550085e-12
"Atp1b1",2.69708076597265e-13,-0.389552926607809,1,1,4.66136468783052e-09
"Rtn3",2.44979920954935e-11,-0.273129145747855,1,1,4.23398797386415e-07
"AC149090.1",3.22266110353084e-10,-0.284503254511764,1,1,5.56972518523235e-06
"Mgat4c",3.82019018004999e-10,-0.352696599960148,1,1,6.6024346881804e-06
"Atp6v0c",3.97515030238158e-10,-0.26298403691616,1,1,6.87025226760609e-06
"Rsrp1",4.41692327326343e-10,-0.270643245451677,1,1,7.63376849318119e-06
"Zbtb20",1.01132532568477e-09,0.330659600739103,1,1,1.74787356038099e-05
"Hsp90ab1",1.50412589707234e-09,-0.253224525732965,1,1,2.59958078791012e-05
"Peg3",1.03297240807453e-08,-0.313283057169137,1,1,0.00017852862128752
"Gapdh",6.89120324697605e-08,-0.229478050816653,1,1,0.00119100665717487
"Lsamp",1.01892253095397e-07,-0.272296710195821,1,1,0.00176100381024774
"App",1.04004956339903e-07,-0.218845072085146,1,1,0.00179751766042254
"Chl1",1.22124300263442e-07,-0.228090741560195,1,1,0.00211067428145308
"Clstn3",3.28152420162524e-07,-0.222116061016226,1,1,0.0056714582776689
"Ntm",3.37065375370966e-07,-0.219392311221667,1,1,0.0058255008825364
"Reln",4.94683727830916e-07,-0.253401613314518,1,1,0.00854961886810172
"Hsp90b1",9.00508836252781e-07,-0.21238756836363,1,1,0.0155634942169568
"Slc6a1",1.05133406696755e-06,-0.212703308374933,1,1,0.0181702066794002
"Nrxn3",1.22695601523452e-06,-0.234367388253718,1,1,0.0212054808112982
"Hspa5",1.2975240820841e-06,-0.212517542353595,1,1,0.0224251087106595
"Rtn1",1.79949814886301e-06,-0.207126205523852,1,1,0.0311007265067993
"Hspa8",1.81722038016345e-06,-0.201560812462455,1,1,0.0314070198303649
