"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Calm1",6.26067902971815e-40,0.591202741874927,1,1,1.08716691351056e-35
"Syt1",3.44490212374149e-38,0.656811927263296,1,1,5.9820725378771e-34
"AC149090.1",1.18282693542243e-25,0.449033616006963,1,1,2.05397897336106e-21
"Actb",2.85454013237891e-25,0.460871376187342,1,1,4.95690893987597e-21
"Actg1",2.16976163546308e-24,0.439453703162992,1,1,3.76779107998164e-20
"Ttc3",6.78843182257183e-24,0.411848522905876,1,1,1.1788111859896e-19
"Map1b",2.64559631383973e-22,0.456516318456573,1,1,4.59407799898269e-18
"Hnrnpa2b1",1.74686002486235e-19,0.385639343123533,1,1,3.03342243317347e-15
"Ckb",2.52363733076233e-18,0.42081183419205,1,1,4.38229622486878e-14
"Atp6v0c",6.39673717427909e-18,0.400322318992641,1,1,1.11079341031356e-13
"Snrnp70",1.40696629988607e-17,0.358364986764884,1,1,2.44319697975216e-13
"Rbm39",1.97118382277711e-17,0.352486477387889,1,1,3.42296070825246e-13
"Lrp1b",1.02979846114508e-16,0.375059889611188,1,1,1.78824502777843e-12
"Penk",1.61476004861603e-15,0.462042870397785,1,1,2.80403082442174e-11
"Rpl8",2.14369121878244e-14,0.334157601152177,1,1,3.72251980141571e-10
"Stmn3",6.59873989944332e-14,0.316306661708792,1,1,1.14587118353833e-09
"Uchl1",2.18664871608289e-13,0.313979870932962,1,1,3.79711549547794e-09
"Oaz1",4.64229581685071e-13,0.316605890216396,1,1,8.06134668596126e-09
"Arpp21",2.24218824372804e-12,0.373859763827751,1,1,3.89355988523375e-08
"Hsp90aa1",4.27687216923825e-12,0.292557396912819,1,1,7.42678852188222e-08
"C230004F18Rik",1.20229972546692e-11,0.281030685758494,1,1,2.0877934732733e-07
"Cx3cl1",3.25680625494676e-11,0.28488980939977,1,1,5.65544406171505e-07
"R3hdm1",3.55728370830731e-11,0.308423686236054,1,1,6.17722315947564e-07
"Plk2",2.14049534404463e-10,0.27680857094371,1,1,3.71697016493349e-06
"Rtn3",2.73094950115408e-10,0.263450373996531,1,1,4.74229380875406e-06
"Ddx5",4.48443182368555e-10,0.259232928191054,1,1,7.78721586182996e-06
"Cst3",5.53238232892677e-10,0.272228125181769,1,1,9.60698191418133e-06
"Gprasp2",7.50297313242925e-10,0.260011102392215,1,1,1.30289128444634e-05
"Pcdh9",8.89596240193986e-10,0.255129106868046,1,1,1.54478387109686e-05
"Atp1b1",2.25951074348969e-09,0.246460262434923,1,1,3.92364040606985e-05
"5330434G04Rik",3.17582531471041e-09,0.240218837663262,1,1,5.51482065899463e-05
"2900055J20Rik",5.18259005517473e-09,0.25089727124939,1,1,8.99956763081093e-05
"Slc25a4",1.07439638511502e-08,0.248858049203092,1,1,0.000186568932275223
"Prnp",1.0754890043381e-08,0.23756003577056,1,1,0.000186758665603311
"Tmem59l",1.38294144888934e-08,0.246804726538612,1,1,0.000240147782599633
"Scn2a",1.3971852360035e-08,0.23014999137962,1,1,0.000242621216232009
"Pdlim7",1.66202669315756e-08,0.244334190946244,1,1,0.000288610935266811
"Meg3",1.78878933670993e-08,0.311010013313282,1,1,0.000310623268319679
"Sncb",2.33688849311865e-08,0.242750311577297,1,1,0.000405800686830053
"Atp5g3",2.95087952200291e-08,0.242563245897458,1,1,0.000512420228995806
"Mapt",3.57337012942865e-08,0.23222762862104,1,1,0.000620515722975286
"2900097C17Rik",1.91471253185583e-07,0.222908130397051,1,1,0.00332489831156765
"Snhg11",2.15579382337548e-07,0.2722454387363,1,1,0.00374353597429153
"Luc7l3",2.27350857700032e-07,0.219487137437362,1,1,0.00394794764396105
"Ptprd",2.44067207187273e-07,0.272196928240019,1,1,0.004238227052807
"Rps8",2.48396174555437e-07,0.215757562755659,1,1,0.00431339957115516
"Cox4i1",2.51801434802256e-07,0.22201337004775,1,1,0.00437253191534117
"Grm7",2.5495650629119e-07,0.22250027711475,1,1,0.00442731973174651
"Hap1",2.65520209704073e-07,0.221239834118198,1,1,0.00461075844151122
"Gria2",2.87645073012021e-07,0.240953399975283,1,1,0.00499495669285375
"Ly6h",3.88211504651868e-07,0.220953813131143,1,1,0.00674129277827968
"Nap1l5",4.61358881143238e-07,0.218483524383812,1,1,0.00801149697105233
"Nbea",4.68767527364473e-07,0.208211463429523,1,1,0.00814014811268408
"Celf2",5.20487233622114e-07,0.263578943901541,1,1,0.00903826081184801
"Eef1a1",5.25484972294667e-07,0.207576225286702,1,1,0.00912504654389689
"Hsp90ab1",5.3261840720944e-07,0.243403407612495,1,1,0.00924891864119193
"Ube2b",6.85690087739907e-07,0.213465007699582,1,1,0.0119070083736035
"Grin2b",8.13010814504388e-07,0.220023965952965,1,1,0.0141179327938687
"Srsf5",1.57624805555683e-06,0.201271231727593,1,1,0.0273715474847444
"Rtn1",1.64992677100172e-06,0.199029072745932,1,1,0.0286509783784449
"Pgrmc1",1.7801190057641e-06,0.207761715940427,1,1,0.0309117665350935
"Rps16",2.07848358260359e-06,0.203876514046134,1,1,0.0360928674119113
"1700020I14Rik",2.1207667782218e-06,0.205821587936903,1,1,0.0368271151038215
"Srek1",2.26801842886159e-06,0.201292454026596,1,1,0.0393841400171815
"Dnm3",2.39435544912908e-06,0.201919737644311,1,1,0.0415779823741264
"Cttnbp2",2.81220166683791e-06,0.200295174563561,1,1,0.0488338819446404
