"","logFC","logCPM","F","PValue","FDR"
"Arc",-3.57934196369078,9.66967507479388,209.247102361465,9.40318679656953e-43,1.54522568628027e-38
"Mid1",-3.21641535387428,9.16713407148584,165.857790040522,4.65772212268187e-33,3.82701738210156e-29
"Fos",-3.41825996900127,9.21273141995503,130.870461777849,2.26561734201026e-28,1.24102965937515e-24
"AC149090.1",-1.69175931686137,10.7230687679003,119.666679663116,3.19775316882582e-26,1.30925317418137e-22
"Btg2",-3.18534260804688,9.07035757852904,148.827295691135,3.98360973097234e-26,1.30925317418137e-22
"Dusp1",-2.87421572461599,9.13903274576974,112.125320445799,9.25046555865642e-25,2.53354834209002e-21
"Junb",-2.71205514518202,9.56568130779039,77.3027116545849,7.46680461457979e-18,1.75288571759128e-14
"Npas4",-2.1890363809107,9.24400944407201,67.0095866838828,9.3041730853049e-16,1.91119345388519e-12
"Gm47283",-2.23348099711784,9.09683187849878,81.5744338343279,1.554763953735e-15,2.8388262279697e-12
"Egr1",-1.36800857691869,9.94156731582053,46.7843571344498,1.47161373157512e-11,2.41830284509739e-08
"Camk2d",-1.68379780350736,9.2461713397473,37.7910219254835,1.18700927541494e-09,1.7732839475358e-06
"Etv1",-1.72750490510986,9.0272365667646,44.2177415485489,1.68165324575999e-09,2.30288398229783e-06
"Nr4a1",-1.49756133549862,9.28372864200548,36.7752455181483,1.95687428790891e-09,2.47363962870824e-06
"Fosb",-1.53259014777223,8.93015531334205,118.764408382486,9.61214156827093e-09,1.12825944565283e-05
"Egr3",-1.44072224480322,9.1698124451115,32.0456618001901,2.03064266466721e-08,2.22463672723175e-05
"Clmn",-1.57082211628502,8.98834782141636,45.6996837487671,1.13431903784154e-07,0.000116501654680313
"Fosl2",-1.59293886632937,8.96847512150183,57.7498929533159,1.39286396352666e-07,0.000134640785368433
"Malat1",0.398664863000424,15.9598689699701,27.523258865642,1.94059444714391e-07,0.000177165491943977
"Nrp2",-1.49127356470663,8.9875552843028,46.2956030660082,3.06232795216754e-07,0.000264859132831416
"Kcnip2",1.28862707358751,9.16204900927178,25.8370022679808,4.52799552493994e-07,0.00037204275230669
"Gadd45g",-1.27214589090345,8.92859385532577,95.6972968412821,7.12185362779153e-07,0.000535086361391269
"Cartpt",1.07595354914691,8.91184971288964,111.751156797352,7.16357326757616e-07,0.000535086361391269
"Pcsk1",-1.2581512586178,9.16689378622851,24.5675750645415,8.58776824357926e-07,0.000613577371942339
