"","logFC","logCPM","F","PValue","FDR"
"Mid1",-3.17426500084254,9.61104625453522,138.682961039409,1.32269337039041e-24,2.11842570201728e-20
"AC149090.1",-1.87665536171515,10.9746216448983,80.2859293213011,2.89524550752489e-18,2.31851260242593e-14
"Gm47283",-2.40662527061431,9.58466348667092,85.0267414516634,1.18962724205856e-14,6.35102330293666e-11
"Egr1",-2.21216330117372,9.75474801096312,55.4464086201965,2.8257472731222e-13,1.13142920815813e-09
"Arc",-2.44648069109486,9.66724230674395,54.8481461895278,3.74695740738521e-13,1.20022539673363e-09
"Dusp1",-2.11024878270025,9.51701580137791,65.817473775513,1.3587365171952e-10,3.62692067656639e-07
"Col6a1",-1.7239479317017,9.45425488630967,71.9272766996499,5.56231736939875e-09,1.27265821411843e-05
"Fos",-1.76009309394734,9.5108216760875,53.9772368746168,1.06773644653956e-08,2.1376083659722e-05
"Satb1",-1.67494150648438,9.76914926086213,30.2081010685806,5.4364158936186e-08,9.67440410579951e-05
"Car4",1.51783593394513,9.73205255025846,27.4819591965223,2.100888949636e-07,0.000336478374173702
"Zfpm2",-1.52035420725352,9.60301447495564,25.9303288915966,6.38039107299189e-07,0.000928984940227618
"Gpr83",-1.52612446782581,9.46033175221729,66.339782036776,6.96209506929357e-07,0.000929207621915049
"Npy",1.99669320499716,11.6064870281146,23.7279560616471,1.37253360072744e-06,0.00169096139609621
"Resp18",1.41669512819005,9.78970518601348,23.1393170261872,1.84544697750688e-06,0.00206374552728535
"Zfp335os",1.41096616660966,9.44962065229738,74.761285933209,1.93282860322679e-06,0.00206374552728535
"Frmpd4",1.26451158954585,9.8747097267035,22.2457971740568,2.89536479482055e-06,0.00277424186212146
"Dlx1as",1.44588363900938,9.82675004014721,22.0467120508054,3.20152787198258e-06,0.00277424186212146
"Gng2",1.38489500483301,9.59905371718733,25.3004219982913,3.2729678627075e-06,0.00277424186212146
"Gm30382",-1.49916860541147,9.52415382162296,30.9822032056139,3.29112109017906e-06,0.00277424186212146
"Ddhd1",-1.27767684440957,9.72108239767503,21.8572415659077,3.52312399562197e-06,0.00278792683333788
"Bmper",-1.37345041237718,9.4479039866344,71.7121168765386,3.65549847028568e-06,0.00278792683333788
"Nr4a3",-1.47071296735111,9.46709403889211,50.390584507154,4.81292229818755e-06,0.00350380743308054
"Samd5",-1.33948056859599,9.7066579118167,20.9734061503502,5.51026822022369e-06,0.00383706329630881
"Tshz2",-1.46603258639914,9.65555717285427,20.8082757812374,5.99135906116945e-06,0.00399823361348708
"Gm26917",-1.10786932789658,10.9408979574888,20.2305262116836,8.03285383634275e-06,0.00514616748171462
"Epb41",-1.25755910329211,9.73119744946992,19.3610304714455,1.25023258609138e-05,0.00770143273032287
"Lamc2",-1.11655518588604,9.43317972362354,69.1503330911167,1.32712894537494e-05,0.00787233229226853
"Sel1l3",-1.22227688561243,9.77036576228791,18.9315966466716,1.5563020309036e-05,0.0089020476167686
"Gad1",1.32793070593292,10.4804650850333,18.7395640781832,1.71660164712749e-05,0.00941072882439284
"Dscaml1",1.15843553622131,9.69284126783477,18.6876234721162,1.76274890566799e-05,0.00941072882439284
"Nrp1",-1.27199525962528,9.60693763684063,18.4905063834145,2.09202078918226e-05,0.0103810255826351
"Clmn",-1.38073350527633,9.52805002141305,26.2645401561608,2.09579082490527e-05,0.0103810255826351
"Gad2",1.34195372730669,10.5298007222927,18.3091792287659,2.13894757883965e-05,0.0103810255826351
"Gm13629",-1.3596616746928,9.46221744432789,42.266282549393,2.38470475283663e-05,0.0112333621533622
"Rmst",-1.39301985047727,9.46917520361246,35.6124533610262,2.47881568228425e-05,0.0113430605621327
"Necab1",1.17937362145192,9.72859545718392,17.4115902301722,3.38796797939743e-05,0.0150726930994526
"Nr4a2",-1.18240143771331,9.43818457868705,70.4895975400476,3.60347391872179e-05,0.0155981725087157
"Nptxr",1.20606757030938,9.6166238224649,17.0934879304152,3.98929758638781e-05,0.0168138395114703
"Mrrf",1.17658893612409,9.43917837048887,66.4373840665983,4.35628140170705e-05,0.0178897956230103
"Rp2",-1.23809784508496,9.44665577197564,57.3717155565454,4.5302618271314e-05,0.0181391683558341
"Slit2",-1.26139040527347,9.55328131402785,19.3380080191197,4.71754131968244e-05,0.0181432130556036
"Kcnip1",1.17676691710964,9.72503567506022,16.7509424556022,4.75783559150445e-05,0.0181432130556036
"Pebp1",1.15568455229298,9.65392833074567,16.3801168226379,6.35025118075289e-05,0.0236524704444042
"Pnoc",1.22596632520677,9.64603197753595,16.1145597885207,6.60465331533908e-05,0.0240409380678342
"Dgkb",1.14134878887406,9.68685632174416,15.9749389992567,7.09829194094635e-05,0.0252636097169326
"Tenm3",-1.16139941972849,9.60685819866712,17.151474165894,7.38010977649398e-05,0.0256956169957234
"Neto2",1.09387027019218,9.65068704555401,15.5768380254764,8.72003106673507e-05,0.029654438936838
"Pcdh9",-0.918268024172279,10.4484553251909,15.5400826735532,8.88744423681458e-05,0.029654438936838
"St6galnac5",-1.22897176979792,9.54641252885586,19.6753978200697,9.3453549326658e-05,0.0304510961401177
"Calm1",0.915258219965132,10.2659688875627,15.3686562219197,9.71213272135065e-05,0.0304510961401177
"Otx1",-0.884807017362125,9.42152972062994,83.4525172235177,9.78278416850762e-05,0.0304510961401177
"Grk5",1.25089683726333,9.48131079369108,31.3121584616902,9.88671952601225e-05,0.0304510961401177
"Htr2c",-0.946969066094021,9.43580546781437,49.1766199312738,0.00011070528948379,0.0334538852145733
