"","logFC","logCPM","F","PValue","FDR"
"Apoe",3.29532392545584,11.6791584439229,167.307029644439,6.60368628533804e-36,1.00243957811431e-31
"Sparcl1",2.70467154016198,11.506298343397,123.528452085478,2.244069249098e-27,1.70324856006538e-23
"Ednrb",2.27638262438281,11.3943724089864,116.346877795587,4.38581231347574e-25,2.21922103061872e-21
"Luzp2",2.4145751245256,11.5246154718051,98.770407226518,2.05264002512799e-22,7.78976889536072e-19
"Pla2g7",2.35160222002925,11.3258570383803,159.698499203624,4.95408225305726e-22,1.50405937202818e-18
"Ptprz1",2.2415746237732,12.2718448303417,77.806201810767,3.96171449672423e-18,1.00231376767123e-14
"Aqp4",1.89893264505979,11.3680306741112,95.5279783764521,2.61356266691962e-16,5.29009704158381e-13
"Ttr",-1.61831359497505,11.5814827325174,68.8934187093421,2.78792992968844e-16,5.29009704158381e-13
"Mfge8",1.81450723219176,11.4318906070138,64.5644732295869,2.23055139150539e-15,3.76219668033909e-12
"Plpp3",1.58961112250022,11.3911594304108,59.3351690605778,9.14947926520155e-14,1.3888909524576e-10
"Slc1a3",1.82301828486263,11.6591105354883,56.0137891686161,1.39376689028788e-13,1.92339830859727e-10
"Egfr",1.53448535265301,11.3489315690466,65.7548296545782,2.64638671384808e-13,3.34767919301782e-10
"Cpe",1.56501120708854,11.5833024732075,50.2598249101176,2.30165921188807e-12,2.68762975665084e-09
"Atp1a2",1.58295979360833,11.3675730767141,58.9674663483551,3.17541051978501e-12,3.44305226359546e-09
"Ptn",1.41150853293241,11.8789031502422,49.177895172048,3.90781307559312e-12,3.95470683250024e-09
"Serpine2",1.59480612000806,11.3936823137842,48.1992317595647,6.4640997077848e-11,6.13281459776083e-08
"C130073E24Rik",-1.60700337788556,11.2863413210738,82.1625809240241,7.06825701000399e-11,6.31153773010945e-08
"Igfbpl1",-1.36134909618773,11.6235571583531,39.7687335528244,4.01971971511208e-10,3.38996362641119e-07
"Slc1a2",1.43118287822595,11.361354919954,51.0958503750716,5.74855038071464e-10,4.5927891989078e-07
"Dgkb",1.42719796822734,11.2896737649368,89.5155134805675,6.12946503114417e-10,4.65226395863842e-07
"Ttyh1",1.32840984150652,11.3977818461559,40.8266125882984,9.1148718571782e-10,6.58875022818881e-07
"Glud1",1.33689525739914,11.4561197666812,37.651798076377,1.14915813671744e-09,7.92919114335036e-07
"Bcan",1.33709007724675,11.3377520818945,45.7896823765522,4.91627637692739e-09,3.24474240877208e-06
"Lsamp",1.23935455914648,11.4510884919259,33.2958982673667,1.00811485998051e-08,6.37632648937672e-06
"Fabp7",1.03918400058722,12.1348610448121,31.3842439856784,2.62701032511877e-08,1.59512066941212e-05
"Clu",1.21325726145423,11.3206216403482,44.5566997793907,1.44685204581263e-07,8.44739002132142e-05
