"","logFC","logCPM","F","PValue","FDR"
"Hbb-bs",-1.32529362141357,13.3923131298029,176.541391512801,2.33224264772057e-39,3.76913734298122e-35
"Ttr",-1.52526149023327,11.8289933194961,172.15266973356,1.91248527309581e-38,1.54538372492507e-34
"Hbb-bt",-1.67548675774022,12.2803621713803,134.795057608447,1.28835553683353e-30,6.94037127692222e-27
"Snhg11",2.02745007070404,11.8893121279932,123.753603751493,2.76438317254611e-28,1.11687991128794e-24
"Cadm2",1.18307902029301,11.6671700636547,79.3878915301957,7.96714100619254e-19,2.57513931602155e-15
"Luzp2",1.26932965849869,11.5586986110549,148.415273339131,1.39688410571782e-18,3.76250733875094e-15
"App",1.04816165884656,11.746081435089,71.1634602431781,4.71024434747025e-17,1.08746084142095e-13
"Meg3",1.43233922413926,12.6031627139125,65.5817093803271,7.57309753255502e-16,1.52986036529527e-12
"Tfap2b",0.761662460952319,11.4875215628682,740.368866155435,1.70613420162144e-13,2.79804468853421e-10
"Lsamp",0.992198279978879,11.6807452679405,54.7103307462438,1.7313561589841e-13,2.79804468853421e-10
"Atp1a3",1.08468215046139,11.5816994245161,84.3748177316537,2.13885685514685e-13,3.14236960327529e-10
"Chl1",0.890255084926944,11.7063339339658,49.3940197796465,2.49651939548114e-12,3.36218749586422e-09
"Gpc6",0.953322202703205,11.5212087849367,143.254547347948,2.88474322420606e-12,3.58617963433801e-09
"Ank2",0.942498103239237,11.7298695128116,47.0013789394108,8.32163597125391e-12,9.60613992367388e-09
"Apoe",1.0258979640262,11.5745420205506,80.0996277697654,1.71893772164057e-11,1.85198350129555e-08
"Kcnq1ot1",0.934503244490265,11.5930380781642,57.0982764788071,2.29882684044452e-11,2.32195878552649e-08
"Pfkp",0.96227195280167,11.5413796066605,89.5634519446619,2.65676238200937e-11,2.52564334445021e-08
"Zfpm2",0.921528491301671,11.5114991171426,163.753882465432,4.23492576015707e-11,3.80225751166102e-08
"Tecr",0.807024755177082,11.7462787135444,43.4541091259106,4.97746572271409e-11,4.23372755498855e-08
"Car8",0.619245062130793,11.4899265143558,433.261258966584,7.52186963969899e-11,6.01362745729004e-08
