"","logFC","logCPM","F","PValue","FDR"
"Lrp1b",1.80176833482093,11.451394402382,73.4784080479241,2.37810356365231e-17,2.37052540658592e-13
"Csmd1",1.69410906150893,11.441388222573,72.8675814741197,3.196691461015e-17,2.37052540658592e-13
"Ttr",-1.54578977995626,11.5828618879967,72.1587551866136,4.50670229388958e-17,2.37052540658592e-13
"C130073E24Rik",1.79910511924556,11.4385156035181,70.1418328817826,1.19876526668263e-16,4.72912897706297e-13
"Hbb-bs",1.29972691305318,13.2273527876171,68.2902923430197,2.94693414709181e-16,9.30052416822175e-13
"Adgrb3",1.47379055723023,11.3288784565631,73.2028369388524,4.6993578186861e-14,1.23593110631444e-10
"Lingo2",1.38657444716132,11.4177291441006,47.3174312913877,8.66205266260111e-12,1.95267415736922e-08
"Pcdh11x",1.25349657391569,11.2937060387911,59.2565198315417,5.60729825251223e-11,1.10603958030804e-07
"Lrrc7",1.2782722866597,11.4473959264304,43.236808357751,6.56682045715368e-11,1.15138252015428e-07
"Luzp2",1.30977892802303,11.3011593077506,60.5569135611704,1.74759124564409e-10,2.75769898562638e-07
"Cep112",1.34586419177895,11.2457949150345,99.3750530388069,1.98996116401374e-10,2.85468974255789e-07
"Grm7",1.23497663830404,11.2733990557671,66.5508630210918,5.29259915538975e-10,6.35691967020629e-07
"Gria4",1.1678842893561,11.3597091248856,40.0500446018748,5.78481844387948e-10,6.35691967020629e-07
"Tenm1",1.29304354937153,11.4259516349024,38.8291783171416,5.9161088173129e-10,6.35691967020629e-07
"Snhg11",1.63354097284294,12.6048663624343,38.7868371120745,6.04269930627974e-10,6.35691967020629e-07
"Disp2",1.35723834972486,11.2590704766433,86.401334747811,6.95587326212931e-10,6.86023000477503e-07
"Negr1",1.18034785608186,11.3932791867224,38.1411897521115,8.34638728818214e-10,7.74741125926554e-07
"Canx",1.11946524083525,11.4346488593391,37.8276168732176,9.76478210764719e-10,8.56045898103737e-07
"Cadm2",1.21991293598845,11.5529931242455,36.541548579241,1.85996733526459e-09,1.54475181844607e-06
"Nln",1.21316243870713,11.3285611345276,48.963422812589,2.31182616296971e-09,1.8240308425831e-06
"Edil3",1.13370771747045,11.3397122775481,39.8790877664091,2.45416252048064e-09,1.84412783681831e-06
"Opcml",1.29925429636253,11.5246097385364,35.859056789575,2.61938077037034e-09,1.87881038892927e-06
"Fam168a",1.11559818374725,11.3682252446584,38.4172064089058,2.85462876564149e-09,1.88226431193686e-06
"Dpp6",1.17418879205481,11.3476307745758,43.2312697096878,2.86275940978989e-09,1.88226431193686e-06
"Tmeff2",1.16852471268619,11.3179791683202,43.0531309507984,5.95037858446757e-09,3.75587896251593e-06
"Nrxn1",1.15722347560574,11.6701447275088,33.6607079889178,7.90793162796607e-09,4.79950619574248e-06
"Gabra1",1.17878289274518,11.2553083753555,70.0690463736101,1.06930114721315e-08,6.24947114926794e-06
"mt-Atp8",0.848104065950744,12.0885012469232,32.9355123145302,1.13940737282973e-08,6.42137440830469e-06
"Lrfn5",1.18694011505573,11.5321561616816,32.745983302566,1.25360296110072e-08,6.82132921592046e-06
"Ralyl",1.07482735327213,11.3907304492612,32.2564306661722,1.60456581724091e-08,8.44001619868718e-06
"Magi2",1.03666181016075,11.3842452923077,31.8842351170924,1.93601374293887e-08,9.85493447212108e-06
"Cspp1",1.10357692841029,11.3317058308567,39.2580292367717,2.98235212756301e-08,1.47067239290451e-05
"Ywhah",0.984579025096559,11.4940089072716,30.8738107744165,3.22498555193352e-08,1.54212945483367e-05
"Adarb2",1.07259578559814,11.3312364551007,30.0238917831198,4.95687360702799e-08,2.30057251526181e-05
"Neurod6",-1.04244973574043,11.3281957540649,42.6229066825476,6.43149849350718e-08,2.85426634419075e-05
"Kcnq1ot1",1.09555932303461,11.47631288454,29.4507170832997,6.62587913401646e-08,2.85426634419075e-05
"Nwd2",1.06230259142344,11.2512687121077,58.9398759448273,6.69251297433827e-08,2.85426634419075e-05
"Nav2",1.01660569447965,11.3485331648927,32.0983802134751,7.3958449441145e-08,3.07122192679281e-05
"Lhfpl3",1.08696317130008,11.2877619178956,44.0310135528214,8.60940315538811e-08,3.48349696902627e-05
"Rbm5",0.984231145962838,11.3858574194443,28.8624460897951,8.92729749236512e-08,3.52181886073804e-05
"Elavl2",1.02851142564015,11.4031992179834,28.7593641081876,9.40634459953039e-08,3.56421948542722e-05
"Sgcz",1.27768278363946,11.2780379390189,50.5356567687613,9.48651574068082e-08,3.56421948542722e-05
"Atp1a3",1.01328323549029,11.4280201091802,28.6798040677823,9.79364543679406e-08,3.59404011610722e-05
"Dner",0.974022866587838,11.4064213391704,28.0616291406433,1.34023247989415e-07,4.80656103016584e-05
"Dusp11",1.00571076520072,11.3528069462788,31.9458932143255,1.74236370307913e-07,6.10988871879748e-05
"Frmd4a",0.95721993734362,11.3779679933829,26.8856631589229,2.43637842650577e-07,8.35783729788285e-05
"Gabrb2",1.05031482464755,11.2620861381693,53.5863566442555,3.27988003835929e-07,0.000110120227670872
"Chga",1.12849326305266,11.2838016182755,46.5861582783788,3.46792284226029e-07,0.000114007963439307
"Camk2d",0.943580975093431,11.3481373714444,27.7775121710926,3.84648891429528e-07,0.00012387264299506
"Ctnna2",0.948773008141449,11.4283220349517,25.7509693797897,4.34230701185632e-07,0.000134908886383888
"Ndst4",0.862593645436242,11.2049807778836,148.108414274196,4.42118526469374e-07,0.000134908886383888
"Nespas",1.04840251783374,11.2325001182707,76.6333235449287,4.44566672494434e-07,0.000134908886383888
"Ptprs",0.949317189230259,11.445439171837,25.3987125031909,5.19687938428353e-07,0.000154729729592442
"Meg3",1.43260764113368,13.6872456207232,25.0946901711894,6.0690933883395e-07,0.000177352395681477
"Ptprn2",1.00294622294781,11.2899994402687,39.2742075731924,6.19975357908559e-07,0.000177876566323583
"Acvr2a",0.929061655160949,11.3556742667153,27.0670083237461,6.32117119378609e-07,0.00017812157399633
"9530059O14Rik",0.913880087418591,11.3317485783866,27.0065469774154,6.84893824937828e-07,0.000186713923074432
"Aff2",1.00081717603894,11.2827740639787,41.1626518979281,6.8627424197193e-07,0.000186713923074432
"mt-Nd2",0.907459109986371,11.5176018850618,24.7869711121519,7.10174751099106e-07,0.00018994165376854
"Trhde",1.15542782882044,11.2245313842046,85.5030263306603,7.34936426034902e-07,0.000193288280047179
"Gm20754",0.955980986399975,11.3513327289441,24.5613056260049,7.96960045498956e-07,0.000206164418327435
"Usp29",1.0462171496403,11.3049140538247,36.3486533420831,8.17918237811463e-07,0.00020817338375266
"Celf4",1.02183923213351,11.6584033782149,24.453861272378,8.41946708738324e-07,0.000210887604188742
"Cntn1",0.992660975949736,11.2950996092094,38.1817020876153,8.9069446059375e-07,0.000219611852940146
"Jakmip2",0.985182849343743,11.316655986939,34.8098726977484,1.07439658285629e-06,0.000260830431961111
"Epha6",0.847771950198369,11.2430930719903,56.6212547986147,1.18063060387688e-06,0.000282278044381473
"Syt1",0.958606119890452,11.5828642379692,23.5751785874055,1.31981266395995e-06,0.000310845430407284
"Chrm3",0.963965920094774,11.228969743336,69.7975307140842,1.359992769227e-06,0.000312794809142694
"Gphn",0.986054935941711,11.2651156354084,48.3540579654467,1.36773395632737e-06,0.000312794809142694
"Tenm2",0.969685121382225,11.3214809093961,28.7063691972605,1.41188177749576e-06,0.000318278492126901
"March1",0.892946506698492,11.3691261873612,23.2508463887293,1.55834777081042e-06,0.000344303408319495
"Mgat4c",1.06583835458571,11.3440081765611,25.5009745815692,1.58726756585678e-06,0.000344303408319495
"Atxn2l",0.951718374967169,11.2426207771594,58.9698262817655,1.59278509552111e-06,0.000344303408319495
"Gm27243",0.857139016139433,11.2073445789577,118.444626721969,1.63422432010238e-06,0.000348487294205615
"Igfbp5",0.946909059469096,11.2523708218523,47.8510344390425,1.79953267943842e-06,0.000378621675753843
"Mmp16",0.940349080455209,11.3216355375011,29.0724270960416,1.82836997276122e-06,0.00037962734434437
"Hbb-bt",0.912295104243085,11.9860918413991,22.7320891432215,2.03317466642651e-06,0.000416668782288445
