"","logFC","logCPM","F","PValue","FDR"
"C130073E24Rik",2.79478420434938,10.9001118251989,63.3656442180573,9.57590871842882e-15,1.19819426016181e-10
"Gria4",2.50656050638467,10.8815481879173,65.6050352093584,1.58512271485886e-14,1.19819426016181e-10
"Cntn5",2.39019960419403,10.938642672456,44.3730570451416,6.4893053839915e-11,3.27017729317278e-07
"Gm42418",-1.84784773933775,13.234080632623,42.9264492032336,1.28831347866872e-10,4.86918079262843e-07
"Cntnap5a",2.03387622162123,10.7446980815443,91.6339932186548,8.52998985730145e-09,2.57912773325366e-05
"Kcnj6",1.74123539851278,10.7314961109912,81.4336315641113,2.03039705022147e-08,4.59601420713923e-05
"Snhg11",2.58245011349688,12.2049775655396,32.2977306647146,2.12806584534823e-08,4.59601420713923e-05
"Pfkp",1.84989036040351,10.8667764620493,33.7098512471374,4.22593170394676e-08,7.9859544375334e-05
"Rspo3",-1.99696691881677,10.7730487093665,50.3377251245061,6.45860458293896e-08,0.000108490204538746
"F13a1",-1.86534014506275,10.8157952664661,29.5609303530228,8.76921250672874e-08,0.000132572954676725
"Grm7",1.86471896116427,10.7532634108075,67.4699589485823,1.18962851417753e-07,0.00015347286879868
"Tmem91",1.73063455550407,10.7260115011862,111.215450785273,1.21819977879624e-07,0.00015347286879868
"Spock3",1.82171502611443,10.7573848152384,60.3171359999954,2.90319382080942e-07,0.000337619109099975
"Fam19a1",1.8732945012804,10.7466892168321,60.920418384796,3.36361361792101e-07,0.000363222219112356
"Lingo2",1.85393662882683,10.9626346625053,26.0892471406151,4.47472332571909e-07,0.000450992448254808
"Sorcs1",1.75415070021656,10.7698614686387,46.9955145895048,1.10191986378131e-06,0.00104117653129036
"Hexb",1.74062538755241,10.7873886397805,32.0148033416772,1.281332827165e-06,0.00113045911738406
"Cntn4",1.77251489847219,10.7532325874539,53.1711391873137,1.38743680496792e-06,0.00113045911738406
"Myo16",1.6946887009735,10.7691867816737,50.0576123071884,1.42073840655492e-06,0.00113045911738406
"Meg3",2.04864891935408,13.218718271225,22.9455553153096,2.13609236600318e-06,0.0016146722194618
