"","logFC","logCPM","F","PValue","FDR"
"Slc7a5",4.45215564555895,11.0017566307161,45.8865064002696,2.50934289380145e-09,3.1241319027828e-05
"Spock2",4.13649617927546,11.020672408036,41.0138955453876,1.65276074323504e-08,0.000102884356266381
"Igfbp7",4.50939245014938,11.3528055009208,28.1547744337108,1.9006872374833e-07,0.000788785203555568
"Kdr",3.4233085367562,10.9885684298683,31.5681130313561,7.27553348768785e-07,0.00198042206506651
"Krtcap2",3.73870522313493,10.9476747904952,47.3800899558441,7.95350226934341e-07,0.00198042206506651
"Col4a1",4.32718479163958,11.5900709607752,24.1967264948392,1.29423186006975e-06,0.00250905701887558
"Slc7a1",3.64025185742308,10.9747007333734,32.4748444062065,1.41071478972924e-06,0.00250905701887558
"Slc38a2",3.58283324702013,11.1769678104142,23.5768643489435,1.75231659741217e-06,0.00272704270472269
"Slco1c1",3.49797834924245,10.9631282050394,31.7872044353893,3.26648581132012e-06,0.00441143592798572
"Slc40a1",3.31348235578747,10.9212815403684,38.6119385765017,3.56312493932512e-06,0.00441143592798572
"Glul",3.6394569799557,10.9787779343009,36.7365131940527,3.89765423356168e-06,0.00441143592798572
"Fn1",3.57022656380309,10.9667813540993,32.0957286797247,1.04478369238658e-05,0.0108396308085108
"Slc1a3",2.94695791467821,11.0987944252568,19.6425189638715,1.22115769477673e-05,0.0116949333076694
"Adgrl4",3.12389813387814,10.9161705888778,35.1099742222757,1.37614478594255e-05,0.0122378589892748
"Egfl7",3.14865568325022,10.982076351769,24.6474781533901,1.5326657824093e-05,0.0125348357611397
"Egfr",3.10053477030572,10.9149043574152,37.5160943515303,1.61090258777699e-05,0.0125348357611397
"Rac1",3.1757069609418,11.1026316753786,22.6546055337986,2.1992642220003e-05,0.016106376214061
"Col4a2",3.52527930772201,11.4019819805335,17.981711867454,2.79997379643648e-05,0.0193664854253523
"Lamb1",2.84536651879254,10.9304612343076,30.4308605214264,4.58035056786464e-05,0.0291529039277217
"Cald1",3.25187585472044,11.2223460368042,16.8769584185747,4.88103783173165e-05,0.0291529039277217
"Bsg",3.32151324036156,11.3320885557405,16.8622640677141,4.9173572890133e-05,0.0291529039277217
"Apoe",3.27131843172944,11.1557592204151,16.6378439247601,5.55944530128649e-05,0.0314614063640985
"Luzp2",3.07952600522014,11.1117498717405,16.4131740269218,6.1695078875286e-05,0.0333958144346657
"Gm45159",2.77737275983844,10.902142141166,34.807655282536,7.37332251130597e-05,0.0367191471970454
"Mrps15",2.81434751966475,10.9046204663875,35.9788967631778,7.3733227303304e-05,0.0367191471970454
