"","logFC","logCPM","F","PValue","FDR"
"Hbb-bt",-2.44519255876219,12.6490191720733,144.583620918183,2.04834346934944e-32,3.20606719822574e-28
"Ttr",-1.33902746805806,11.8051471335699,109.859602673308,3.48071926941819e-25,2.72401090024667e-21
"Hbb-bs",-1.42376912919509,13.7869692226516,84.6015054305331,7.48436366196556e-20,3.90484200123617e-16
"Cadm2",1.04907932927504,11.6502383172976,47.6109694867197,6.56611759404388e-12,2.56932181454937e-08
"Snhg11",1.44184843397171,11.8938055627622,43.4814696509521,5.2059902537168e-11,1.62968318902351e-07
"Igfbpl1",-0.934619005121706,11.7727776378108,38.0062455375782,8.19962323282832e-10,2.13900838067048e-06
"Hba-a1",-1.28987876222341,11.6544727484828,37.4832514332711,1.0678006945029e-09,2.38760235290849e-06
"Tfap2b",0.656418588725841,11.4870533832881,435.879446426314,1.33671961971835e-09,2.61529193597896e-06
"Arpp21",1.00461293237279,11.5842035740599,49.538922324219,1.73535227671537e-09,3.01797042612767e-06
"Kcnip4",0.872859508050581,11.5163216042243,97.0932883848957,1.12273871521428e-08,1.75731063705338e-05
"Atp1a3",0.945349641353018,11.5855414013408,44.9454864528098,4.67528693008742e-08,6.55377868035192e-05
"Rab6b",0.8975463865972,11.6270826044065,43.2576324397414,5.02461948404185e-08,6.55377868035192e-05
"Lrp1b",0.925458550380545,11.5433698017483,52.6515562844372,6.3288635839054e-08,7.16316409370974e-05
"Meg3",1.13983855231391,12.581943774642,29.414123002219,6.40712351852392e-08,7.16316409370974e-05
"Gnao1",0.81006251990251,11.6741299313834,31.8221525187172,9.38402206256036e-08,9.79191422154632e-05
"Ptn",0.737007194913243,11.8598627914218,28.0206808267567,1.3049352092701e-07,0.000127655286846848
"Tubb2a",0.581403584715331,12.1428872309142,26.030791714193,3.61302440763098e-07,0.000332653282519059
"Hspa5",0.808925830514295,11.6489240537878,32.368223478716,3.8457189575927e-07,0.000334406628468005
"C230004F18Rik",0.838534647062505,11.5382549824345,54.3994165068387,1.4121476788202e-06,0.00116331239309967
"Serpine2",0.818285081467188,11.5418010428137,54.818747523475,2.15076223369375e-06,0.00167525782840019
"Prkcb",0.69545539628182,11.5064581993443,105.650591040682,2.24766256046537e-06,0.00167525782840019
"Luzp2",0.724386333928583,11.5441229122477,47.1881165665462,2.707826727849e-06,0.00192649563383148
"Rgs6",0.62577368081478,11.5034825745451,98.3080092491669,3.40008711022253e-06,0.00231383319344361
"Sox11",-0.664675472807736,11.7615530642929,20.1112296376273,8.76508729666866e-06,0.00571629776531075
"Tra2a",0.69496972522552,11.6382741405062,21.2017191094693,9.22436400035912e-06,0.00577518981334484
"Tjp1",0.662866253866441,11.5099686133688,76.2877966314169,1.03038123580896e-05,0.00620289503956991
"Tuba1b",0.665520544131842,11.7244786999336,21.5194720667229,1.14556935814002e-05,0.00648322645906804
"Lsamp",0.68281671856858,11.6506638067388,19.3065220176162,1.159790064234e-05,0.00648322645906804
"Tmtc2",0.704636142730269,11.5159819922835,62.4071806680485,1.4578394953148e-05,0.00786831164850597
"March1",0.726985916718796,11.5482784759485,37.1765761971595,1.85639483301057e-05,0.00952828551789141
"Abcc5",0.693788199491327,11.5389762030189,41.4284295686964,1.88715085008072e-05,0.00952828551789141
"Cd24a",-0.574389490389982,11.9117992288862,18.0716577796579,2.2056858480699e-05,0.0107885609043719
"Sox4",-0.66514153241267,11.7155350034294,20.0891268887088,2.36191608961233e-05,0.0112026395862461
"Pcdh7",0.730195411384246,11.5339856855796,45.9989142666247,2.44477590960559e-05,0.0112545978050431
"Ywhag",0.603696500258391,11.7562254469509,17.5451610274532,2.90309238992677e-05,0.0129826291677525
"Nts",-0.710340427324973,11.5354740870676,45.9416014033704,3.28643046845569e-05,0.0142886693589635
"Nxph2",-0.606682582891443,11.5434338518521,40.1385755992864,3.6260873964857e-05,0.0149297903879746
"Zcchc18",0.656765787655399,11.6250409253268,22.0351138302108,3.80220196767924e-05,0.0149297903879746
"Atp1b1",0.639263185680171,11.6735672005931,19.0484886580547,3.86566485480376e-05,0.0149297903879746
"Hmgcr",0.642975997152755,11.6593246561624,20.013291924086,3.87619585550573e-05,0.0149297903879746
"Mir124-2hg",0.658182805820454,11.6059539389128,21.0454391805144,3.91081910239559e-05,0.0149297903879746
"Gm3764",-0.702063070326319,11.5712711849125,27.3615732298991,4.24067440082899e-05,0.0158035799337561
"Cdh9",0.618979438924532,11.5141812524764,49.2340034888521,4.75365876711713e-05,0.0173033179123064
"Rtl5",0.406746685551519,11.4876498358713,191.070967152779,4.86722040975466e-05,0.0173140304212454
"mt-Atp8",0.461285073702477,12.2435884693968,16.4050396641095,5.27102867677503e-05,0.0180153489540345
"Neurod6",-0.65687474308143,11.6322287926545,23.420201803021,5.29456971559919e-05,0.0180153489540345
"Tmem196",0.380299975731053,11.4850721565793,259.264604910277,5.64356668496212e-05,0.0185597455004247
"Alas2",-0.552151199687707,11.5115888814806,53.2307952282017,5.78532065284334e-05,0.0185597455004247
"Dlg2",0.658138755178156,11.5794316168831,23.7423698353141,5.8102959974496e-05,0.0185597455004247
"Grm5",0.621488275607252,11.6472275558263,16.6801627730219,5.99204751161336e-05,0.0187575055303545
"Tmem191c",0.517368513974465,11.4954253102389,100.664351310117,6.81083865035211e-05,0.0209025973637865
"Atp6v0b",0.595628060524486,11.7120197257419,15.7124320060312,7.5810113648651e-05,0.0228188442082439
