"","logFC","logCPM","F","PValue","FDR"
"Ttr",-1.49845636874341,11.9045353518988,214.551131619136,1.7106293861275e-47,2.78182550772055e-43
"Igfbpl1",-0.993764786211096,11.8811818006365,63.756546243805,1.77375016215484e-15,1.0889562390644e-11
"Sox11",-0.971012692520632,11.8341616491034,64.7175967544473,2.00889725568393e-15,1.0889562390644e-11
"Ptma",-0.518392934840548,12.66913085144,48.8725655666909,3.13341904577737e-12,1.27389151306079e-08
"Cdh9",0.722586763414642,11.575029365644,301.660480430936,2.85459063264813e-10,9.28427057362479e-07
"Hbb-bt",-0.992005481370328,12.5104762234518,38.0714178908519,7.42051233298242e-10,2.01120619264933e-06
"Cd24a",-0.67513896245242,12.0046328623687,37.592362921181,9.46647892261348e-10,2.19919828913629e-06
"Luzp2",0.781276271767017,11.6342162859756,65.9292821517919,2.97505753485434e-09,6.04754820397517e-06
"Neurod6",-0.74237066535763,11.7084038444461,50.7469628384434,3.73206878777601e-09,6.74343362520149e-06
"Hmgb2",-0.80378733806073,11.6513531777128,64.9448319978962,8.69331352374494e-09,1.25719239671599e-05
"Tubb2a",0.518961404867004,12.223498613743,33.2275849281388,8.74642946803957e-09,1.25719239671599e-05
"Rbm3",-0.70575677734826,11.7714449013659,37.6151928127237,9.27703158319512e-09,1.25719239671599e-05
"Tcf4",-0.76055507216806,11.8425534639697,32.0534336259867,1.59328448885838e-08,1.8747488648142e-05
"Ptgds",-0.756820814451647,11.7322226670066,44.73237307095,1.61397639327258e-08,1.8747488648142e-05
"Tfap2b",0.584165178914496,11.5682935137346,544.076881669242,2.66851481925032e-08,2.89302586604325e-05
"Apoe",0.7521124414912,11.6667901729544,47.7414584520372,3.22138250045228e-08,3.27413263889718e-05
"Hmgcs1",0.605654226610559,11.8907313818901,30.4928454394547,3.5398866775519e-08,3.38621395002053e-05
"Cadm2",0.644536070893574,11.6967146120757,35.44293899043,5.33398551669683e-08,4.81895958180688e-05
"Pcp4",0.759019532938307,11.6773354738749,47.8985649286367,6.54474173793354e-08,5.60161000748817e-05
"Car8",0.634442853395491,11.571513408666,318.88719866432,9.06678284650344e-08,7.37220113249195e-05
"H3f3b",-0.440648155840341,12.3760174526685,27.9838955525522,1.28145435423153e-07,9.92333843262534e-05
"Ssbp2",-0.700701618400923,11.6959507275415,36.5325042330673,3.30474402870556e-07,0.000244280669976408
"Tmsb4x",-0.3267401094149,12.9029031465013,25.9945463393433,3.56459990744348e-07,0.000248374415530339
"Rps11",-0.458581617273204,12.2916042486378,25.9402991258894,3.66559216131358e-07,0.000248374415530339
"Tnc",0.571044038699797,11.593442839955,91.1694259597747,4.98324055201578e-07,0.000324149831427522
"Vsnl1",0.643816895081494,11.6041841182309,80.204900494849,5.80203354409973e-07,0.000362894882669807
"Dlx6os1",-0.692937377016736,11.6544636140225,36.2887864197418,7.3232823844475e-07,0.000441078585688464
"Rpl38",-0.526801317633091,12.0817940387533,24.5239452117055,7.60837695142297e-07,0.000441883664228716
"Sox4",-0.623900565568073,11.7817909398669,28.6779414570369,8.96302946288686e-07,0.000493459918402873
"Nwd2",0.461435099047785,11.5710645356091,246.257119091895,9.10330682086224e-07,0.000493459918402873
"Rps15a",-0.414175919804999,12.3888807158762,23.9668226556644,1.01446721750863e-06,0.000532169867455654
"Cck",0.585298571266677,11.596925914266,82.4535198197375,1.19350048729169e-06,0.000599896166632318
"Tiam2",-0.54359382167386,11.595633567795,88.9580715034603,1.21735170943712e-06,0.000599896166632318
"Lrp1b",0.636466301594208,11.595022131748,76.7372331075296,1.34390569838781e-06,0.000642782190211252
"Ptn",0.532847053978222,11.9223724466566,23.2983787533999,1.43319381616502e-06,0.000665902795385014
"Rpl37",-0.438984324988433,12.2912832926725,23.0108776645655,1.66304216810662e-06,0.000751233103826383
"Sparcl1",0.632051196003802,11.6344381484598,46.8235108630448,1.79044061664871e-06,0.000786922846160575
"Prkcb",0.543116449486094,11.5891074250762,102.481111553708,1.88097209303055e-06,0.000804957057285862
"Gm42047",-0.58934710408473,11.6056224064227,58.9176513188274,1.9689407040994e-06,0.000820997787950371
"Fau",-0.413539910128738,12.3665924047148,22.4566626449689,2.21576628771717e-06,0.000900819784271418
"Ptprz1",0.588130492867134,11.8489120436528,22.3491789791323,2.34265037087281e-06,0.000929175130027648
"Reep5",0.604283896484433,11.7039407724453,31.911245220234,2.4050052237048e-06,0.000931195117806843
"Kif26b",0.406878648483935,11.5749042062374,171.394505278942,2.84846630836463e-06,0.00107725021178199
"Rasgrp2",0.522778590534416,11.582997963746,119.114566512084,3.26987942073941e-06,0.0011865899695915
"Grid2",0.439620988684428,11.5735151883558,186.960759898814,3.31604301698142e-06,0.0011865899695915
"Rab6b",0.604298950049241,11.7032204720277,30.6676605264024,3.36516300981082e-06,0.0011865899695915
"Neurod2",-0.541732735455999,11.6488472191062,43.3570221720225,3.42945077916618e-06,0.0011865899695915
"Nthl1",-0.19978470569355,11.5651657198899,362.911621476507,3.64021381932584e-06,0.00123327410687243
"Bcl11a",-0.619777672079078,11.6871004458302,30.1885907608711,4.52953290492127e-06,0.00150325028775163
"Nfix",-0.618309943214297,11.6682451324935,35.5424381829012,5.08549738337871e-06,0.00165400716897009
"Aldoa",0.576185064541429,11.7198821569053,27.9364201511367,5.49985107875672e-06,0.00175369761260278
"Meis2",-0.613733426953093,11.8322595675746,19.9910856301761,7.97217299185766e-06,0.00247848130641548
"Rps26",-0.331536137308092,12.6205209397417,19.9647146622887,8.08238944758701e-06,0.00247848130641548
"Meg3",0.715822313333929,12.2627805263066,19.9299319796525,8.23010641658073e-06,0.00247848130641548
"Nrxn1",0.521779591003975,11.7290168799268,20.3574700756381,8.99527495759811e-06,0.0026596574792811
"Ndrg4",0.597381526707299,11.6235172864575,48.1707139545214,9.82620925255711e-06,0.00285346097973364
"Rplp0",-0.333537777773991,12.5567369947138,19.3981393505218,1.0857810306475e-05,0.00309771423164732
"Tmx4",0.569182884415518,11.6784920536638,29.5130086388909,1.2209122651726e-05,0.00342318538900635
"Rps8",-0.325368008255159,12.60799033403,19.0747678392168,1.28525788333694e-05,0.00354251927098734
"Dynll2",0.540872043684743,11.7472115790978,23.4787051216392,1.3529070171604e-05,0.0036668289855104
"Sec24b",0.438395926140728,11.5818492635256,105.810831240057,1.38635903771418e-05,0.00369589683136196
"Serpine2",0.620757953399282,11.6175113444827,48.6856549691257,1.54176194812113e-05,0.00402377944114116
"Sybu",0.573943708570678,11.6355517889275,38.7102818914674,1.55883719586701e-05,0.00402377944114116
"Camk2n1",0.579534093075938,11.6471911271092,36.3774336930595,1.83652155804829e-05,0.00466344485887147
"Pfkp",0.50736468694786,11.5923476505671,67.6236988569921,1.86400145017e-05,0.00466344485887147
"Pde1a",-0.234904912702023,11.5672251622787,306.814409132208,1.92749932114003e-05,0.00474924150914836
"Dtnb",0.36025794832058,11.5761379669442,131.658146167157,2.34714026952599e-05,0.0056968947855271
"Satb2",-0.449080169122812,11.6483346912259,31.4891240918137,2.52325607133327e-05,0.00603429268117964
"Fbxo3",0.525113974341284,11.5947666176272,68.8853809184803,2.72915701238954e-05,0.0063445757068491
"Vim",-0.525938522537165,11.7441064270269,21.8035725174099,2.73103123526895e-05,0.0063445757068491
"Bhlhe22",-0.462401882012355,11.6260414293763,45.1194296898306,2.80801220535629e-05,0.0064292711849924
"Gm33533",0.173316963844959,11.5628539449486,493.560338173496,2.84805284893471e-05,0.0064292711849924
"Stmn3",0.389230143354848,12.146832882411,17.5274459556185,2.88609516974816e-05,0.0064292711849924
"Rps7",-0.327008695502864,12.4939759852605,17.4956620094693,2.93455663676823e-05,0.00644888649015203
"Gnao1",0.512827137683761,11.7435256840096,21.1019271890641,3.41709776521177e-05,0.00732488780950899
"Ncam1",0.480662884235995,11.8592551938424,17.2017809540639,3.42326573313666e-05,0.00732488780950899
"Rpl36",-0.435376825182993,12.0855823656667,17.088191108539,3.63339830014175e-05,0.00767354846193573
"Calb1",0.593345891581215,11.6487361933042,33.9871036067625,3.70041405729347e-05,0.00771488889739825
"Ckb",0.441161961762792,11.906008667357,16.8723990601646,4.06900131362044e-05,0.00837596194456906
"Epha5",-0.61759280317413,11.9005276458341,16.8426912984367,4.13294974172842e-05,0.00840125358749844
"Mtmr9",0.391166972063444,11.5793043177901,104.113107487189,4.42089850113081e-05,0.00887563597844311
"Plppr1",0.513705162468967,11.628900880671,36.7279462455988,5.10576680798269e-05,0.010125607296514
"Csrp2",-0.542017923695345,11.6640191733864,28.2547436205772,5.53818274152749e-05,0.0108508346677976
"Gpatch4",-0.392952001645344,11.5798024342811,100.590721740876,5.7283477601478e-05,0.0110898084851814
"Gm16083",0.211001349153554,11.564448333137,500.09803236789,5.92483532353633e-05,0.0113352555330998
"Rps27",-0.428066066047322,12.0170634904791,16.0360964130141,6.31497462978169e-05,0.0119411764452919
"C130073E24Rik",0.49018145183429,11.6176971131195,32.0620581542305,6.71587737441807e-05,0.0125532871106651
"Rpl22",-0.472993670243105,11.8359835546225,16.5949010933781,6.83099166608138e-05,0.0126233620992972
"Hspa5",0.481432216644787,11.7295169398932,19.3616902175978,7.24126322836346e-05,0.0132311710808592
"Ndfip1",0.431908642925401,11.8758732490259,15.740609067375,7.37798837164429e-05,0.0133236334076051
"Cntn4",0.412632939179992,11.5737697468338,129.43171775349,7.45572893919606e-05,0.0133236334076051
"Pgm2l1",0.540363743376154,11.6270405570339,36.3377964884587,7.69598968523674e-05,0.0136034982892739
