"","logFC","logCPM","F","PValue","FDR"
"Oaz1",-3.02724473981886,10.540451446551,80.6925694373258,1.7246356711351e-15,2.62627520000453e-11
"Cartpt",-3.11090797415513,10.3923564023603,77.2633274485561,1.5853076799258e-14,1.20705326749551e-10
"Hnrnpa2b1",-2.45480082413041,10.7648145091215,55.7527430757121,3.75770303364067e-13,1.907410059876e-09
"Cst3",-3.05631364068936,10.5947216406505,52.2184551076169,2.53265359703109e-12,9.64181224389737e-09
"Rpl8",-2.50925907541355,10.5500046929808,59.1381885070649,7.50612566103723e-12,2.2860656313255e-08
"Atp5g3",-2.78560963297771,10.4805399372112,64.9971808882674,1.99423758098791e-10,5.06137498054732e-07
"Ddx50",-2.40642798942068,10.5472904689277,48.3887156803726,4.5324897652818e-10,9.86010773510161e-07
"AC149090.1",-2.07037128236338,11.2040083672388,37.9866838435057,1.48251595196864e-09,2.58810766128617e-06
"Calm1",-2.23175918302762,10.8762153150742,37.9209619194383,1.52961445702493e-09,2.58810766128617e-06
"Hap1",-2.10289640665872,10.6069876796133,37.1851579613818,2.17171025718595e-09,3.30708037964277e-06
"Pgrmc1",-2.28268505218251,10.4984845267758,50.1628978281229,2.79288115819905e-09,3.86636311609592e-06
"Tmem59",-2.36602809251656,10.4250667162566,66.2960293239858,4.2033010083921e-09,5.33398897964958e-06
"Dgkg",-2.11491442178675,10.4594242485115,56.9668694432624,4.57846125565483e-09,5.36313907700859e-06
"G3bp2",-2.02884785179133,10.5683488688314,36.1356345003336,5.93484189449025e-09,6.21761941290401e-06
"Atp6v0c",-2.0770228041134,11.0147313524897,35.0166578385419,6.12452660845549e-09,6.21761941290401e-06
"Grcc10",-2.29850954618198,10.4307078871069,59.6828841385894,6.77249667976136e-09,6.44572371496288e-06
"mt-Co1",-2.22055805506731,10.4483060439077,50.9475637109807,1.14997217784232e-08,1.03010448965781e-05
"Ntng1",-2.10550141360627,10.5159531440072,33.0859123574255,1.54926013714336e-08,1.31067407602328e-05
"Camk2d",-2.03352650719441,10.6199879445378,32.9014143543128,1.69335511728763e-08,1.35717956452927e-05
"Atxn10",-2.2570886818517,10.4593232697499,49.8862488397024,2.24105622231027e-08,1.70634020766704e-05
"Tmem59l",-2.06469324621394,10.574157230996,35.0351438772765,3.61768344869396e-08,2.56657029239457e-05
"C130073E24Rik",-2.06859017447946,10.4542503774769,39.6977298076057,3.85178300014339e-08,2.56657029239457e-05
"Sf3b5",-2.0378378898594,10.3631518376274,75.9498251753454,4.01424014416083e-08,2.56657029239457e-05
"Usp11",-1.97924286008109,10.5313368084295,35.8369666640066,4.05388248376857e-08,2.56657029239457e-05
"Arnt",-2.07419868566029,10.4902523188767,43.470266766582,4.21357087666564e-08,2.56657029239457e-05
"Pea15a",-2.25122186820344,10.5167631582364,41.3938265230297,4.48907975242018e-08,2.62921947960979e-05
"Gprasp2",-1.8105981470328,10.7356527647533,30.149429183604,6.41499331312272e-08,3.61805622860121e-05
"Mid1",-2.05939338419975,10.3721609857822,76.9114168498063,8.57963979713023e-08,4.66609838681069e-05
"Ptma",-2.1028241455343,10.3844023970042,66.7222193288234,1.23023748306413e-07,6.4600194455519e-05
"Grm7",-1.79212477436679,10.6268476733867,27.600793992016,2.22319527569145e-07,0.000112849392194098
"Rpl27a",-2.05469221059137,10.4269027579963,46.8586179945713,3.02582046500351e-07,0.000148636109809914
"Actb",-1.74059523096383,10.8614085845122,26.4936649719725,3.82604763591718e-07,0.000182072041874209
"Gnas",-1.70352573737845,10.7290133753607,26.2253813686786,4.36521844248842e-07,0.000201434989218829
"Plk2",-1.83569840607815,10.555806074487,26.6459908568644,4.99893377041031e-07,0.000223893421928848
"Mgp",-1.76212677911446,10.3500818700145,62.6988215814824,6.9214802450143e-07,0.000301143717631651
"Spcs2",-1.96898622769722,10.3817842675602,61.2140943398016,7.49004405228697e-07,0.000316828863411739
"Map1b",-1.65321153340472,11.2061084026931,24.8903784807923,8.42645559690293e-07,0.000346805583323345
"Uchl1",-1.64420472051405,10.7054658611398,24.7939777306145,8.8372863541308e-07,0.000354142622633431
"Resp18",-1.75461032516737,10.5690614696003,24.7008678613394,9.25323094080683e-07,0.000354420434076141
"Mblac2",-1.95634575347506,10.4742866795712,34.8064930033488,9.49077251033666e-07,0.000354420434076141
"AC124490.1",-1.91528340380935,10.4359697713829,38.6009380872659,9.54244667528355e-07,0.000354420434076141
"Ndn",-1.89419717093413,10.4616351128578,32.5257437707796,1.02913826696217e-06,0.000367661893377198
"Ly6h",-1.93493170698712,10.5044725864651,31.4909890295655,1.0381837020764e-06,0.000367661893377198
"Terf1",-1.83598138601534,10.4266824759393,42.604496855175,1.32701986087873e-06,0.00045926951003321
"D430042O09Rik",-1.87163183849052,10.4438074218031,37.2174643540288,1.37417692100562e-06,0.000462836385908304
"0610009O20Rik",-1.81357269907995,10.3599479208755,70.7948511925306,1.39811359021421e-06,0.000462836385908304
"Zbtb7a",-1.90535913065346,10.3818815547694,56.7518165658839,1.48654224255243e-06,0.000481639686586986
"Sumo2",-1.89505807202583,10.4161314899397,40.9847702708263,1.79431228713369e-06,0.000569245573093162
"Chchd2",-1.85441411338101,10.3707453002166,61.671007244891,1.96059836476628e-06,0.000609305957115529
"Actg1",-1.63104594428184,10.7844128962549,22.978987921903,2.17176460865771e-06,0.000661034309628581
"Slc25a4",-1.75377074842386,10.5357255630721,26.0848323923459,2.22405665559239e-06,0.000661034309628581
"Nkain3",-1.73105331872267,10.4338135585477,36.0904658930838,2.25727502631246e-06,0.000661034309628581
"Bex1",-1.82133349049566,10.3629288899347,65.2901682518346,2.4553629527994e-06,0.00070547673670244
"Pdlim7",-1.65587335558072,10.6711181565559,22.4985773462562,2.75793134865405e-06,0.000777736640320441
"Tial1",-1.66761040605965,10.5793180034996,24.7765456738487,3.1327125422823e-06,0.00086736266534318
"Ttc3",-1.47306695612457,11.3476037785478,21.9950128836222,3.54443540667541e-06,0.000950651585077505
"Ccl25",-1.72475784223962,10.4959034312228,28.1350925221068,3.5583885178236e-06,0.000950651585077505
"Ndufb9",-2.02263886875862,10.4273104300996,41.65267389286,3.62202750652075e-06,0.000950969566712034
"Dusp11",-1.67617619908594,10.5372487642334,25.1884329364182,3.93489509111106e-06,0.00101560309232948
"5330434G04Rik",-1.58545527308035,10.9464522746451,21.489469183736,4.56184424117598e-06,0.00115779606841046
"Cck",-2.04254731924456,10.4519270596868,32.4926508744939,5.04875819415836e-06,0.00126036868492858
"Psmd7",-1.88095708942394,10.3858036937332,49.2453002102205,5.29636334440876e-06,0.00130085517755898
"Mecr",-1.92058889028419,10.3936694693003,47.1829119016471,5.49703924168833e-06,0.00132871291384809
"Tm2d2",-1.73562648888545,10.3641493487594,58.241245758487,5.5901322006239e-06,0.00133010208048595
"Cbarp",-1.63608001586102,10.5293334652918,23.696766823582,5.81228228383833e-06,0.00136168360951215
"1700020I14Rik",-1.61811664460988,10.5617201732365,22.0774814171709,7.86671068123069e-06,0.00181506470081486
"Pdhb",-1.75440195006079,10.4343845382251,32.6773880498715,8.60834730243895e-06,0.00195653601076926
"Slc17a7",-1.57988907471938,10.8526261990332,20.0088561434591,9.57897364813604e-06,0.00214512662814435
"Ccdc30",-1.9070216689107,10.4254401630755,36.0484637895448,1.05223958483531e-05,0.00232224701418436
"Cldn11",-1.92077354230206,10.391518421379,37.1662489490811,1.0754515952368e-05,0.00233956812746656
"Vps13a",-1.48832328704167,10.572073818077,20.4318544392079,1.30657949067737e-05,0.00276420561022412
"Ube3a",-1.46828196128304,10.6101342319737,19.381861761307,1.31315910438805e-05,0.00276420561022412
"Selenos",-1.62750220786289,10.3692897221237,51.007130486469,1.32510513229814e-05,0.00276420561022412
"Rab3c",-1.50190642086002,10.7503528020756,19.1665970682949,1.46363728659535e-05,0.00301192818922622
"Cd81",-1.57181485691872,10.5703321787695,19.5245592545017,1.52982185296482e-05,0.00308135132559546
"Gadd45b",1.18451354137927,10.3287099192374,65.2958907257183,1.54243588664708e-05,0.00308135132559546
"Rerg",-1.18079011715469,10.3281158206112,63.0642563485682,1.55807756810383e-05,0.00308135132559546
"Ppp2r5a",-1.59619222196816,10.3622873999252,53.80576838635,1.61436050379071e-05,0.00315172842970832
"Zfp507",-1.3654653344676,10.3415517383654,59.631492695822,1.67862851431715e-05,0.00322100202917927
"Atp6v1h",-1.63107189391847,10.471257800935,26.0687119557336,1.69214711278133e-05,0.00322100202917927
"Rps16",-1.44134134701142,10.6184480547848,18.3080936426971,2.25819906143625e-05,0.00424541423550015
"Thra",-1.54803678062449,10.547089332066,20.6978418304276,2.32975213074006e-05,0.00432652017645239
"Hspa4l",-1.62049619519939,10.4546152122782,26.9649824762987,2.48582910031108e-05,0.00456074765536591
"Nnat",-1.64052532700511,10.7856891085297,18.0215011729211,2.61087708865952e-05,0.00473314717929847
"Fign",-1.55382569559583,10.3519190026723,55.2090903536053,2.74690026532609e-05,0.00490059239682655
"Srsf3",-1.53447419455589,10.5099185183774,22.488584373627,2.76760537251828e-05,0.00490059239682655
"Gpc6",-1.61237792203358,10.4138162888617,29.6211273374535,3.02725690186796e-05,0.00529784643092916
"Wdr6",-1.54673540132496,10.4695712951724,24.9754259627169,3.06153458052119e-05,0.00529784643092916
"Top1",-1.63072504233695,10.4351096375771,29.1027891463541,3.26264693913722e-05,0.00558242557181816
"Syngr3",-1.66691401020236,10.4310058012339,30.0423816670879,3.30167883682868e-05,0.00558644059191413
"Rlim",-1.58479117706728,10.3958587698383,34.5231062154528,3.36742548479846e-05,0.00563487098661752
"Timp2",-1.5958027756189,10.4760612359549,23.085773616986,3.48017731695628e-05,0.00563487098661752
"Syt1",-1.39384842277549,11.9926978006,17.4308142384573,3.52319557330649e-05,0.00563487098661752
"Gda",-1.49686779998335,10.5159793029774,19.7689792216622,3.54205178455913e-05,0.00563487098661752
"Nr2f2",-1.50895941603967,10.4542681000134,24.5682451652255,3.55232328748688e-05,0.00563487098661752
"Atp6v0b",-1.45728400307992,10.6655006479963,17.4131736550501,3.55491293266629e-05,0.00563487098661752
"Dync1i1",-1.60079636428819,10.4909075706977,21.7395076973094,3.60685008658238e-05,0.00563487098661752
"Tmeff2",-1.84734153898017,10.5234121922217,23.3195181134261,3.62632884612896e-05,0.00563487098661752
"Qtrt1",-1.61275674725137,10.3905520333377,38.3156103062461,3.83507142919556e-05,0.00589903714381717
"Nap1l5",-1.54919592549157,10.5217512947499,20.7559390765175,3.91003215497629e-05,0.00595419696559789
"2310035C23Rik",-1.5982816283427,10.4662284619366,24.0155689134085,3.95425107316011e-05,0.00596191439030516
"Pfdn2",-1.62700835502927,10.3755285371917,40.7197983073573,4.00557634586955e-05,0.00598008986224524
"Zdbf2",-1.48902589761673,10.3855438106014,37.3892002142532,4.13808914195619e-05,0.00611794383045718
"Nebl",-1.57438387685017,10.4505722098979,24.549742260212,4.55235633780484e-05,0.00660417909760604
"Ildr2",-1.58024212657941,10.4995490246567,20.6463215988296,4.58084366615605e-05,0.00660417909760604
"Ywhae",-1.50994568416447,10.5213747787733,20.2486645383428,4.59707764871447e-05,0.00660417909760604
"Negr1",-1.37055046972267,10.6833853876515,16.8353993039924,4.76962963066879e-05,0.00678802990802096
"4732440D04Rik",-1.61478529353422,10.3854522458297,37.6300417227916,4.93962337237986e-05,0.00694982478417583
"Rapgef4",-1.41781553182272,10.5494739708395,18.013965538279,5.01621149889377e-05,0.00694982478417583
"Sncb",-1.51089282441426,10.5325400973761,19.2485689975754,5.02023066889507e-05,0.00694982478417583
"Cpne7",-1.52090227579724,10.5787898620191,16.6865163086805,5.14559483387029e-05,0.00705919983154745
"Unc5c",-1.4490374838879,10.5349434388655,17.9547991152628,5.40540215047574e-05,0.00734941642387897
"Erp29",-1.83694404043416,10.4067215131482,34.8944426412151,5.89449109705901e-05,0.00787712041136783
"Rbm25",-1.31953057835698,10.844682284854,16.4193258002196,5.89697745531871e-05,0.00787712041136783
"Dpyd",-1.34416826139949,10.4167127985539,29.8320573339365,6.292209303174e-05,0.0083319794146725
"Xpo1",-1.56439083940331,10.3962230144199,31.8055320425029,6.49284431070561e-05,0.00847376811369
"Anapc11",-1.62138228380448,10.3712167812536,42.434575392055,6.51561330130586e-05,0.00847376811369
"Lmo3",-1.51716831179126,10.4404459284816,23.6478331781094,6.56622430664184e-05,0.00847376811369
"Lrp1b",-1.46386270717635,11.1230363535315,16.1585712639989,6.73708090376589e-05,0.00862119899181067
"Adgra1",-1.37378612345492,10.602136697601,16.1377705899237,6.80909049587972e-05,0.00864073583927136
"Mark2",-1.54446984299882,10.4440192218072,25.2024709166405,6.87412678775822e-05,0.0086511737788415
"Bex2",-1.64359245760096,10.418741998642,29.2330805405828,7.2658486133212e-05,0.00906920841669305
"Cltc",-1.28781728403555,10.653342220882,15.9669703196419,7.43055942938818e-05,0.00919939503989619
"Npsr1",-1.19690045982117,10.3393885498401,42.5033542354899,8.19084506363255e-05,0.0100588861797578
"Mif",-1.5495631680879,10.4645912570751,22.1014495100538,8.6356419823342e-05,0.0105202844885588
"Pde4a",-1.37701188165229,10.5449433955037,16.7485439408082,8.70714690564582e-05,0.0105232089745377
"Usp34",-1.29905322658675,10.6061051596465,15.6412557945825,8.77907506340208e-05,0.0105265948870462
"Ywhaq",-1.70175550625912,10.430521032037,28.1407668239714,8.98680498939183e-05,0.0106655118891273
"Ttc7b",-1.54783470830855,10.4320009462035,26.8280289560693,9.03500810150656e-05,0.0106655118891273
"Hspa5",-1.38686386409779,10.6806131949082,15.5203373065197,9.34044143979615e-05,0.0109412494034781
"Ap1m1",-1.49852751969468,10.4139264602702,28.4262687302761,9.53661406543159e-05,0.0110857678617093
"Alcam",-1.39197666732571,10.5247426775273,15.9487405764448,9.69500920240738e-05,0.0111845151616863
"Mrps12",-1.48603957276203,10.4278949219932,25.4604272734114,0.000103136820951641,0.0118087782665533
"Tpr",-1.50417901969991,10.450412770892,22.4543520284917,0.000105601127912255,0.0120007013122971
"Matk",-1.35804166124284,10.7935994600688,15.2469120932595,0.000107472963172091,0.0120440105808224
"Ccnd1",-1.17381796415937,10.3399933506619,47.903350641642,0.000107959629137282,0.0120440105808224
"6230400D17Rik",-1.15916008985844,10.3350208593841,53.2746540959882,0.000108871781257347,0.0120440105808224
"Arf4",-1.47463021804726,10.3770498122046,36.8578716877345,0.00010936070722408,0.0120440105808224
"Xiap",-1.46430704536802,10.3709586044295,38.2432449794637,0.00011042308612495,0.0120440105808224
"BC031181",-1.52800760983309,10.4251901160025,25.9506147796428,0.00011151536625203,0.0120440105808224
"Reep5",-1.4438609634531,10.4997366029734,18.2478431121872,0.000111518616489096,0.0120440105808224
"Prr3",-1.50885147453387,10.4136708873085,28.0175656083877,0.000113784473481581,0.0122021828322361
"Igsf8",-1.39771803109261,10.5298813038623,17.5637737431433,0.000119070156419085,0.0126797226709778
"Shc1",1.20328119215834,10.3332833140475,63.1104186568687,0.0001209358621834,0.0127889674258946
"Rnf14",-1.60009900786491,10.4460624106603,23.9927167873075,0.000123333034995012,0.0129525203924417
"Tmem130",-1.31090262706047,10.5826284214821,14.7498520469254,0.000138769592945156,0.0144738586395125
"Stmn3",-1.29180096436375,10.8258860270807,14.7354996984018,0.000139798877564868,0.0144820225003932
"Eif3h",-1.50716546951967,10.4133258859819,26.1696646124971,0.000142423756955724,0.0146542498035255
"Ndfip1",-1.41320410842771,10.4177139705949,26.1657915553099,0.00014515016961477,0.014749151455872
"Mettl2",-1.3609261334129,10.352144823937,45.9068824119606,0.000146226649552333,0.014749151455872
"Paxx",-1.54179166820343,10.4166565233209,27.0890317720011,0.000146251764502014,0.014749151455872
"Ets2",-1.37775522541407,10.3556923882313,43.742580997384,0.000151321156822019,0.0151599906321428
"Prrc2c",-1.17702453934088,10.806995787878,14.5535000540039,0.000153540592465459,0.0152818048500915
"Nktr",-1.21235138471333,10.8506582506371,14.4513360185716,0.000161844842926148,0.016003722519996
"Arl4a",-1.42350594266375,10.3611783517134,39.3992760625915,0.000166455493400616,0.0163534467968037
"Pam16",-1.45105516571081,10.3803048236229,34.0949962749196,0.000170753141336589,0.0165991459785685
"Rogdi",-1.29936653393567,10.5391829646515,16.2749150716837,0.000171136453811088,0.0165991459785685
"Elac2",-1.10284046925894,10.3306288346041,61.6994067822477,0.000175441536746057,0.0169090108960061
"Zfp451",-1.42955604555954,10.4616667700529,20.0893497467002,0.000177244494379096,0.0169753406314772
"Egfem1",-1.00514151043365,10.3607899689153,30.4218800170923,0.000182384999358021,0.0173375368482845
"Lypd1",-1.36109242047062,10.4476667193697,20.045631942655,0.000183303351232848,0.0173375368482845
"Mtif2",-1.65406936944757,10.4150283496373,27.4548471879555,0.000186228818348274,0.0175055089247377
"Dpp10",-1.44263546238947,10.4498778146192,19.0414124000809,0.000188105758816901,0.0175734631611274
"Styx",-1.38440428132417,10.3536183513594,42.2922927387631,0.000192861306737158,0.0178508357740445
"Sox11",-1.25107684843015,10.3692153108934,36.4345849621551,0.000193508175284814,0.0178508357740445
"Pde1a",-1.37993634941769,10.6092216986579,14.0944041239014,0.000194591459055121,0.0178508357740445
"Ctxn1",-1.54612244289703,10.4580332220673,20.5701876087514,0.00019579584130629,0.0178537668946837
"Exosc10",-1.45976361743202,10.3846554299898,30.6926795478579,0.000197295752153439,0.0178834506773367
"Ppp2r3a",-1.42667894015274,10.3654729475227,37.542520272208,0.000200879002297858,0.0181005056035016
"Anxa2",-0.908799185449619,10.3219356101215,56.4536163110594,0.000206512620438051,0.0184986716707685
"Slc25a3",-1.24880760240574,10.598776223851,14.0210392926703,0.000212563243127713,0.0189293161774784
"Mcfd2",-1.45611966013721,10.3696407674152,35.6986479796356,0.000217710186644014,0.0192030178436619
"Pcdh15",-1.40030596963568,10.4724631772242,17.4307009923416,0.000218158792156127,0.0192030178436619
"Tfg",-1.32868737701581,10.3520981530989,42.4592317519681,0.000226594585245652,0.0198309330121885
"Snrnp70",-1.18434657590308,10.994426826336,13.7381252017084,0.000233973880761504,0.0203597386070639
"Auts2",-1.28433269152498,10.614726386784,13.6734954633441,0.000241938814992027,0.020933206106242
"Ndufaf5",-1.41050171636248,10.3995415111732,26.2690476384413,0.000248754744049577,0.0212886386616237
"Lmo4",-1.37560367062145,10.5839992872483,13.6092154236167,0.00025013280396628,0.0212886386616237
"Gabrg1",-1.10364231280881,10.337835235785,43.0761988248763,0.000250240761782942,0.0212886386616237
"Srek1",-1.17203242380017,10.7482502559984,13.5527249612219,0.000257565374412353,0.0217900306752851
"Phc2",-1.48615066325075,10.3956654887408,27.7731620967169,0.000266822508842565,0.0224484705229535
"Hdac7",-1.41911179338732,10.409278146804,24.8199284891062,0.000270473573619768,0.0225665471183899
"Hbs1l",-1.46529636299065,10.4254481193514,22.791207401342,0.000271189790035812,0.0225665471183899
"St6galnac5",-1.3259875707986,10.5296013620856,14.3952178402892,0.000277707053782971,0.0229832772554732
"Atxn2",-1.30936474221788,10.5395026483132,15.4178375509588,0.000290588192162836,0.0239193350824631
"Llgl1",-1.353189755094,10.3548500543811,40.0387419012072,0.00029907990799202,0.0243962327905815
"Actr8",-1.46013672398198,10.4154340322111,23.6772495734918,0.000299585994998603,0.0243962327905815
"Wsb1",-1.24145274623938,10.5765497065978,14.7766562165845,0.000304998197565133,0.0247048540027758
