"","logFC","logCPM","F","PValue","FDR"
"Rpl8",-4.3166714638822,10.4531851798439,80.6418830663835,7.59184170706848e-16,1.0410692532903e-11
"Oaz1",-3.46615112267633,10.5093220661828,50.8126398145115,7.34653596126589e-12,5.03715238184196e-08
"AC149090.1",-2.74955239394042,10.8413765691704,33.7602396638201,1.56397454834285e-08,7.14892766047518e-05
"Rpl27a",-2.87568701624404,10.3202808594941,38.5779180379933,6.80324517953233e-07,0.00183895171938322
"Plp1",3.2978628849566,10.468469101816,25.5924219720414,7.28498540002039e-07,0.00183895171938322
"Nnat",-3.11552141606753,10.5337108453321,25.2574139210599,8.5515523107848e-07,0.00183895171938322
"Hint1",-2.91789989323914,10.3080270768686,41.7199483702532,9.38719611732117e-07,0.00183895171938322
"Calm1",-2.36386455627791,10.7648018878973,24.120123903773,1.47618384694379e-06,0.00253036363664253
"Plk2",-2.50542067258233,10.380435149491,25.1776887112749,2.33545698428341e-06,0.00355845795838648
"Cltc",-2.25783796226197,10.583464304639,22.1871317816802,3.75762815673416e-06,0.00492201047227054
"Khdrbs2",-2.57552266836459,10.2719305197264,42.74043006684,4.01886552130115e-06,0.00492201047227054
"Snrnp70",-2.16317017051726,10.8213222697434,21.8058160421852,4.52263120854237e-06,0.00492201047227054
"Atp5g3",-2.67906408310727,10.407612257487,26.9760440100006,4.66609320641122e-06,0.00492201047227054
"Slc25a4",-2.21677578295422,10.5233566819135,21.5161069386014,5.20754287692431e-06,0.00510078824794736
"Hnrnpm",-2.53310782637859,10.3123600259357,34.0239582038205,5.95673895628865e-06,0.00544565075383908
"AC129186.1",-2.38834694912271,10.3491515958838,21.308852499008,6.3943917315031e-06,0.00548039336338138
"Sncb",-2.08504488443299,10.4806295764126,19.9219329752418,1.13549562372016e-05,0.00915944205180859
"Lrp8",-2.19679493512594,10.3926483695568,22.077215197202,1.24573756028349e-05,0.00949044398009302
"Chd3os",-2.57575816520261,10.3379101794919,31.597980409553,1.53450627501654e-05,0.0110750971312115
"Pam16",-2.37921325618306,10.2364894684328,37.2844991066072,1.72459490715568e-05,0.01145475859179
"Actg1",-2.16577947158702,10.7413630650408,19.038066891765,1.7541743632144e-05,0.01145475859179
"Pdlim7",-2.18996650328876,10.4171610364769,19.8445727668786,1.92466817687113e-05,0.0119968066861063
"Usp11",-2.23405058602551,10.4339340091003,21.658404273588,2.11693721993242e-05,0.0126215478682319
"Nap1l5",-2.07583879729208,10.5734972575602,18.475540804609,2.31604497759981e-05,0.0132333019907609
"Tm2d2",-2.47947467962119,10.2592179980696,37.5292564796168,2.50318905211303e-05,0.0137127858965492
"Sh3gl2",-2.38533857596047,10.2852495462512,28.6279320053219,2.72837041879905e-05,0.0137127858965492
"Ddx50",-2.2957896338938,10.3978160972441,23.4690212112293,2.76519449987069e-05,0.0137127858965492
"Usp33",-2.38679369663261,10.27015932205,35.5669557174985,2.79995628311367e-05,0.0137127858965492
