"","logFC","logCPM","F","PValue","FDR"
"Rpl8",-3.40996911998198,10.6541610457668,249.092052491193,1.04789667229836e-47,1.69549681577875e-43
"Calm1",-2.84245936641954,10.9284062814368,173.722444464728,3.51922429805723e-37,2.8470524571283e-33
"Oaz1",-3.00179531994526,10.6311177203743,179.003404685813,1.62001764627776e-35,8.73729517225803e-32
"Hnrnpa2b1",-2.30422367801126,10.8691738094554,138.671917700719,2.16172230916297e-30,8.74416674056419e-27
"Actg1",-2.3995163764854,10.868626394183,130.471450213855,8.91060547770192e-29,2.88347193258434e-25
"Plk2",-2.47223044165057,10.6337069826053,113.963414469093,1.71258454574e-25,4.61826965834554e-22
"Actb",-2.21411979086792,10.9600085195781,105.668697516262,7.95225085648466e-24,1.8381059836846e-20
"AC149090.1",-1.96173242948133,11.091550467538,102.81600598664,2.99520196749843e-23,6.05779597926558e-20
"Ly6h",-2.38029024579795,10.591875122697,119.221241826817,8.51090214143546e-23,1.5300710738714e-19
"Slc25a4",-2.17530494042393,10.6209192595865,106.704684531726,7.36319585231189e-22,1.19136508890406e-18
"Atp5g3",-2.5918088639231,10.5517134803436,138.920409003402,1.63947419646556e-21,2.41151749989206e-18
"Syt1",-1.72598539668511,12.092742480325,93.3325399411418,2.51868049974239e-21,3.39602087381932e-18
"Rpl27a",-2.45723418831682,10.5052773429281,153.732753722327,4.95509670577026e-21,6.16718959225868e-18
"Uchl1",-2.02198198732281,10.8139818850205,91.0665209922253,7.30170225588507e-21,8.4386816071586e-18
"Pdlim7",-2.10716792471534,10.6684721684072,89.7694603570254,1.34409204898452e-20,1.4498272901713e-17
"Pgrmc1",-2.29056582609604,10.5993982904559,103.758834581505,1.80724712427857e-20,1.82757865442671e-17
"Tmem59l",-2.05349220293451,10.629820747942,85.3433943096642,9.27555152643617e-19,8.82814257045513e-16
"Sncb",-2.03061465864633,10.6314440437163,84.3730207143583,1.12848895083104e-18,1.0143861791359e-15
"Nefl",-2.06068073491693,10.5755060846702,79.5655024055568,5.5463273812158e-18,4.7231356330564e-15
"Cst3",-2.46633595818107,10.5877174297838,102.765548097991,1.58155371160209e-17,1.27947695268609e-14
"Nap1l5",-1.88244136833456,10.6497797107818,71.3052014602617,8.60541516617448e-17,6.63026749470015e-14
"Nnat",-2.57035469077241,10.8755809385186,70.4692574171814,1.28426190758698e-16,9.44516257488972e-14
"Hint1",-2.10468067661303,10.5023948245793,107.738492968286,1.76351643636689e-16,1.24059547567027e-13
"1700020I14Rik",-1.83860251983449,10.616260562753,70.6989513828919,1.87683164199855e-16,1.26529733198069e-13
"Rbm39",-1.51473542765883,11.0267626332979,67.6974457309614,4.85531120962186e-16,3.14235741486727e-13
"Cartpt",-1.94647879638025,10.4216395419713,86.8006544622815,3.65006035662308e-15,2.2714606373139e-12
"Hap1",-1.83558042943048,10.7318865660656,63.1138615384735,4.41337567100175e-15,2.64475623543734e-12
"Dgkg",-1.87432241415401,10.5888834071676,68.4966427402809,7.35502872917066e-15,4.25015588707076e-12
"Usp11",-1.79187329440209,10.6217808504394,66.4101423122715,9.88862400170351e-15,5.51717021888148e-12
"Stmn3",-1.6443129637783,10.9432505155814,61.1477303401941,1.14104355491268e-14,6.15402823949573e-12
"Ube2b",-1.59471025667907,10.7112941760582,59.4586455608622,2.58446921764633e-14,1.34892619166186e-11
"Ckb",-1.70318409113904,11.0579282916752,59.2211491086345,2.89965605258502e-14,1.4661385915883e-11
