"","logFC","logCPM","F","PValue","FDR"
"Tshz2",-2.85867660241747,10.1269988849786,53.1665237881809,2.1385329840439e-09,2.32792354656517e-05
"Npas4",-2.87043879083755,10.1112490266028,61.4331765694799,3.18500964094291e-09,2.32792354656517e-05
"Gpr17",2.70116504472504,10.161553064211,36.031288219696,2.91585650360473e-08,0.00014207996789898
"Fyn",2.94170222151368,10.3015984712296,31.4601675965347,4.04525130501084e-08,0.000147833708941621
"Junb",-2.65003564884206,10.1716982606036,36.978538067307,5.67731682732647e-08,0.000165982034763717
"Arc",-2.47238338103964,10.1680893004844,31.1980458424575,3.54353197347397e-07,0.000863322506470708
"Htr2c",-1.92310685619644,10.0594322504732,53.2238262892656,1.48791792233587e-06,0.00310719774124368
"Cd9",2.45711394537253,10.3168554706921,23.6246116360623,1.74680291574986e-06,0.00319184562780393
"Rreb1",-2.25866531168925,10.150117668157,28.4313142519849,2.00329856492531e-06,0.00325380204689757
"Fos",-2.48055829135708,10.0884439145116,52.7119002535961,2.59685024403423e-06,0.0035813032768357
"Ier2",-2.05955607310975,10.0715151463606,55.2517890041544,2.6949196911474e-06,0.0035813032768357
"Stxbp5l",-2.03570403430802,10.1987946756335,25.5874389209137,4.95456967164778e-06,0.00603549162167893
"Myo18a",-2.05935101666421,10.2314224996634,26.5038660159087,6.57757437344414e-06,0.00739622939930818
"Cdh19",2.13105090381502,10.2108705791638,26.0031236077446,9.00679037080976e-06,0.00940437583146408
"C030018K13Rik",2.10334123213396,10.3128207408115,21.3993974925349,9.81889363707431e-06,0.00956883914578348
"9630013A20Rik",2.37457699424028,10.3007374797222,18.3057977681569,2.41040444212979e-05,0.0220220575844083
"Insig1",2.05438172116192,10.2793962902848,21.1666926269626,3.1108544644687e-05,0.0267496885656491
"Ppfia4",-1.95359599440182,10.0843590733824,45.9310620500786,4.09796361268002e-05,0.0332800178278648
"Coro6",-1.62469606578247,10.0710821506161,35.4708563640901,5.64039177511834e-05,0.0433953931414105
"Dopey1",-1.64419728369355,10.2733062010204,16.9355459132553,6.2806791136173e-05,0.0459054836414289
