"","logFC","logCPM","F","PValue","FDR"
"Mid1",-3.53406911718505,9.08095842935683,588.60426269574,3.2803221856797e-115,5.64773070708475e-111
"AC149090.1",-1.77631044246659,10.6616123253482,390.428080137612,4.99486206352794e-80,3.53209568351778e-76
"Arc",-3.21464079129527,9.37992600957972,389.93646897946,6.15454902163753e-80,3.53209568351778e-76
"Fos",-3.16934339235323,9.06881489116306,340.071343084337,1.20187439468487e-70,5.17316786332234e-67
"Btg2",-2.78274512864516,9.04355110433679,282.156571342427,1.29010366367312e-59,4.44234295549203e-56
"Gm47283",-2.42958458824223,9.0170948726824,263.587778543501,2.64627524341969e-52,7.5934868109928e-49
"Dusp1",-2.44088868409444,8.94507786106919,241.982289787189,1.72292794661013e-47,4.23766435096952e-44
"Junb",-2.28960944084059,9.51861765508541,181.921720739498,7.18571095572382e-40,1.54645481905871e-36
"Npas4",-2.31551931650423,9.19560609065201,177.421368904191,5.8042322685264e-39,1.1103496329691e-35
"Egr1",-1.6109383930637,9.67061494753485,153.416818483498,4.31577931437187e-34,7.43047724555406e-31
"Cyr61",-1.6599897923353,8.82306019900813,325.394607776473,3.83678488822407e-26,6.00526594732307e-23
"Dusp6",-1.61793964129046,9.12316480344369,107.708388024546,1.1676511932056e-24,1.67528754945174e-21
"Nr4a1",-1.56046730927712,9.16053277486351,102.484020451128,1.44317774397946e-23,1.91132240139187e-20
"Ier2",-1.78201183172154,8.90054005174218,145.600773532133,4.63379246058406e-23,5.69857177099112e-20
"Bhlhe40",-1.35642537018258,9.08372498585867,82.544483167024,2.26837271103953e-19,2.60363819773117e-16
"9630013A20Rik",1.33895854722896,8.82247485831506,172.572315079037,8.3324079962469e-17,8.96619177946143e-14
"Trib1",-1.54686239740602,8.88167224481224,123.462203620791,1.14340051543658e-16,1.15799568672186e-13
"mt-Co1",1.53510573048956,9.08092128313847,63.008004768342,1.03667560412368e-14,9.91580215344298e-12
"Fosb",-1.2866486075377,8.83240841416053,145.039684079966,7.69851071765281e-14,6.97606626451728e-11
"Egr4",-1.20829921894821,9.03247357196847,50.4729069731347,1.63300614542733e-12,1.40577334029111e-09
"Egr3",-1.07661007383949,9.09844537389606,49.6970421027811,2.40335733444745e-12,1.97040967748485e-09
"Ctxn1",0.783762876018916,9.65285305120701,47.6942899515691,6.52439050179807e-12,5.10592869406624e-09
"mt-Co3",1.46182025380223,8.91980180902772,74.4921699542143,1.09617288107796e-11,8.20556891022576e-09
"Trpc6",1.2025109371805,9.02071325538586,46.3182742599271,1.29706304042857e-11,9.30480598627448e-09
"Prkcg",0.991563493990466,9.29037846859682,45.7625196358316,1.71234303242693e-11,1.17925639957178e-08
"Gapdh",0.76597730286522,9.79968038409636,44.4867208235539,3.24142298926675e-11,2.14644536946945e-08
"Ipcef1",1.02322069313637,9.01754486120441,44.3504583261819,5.93596211832997e-11,3.78516517745508e-08
"H3f3b",0.858352141941851,9.35619920940204,42.0271935999667,1.11158059829461e-10,6.83502970029941e-08
"Fosl2",-1.12128611197283,8.86317828574545,77.2968289882372,1.48992617810968e-10,8.84553758914286e-08
"Malat1",0.311706452425787,15.9742577992086,41.094256077602,1.77533464619004e-10,1.01886455344846e-07
"Rhobtb2",-0.789997552318028,9.3817437603056,40.040378008181,3.01442226960099e-10,1.67417123276517e-07
"Acvr1c",1.03208875986522,8.96721592782783,43.6631501494285,3.67145300665117e-10,1.97535645048479e-07
"Barx2",1.0338487763836,8.84912046861064,85.1290698482575,4.84175321589111e-10,2.52607470054537e-07
"Mdh1",0.856680483359247,9.26909660354819,38.4155201413076,6.82623332053979e-10,3.4566840905804e-07
"mt-Atp8",1.48439248219617,8.83854493855101,123.713925829468,1.11234423617014e-09,5.47178020404036e-07
"Chn1",0.544907736281766,10.2567351651282,36.7421622119643,1.58632470187707e-09,7.5865978867271e-07
"Opcml",0.481724299660947,11.1481391506978,36.5131667662715,1.78057166639761e-09,8.28543307577503e-07
"mt-Nd4l",1.49946558758294,8.87286318009851,78.5676166343876,2.35287384741302e-09,1.06265270234394e-06
"Gpr22",0.832301447836353,9.21159539874485,35.9157558225421,2.40712408615983e-09,1.06265270234394e-06
"Vps50",0.837763156844561,9.12129871933441,35.2472888096976,3.46424654270038e-09,1.49109831814181e-06
"Coq10b",-0.957137631579551,8.98016006697064,41.7257647190263,3.61494921318456e-09,1.5180141610585e-06
"Kcnip2",0.919145044018252,9.01785301421154,36.2671306161403,6.17001265879809e-09,2.5292644749173e-06
"Egr2",-1.0960703850751,8.82483566801053,112.372121820739,6.54582809901154e-09,2.62091912513213e-06
