"","logFC","logCPM","F","PValue","FDR"
"Mid1",-3.07838274817956,9.49715154126182,207.857721511743,3.49881199106693e-32,5.75904453729616e-28
"AC149090.1",-1.56817528041533,10.7880606390082,78.6979289466143,3.24090482931691e-18,2.66726467452782e-14
"Gm47283",-2.0547633818555,9.45514727981869,97.1471154305302,7.29941190833149e-15,4.00494400037121e-11
"Arc",-2.10113606954351,9.48022516375632,68.063450058672,5.38196216427013e-14,2.21467743059716e-10
"Junb",-1.77153551566113,9.48964859474044,52.8812431067921,8.43133703994639e-12,2.77559615355035e-08
"Fos",-1.7561654269367,9.40347206741205,97.7427898634039,2.66143832941967e-11,7.30121248370796e-08
"Epb41",-1.43632637065827,9.61728321386215,36.4023628388935,2.25234603181067e-09,5.28411461261426e-06
"9630013A20Rik",-2.00553385992361,9.6216387373812,36.1373648429158,2.56822095388299e-09,5.28411461261426e-06
"Btg2",-1.53749138958933,9.42031776609015,63.066717641665,4.29764814191528e-09,7.85992093510283e-06
"Dusp1",-1.48574877698508,9.41508147530838,61.4872402011226,2.78872080317727e-08,4.59023444202979e-05
"Tcf7l2",-1.19676718817996,9.43085434101044,37.8092366021771,1.28089100642955e-07,0.00019166787241664
"Auts2",-1.01228086151604,10.1263460063202,27.9319855023057,1.54038738017085e-07,0.000211289802313435
"A830036E02Rik",1.4046259148461,9.53375868394397,27.7294385964066,1.70557333168221e-07,0.000215951823380686
"Rorb",1.3729988880523,9.39906590309483,56.0812055951676,2.08208477352476e-07,0.000235767494934353
"Tenm2",-1.15518620832295,9.76148459545116,27.2706641013309,2.14854946781002e-07,0.000235767494934353
"Frmd4b",-1.14080990955374,9.76384979554615,25.1885485533299,6.14449920928039e-07,0.00062687171252571
"Gpr83",-1.32765549576283,9.43946191192605,41.2850003210067,6.47437370166286e-07,0.00062687171252571
"Grid2",-1.12132267290105,9.77838817664262,23.959358055624,1.14526476113848e-06,0.00104728099824108
"mt-Co3",1.4879037156779,9.42074095661676,50.9746442724855,1.8907253447082e-06,0.00163796521967878
"Gpc5",1.04442577675002,9.36257573188192,101.863299102633,2.366131694779e-06,0.00194732638480312
"Hpse",-1.23556724521793,9.45239256665468,29.1955307605026,2.61822933688039e-06,0.00205219308976435
"Slc1a2",1.3568757842818,9.83964906335304,22.0809899106043,2.97661748393713e-06,0.00222705108116387
"Egr1",-1.13683050376612,9.61316314610403,21.3440321310829,4.33540577672341e-06,0.00310264256890727
"Msi2",-1.00718495784453,9.69128991864625,21.079705647903,4.96231287908345e-06,0.00328364023180661
"Abca1",-1.22320307104718,9.41733125276516,41.4555935742766,4.987302903716e-06,0.00328364023180661
"Camk1g",1.13084067653601,9.4156031930872,37.3994576237383,1.38836728606908e-05,0.0087744311671686
"Zbtb4",-1.01384818083171,9.57503466616847,21.3370757649511,1.4393052339827e-05,0.0087744311671686
"Tenm3",-1.07197466543537,9.50753717675415,21.989101035008,1.84649822854066e-05,0.0108547717292069
"Rmst",-1.05821083830472,9.38509165551514,46.0335773236021,1.94260327312726e-05,0.0110259482329913
"Dlk1",-0.904077228030763,9.34817819821008,97.03098206556,2.24029105048521e-05,0.0122917302303289
"Adgrl2",-0.984005007854016,9.69497838329731,18.0042454974924,2.40739700202247e-05,0.0125814847898657
