"","logFC","logCPM","F","PValue","FDR"
"Arc",2.9479070016433,9.65557128888537,229.765890444185,7.70720740431661e-40,1.25496458164487e-35
"Cck",1.68543223666436,10.2428417782671,92.719582538065,2.81184708472218e-21,2.28926530402657e-17
"Dusp6",2.07115857050091,9.57005625416793,138.303255500695,2.55912021890947e-18,1.38900515081677e-14
"Dusp1",1.93792231127897,9.52308355920843,192.518797145581,4.39764182266837e-17,1.79017004496273e-13
"AC149090.1",1.11076846993203,10.7583457132415,62.414508893476,5.68908302457945e-15,1.85270677778454e-11
"Atp6v0c",1.33891753630097,10.0915163827043,59.4190528282316,2.44111815391897e-14,6.53087836427839e-11
"Cx3cl1",1.25395643098338,10.1625247962719,59.1318362179489,2.80759986181592e-14,6.53087836427839e-11
"Fos",1.7743252675687,9.53935416850347,120.568645325637,1.83319382404114e-13,3.73123687960774e-10
"Rmst",1.43816259812063,9.60381873325902,63.916199869604,1.10672165238558e-11,2.00230540731048e-08
"Rhobtb2",1.30062177084608,9.80126023205909,45.0854316200198,2.76001122146288e-11,4.23847222585129e-08
"Syngr3",1.43780198340746,9.66410332542256,55.3359827060254,2.86330494898755e-11,4.23847222585129e-08
"Hsp90ab1",0.984855035395147,10.4851150532408,43.2231207639998,6.93625614226421e-11,9.41192156370734e-08
"Pcsk1",1.48269178731273,9.61597081014199,60.4366893228558,9.31908898995566e-11,1.16725173864191e-07
"Gm42418",1.05405371882998,12.8673749760075,42.2085950982728,1.14688799883875e-10,1.33391266322082e-07
"Rgs17",-1.33969529557667,9.77564046028535,39.5153084702631,4.37143883483964e-10,4.74534256984626e-07
"Grik1",-1.4432424647215,9.60227855277349,44.7516146304092,3.15292174477069e-09,3.03757661984046e-06
"Nptn",0.864652487606495,10.4006357010895,35.5437495765446,3.17133221994029e-09,3.03757661984046e-06
"Hspa8",0.994454541047337,10.235530257341,34.9085431829826,4.35836807544576e-09,3.94262818736019e-06
"Cnr1",1.21946278393422,9.69188295720874,36.9102257285871,5.0400872638898e-09,4.31935478515356e-06
"Rtn1",0.748889638423203,10.9126224018689,34.4737668817639,5.41887096248873e-09,4.4117737941102e-06
"Akap6",0.900251287695304,10.3338239898193,34.203086353995,6.20619053203204e-09,4.81216192538465e-06
"Stmn3",1.04520883497301,9.99916742014293,32.5966925951066,1.38982552829094e-08,1.02866041259825e-05
"Arhgap42",1.25287128899868,9.64308282268143,40.4439888062996,1.72599129947261e-08,1.22192679692663e-05
"AY036118",1.31711613983661,10.326674590979,31.5271530130669,2.37989836952362e-08,1.61466188128971e-05
"Clstn1",0.933169107075713,10.1334889414797,30.9628967885194,3.16196480605039e-08,1.98513511465824e-05
"Col25a1",1.32729271818165,9.56113031493994,57.3815094844919,3.17677321585206e-08,1.98513511465824e-05
"Ndfip2",0.967330771978763,9.95081256703528,30.8830892401273,3.2916936741247e-08,1.98513511465824e-05
"Cdk5r1",1.04893661088503,9.87709572958235,30.758909661993,3.50425075213552e-08,2.03784696417938e-05
