"","logFC","logCPM","F","PValue","FDR"
"Npy",3.02517816025537,11.1039944671914,61.3246703797404,1.57611705561017e-14,2.49924881508105e-10
"Arc",2.20278174063472,9.84904963493231,97.8694410351929,4.0148572537177e-13,3.18317957361007e-09
"Scg2",1.50783176218694,10.0769524471575,28.4599563791957,1.25372470071143e-07,0.000662677085972703
"Cx3cl1",1.27259142760725,10.2807095752616,25.7880814450753,4.76740621538741e-07,0.00188991900893495
"Rhobtb2",1.29419617818887,9.99717285570511,23.8864637284144,2.18868820898483e-06,0.00694120578597449
"Zbtb8b",1.00139612320596,9.78080270435782,127.780907255466,4.20893237600405e-06,0.00989997847536723
"Gm20754",-1.49495102664368,9.88128015451256,31.5934519558123,4.37030014047869e-06,0.00989997847536723
"Kit",1.43212407730973,10.2292381439914,20.9021817567378,5.61697300678806e-06,0.0100005399663848
"AC149090.1",1.03032371124036,10.8540857420352,20.8816087899398,5.6760332785182e-06,0.0100005399663848
"2900055J20Rik",1.13815519919493,10.8474604165687,20.4872126148884,6.93722969446695e-06,0.0110003651265162
"Akap6",1.04479876776948,10.394964282142,19.9835298032988,8.96672390689854e-06,0.0129259400901537
"Syngr3",1.23667604987909,9.95166792439355,22.754043831535,1.63553005241082e-05,0.0216121667008987
"Epha5",-1.09084129326829,10.8331067421202,18.1152076241664,2.33177883773692e-05,0.0284423207923033
"Dner",1.20315930511535,10.2114882664369,17.7831991855232,2.76524644116771e-05,0.0313203662982832
"Atp6v0c",1.03700981817067,10.385329866561,17.4357679115876,3.30612501519862e-05,0.0349501495773363
"Ddit4l",-1.20536044136618,9.81485669563236,47.3117456578508,4.33930034057992e-05,0.0430051784378599
"Gm35339",-0.896652707241333,9.78425399803636,85.7633403357991,4.66445857798989e-05,0.0435084233359916
