"","logFC","logCPM","F","PValue","FDR"
"Adarb2",-2.55340817150331,9.58717046601328,104.422881548511,6.7102097384334e-19,1.07973984901132e-14
"Chgb",1.25559556555642,10.1034226665817,36.6682905978251,1.94325618359102e-09,1.13193597253415e-05
"Gm42418",1.01918757697118,12.700355100117,36.3655170710888,2.25805602493489e-09,1.13193597253415e-05
"Hsp90ab1",1.01680771130638,10.4880825399294,35.9220336613119,2.81383623773327e-09,1.13193597253415e-05
"Atp6v0c",1.12196827790713,10.208050205579,35.0147039565198,4.4159781940751e-09,1.42115010241725e-05
"Ttr",1.3056067022939,9.50851792066187,150.688687296831,7.47892892270109e-09,2.00572408825305e-05
"AY036118",1.45466489155363,10.3592603081921,33.5534557480003,9.13816244480026e-09,2.10060245570401e-05
"Sparcl1",1.06554827353825,10.6260183160757,33.1258725285604,1.13089621031453e-08,2.2746563650214e-05
"Tac1",1.39361884973518,9.73075373358347,31.6536463462138,2.35861430544585e-08,4.21694030988102e-05
"Stmn3",1.0552533657157,10.2122290605154,30.0553089115904,5.25037308032654e-08,8.44837532355344e-05
"Rab3b",1.23939351700819,9.70244364524037,29.872387485763,1.32526492628132e-07,0.000193862162989025
"Aplp2",0.878682292787321,10.3548406467461,27.4577445854195,1.93751094308753e-07,0.000259804071543513
"H3f3b",-1.08078666977658,9.97850789401819,27.087055172411,2.33564565708395e-07,0.000289099032831829
"Hsp90b1",1.00783685531754,10.0420192826692,24.9768791904369,6.78666535016689e-07,0.000780030229639538
"Sst",1.32852340520139,9.63322525085817,24.2665674047295,9.72933337861142e-07,0.00104369802263491
"Nefh",1.16878951219065,9.68112819968375,25.4386663792981,1.06988559763272e-06,0.00107597057196925
"Zfpm2",-1.14480659322338,9.69489840646944,23.8819052687427,1.40457311015778e-06,0.00132946975973816
"Atp2a2",0.879501020901968,10.220801823708,22.8023504933333,2.04819618898242e-06,0.00182598124566232
"Pde10a",1.00868507367761,9.99070260864723,22.7015666553812,2.15608996753366e-06,0.00182598124566232
"Trim24",1.23490531235055,9.59122570844418,36.099495757321,2.44610121656501e-06,0.00196801073378738
"Cacnb2",-1.09546471924091,9.81615019242483,22.3392822894648,2.59333401966712e-06,0.00198711131954589
"Stxbp6",-1.17557336987807,9.74623824756969,21.7837473635713,3.44328144081845e-06,0.00251844734837317
"Efcab14",1.11145439059085,9.69735437685627,24.599633777468,4.2666523022196e-06,0.0029849870519572
"Gtf3c6",0.736282090873457,9.48758881441618,201.987384898439,4.69933918710244e-06,0.00315071111915273
"Atp2b4",-1.2015001232061,9.58559854179162,31.6212504000701,5.90797661009984e-06,0.00380261006532466
"Thy1",0.900393009385968,10.008511015841,20.5979878093647,6.31496298404211e-06,0.00390823343754698
"Jph1",-1.30906970456805,9.58103781649645,34.1843909332648,8.53255754310162e-06,0.00495098375514791
"Egfem1",-0.855132831464803,9.51576464549214,58.4771187456516,8.61522249357662e-06,0.00495098375514791
"Dscaml1",-1.17682029692748,9.60809217097197,29.1160865960444,1.16776833252419e-05,0.00647950353056786
"Syp",0.874543852625532,10.0484870236415,19.2676374179975,1.25012887034995e-05,0.00670527455093369
"Arc",1.14066607362113,9.52384287563328,52.1887829965589,1.48190080748081e-05,0.0076920212558625
"Atp6ap2",0.948607346695483,9.78849018513229,18.3794911996454,1.97529579598709e-05,0.00993265145413384
"Stmn2",0.909560539096358,9.9247721705051,17.805864567689,2.65619227372674e-05,0.0125901967647733
"Col12a1",1.01708080292152,9.52054915335462,46.6941327163365,2.66028643342423e-05,0.0125901967647733
"Hspb3",0.887716678628449,9.49928374777704,95.8259888294254,3.07819157861748e-05,0.0141517659118668
"Scn1a",0.719515136176647,10.5720848139232,17.4251014920709,3.23429566892512e-05,0.0142006705974071
"Hacl1",0.678721930788224,9.48782954204658,157.676373959745,3.26533349141795e-05,0.0142006705974071
"Ntng1",-1.08245724417595,9.68684858159148,17.3112647391444,3.43059895478009e-05,0.0142640136138041
"Cacna1e",-1.05780119303731,9.72063769094104,17.2963508953209,3.45719054712797e-05,0.0142640136138041
"Hsp90aa1",0.808648860408727,10.1326415438473,17.1481324802982,3.73301614582471e-05,0.0150169907006164
"Rfx3",-1.08921636817716,9.6549738857206,21.6248850649968,4.18253838055137e-05,0.0164149329466956
"Nell2",-1.00018836627918,9.88734791890291,16.816086109567,4.43411893389243e-05,0.0169879542298245
"mt-Co3",1.09694219772703,9.53450458820046,40.9719154376034,5.40801919808772e-05,0.0202373109107976
"Tmem143",1.06889187642594,9.57237303165879,29.7270775511742,6.07077433441854e-05,0.0215706436080616
"Eprs",0.838090617088826,9.88375206177235,16.2070655830802,6.0834040872366e-05,0.0215706436080616
"Epha4",-0.994481636625827,9.71097764754821,16.1809732311151,6.16648813604395e-05,0.0215706436080616
"Zbtb20",-1.29251034047012,9.87774279034261,16.010588785467,6.73787334364843e-05,0.0230678978665206
"Cycs",0.885779811261562,9.73665599941199,16.5499246076246,6.95176043729575e-05,0.0231550390511557
"Icam5",-1.06801364570314,9.59989795248788,23.198247557257,7.11013860883814e-05,0.0231550390511557
"Dgcr6",-1.10196139383197,9.55775476290417,32.537046177824,7.19502798183944e-05,0.0231550390511557
"Pcsk1n",0.667840183537113,10.5424173900218,15.6195733645796,8.25926094006639e-05,0.0255584940042587
"Syt2",0.941756746319648,9.93041531386319,15.6195098147927,8.25953444920422e-05,0.0255584940042587
"Cadm4",0.9570823779577,9.6659730620641,19.1421229757336,8.97546023286479e-05,0.0272498359635901
"Tshz2",-0.826760199641439,9.57168735831648,23.8479982186564,9.35196190140507e-05,0.027677122180955
"Hsph1",0.948229560522115,9.68160037087756,18.388026501796,9.62209357531804e-05,0.027677122180955
"Ctsb",0.812197119664287,9.90379427962218,15.3246440960416,9.63220957139692e-05,0.027677122180955
"Rasl11b",1.04071258603891,9.5572333934942,29.3436381302013,9.88206910108392e-05,0.0278969077027266
"Sv2a",0.731651285879793,10.1691260736614,15.1814121957519,0.000103798170944127,0.0287968339424472
"Fos",0.857611279759651,9.50013900657227,79.4693409161212,0.000118722904953143,0.0316896198098832
"Itpka",-1.07045929314125,9.57277801228198,24.7240344491591,0.000118727828368526,0.0316896198098832
"Arrdc2",0.81481455038928,9.49707083655384,91.6161131590442,0.000122250994961866,0.0316896198098832
"Banp",-1.01799992090395,9.53639814095233,36.6971327851645,0.000123543081986739,0.0316896198098832
"Hbb-bs",1.22144479948706,9.5414766616624,37.2412382930296,0.000124494598822321,0.0316896198098832
