"","logFC","logCPM","F","PValue","FDR"
"Kcnip4",-1.51159719272618,11.0528235198822,56.7656375610899,8.33201868248103e-10,1.23930445883223e-05
"Atp1b1",-1.3518605195935,11.3028559527051,35.0743151314549,4.2088110356438e-09,3.1300927672083e-05
"Grin2b",-1.33877961915134,11.1541661844087,34.1396735142756,7.22480438013698e-09,3.58205801167192e-05
"Gm42418",1.1773895721341,13.4979349258551,32.6642042029394,1.40106028719635e-08,5.20984267793961e-05
"Syt1",-1.22860014086725,11.4783517565334,28.2956528391252,1.25514827186847e-07,0.000373381507915433
"Atp2b2",-1.22620560391399,11.1502198913265,31.0797462727263,2.31835675251177e-07,0.000574720638947667
"Ttr",1.08112306231134,10.9977778667493,130.967553960987,3.60687351416019e-07,0.000766409094994552
"Atp2b1",-1.06098027375009,11.3404572267964,22.7518403756516,2.0846421629526e-06,0.00387587094146963
"H3f3b",-1.08700694297437,11.1927906624669,25.5103477318851,2.81179670591628e-06,0.00464696268931097
"Tshz2",-0.933111646400717,10.9987160422778,90.1843187824946,3.16920882958145e-06,0.00471388121311945
"Celf2",-1.17828125226211,11.2340468491917,21.5005138534979,3.95052065559162e-06,0.00534182220284271
"Scn2a",-1.10077214937789,11.1157447924959,27.5191463393523,5.07944282212568e-06,0.00580408072362153
"Mical2",-1.07535832505689,11.0245810650179,50.3527817026728,5.39461964676199e-06,0.00580408072362153
"Chn1",-1.05345417636603,11.1501926148984,23.1662442986301,5.46303147308737e-06,0.00580408072362153
"Camk2a",-1.05842920056483,11.1397618246607,20.1658759798893,7.83032934980703e-06,0.00776455458326866
"Khdrbs2",-1.11706695910886,11.0472678005364,40.1277014478983,9.47123482182835e-06,0.00880469667124218
"Cacnb2",-0.894827593646773,10.9968717943143,86.9584497469651,1.22859400735318e-05,0.0107494748619831
"Jund",-1.03460850483111,11.1014183617701,29.6557023716815,1.67891668700837e-05,0.0130011021136905
"Mkl2",-1.06224574032265,11.0534019372263,35.2417359180919,1.71539116351612e-05,0.0130011021136905
"Serpini1",-1.0264960698686,11.0180559577801,56.6050011452178,1.74816486670572e-05,0.0130011021136905
"Gprasp2",-1.04108681459051,11.0541867780405,34.309011327118,2.06169729320692e-05,0.0143552215150315
"Lsm11",-0.534278451567732,10.9805380266692,124.746623735328,2.29433671336061e-05,0.0143552215150315
"Slc41a2",-0.542089234400029,10.9807849129599,125.929461211331,2.2943371356753e-05,0.0143552215150315
"Dkk3",-0.988588155096582,11.0191605382309,51.5528960052416,2.31629229770577e-05,0.0143552215150315
"Slit3",-0.762466229668418,10.9963714041294,74.9028722703277,2.63642312945464e-05,0.0156856630510034
"Ankrd33b",-0.860636780256949,10.9991618288555,66.504214186022,2.99973911761244e-05,0.0171608152443721
"Grin2a",-1.01359185515172,11.0951999482059,21.1446136112327,3.30119336745409e-05,0.0181859074620415
"Limch1",-0.889014721385887,11.2332712437123,17.2604722446267,3.50513911607684e-05,0.0186197997187596
"Dynlrb1",0.97323466230205,11.0222848590682,48.7034637855143,4.24926526623804e-05,0.0216204164130939
"Stmn2",-1.03349638756974,11.0488492110209,36.38296326126,4.37135140664384e-05,0.0216204164130939
"Zbtb2",0.54849838720043,10.9789144086039,162.535066864706,4.54254741620918e-05,0.0216204164130939
"Hivep2",-0.976881905392444,11.0515132979248,32.3849371784133,4.65142749239616e-05,0.0216204164130939
"Cstb",0.828903479176497,10.9977137746901,76.4778769979235,4.88233902038396e-05,0.0220060335118761
"Clstn2",-0.81193969358115,11.0057525751194,57.759851403107,5.34560309686447e-05,0.0233854413125771
"Ap4s1",-0.652275871339451,10.9886704955634,88.9222679810546,6.16108695614224e-05,0.0261828592530456
"Fut9",-0.972059917505563,11.0887679639892,23.498407716464,6.53202028588286e-05,0.0269881304811727
"Snap25",-0.932505716641528,11.3047450697406,16.0028672534705,6.73685899081796e-05,0.0270821731430882
"Ssbp2",-1.01548300793114,11.0672400529787,29.47630665008,7.19569820334755e-05,0.0277442990583592
"Unc79",-0.95066230626487,11.0289500217756,38.6255051574055,7.27462460182876e-05,0.0277442990583592
"Map2k4",-0.982289495104082,11.0547728685715,30.7179730201975,8.05676266308159e-05,0.0290510906631553
"Exo5",-0.621885965254685,10.9890488608507,82.9520214495803,8.09947213241285e-05,0.0290510906631553
"Nbea",-0.909211218992103,11.188946847708,17.0440553367533,8.31837422323063e-05,0.0290510906631553
"March1",-0.912106398277654,11.172322207361,17.0678463262582,8.48076456751586e-05,0.0290510906631553
"Usp34",-0.963294916580146,11.1244019985523,21.1478785872707,8.61520666556641e-05,0.0290510906631553
"Prkce",-0.969696983876322,11.0315040983832,38.5974883028308,8.78915611027289e-05,0.0290510906631553
"Sdk2",-0.718197785030173,10.9910851222129,73.5311163644574,0.000102850360348276,0.033256440430875
"Csmd1",-0.965347947165641,11.2570339973169,14.8279688438137,0.000124398327424349,0.0389639375547119
"Add2",-0.941231831413713,11.0447229333208,29.8237193402681,0.000125740823089026,0.0389639375547119
"Ano3",-0.897419953295206,11.0190118412226,39.8625765295439,0.000150505705194334,0.0455314800695552
"Stxbp6",-0.952085452980518,11.1203838704766,20.68657573339,0.00015443734779703,0.0455314800695552
"Sept3",-0.93792035644819,11.0377429936971,31.8449935720584,0.000156118427023485,0.0455314800695552
"Brinp1",-0.877828413807135,11.1534902123604,15.0988301368601,0.000162955229250374,0.0460464391197962
"Ppp3r1",-0.952317723689807,11.0638600861798,26.7897139040542,0.000164075653714482,0.0460464391197962
