"","logFC","logCPM","F","PValue","FDR"
"Mid1",-3.50422618049744,9.26011754185374,223.422804889403,2.11954896761897e-36,3.47478857751454e-32
"AC149090.1",-1.45273483337704,10.5200359485709,69.9185468767185,2.32081502471987e-16,1.90237207576288e-12
"Arc",-2.04572200011609,9.19052959862271,73.2339628337715,1.12432899356331e-13,6.1440831734923e-10
"Adgrl2",-1.71716145176727,9.56021626321767,51.9716456327587,1.18879456746018e-12,4.87227453473556e-09
"Gm47283",-1.92936887383496,9.19581468377328,84.7562779428405,5.80460601175233e-12,1.90321421913335e-08
"Creb5",-1.55132124467597,9.27382022564279,35.1140753035943,1.2832363197602e-08,3.50622937102478e-05
"Auts2",-1.06218953937853,9.94540549478398,32.4243847316001,1.67509762481484e-08,3.92307863731637e-05
"Fos",-1.48961033023006,9.15778345962784,50.5588968104522,5.32678388441157e-08,0.000109159118751304
"Cacnb2",-1.27382503492579,9.41930308388849,27.6285464657249,1.83485074923001e-07,0.000334228257587519
"mt-Co1",1.63287296456832,9.29242595593363,33.126581169281,2.73502777456081e-07,0.000448380453361499
"Tshz2",-1.33491006365418,9.20504722132948,26.6250457496414,1.61732133770836e-06,0.00241039691003554
"Pls3",1.31636159449986,9.15476419840081,45.9793191178596,2.58622453569999e-06,0.00353321375318881
"Pcp4l1",1.15334565105678,9.30756920795772,22.1373759437249,2.93500731654991e-06,0.00370126999596302
"Hs6st2",-1.23771323597517,9.14447297200507,44.2815331550559,7.67722227107376e-06,0.00899002727942737
"Taf9",1.19795436158149,9.1172265749085,61.532249675439,1.23164834936258e-05,0.0126850193315784
"Ppia",0.91739609959944,9.69292021668381,19.3178197559905,1.23801579422505e-05,0.0126850193315784
"Csf1r",-0.994135685309149,9.09430383082515,97.9695375358692,1.70136431527079e-05,0.015665589060622
"Ctnna2",-0.975124487814549,9.59945755200227,18.6771495844557,1.72002319806757e-05,0.015665589060622
"Galnt14",-1.0786712042965,9.10493665620795,74.2495208945387,1.90163089736345e-05,0.0162097488038436
"Napa",1.00362441928056,9.36273236581816,18.6767571905571,2.02488030169489e-05,0.0162097488038436
"Mbnl2",-0.831437182511689,9.82095202827992,18.255977851342,2.1359122147367e-05,0.0162097488038436
"Junb",-1.12112777282619,9.26206479457912,18.3770879639615,2.17527433014858e-05,0.0162097488038436
"Tox",-1.22901458667669,9.14540155465078,35.8194595866988,2.55412934663367e-05,0.0182053897863967
"Ptma",1.01609983727231,9.34330936442516,17.8758741348647,2.83970744571416e-05,0.0193975682770992
"Vwc2l",-1.10468296356446,9.16050446732422,25.0922928662968,3.41381139662079e-05,0.0218295685775257
"Trib1",-1.09108294155348,9.11192909091233,57.6826767565923,3.46205186663211e-05,0.0218295685775257
"C1qc",-0.812783434771685,9.08696905260558,103.129966211267,4.1250463581023e-05,0.0250466703684182
"Pgp",1.13392941281301,9.22256559594745,23.6240857170088,4.74731550563477e-05,0.0277955322854916
"Mrps6",-1.12699558788025,9.17022812294366,29.0020423119323,6.0443306327966e-05,0.0335599562953189
"4930447C04Rik",-1.05641371970177,9.29364892770281,16.207405094665,6.15304691599303e-05,0.0335599562953189
"Ramp1",1.08442781463001,9.12157540172789,44.2749299489742,6.34597197239773e-05,0.0335599562953189
"mt-Co2",1.38301727570301,9.13663434210986,43.5725903983462,6.97576995025264e-05,0.0357377414263881
"Pi4k2a",-1.11141879413971,9.18903034085324,25.380088584749,7.19578645249642e-05,0.0357477948794625
"Tpt1",0.98268913595116,9.3054227042796,18.0389041900111,7.76547802395519e-05,0.0374433078602122
"Acadm",-0.852290584214247,9.15275116436016,32.500609442618,9.48045957113364e-05,0.04440647263119
"Npas4",-0.946982778096942,9.15247226818086,25.6563791797545,0.000100147331687083,0.0456059821021678
"Rps6",1.02387015329648,9.24622618579418,19.2885845046806,0.00010553068356905,0.0466223486671417
"Atp6v0c",0.851378451629695,9.83553559547956,15.1236739198716,0.000108066929934817,0.0466223486671417
"Lrrc3b",0.924265705713602,9.09773881929977,76.0084298281444,0.000113466408269446,0.0468697113802055
"Ybx1",0.923567432539875,9.35064123168071,15.7989673558404,0.000114358207588643,0.0468697113802055
