"","logFC","logCPM","F","PValue","FDR"
"Rfx3",-2.06979582092918,10.2085768813796,52.1674266080881,6.79084136386289e-10,5.57838571508969e-06
"Cdh9",-2.16110578743762,10.1961247879806,50.7195203193082,7.07333508538603e-10,5.57838571508969e-06
"Tmem108",-1.72930679746011,10.3688931745332,32.2870739681307,1.82971378528109e-08,9.62002517841289e-05
"Zfpm2",-1.68610137464795,10.2619931941812,33.121121634679,3.03682956746648e-08,0.000119749781919122
"Crh",1.71472859548654,10.3352366166389,30.2422222155417,5.05242495111647e-08,0.00015938379750792
"Cck",1.41955979388799,10.4356582586289,28.6723262199375,1.10518098425404e-07,0.000290533661077316
"Penk",1.61381384740902,10.5050991492055,28.0461097333814,1.51130666377308e-07,0.000340540571538468
"Ahcyl2",-1.57814319373611,10.3402928666782,26.2742019211922,3.67271224299593e-07,0.000680251818404204
"Fos",1.40149092856823,10.0823749851135,102.749251493765,3.881485047637e-07,0.000680251818404204
"H3f3b",-1.31565004113186,10.4801970181353,25.4347621118121,5.60069700557072e-07,0.000825026942766886
"Cxcl14",1.59690545270813,10.4623037824468,25.3812055109775,5.75369071859237e-07,0.000825026942766886
"Clstn3",1.22117945142516,10.5069068246894,23.8865480214722,1.22244265070948e-06,0.00160679899413672
"Arc",1.36181910634376,10.0930204542776,67.4525777706294,1.51546986922359e-06,0.00172798689736091
"Vip",1.70452980383383,11.4925785652906,23.3869300673579,1.57365846123713e-06,0.00172798689736091
"Tac2",1.45973217520382,10.2784324597022,23.3013283236341,1.64330206431329e-06,0.00172798689736091
"Slit3",-1.4535119119308,10.2786323640026,23.5009426924462,2.004597350966e-06,0.00197615712604917
"Cyp51",1.32709146073224,10.233357795252,27.9625451332224,2.53463436997663e-06,0.00235169340692008
"Xpr1",-1.39416822169248,10.2481503212089,26.916417042774,2.88993396817724e-06,0.00253238491555887
"Dock10",-1.40256477259214,10.3562763150963,21.4691245254072,4.16221761430034e-06,0.00345529781212417
"Zranb1",-1.40804760271329,10.1453738201011,36.4744212633419,1.033279243004e-05,0.00814895674995103
"Scg2",1.19052411195094,10.4952107693924,19.352720392163,1.2253745718787e-05,0.00904651948740136
"Phactr2",1.0227697484875,10.070239132211,110.436501548481,1.26986937128499e-05,0.00904651948740136
