"","logFC","logCPM","LR","PValue","FDR"
"Plp1",0.805881574192567,10.133030479447,219.150189559035,1.38595941344748e-49,2.72562778248582e-45
"Ahi1",-0.508726960976648,11.2745452849477,211.392937851374,6.82293005689363e-48,6.70898712494351e-44
"mt-Co1",0.72531480416811,9.88811674038226,127.508593090825,1.43777019696415e-29,9.42506289783234e-26
"Gm26917",-0.490213927113121,10.19735413622,94.8029916999631,2.10307561644274e-22,9.07350132560634e-19
"Camk2d",-0.515896916885611,10.1137927526991,94.619878205227,2.30690057093622e-22,9.07350132560634e-19
"Atp1b1",-0.337997998174125,11.0150876231241,84.5106469408574,3.82151375056815e-20,1.25256482364455e-16
"Grid2",-0.564994064840637,9.90097808018264,80.7151987156194,2.60709224574973e-19,7.32443944355916e-16
"Nebl",-0.523475071506704,9.98083952554609,80.2450565539543,3.30738887196394e-19,8.13038869450536e-16
"Homer1",0.440077980922306,10.2390554628292,79.2155990017891,5.56886419471093e-19,1.21685870281317e-15
"Penk",-0.590034973004402,9.76373752024856,76.537444949859,2.16076831038493e-18,4.24936695920301e-15
"Tox",-0.584870696701556,9.78742258046822,74.6774023604735,5.54269392691686e-18,9.60244270285687e-15
"Cntn5",-0.482577104117793,10.0417873202375,74.5677305507934,5.85931620229241e-18,9.60244270285687e-15
"AC149090.1",-0.331063451158215,10.850603360298,74.200873278618,7.05590790794565e-18,1.06739603782815e-14
"Auts2",-0.411281251152267,10.2556552810739,71.200341311911,3.22732272095617e-17,4.53346633073744e-14
"Sphkap",-0.48997452217717,9.98582280954586,70.7002467563634,4.15840454049907e-17,5.45194557956365e-14
"Malat1",-0.227017509021812,16.0095407087528,67.4502472234485,2.16071402352226e-16,2.6557876241618e-13
"Hbb-bs",-0.525915207951651,9.8660905084442,65.9042343810702,4.73373572638105e-16,5.47609687029469e-13
"Snhg11",-0.229879870033384,13.9037761286593,65.4344431034242,6.00796338936075e-16,6.56403377862047e-13
"Mbp",0.462671982580244,10.0315522289178,65.0497196211063,7.30319449951815e-16,7.55919068565916e-13
"Rasgrf1",-0.417901281648268,10.1451075583095,64.5726972304456,9.30356332742394e-16,9.14819381985596e-13
"2900055J20Rik",-0.376303326683733,10.2962904986045,62.5590258866796,2.58577530664448e-15,2.42151700859383e-12
"Rtn1",-0.26787699367665,11.3514753621041,60.8474556552792,6.16731621014313e-15,5.51302002675794e-12
"Lmo4",-0.388669295486104,10.1783522026444,58.6006910489268,1.93148616709655e-14,1.65150465052699e-11
"Nrp2",-0.485943894511518,9.88392773431528,58.342793963704,2.20201734441786e-14,1.80436971230507e-11
"Meg3",-0.214269335441639,14.3790570340917,58.0259755274328,2.58679395599046e-14,2.03487559754033e-11
"Mast4",-0.37442497677011,10.2330807961133,57.7745209715804,2.93952716021283e-14,2.22341312049021e-11
"Cpne4",-0.478434922477426,9.88849280886174,57.035949457339,4.27917729128786e-14,3.11682594853582e-11
"Lypd1",-0.507313299378189,9.80483720233499,56.7051660974821,5.06303639057012e-14,3.55605977346257e-11
"Actg1",-0.331152108041391,10.4237728816588,55.1553212465296,1.11371747579582e-13,7.55254064793125e-11
"Lrp1b",-0.279781915652724,10.9154047358627,54.7566079006456,1.36419752923729e-13,8.94276953666018e-11
"Fth1",0.282327124975836,10.8659534472421,53.7227282184167,2.3087686263225e-13,1.46465302597607e-10
"Gm27032",-0.337264184838592,10.3265582368137,51.9465536498428,5.70320672340135e-13,3.50497698195034e-10
"Vwc2l",-0.475700009999231,9.74736842015439,51.8287648486271,6.05580910014236e-13,3.60889520495151e-10
"Rsrp1",-0.250283394715637,11.2504843736991,51.0625403595495,8.94694821527523e-13,5.17502010592949e-10
"Map1b",-0.260133386077785,11.0475571271717,50.8311935683723,1.00661157146264e-12,5.63448191195402e-10
"Prkg1",-0.44694961603379,9.90211043884614,50.7833847459183,1.03143165275269e-12,5.63448191195402e-10
"Pcp4",0.365965255368127,10.1651240578707,50.6337848263611,1.11312313077078e-12,5.91639986209141e-10
"Herc6",-0.478483026977889,9.8012799863885,50.4236327835533,1.23893244403483e-12,6.41180143273393e-10
"Pcsk1n",-0.287746345438516,10.6715237107619,50.2419166983073,1.35913406415023e-12,6.75802006106334e-10
"Atp6v0c",-0.284855260612735,10.6920021643389,50.2197709885786,1.37455915001797e-12,6.75802006106334e-10
"Sema5a",-0.458040160279794,9.8604591799161,49.8561211702508,1.65443438175935e-12,7.93563574431203e-10
"Srrm2",-0.278235276400041,10.7536155460118,49.5978598633365,1.88719458425342e-12,8.83656397474472e-10
"Kcnip4",-0.270867254710524,10.8405684144365,49.3672855743562,2.12255919593721e-12,9.70749980169793e-10
"Gpc6",-0.465773857982058,9.75213049562892,49.0121350316856,2.54383827724079e-12,1.13698008091403e-09
"Nell1",-0.469800732713593,9.7793717736292,47.8345072959769,4.63757300706259e-12,2.02672246126429e-09
"Lingo2",-0.365582188008688,10.1049207465231,47.1127649693881,6.70177928628555e-12,2.86515633574112e-09
"Ly6h",-0.262183839130128,10.8573480030984,46.4693519461953,9.30627056131378e-12,3.89398120976163e-09
"Kirrel3",-0.420996707382263,9.91931861518135,46.2811489276619,1.02444873394795e-11,4.19725183371259e-09
"Cntn4",-0.361113400903564,10.1099818043685,46.1557245352988,1.092174320014e-11,4.25222111938284e-09
"Csmd1",-0.247452804180591,11.0695453922943,46.1423985184692,1.09962830378025e-11,4.25222111938284e-09
"Aff2",-0.444858043849954,9.84729303221477,46.1368764413924,1.10273201000979e-11,4.25222111938284e-09
"Jund",-0.390795316420714,9.99992728604202,45.7252620960894,1.36056765888905e-11,5.14556222686771e-09
"Dapk1",-0.389736309495887,10.0004788543725,45.6236862485089,1.43298231625008e-11,5.31717551535359e-09
"Apod",0.452588430962763,9.75375039485034,45.0961239523076,1.87596338359057e-11,6.83198072253557e-09
