"","logFC","logCPM","LR","PValue","FDR"
"Ahi1",-0.646343253251608,11.5752196213589,28.6470469200018,8.684633058158e-08,0.00170791993721735
"Gm42047",-1.03255531066184,10.1894537848484,27.1231294731105,1.90900208993638e-07,0.00187712175503444
"Dcn",-1.00922247183744,10.2140916079288,21.6098355483326,3.34133985741658e-06,0.0219035965453182
"Abi3bp",-0.888875710151698,10.390582845387,19.1191141450367,1.22808786324652e-05,0.060378939796515
"Hpgds",0.865248676814131,10.2244500196335,15.1024854059083,0.000101829133368479,0.352861931837664
"Cit",-0.856939092753399,10.2783854925839,14.997451930629,0.000107656442134953,0.352861931837664
"Atad2",-0.67931124232795,10.1717741021903,14.180518380797,0.000166081183234779,0.466593221356452
"Hbb-bs",-0.769516748450215,10.3755220344031,13.8595364530542,0.000196994493808271,0.482333978833951
"Unc13c",-0.828660092298813,10.2506651721485,13.6457823792856,0.000220736591554234,0.482333978833951
"Plp1",0.624584216184147,10.6252219851927,12.8206988621495,0.000342805653200146,0.674161597583407
"Rbms3",0.632742644230378,10.1712330242034,12.3811717356772,0.000433684906076539,0.77088993151296
"Rps8",0.571505839891429,10.7214231526439,12.2155233114796,0.000473935151639945,0.77088993151296
"Atp1a2",-0.777523093464746,10.2366410892816,11.8985086443458,0.000561789056765558,0.77088993151296
"Cntn5",-0.756988266419163,10.2122856948419,11.8250889375698,0.000584379230553994,0.77088993151296
"Adgrl2",-0.701566932975606,10.3728409533735,11.6665318579756,0.000636345250269193,0.77088993151296
"Ptn",-0.707011246835921,10.3771341904348,11.6510033283942,0.000641679166162064,0.77088993151296
"Rasgef1b",-0.712369907587321,10.19286177632,11.4072622226043,0.000731575619938237,0.77088993151296
"Fau",0.577832379029113,10.6242882812767,11.2950091646159,0.000777157177904275,0.77088993151296
"Tmsb10",0.472528919058414,11.0545666649495,11.2905425433538,0.000779029126116365,0.77088993151296
"Nrsn1",0.6488142599635,10.4597277346934,11.2787756535421,0.000783982438231425,0.77088993151296
"Apod",0.695188470616585,10.3768577515344,11.0859059385373,0.00086986316151009,0.78563473251287
"Akt3",-0.733633104546115,10.2893136582904,11.0610959042004,0.000881580207674848,0.78563473251287
"Rpl34",0.690725118047185,10.3708128607315,10.9631328129093,0.000929425511106602,0.78563473251287
"Plxdc2",0.750181453486861,10.255852054396,10.9055354967636,0.000958773191310327,0.78563473251287
"Tigd2",0.742517669894226,10.2502946963378,10.779785555574,0.00102614569126738,0.807207246578576
"Tra2a",0.515889236079697,10.7653690491191,10.5232617917985,0.00117881236073703,0.891635534086708
"Reln",-0.550563147442863,10.1670647845704,10.3588050257164,0.00128858588827796,0.892673204775683
"Nrxn3",-0.656823339342618,10.3816354301208,10.3315521549015,0.0013077518423416,0.892673204775683
"Cc2d1b",0.665367147246948,10.1890594700527,10.2800157899995,0.00134478796059557,0.892673204775683
"Penk",0.714308163588273,10.2324430195,10.2209132172591,0.00138857080073982,0.892673204775683
"Utrn",0.607895508989204,10.1760957685092,10.1964106655994,0.00140714275134985,0.892673204775683
"Syndig1",0.553885812697702,10.1680527174507,10.1125097223134,0.00147266284623506,0.905043360439336
"Polr3a",0.714953051527479,10.2634367112237,10.0411962350767,0.00153077764113043,0.912250699711242
"P2ry12",0.701956384122499,10.2429805929,9.72124009915544,0.00182150570844591,1
"Neat1",0.664776588511274,10.3387936209502,9.67718215051684,0.00186570548447011,1
"Irak1bp1",0.691800995443078,10.2284797176806,9.53186837180471,0.00201934441300326,1
"Ccnh",0.665585175185078,10.3251234026393,9.45653998386499,0.00210397573895579,1
"Zfp280c",-0.623293277615379,10.1842728965891,9.39278132333985,0.00217841469016517,1
"Fcrls",0.672380982424106,10.2105455717314,9.31143735641879,0.0022772775677709,1
"Vcan",0.394231902152446,10.1557876959596,9.18168905077688,0.00244448331516054,1
"Doc2b",0.39367990858113,10.1556113963198,9.17901164360615,0.00244806186567553,1
"Tbc1d23",0.582839478325608,10.4668541755963,9.1448564478531,0.00249418206571698,1
"Oxr1",-0.523442698856933,10.5957587523216,9.08978725180162,0.00257040770902798,1
"Tln1",0.677377723518128,10.2321331019621,9.05292685226851,0.00262274624179908,1
"Selenot",0.632859576324663,10.3541681736402,9.03163378289389,0.00265347221934693,1
"Rgs6",-0.589677683994885,10.4236084052501,9.01788491480943,0.00267350580463289,1
"Pcp4",0.544615237524211,10.5382905065441,9.01055408256991,0.00268425031662612,1
"Cabin1",-0.649863499011984,10.3058973597747,8.995343613226,0.00270668376852146,1
"Ccdc12",0.664696528356037,10.2745572678318,8.81631582589688,0.00298548840592712,1
"Pfn1",0.660182100591142,10.2213098306232,8.73346518588684,0.00312422184672061,1
"Cep78",-0.645153646776166,10.2940382554369,8.61713423382363,0.00333015367801681,1
"Aldoc",-0.65887188690276,10.2482462805959,8.59518420375622,0.00337053118881385,1
"Tanc1",0.607309662645898,10.188130668075,8.58042707029713,0.00339795664891186,1
