"","logFC","logCPM","LR","PValue","FDR"
"Meg3",-0.56969713205764,12.2461381616411,51.1903938805253,8.38278402419884e-13,1.64855830619894e-08
"Gm42418",0.447536004606727,13.4854037438497,41.1379949197221,1.41851854017372e-10,1.39482928055281e-06
"Syt1",-0.637082988702822,11.4800765478851,38.3786450209375,5.82665151907614e-10,3.81956429247171e-06
"Snhg11",-0.514026891197341,11.8995354145568,36.3689513866725,1.63283757371584e-09,8.02784593117392e-06
"Kcnip4",-0.740683510496869,11.0622841204006,34.8536029021012,3.55451180639204e-09,1.39806058369012e-05
"Atp1b1",-0.664007125056449,11.3085346301738,34.3348353754081,4.64001722053998e-09,1.52084297765232e-05
"Grin2b",-0.705627393254814,11.1608392230707,32.2390818722365,1.36320953806809e-08,3.82983982509243e-05
"Ttr",0.56526776109209,11.0078993030826,30.8528527960831,2.78352638611633e-08,6.84260373867046e-05
"Ptgds",0.384610953113094,12.7730714087519,27.1550133411261,1.87777625532346e-07,0.000410314975968792
"Plp1",0.333459450472376,13.7339770879107,23.4885681419651,1.2565820325848e-06,0.00234859681132228
"Mal",0.393270813622693,12.1141470916478,23.4031003032874,1.31366647638285e-06,0.00234859681132228
"Celf2",-0.547655809688819,11.2431430626842,22.3239545348138,2.30315613129426e-06,0.00360507634707738
"Mical2",-0.563528854791982,11.0339078508873,22.258434000977,2.38309735136815e-06,0.00360507634707738
"Atp2b1",-0.513534352999962,11.3466010816748,21.9735166124799,2.76438750033264e-06,0.00365884185600105
"Atp2b2",-0.583063658374594,11.1590671494429,21.9553100819776,2.79073669480402e-06,0.00365884185600105
"Cacnb2",-0.446778393316164,11.0062578633623,20.5379054308758,5.84620020747388e-06,0.00718571083001133
"Hbb-bs",0.553596270963298,11.0553202768528,20.0415207040021,7.57787889840508e-06,0.0087662686127079
"Mki67",0.299942488794618,10.9886186513613,19.7446567729618,8.85087993582488e-06,0.00967007804544067
"Lsm11",-0.276839879846273,10.990776676353,19.1638034239022,1.19966806528875e-05,0.0124171958799835
"Snap25",-0.482001731396868,11.3091754388196,18.5094412390135,1.69064744355028e-05,0.0166241363124299
"Camk2a",-0.530852994272695,11.1490776673572,18.3234820415156,1.86395424184989e-05,0.0170946046343418
"Zbtb2",0.289220602787104,10.9898214769184,18.2450997295273,1.94224974850494e-05,0.0170946046343418
"Tshz2",-0.438035769451954,11.008941234559,18.1216087740826,2.07236260478615e-05,0.0170946046343418
"Slc41a2",-0.263012831714533,10.9902474976536,18.1089440455014,2.08619196188449e-05,0.0170946046343418
"Lars2",0.439875784936507,11.3935859897678,18.0191560088842,2.18693225197108e-05,0.0172032838669053
"Serpini1",-0.489158434635987,11.0286199569967,17.5014338081852,2.87091093142159e-05,0.0217151286066681
"Ankrd33b",-0.425169790825301,11.0079503818209,17.344326202232,3.11827838493397e-05,0.0227126158215228
"Gm26917",0.362497917083626,11.7782554460133,17.1136775762957,3.52078373461034e-05,0.0247284760445882
"Dynlrb1",0.489763321794575,11.03155204275,16.9127427980349,3.913796258386e-05,0.0264776887056458
"Dkk3",-0.475310238287495,11.0276862438635,16.7831836653104,4.19030025524941e-05,0.0264776887056458
"Map2k4",-0.516589306049715,11.0643183425726,16.7514021858436,4.26107632895277e-05,0.0264776887056458
"Mkl2",-0.514290472378366,11.0615366814052,16.7304552698216,4.30838014126241e-05,0.0264776887056458
"H3f3b",-0.495006953358942,11.2001332048376,16.5434859603697,4.75470374374713e-05,0.0283351526741003
"Scn2a",-0.508658306577838,11.1236244625414,16.3145286311978,5.36510296712004e-05,0.0310323867504067
"Prkce",-0.493614462217212,11.0406319388962,16.2008523064592,5.69684793758743e-05,0.0312147519641679
"Cryab",0.430137682486906,11.3547117217649,16.1951306824176,5.71408049786457e-05,0.0312147519641679
"Tmed10",0.495221599423221,11.1399821597767,16.0509189343867,6.16616948530269e-05,0.0327740240805305
"Pbxip1",0.201942297573543,10.9855856437912,15.7632534163375,7.17832784903486e-05,0.0371497356523999
"Grin2a",-0.499975312772742,11.103524440246,15.5600778933778,7.99244677736411e-05,0.0397796184984392
"Clstn2",-0.433211990126383,11.0160146523608,15.5067519228667,8.22110764835757e-05,0.0397796184984392
"Ssbp2",-0.503141554976707,11.0744551533019,15.4902209024345,8.29332024019122e-05,0.0397796184984392
"Gna12",0.488805598227112,11.0581912940959,15.392378700592,8.73398484469194e-05,0.0408958442751695
"Khdrbs2",-0.491546666743937,11.0568539740919,15.226432311464,9.53593243009555e-05,0.0436124760861068
"Slit3",-0.389121040585221,11.005454996189,15.1178570870932,0.000101003350309386,0.0447438465864011
"Sdk2",-0.352973245362284,11.0007428905307,15.092237034008,0.000102383458577649,0.0447438465864011
"Gprasp2",-0.482768520084149,11.0619441646952,14.8116444234101,0.000118799686111698,0.050789448414623
"Prkg1",-0.427040567216527,11.0188529817555,14.617209263688,0.000131706309152944,0.0545900745639927
"Chn1",-0.47110416392094,11.1569723612685,14.5953728400146,0.000133241308810721,0.0545900745639927
"Apod",0.332792246801736,11.8221809208804,14.336560036731,0.00015286707463786,0.0613527324454727
"Cldn11",0.320199515907931,11.8970905580069,14.0918401212325,0.00017409741056522,0.0679605592978922
"Limch1",-0.439809095775811,11.2382298712718,14.0464674217674,0.000178348532387211,0.0679605592978922
"Sept3",-0.463875872867216,11.0459662899631,14.032287566991,0.000179698417750961,0.0679605592978922
"Stxbp6",-0.472268741616849,11.1276491149768,13.8150053952739,0.00020171874585323,0.0748490727537663
"Exo5",-0.318300400368213,10.9985785547781,13.7163082330439,0.000212600352745964,0.0774258988352247
"Hivep2",-0.464446559811172,11.0624186384138,13.5933393738625,0.000226989477231674,0.0788488975980684
"Rasgrp1",-0.450677749930477,11.0436744460827,13.5871865965093,0.000227734688517487,0.0788488975980684
"Mast4",-0.369620423402452,11.5333840406592,13.5805939849602,0.000228535907815005,0.0788488975980684
"Nwd2",-0.343803177575239,11.0022031525384,13.5142360766738,0.000236760491548673,0.0802781349447623
"Stmn2",-0.461807141170617,11.0573719779638,13.4462577822018,0.00024549537932834,0.0818290191503581
"Cspg4",0.442851489715516,11.1753106657745,13.3732499604062,0.000255238680120669,0.0828045099179886
"Dbi",0.446814057125878,11.1194582251986,13.3589205917012,0.000257196296332868,0.0828045099179886
"Snph",-0.403648229241904,11.0162793496162,13.3286710539824,0.000261378695667117,0.0828045099179886
"Srrm4",-0.37110984641087,11.0068282927665,13.2829365050193,0.000267832657229289,0.0828045099179886
"Ano3",-0.427139422566072,11.0272043630719,13.2696312652834,0.000269740255957424,0.0828045099179886
"Adm",0.270777072075304,10.991134008183,13.2347989136918,0.000274799353942457,0.0828045099179886
"Adcy1",-0.457411233230227,11.0580859057767,13.2137974716873,0.000277895741614321,0.0828045099179886
"Camk2n1",-0.42130527156651,11.2414785422917,12.919823285955,0.000325120552283498,0.0935536484282322
"Ppp3r1",-0.45783641389037,11.0745890771801,12.9053186569969,0.000327649747110763,0.0935536484282322
"Csmd1",-0.410376167289032,11.2718439598627,12.9005796766453,0.000328480383184523,0.0935536484282322
"Dlgap2",-0.436381875240743,11.0392583939302,12.8750105407564,0.000332998850298803,0.0935536484282322
"Duxbl1",-0.191548695002945,10.9875296501564,12.8163531073289,0.000343602819245564,0.0936005216018937
"Kcna4",-0.299143920910476,10.9960279930247,12.8043466448709,0.00034581496262417,0.0936005216018937
"Yap1",-0.188757721524023,10.9867710662649,12.7955532252838,0.00034744422236033,0.0936005216018937
"Cyp51",0.4459297992942,11.0964603591899,12.7316350251056,0.000359522098751207,0.0955454269465032
"Neurod2",-0.363035802468713,11.0081703183792,12.6637891982764,0.000372805882796134,0.0977546732142503
"Fut9",-0.4492280051121,11.0990451478842,12.5898840103073,0.000387840212450467,0.100358758132248
"Rimbp2",-0.395673820047854,11.0174319722014,12.5171943163404,0.000403223940294861,0.102984441686217
"Atp1a2",0.435362834494965,11.1467560848216,12.4868418683103,0.000409828439737268,0.10332930892145
"Kcnma1",-0.44552173557028,11.090170259442,12.3942492123718,0.00043065811628948,0.106733829970913
"Sgsm1",-0.347588966182225,11.0055296061588,12.3790146206421,0.000434186229923373,0.106733829970913
"Tmem176b",0.434332834402804,11.049328069334,12.2935881451268,0.000454517067783203,0.110352255000302
"Cstb",0.363631617445256,11.008167642329,12.1728870203219,0.000484891970133538,0.114534295212589
"Dock6",-0.239415353423846,10.9907443402544,12.164855350264,0.000486984416430202,0.114534295212589
"Mcm6",-0.238488579756368,10.9908999823832,12.1563358639268,0.000489213912227066,0.114534295212589
"Atp2a2",-0.423146602079406,11.1957860835641,12.1209391487232,0.000498587872965997,0.115355636585286
"Siah2",-0.324181242891462,11.001223891489,12.0838571706323,0.000508602672194973,0.116304420364957
"Actb",0.328263133330285,11.5979115677438,12.0344456411308,0.000522263645352139,0.117745511149088
"Baiap2",-0.424478577740115,11.0424690900588,12.0077853291335,0.00052978774719052,0.117745511149088
"Icam5",-0.349631969629273,11.007000434684,11.9647462508694,0.000542165918338835,0.117745511149088
"St6galnac5",-0.315164373833683,10.9994645265174,11.9572027630311,0.00054436533074556,0.117745511149088
"Tmem59l",-0.431318776745717,11.0535659377819,11.9555756487373,0.000544840919076937,0.117745511149088
"Epha5",-0.399379614133796,11.2293128199472,11.7999671133939,0.000592317673759545,0.120866440411491
"Nbea",-0.414685741140424,11.197973155652,11.7890391718531,0.00059580478202573,0.120866440411491
"Olfm1",-0.422525870675362,11.1716295706973,11.775674767131,0.000600097558265721,0.120866440411491
"Ap5m1",0.419319864183682,11.0404145342472,11.7578099806006,0.000605884723113968,0.120866440411491
"Phtf1os",-0.176741127455674,10.9869820398073,11.754039883459,0.000607113201774925,0.120866440411491
"Ror1",-0.176645141291094,10.9869549523385,11.7533766864922,0.000607329563193643,0.120866440411491
"Gm2115",-0.176257260906443,10.9868881821965,11.7505686813751,0.000608246510063912,0.120866440411491
"Btbd11",-0.176150668958173,10.9868338421225,11.7499461205913,0.000608449994952588,0.120866440411491
"Fmr1",0.427969295530828,11.0621518692431,11.6919975406536,0.000627694753802007,0.123442450282703
"Gm13293",-0.378453642612179,11.0196428399889,11.423956506091,0.00072503134202934,0.141172934379693
"Tenm2",-0.354280378836999,11.0101274240969,11.3413286005795,0.000758010750648718,0.144759203574988
"Tspan2",0.334049710930003,11.4737285583285,11.3409351548853,0.00075817136012528,0.144759203574988
"Rreb1",-0.352625726945247,11.008748571179,11.3135414588738,0.000769438772953966,0.145497912585699
"Tmed7",0.421525701882904,11.0695677003788,11.2561335077146,0.00079360345234916,0.1475550230296
"Map1b",-0.387362932064783,11.2552451122473,11.227768751138,0.000805824656057269,0.1475550230296
"Rell2",-0.276364597877343,10.9953937374017,11.2096645839852,0.000813724262178373,0.1475550230296
"Bcl11a",-0.384260629606975,11.0216325852717,11.2045407520072,0.000815974181730264,0.1475550230296
"Pcnp",-0.37689008299741,11.0204653269635,11.2003190734294,0.000817832681288844,0.1475550230296
"Olfm3",-0.289524234202632,10.9975667694365,11.1506034511394,0.00084004342436971,0.149020130530347
"Pcsk5",-0.28831063516271,10.9972175912124,11.1356300230529,0.000846851621662799,0.149020130530347
"Cx3cl1",-0.42122328243695,11.0721499007746,11.131616909995,0.000848685783555315,0.149020130530347
"Snhg12",-0.396125716768551,11.0325029269814,11.0961871827406,0.000865053883395332,0.149353625035653
"Hsp90b1",0.361476168388723,11.3273451109703,11.0849282852843,0.000870321885191061,0.149353625035653
"Stag2",0.413533608694787,11.0522171385384,11.078448174432,0.000873368599567785,0.149353625035653
"Srrm3",-0.326219363611797,11.0043127728572,11.0474828006317,0.000888076931081425,0.150559663160753
"Scn1a",-0.421602602032136,11.0788039483402,10.9943727940367,0.000913889347923498,0.153611520651825
"Psenen",0.401336688878508,11.0412809201357,10.9323968814505,0.000944971628574019,0.157489932606243
"Shisa4",0.337375591044358,11.4270523170854,10.8712748239845,0.000976672781888319,0.161405436374922
