"","logFC","logCPM","LR","PValue","FDR"
"Npy",1.75991500150356,10.1750751869073,53.4508089028416,2.65149669351111e-13,5.21443339745895e-09
"Plp1",1.25544611773581,10.7264578243564,41.7319947578184,1.04681843278195e-10,1.0293365649545e-06
"Yjefn3",1.60303382609774,10.076057078898,39.0787666104426,4.07047012071368e-10,2.66832884646517e-06
"Ahcyl2",-1.59446513575343,10.3269323135444,33.7368993604256,6.30925030575691e-09,3.10194291282538e-05
"Camk2a",-1.1298554602514,10.926411050456,28.3641058905488,1.00511740250094e-07,0.000395332776751671
"Ttr",1.3519329258472,9.89816922865709,27.3173199950957,1.72657919279411e-07,0.00056591510675815
"Cck",0.99877741762036,10.6643243858279,26.0101275264993,3.39631046422366e-07,0.000954169165563178
"Tac2",1.2896957408701,10.0267900032934,23.1734859226818,1.48024231548314e-06,0.00363880567203643
"Pitpnm2",-1.41583122366162,10.1413207350711,22.4915305806671,2.11072177695724e-06,0.00445152837087705
"Cxcl14",1.04702787478378,10.3437938169359,22.3572528463941,2.26356573318268e-06,0.00445152837087705
"Stxbp6",-1.38769932940869,10.1564033100495,22.0870790588917,2.60557662979349e-06,0.00465829727286535
"Baiap2",-1.30600169867551,10.2332813075096,21.7735687266585,3.06797675296216e-06,0.00502790256864615
"Zbtb20",-0.992510010797454,10.7253023909584,20.195521419806,6.99164330496306e-06,0.0100562803669815
"Igfbp5",-1.38440510014428,9.9670869473487,20.1502869384798,7.15895073414734e-06,0.0100562803669815
"Plxna4",-1.27744052202375,10.1773134904319,19.693036359445,9.0932120855025e-06,0.0119218072582328
"AC124490.1",-1.33147771103476,9.95879779185073,18.9153939825062,1.36645563873253e-05,0.0167954478695712
"Matk",-1.05549669387971,10.4330355541545,18.2876992558001,1.89929617606004e-05,0.0219715050578805
"Sec11c",1.16374698157403,9.99716768137653,17.8884041573125,2.34244028422941e-05,0.0255924614609198
"Sox6",0.83755007263625,9.86785342913363,17.1720476587458,3.41423439815106e-05,0.0353391229863362
"H3f3b",-1.06669542159385,10.3381055113198,17.0326909636931,3.67417641272632e-05,0.0361281766663379
"Gad2",1.00063113180703,10.1710053458645,16.7595146439269,4.24289677826589e-05,0.0397337181149414
"Rfx3",-1.23811791350537,10.0720849132166,16.4440260462146,5.01078360424996e-05,0.0433816424608348
"Slit3",-1.17939549679534,10.1437523333483,16.3523538987887,5.25908026726708e-05,0.0433816424608348
