"","logFC","logCPM","LR","PValue","FDR"
"Tmem91",-0.9408089487322,9.82795568516492,76.7340468719758,1.95601975549526e-18,3.84670845115698e-14
"Unc13c",-0.968759476929121,9.75003411377486,71.1909358201419,3.24274429871374e-17,3.18859046892522e-13
"Ahi1",-0.477236059467767,10.9660365409645,70.0718528234331,5.71831232220205e-17,3.52078327443221e-13
"Nkain3",-0.894990578343916,9.82821725221304,69.6280405756333,7.16115788555317e-17,3.52078327443221e-13
"AC129186.1",-0.794106085511862,9.92270824236604,65.800174187483,4.99038236095341e-16,1.80351315776241e-12
"Rorb",0.62692079860004,10.2059898530363,65.3381828812353,6.30870897963333e-16,1.80351315776241e-12
"Tubb2a",-0.738737829199299,10.0037516980472,65.3038742472768,6.41950173107743e-16,1.80351315776241e-12
"C130073E24Rik",-0.888781905748876,9.79154188708233,64.1425827704213,1.15732885342707e-15,2.84500365393708e-12
"Nts",-0.755328538911079,9.63603875235904,63.6965182577301,1.4514088012683e-15,3.17148949841583e-12
"Rgs4",0.65023773466213,10.0951065856926,60.9889911379748,5.73948613000349e-15,1.12872734232649e-11
"Jun",-0.860573460806585,9.77931292915414,59.0573024342334,1.53146552433565e-14,2.73798190923499e-11
"Homer1",0.600586887816911,10.1593444220552,56.4287521653255,5.82720220831974e-14,9.54981321906800e-11
"Tenm1",-0.642577828385044,10.0726963140608,55.1104589580566,1.13942975543276e-13,1.72369427464159e-10
"Reln",-0.709411897569144,9.92719306702757,53.3803037764869,2.74838682684793e-13,3.74398417848816e-10
"Cntn5",-0.449579093476724,10.7277597384157,53.305075264956,2.85567795572676e-13,3.74398417848816e-10
"Nr4a1",0.770771023729213,9.74582642085662,46.9576077183871,7.25388653044237e-12,8.91593328172997e-09
"Cacna2d3",0.545132236402675,10.1604470332128,46.4424007261237,9.4351567043075e-12,1.09148112792301e-08
"Nnat",-0.781974160242506,9.68507160025772,45.8309470454008,1.28910848194573e-11,1.4084226336636e-08
"Nfib",-0.759070840495346,9.75898786061611,44.891271775349,2.08284218861671e-11,2.15585128849138e-08
"Dgkg",-0.763777639197689,9.72729246102563,43.7698705084268,3.69347458002951e-11,3.63179355454302e-08
"Arc",0.663757803944509,9.85840435502739,42.7366087377543,6.26291600253967e-11,5.86507171933072e-08
"Rsrp1",-0.367619383121758,10.9801058914751,42.404795412923,7.42078696493653e-11,6.63350892965645e-08
"Nkain2",-0.530268891503285,10.1275182412848,40.8821675236131,1.61689805100953e-10,1.38251813352841e-07
"Stmn2",-0.441991103699128,10.4293028556387,40.3655611993877,2.10621172541699e-10,1.66838588024376e-07
"Nrsn1",0.553583350596026,10.031944492479,40.3270956620233,2.14809040657286e-10,1.66838588024376e-07
"Lingo2",-0.40451276023195,10.6340150067957,40.2753571933054,2.20573745989717e-10,1.66838588024376e-07
"Igsf11",-0.727053561884394,9.73658954484577,40.099274802016,2.41378577213218e-10,1.75813003684265e-07
"Dner",-0.694576877350683,9.78335486523295,39.2499042079173,3.72886666849121e-10,2.61899613937672e-07
"Ntng1",-0.437644373343374,10.4145674948197,38.7267906007601,4.87472183772089e-10,3.30573378140065e-07
"Hbb-bs",-0.675927787201363,9.80750301022396,38.5027776950344,5.46758118004211e-10,3.5841817162236e-07
"R3hdm1",0.300449487923851,11.5607166855768,38.0729186036974,6.81494864959529e-10,4.32331548848196e-07
"Inpp4b",-0.65648232982834,9.82441593028635,37.9961171643804,7.08855614453816e-10,4.35636078557773e-07
"Grm8",-0.646651344343647,9.83224250453831,37.3859547716363,9.69175727428724e-10,5.77569995624645e-07
"Ptpro",-0.702443771275546,9.7115175724641,36.5914644212692,1.45668170305037e-09,8.42561834476132e-07
"Nwd2",-0.486750117060458,10.1664980349088,36.2984686714606,1.69296833391544e-09,9.51254721565171e-07
"Nrgn",0.396121293946844,10.51283224947,36.1056291866867,1.86906142065474e-09,1.02102671940545e-06
"Enox1",-0.545414448664668,9.99927299705307,35.8226425194064,2.16121522943012e-09,1.14871510005332e-06
"Egr1",0.438862615949631,10.2650322539782,34.5297018773983,4.19796407230855e-09,2.17255688015842e-06
"Pde10a",0.495415022229446,10.0743955649739,34.0045644115273,5.49829389496159e-09,2.76297745916614e-06
"Epha5",-0.332507501610829,10.9450709461237,33.9620327920654,5.6198056730726e-09,2.76297745916614e-06
"Mical2",0.463662805894918,10.1659759377242,33.8699386271223,5.89221248775968e-09,2.82625001912883e-06
"9530059O14Rik",-0.433165527212316,10.2872665538041,33.5994131929726,6.77131520236363e-09,3.1705877326115e-06
"Dpyd",-0.647277295441892,9.76422796298843,33.1991649457998,8.31862480788927e-09,3.7378156538288e-06
"Lhfpl3",-0.643450949019735,9.77359311429893,33.188853565332,8.36285410192551e-09,3.7378156538288e-06
"Camk2d",-0.428517164028433,10.2830373095216,32.6696484466943,1.09229622210014e-08,4.77357722307142e-06
"Lrp1b",-0.349172639135517,10.720354451324,32.0460462503538,1.50561206623672e-08,6.4368188901329e-06
"Ptprg",-0.562183590404421,9.88560200531372,31.3324562130369,2.17414458108601e-08,8.96333324672657e-06
"Fstl5",-0.609082027275939,9.6523866646667,31.2825203742807,2.23079141391574e-08,8.96333324672657e-06
"Kirrel3",-0.606194593403743,9.8055491075698,31.2803271804082,2.23331297208177e-08,8.96333324672657e-06
"Map1b",-0.32640017750892,10.842821496873,30.9183060522216,2.69121276537092e-08,1.05850780487569e-05
"Dab1",-0.437064655177548,10.2035116572417,30.7518120118773,2.93229893556913e-08,1.11874567170112e-05
"Atp5e",0.588122848406653,9.81058879861779,30.734786843159,2.95813967906326e-08,1.11874567170112e-05
"Arhgap6",-0.634289486772688,9.67536195020154,30.6675932162342,3.06237229957445e-08,1.1363134649704e-05
"Dhcr24",-0.592518615559182,9.81703538237312,30.4990410957068,3.34031571143369e-08,1.21649349594546e-05
"Lsamp",-0.37735670196413,10.4545036616346,30.1509892878064,3.99683254559633e-08,1.42912197893995e-05
"Sgcd",-0.551858449778215,9.88137203813372,29.8967561851962,4.55674546322908e-08,1.60023136214041e-05
"Fam19a2",-0.484198549793382,10.0294908696359,29.640269286733,5.20130767164443e-08,1.79454239772911e-05
"Lmo3",-0.588949923109625,9.80216076433686,29.4191467920889,5.82988064152045e-08,1.97673159820933e-05
"Robo2",-0.464268173960524,10.0592155491603,28.6787075507364,8.54379828621472e-08,2.84783622197794e-05
"Cntn4",-0.460071066256977,10.064443088945,28.2444897003556,1.06918570360388e-07,3.49884354138427e-05
"Ptprd",-0.225062219534307,12.6300046956307,28.2155859700786,1.08527131101617e-07,3.49884354138427e-05
"Dach1",-0.594040140895938,9.66338011190474,27.9625201105621,1.23688070618969e-07,3.92330580127847e-05
"Pid1",-0.473522884768736,10.0146525771992,27.7222666961777,1.40041479746443e-07,4.34457788314568e-05
"Htr2c",-0.603455442219555,9.7343505125172,27.7037595386462,1.41387666287666e-07,4.34457788314568e-05
"Slc1a2",0.312682477315314,10.7788484887616,27.627969321137,1.47037204280587e-07,4.44866716828002e-05
"Rab3b",-0.596202798917295,9.746909722555,27.5897565570754,1.49970885736477e-07,4.46867793771751e-05
"Uqcc2",0.546394953683186,9.80910810565882,26.3920404316348,2.7868654333523e-07,8.18007397198602e-05
"1110008P14Rik",0.423381458176873,10.1080963465124,26.313043764264,2.9032127214252e-07,8.39626196758059e-05
"Prkcg",-0.497389901794879,9.90815458753473,25.8498404949423,3.69035190729565e-07,0.000103994425519986
"Mycbp2",-0.297486760092087,10.8553513006677,25.8439547260236,3.70162198027e-07,0.000103994425519986
"Zcchc12",-0.551629892679307,9.65217412925061,25.5460983180537,4.31938612021795e-07,0.000119640911887614
"mt-Co1",0.545983355966504,9.78094479429424,25.1665021016187,5.25877294266081e-07,0.000143637539847733
"Tmem62",0.574828283236618,9.70057005746139,25.1165524498226,5.39676232156298e-07,0.000145387298377887
"Lmo7",-0.500750991194205,9.88634561081551,25.0167484402637,5.68344720241266e-07,0.000150377464225717
"Srrm2",-0.300662743229413,10.7798350322914,24.9993622006568,5.73492820956412e-07,0.000150377464225717
"Junb",0.458423632259241,9.95539164511416,24.6572880183544,6.84852709849031e-07,0.000177214649893303
"Ndst3",-0.568064073635164,9.71796208659781,24.3515481280615,8.02622150178033e-07,0.000204991781888327
"Atp1b1",-0.268559545756655,11.0609415886712,23.8866858770023,1.02175986634188e-06,0.000257614481172814
"Tmem145",0.393206420713703,10.1284377358691,23.5104325948505,1.24238263055263e-06,0.000309274643195544
"Pea15a",-0.421338623607278,10.0527338810428,23.3869176071619,1.32476432976513e-06,0.000323107454519704
"Celf4",-0.308846613647484,10.6161914887742,23.3781594456377,1.3308097130121e-06,0.000323107454519704
"Cpne9",0.462620582366208,9.91319526653156,23.313860914571,1.37604772301103e-06,0.000330016518545547
"Exph5",0.513193238266561,9.79568341943131,22.9866222258436,1.63132651872119e-06,0.000386526112255071
"Btbd3",0.4939112450575,9.83035188976757,22.7697433053952,1.82618304946029e-06,0.000427544236317692
"Crym",-0.553732664836216,9.69251404309535,22.7259363897485,1.86829074711785e-06,0.000432256539209642
"Grm1",-0.549898738810624,9.71854577444523,22.7007787666322,1.8929113795563e-06,0.000432860409190164
"Zfp385b",-0.471712167407463,9.89263040238223,22.468867712983,2.13577214870157e-06,0.000482782702027185
"Cplx2",-0.467710284831377,9.89572982149418,22.4468202411222,2.16042847582039e-06,0.000482806663698678
"Ttc14",0.275813666530502,10.8468973860163,22.3903534814187,2.22488699588408e-06,0.000491625029899509
"Plcxd3",-0.532096777078185,9.75339887153529,22.2282709193908,2.42082915343141e-06,0.000528978068126468
"Camk2n1",0.251263469359012,11.1410629370093,22.1832333339569,2.47828638170252e-06,0.000532857986583104
"Itm2b",-0.30620637327219,10.5721683817227,22.1720410275525,2.49277609913788e-06,0.000532857986583104
"Nsun7",-0.534331487490887,9.74568506683584,22.1379352646314,2.53745611244671e-06,0.000536576472122334
