"","logFC","logCPM","LR","PValue","FDR"
"Plp1",1.16570963465897,13.83425844907,129.177610646565,6.20133806186074e-30,1.21955514324553e-25
"Neat1",1.45500417144743,11.8244505088548,104.817592900207,1.33913079328682e-24,1.31676730903893e-20
"Apod",1.16187249608152,11.9060375594952,73.4200045429711,1.04798554343706e-17,6.86989456574441e-14
"Mast4",1.36289567011244,11.4867595541095,68.6531278329546,1.17398354933461e-16,5.77189012030359e-13
"Car2",1.2212077269476,11.6598491316386,66.6400106687527,3.25903597598458e-16,1.28184403007426e-12
"Ptprd",1.01103327086377,12.1092047224013,64.0292455304345,1.22585904250993e-15,4.01795732166672e-12
"Lhfpl3",-1.02526305181973,11.8782678557992,60.4785179188592,7.43858513113107e-15,2.07703470024515e-11
"Aplp1",1.06648099909958,11.8534748217398,60.2277534448386,8.44924112781511e-15,2.07703470024515e-11
"Cntn2",1.39691289414341,11.3080042682483,58.1061453408545,2.48349283257896e-14,5.4267077828331e-11
"Pex5l",1.12320634975047,11.6572422077673,56.8198513997582,4.77620510065161e-14,9.39288495094146e-11
"Mal",0.912061342328206,12.2094769821407,54.8082661475182,1.32880704313518e-13,2.37566539184512e-10
"C030029H02Rik",1.27256357138665,11.3959131289461,54.0632780995172,1.94135759147375e-13,3.1815615328269e-10
"Nnat",-1.17612621169248,11.4386767796498,51.9802155210325,5.60626754375815e-13,8.48098903965752e-10
"Hapln2",1.24833918567625,11.3796989408173,51.1776889470128,8.43721455396013e-13,1.18518758155843e-09
"Stmn4",1.16372777260539,11.4723442585539,50.7116705885614,1.06981528881961e-12,1.40259916466176e-09
"Ptgds",0.802530067754733,12.6530383258466,50.125267269397,1.4423769930594e-12,1.77286162159414e-09
"Scd2",0.984289097905594,11.7861822352296,49.7682691975658,1.73019601910655e-12,2.00153146539702e-09
"Tubb4a",0.900966808592878,12.0216624711751,48.8442453175204,2.77117309592522e-12,3.02766056135918e-09
"Sept4",1.04969389194299,11.5997654643863,47.4923824979847,5.52180994001489e-12,5.7153639094912e-09
"Glul",1.12748123376239,11.4619296294837,47.2110629318234,6.37396716948771e-12,6.26752191775727e-09
"Gatm",0.917499961801943,11.907227608114,46.9770554568296,7.18226286474075e-12,6.58014346923854e-09
"Tmem63a",1.31285941180792,11.2088546062077,46.9288558240889,7.36108798552059e-12,6.58014346923854e-09
"Slc24a2",1.07616985732254,11.5306085985897,46.6737915036707,8.38428592078433e-12,7.16892899644107e-09
"Mbp",0.722565278639616,13.0045293629521,45.1676001656781,1.80872847462848e-11,1.48210225758515e-08
"Aspa",1.03533932076394,11.5761409318621,45.0572704023924,1.91355503858433e-11,1.50527893555198e-08
"Cldn11",0.886558727354894,11.8919423897623,44.0404991989346,3.21651329797735e-11,2.4329211737701e-08
"Zeb2",0.966895568873906,11.6282940166387,42.3525757798701,7.6215891464611e-11,5.55133970941866e-08
"Meg3",-0.938716917541343,11.6314694688064,42.1536781863105,8.43750983178064e-11,5.9261452982785e-08
