"","logFC","logCPM","LR","PValue","FDR"
"Meg3",-9.35974956032233,14.5720530819363,8.32125535400644,0.00391838307451165,1
"Snhg11",-8.09275714091985,13.4345495581863,6.74051328441363,0.00942475043208894,1
"Ahi1",-5.61470984411521,11.6975839640201,3.77973501943722,0.0518768754708625,1
"AY036118",-5.61470984411521,11.6975839640201,3.77973501943722,0.0518768754708625,1
"Zfp804a",-5.35755200461808,11.5720530819363,3.49372249540206,0.061601919577014,1
"Zcchc7",-5.35755200461808,11.5720530819363,3.49372249540206,0.061601919577014,1
"Gapdh",-5.35755200461808,11.5720530819363,3.49372249540206,0.061601919577014,1
"Jund",-5.35755200461808,11.5720530819363,3.49372249540206,0.061601919577014,1
"Rps2",-5.35755200461808,11.5720530819363,3.49372249540206,0.061601919577014,1
"Gabbr1",-5.35755200461808,11.5720530819363,3.49372249540206,0.061601919577014,1
"Lancl1",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Rgs7",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Celf2",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Podxl2",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Dlg2",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Gm45159",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Gpm6a",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Smg6",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Prr7",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Nrxn1",-5.04439411935845,11.4345495581863,3.15436206656913,0.0757242836192226,1
"Plp1",6.96578428466209,13.3220748289279,3.05562723264007,0.0804579238706532,1
"Nrsn2",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Stmn3",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Syp",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Pcsk1n",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Tro",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Rragb",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Dab1",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Nsg1",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Nwd2",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Adgrl3",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Rpl6",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Cttnbp2",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Atp2b2",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Ldhb",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
"Prkcg",-4.64385618977473,11.2825464647413,2.73699011766622,0.0980492883427604,1
