"","logFC","logCPM","LR","PValue","FDR"
"Cst3",-1.27306159612891,12.5665211341373,115.291004568137,6.79563819799496e-27,1.33643020801769e-22
"C1qb",-1.3625882077461,11.2192669586252,81.9869123917057,1.36990807057099e-19,1.34703060579246e-15
"C1qa",-1.14864691163527,11.2624418983397,60.5598545996239,7.13748801754551e-15,4.67886131176833e-11
"Ctsd",-1.11353299584733,11.3243029506428,59.492063420712,1.22788320580671e-14,6.03688778134869e-11
"C1qc",-1.09145027818642,11.2813766191879,55.4983014952105,9.35398029648272e-14,3.67910753021258e-10
"Sparc",-1.15918711082448,11.0628681909975,52.4077213551494,4.50947431846128e-13,1.47805536578099e-09
"Csf1r",-1.00074578955072,11.3892170077959,49.9476440869015,1.5790355218246e-12,4.43618751031465e-09
"Gm42418",-0.738908130123792,14.9604490636689,45.62522084148,1.43186009048223e-11,3.51987006742794e-08
"Gm26917",-0.820236678205983,12.0510078582971,44.1651233635255,3.01810996907339e-11,6.59490562797747e-08
"P2ry12",-0.899694020082532,11.412557621131,41.0073066536613,1.51661168563448e-10,2.98256854096877e-07
"Ptgds",-1.06630710873723,10.8348855228525,34.8219394775418,3.61279209330876e-09,6.45901539154637e-06
"Siglech",-0.877830305593109,11.2305905148754,34.6319662496621,3.9831146705422e-09,6.52766109257358e-06
"AY036118",-0.722429525465196,12.0677070621412,34.3739467890524,4.54770301124125e-09,6.87962518608234e-06
"Hexb",-0.755049664760822,11.7634322094961,33.8489491577049,5.95612544464431e-09,8.36665449959822e-06
"Serinc3",-0.92598971312856,10.9881251335222,31.0656615745047,2.49445454390971e-08,3.27039620403522e-05
"Cd81",-0.92673425200446,10.8997329128174,28.5567851674634,9.09904157998864e-08,0.000111838594820035
"Igfbp5",-0.813376573052246,10.6896406476942,26.2463041621796,3.00529415706933e-07,0.00034765949937015
"Fcrls",-0.740310055755417,11.2973140285929,25.8902017596091,3.61398930830618e-07,0.000394848409650829
"Selenop",-0.877610087000164,10.8540075730952,23.8822781794898,1.02410201607697e-06,0.00105999948674577
"Ly6e",-0.821993176212571,10.9272088966912,23.5296531352315,1.23003322616118e-06,0.00120949167128429
"Lgmn",-0.747113313474586,11.1340734868659,23.3296948998411,1.36476637528112e-06,0.00127807121601326
"Tmsb4x",-0.751731688958871,11.096476213378,22.9971707996544,1.6223998365569e-06,0.00145027796298763
"Ivns1abp",-0.66847067721742,11.3984987248696,22.5053803206079,2.09555830139767e-06,0.00179179345892551
"Col12a1",-0.792053750792776,10.8924972768917,21.6353686591185,3.29715487676476e-06,0.0026664622425371
"Itm2b",-0.704525340697086,11.1655329784149,21.5822833695934,3.3896855518879e-06,0.0026664622425371
"Actb",-0.704656130287799,11.1144269139905,20.9994788125775,4.59408328456861e-06,0.00347489391824332
"Grn",-0.814661846459518,10.8574050791452,20.7204890418166,5.3144301069248e-06,0.00387087342528826
"Tmem127",-0.797554191614708,10.7481848959834,18.8489902591792,1.41485978865804e-05,0.00993736878705319
"Apod",-0.748923787247765,10.7156663913778,18.2851026480645,1.90188683841187e-05,0.0127992372372702
"Tgfbr1",-0.608693508264897,11.3633816313513,18.2350814668247,1.95249220542106e-05,0.0127992372372702
"Opcml",0.63159950340692,11.2249446899024,17.9187355545196,2.3054040746403e-05,0.0146251859780246
"Epb41l2",-0.588831189290418,11.3772476776754,17.2061358355302,3.35351472167246e-05,0.0206094439113783
"Epha5",0.569851131085566,11.4289079145808,16.5182754407514,4.8183410792034e-05,0.0287143926253376
"Rrbp1",-0.662329022239491,11.0201159099494,16.415944623054,5.08556415319823e-05,0.0294155013637636
"Sirpa",-0.659902666451826,10.9958603022672,16.0329689443142,6.22490267290699e-05,0.0349768388472539
"Trf",-0.711843091217206,10.7203257057749,15.9509377767955,6.50055664644367e-05,0.0355110963913781
"Lars2",-0.51125003364597,11.7040254299719,15.4744072540891,8.36299632065975e-05,0.0444504555789445
"Bsg",-0.676130343606894,10.8610845116804,15.1621415160445,9.86618227666082e-05,0.0510600896454767
"Tmem160",-0.6005466476398,10.6850741257238,15.0082571819649,0.000107041788970476,0.0539765082536766
"Zfhx3",-0.631834148746797,11.0138053161186,14.849368893985,0.000116447026935352,0.0572511807927658
