"","logFC","logCPM","LR","PValue","FDR"
"Atp1b1",-0.920384780138489,11.3849429384861,207.820170690929,4.10633459800824e-47,8.07551762044301e-43
"Sparcl1",-1.08137540462054,10.460015044909,186.4413536807,1.90171063870356e-42,1.86995207103721e-38
"Pcsk1n",-0.962559241204915,10.7318785473632,173.025581549964,1.61578110958429e-39,8.87690095868288e-36
"Atp1a3",-0.881527029814747,11.1037827941925,172.804769961846,1.80553258592146e-39,8.87690095868288e-36
"Snhg11",-0.674272837427092,14.427038951861,162.581434904013,3.08789983478534e-37,1.21453276301777e-33
"Hsp90ab1",-1.00401027511971,10.467748202928,159.796544237357,1.25343304857369e-36,4.10833572220837e-33
"Peg3",-0.782711456395974,11.5638591480998,157.927153789095,3.21039303170538e-36,9.01936990878828e-33
"Kcnc1",-0.809295162797979,11.2918920394462,156.201204927359,7.65067917083206e-36,1.88072820716979e-32
"Malat1",-0.647322977412454,16.1664944034732,155.228594973281,1.24807015625121e-35,2.72717196587069e-32
"Syt2",-1.13038011481905,10.0791139973868,147.649863681693,5.65808992262348e-34,1.11271996418313e-30
"Hspa8",-0.941205021949994,10.4415231942524,138.379170374066,6.02096339229449e-32,1.07643878248058e-28
"Thy1",-1.03493069759292,10.1236300349177,128.783558226275,7.56321257519134e-30,1.23948448753094e-26
"Stmn3",-0.921170311849559,10.380160405957,126.644397803613,2.22229371307525e-29,3.36181755087214e-26
"Ndrg4",-0.835704398521266,10.6563433210802,124.981350413081,5.13752654397978e-29,7.21675692956473e-26
"Ckb",-0.827401906311906,10.6838796427747,124.715998453396,5.87257989009542e-29,7.6993437412411e-26
"Mir124a-1hg",-0.696080289987167,11.5668486618868,124.568026978282,6.32724050159735e-29,7.77696948152584e-26
"Gad1",-0.801272144716961,10.7560915646145,121.768487208234,2.59409236170517e-28,3.00090708148787e-25
"Atp2b2",-0.909551226052169,10.349440037421,120.713387879256,4.41526849316366e-28,4.81900933700053e-25
"Kcnc3",-0.967238371812703,10.1865211532622,120.608151253202,4.65581091238737e-28,4.81900933700053e-25
"Npy",-1.20475796207698,9.813415044426,120.402351838814,5.16474685706741e-28,5.07849558455438e-25
"Pvalb",-0.906489759399479,10.3241730870885,118.066065068989,1.6770795068043e-27,1.57054502765778e-24
"Kcna1",-0.932140492120943,10.2253903589755,115.590747711558,5.8423476692917e-27,5.17191729225155e-24
"Meg3",-0.564115749916969,15.1977158288198,115.521906131569,6.04871848478519e-27,5.17191729225155e-24
"Gm42418",-0.572082707873396,13.726944401818,112.700129022054,2.51006057676232e-26,2.05678547094199e-23
"Lsamp",-0.737442582657644,10.9232553437463,111.751155089413,4.05094284444978e-26,3.18663367915798e-23
"Cadm2",-0.828150232896261,10.4805309708436,110.440153751174,7.84792356226938e-26,5.93604864521499e-23
"Cplx1",-0.874987572079936,10.3012829553608,108.491240817533,2.09775313691208e-25,1.52361172743923e-22
"App",-0.789008943627874,10.6206937812163,108.424782622483,2.1692834520644e-25,1.52361172743923e-22
"Bsg",-1.03524321940573,9.96572349056913,107.739786498275,3.06487794545355e-25,2.07840998880308e-22
"Gapdh",-0.747460837753772,10.7594638905927,105.175669407227,1.11773949725496e-24,7.32715498433867e-22
"Nap1l5",-0.821881148854526,10.4299531809713,103.986094598851,2.03740969452934e-24,1.29250642105206e-21
"Tcf25",-0.842995814554942,10.3400271330004,102.976609501391,3.39128678861077e-24,2.0841576870256e-21
"Ttc3",-0.652164173839054,11.3467691177156,101.893240070591,5.85961405045379e-24,3.4511330864943e-21
"Ntm",-0.793992874667827,10.4864154563922,101.857408924712,5.9665679314963e-24,3.4511330864943e-21
"Atp2a2",-0.834595163866751,10.3427476246372,100.777292731642,1.0292958352603e-23,5.78346625606543e-21
"Lrp1b",-0.777547571856097,10.534209341852,100.455483085225,1.21088150919033e-23,6.61049956641563e-21
"Gnas",-0.90424645969567,10.1528923257241,100.402496315779,1.24371241715335e-23,6.61049956641563e-21
"Col11a1",-1.14038355068075,9.75146229008098,97.2755519445861,6.03205407036105e-23,3.12174671967685e-20
"Chgb",-0.98346410423293,9.96329831803717,96.9660201245171,7.05273724246597e-23,3.55638796436758e-20
"Slc6a1",-0.715531879209762,10.7668200005342,96.2569751006336,1.00899067282005e-22,4.96070264291977e-20
"Scn1a",-0.699053254478028,10.8359004444501,95.6354977704636,1.38107697116669e-22,6.62445358901563e-20
"Dst",-0.763426658150947,10.493804072009,94.0887706286064,3.01685948710248e-22,1.41260853984184e-19
"Itm2b",-0.917651988404643,10.0584833053756,93.7633267993605,3.55599774047314e-22,1.61011138674669e-19
"Tecr",-0.802479395936161,10.3517623147736,93.7376628830809,3.60240521798304e-22,1.61011138674669e-19
"Sv2a",-0.804363826528059,10.3409300878458,93.3484742222332,4.38519487247804e-22,1.91642760804785e-19
"Ppia",-0.901746379737808,10.0718228873914,92.2494575833114,7.64110862224839e-22,3.21395865016287e-19
"Son",-0.728024630790935,10.6112706921992,92.2391331103371,7.68107681062011e-22,3.21395865016287e-19
"Rtn3",-0.757048401839277,10.4871585475601,91.9926788553437,8.69977385891652e-22,3.56436984811359e-19
"Scn1b",-0.917055527815657,10.0303118278663,91.8755599168328,9.23019629153001e-22,3.70451102590263e-19
"Slc17a6",-1.19700843177351,9.44692717304698,90.5839147360947,1.7729586252953e-21,6.97340086501146e-19
"Snhg20",-0.738230165559297,10.5405215040227,90.2836814802405,2.06347498981038e-21,7.95692140188448e-19
"Syt1",-0.605810992381282,11.4391565951797,90.0422225882547,2.33131324455235e-21,8.81684735910893e-19
"Map1b",-0.717901193484859,10.6142121931028,89.9406339966642,2.4541453260517e-21,9.1062682985156e-19
"Ntrk3",-0.671842535339828,10.8352272767481,88.4340198925595,5.25590688915698e-21,1.91412342374372e-18
"Syp",-0.824283816008356,10.2171658406325,88.2266393518196,5.83685158767291e-21,2.08704587860319e-18
"Cntnap5a",-0.804295375283384,10.2501327352348,87.1406392802298,1.01072254242739e-20,3.54944098560304e-18
"Cit",-0.680726345517766,10.7218237329005,85.870324773133,1.92130478888538e-20,6.62883859267017e-18
"Map1a",-0.845348824395101,10.1194829310192,85.194430754541,2.70422469729371e-20,9.16918670637555e-18
"Rsrp1",-0.562734720545004,11.72760479602,84.1964678513764,4.47970274380981e-20,1.4699092308349e-17
"Slc24a2",-0.66570131483396,10.7804933532922,84.1942985091382,4.48462086088142e-20,1.4699092308349e-17
"Auts2",-0.811501832330622,10.187019398758,83.4823501120322,6.428739028913e-20,2.07258330725579e-17
"5330434G04Rik",-0.589914310398419,11.324515036255,82.5024360758575,1.05539980092607e-19,3.34766007822776e-17
"Gria2",-0.553435370387605,11.7919515207672,82.4482992644395,1.08470574107997e-19,3.38600366731407e-17
"Aldoa",-0.844145145033339,10.0756475902426,81.3086230641645,1.93082244795365e-19,5.93305535335258e-17
"Olfm1",-0.965085680997668,9.85354050344491,80.6813213931662,2.65217265612253e-19,7.99841920654348e-17
"Ank2",-0.60143899610363,11.1450056808253,80.6575232211515,2.68430625257739e-19,7.99841920654348e-17
