"","logFC","logCPM","LR","PValue","FDR"
"AY036118",-1.51771468312964,12.5504265857065,248.651836048405,5.10922108778076e-56,1.00477941912296e-51
"Xist",0.989830823091334,12.3849321191171,129.425476833832,5.47333321059397e-30,5.38192854597705e-26
"Tcf4",1.00348864131605,11.8102761263864,112.457198761246,2.83724237410138e-26,1.85990695096926e-22
"Ptprd",1.0365325147621,11.5420309388462,105.490673450525,9.53456165678638e-25,4.68766723855903e-21
"Ntng1",1.36534211545165,10.8322946005635,101.627975889919,6.69924452614121e-24,2.63494685702186e-20
"Meg3",0.753196251745014,15.0875619097322,96.6481935821528,8.28078968705651e-23,2.71416683309422e-19
"Atp6v0b",1.04428779463628,11.340259495849,95.0810077006951,1.82751669653059e-22,5.13427762199581e-19
"AC149090.1",0.985929229782777,11.4089884042598,88.7436408720453,4.49439898384668e-21,1.10483563020411e-17
"Erbb4",1.08799603265692,11.1043033298693,86.2086302431442,1.619194908424e-20,3.53812078545182e-17
"Auts2",1.10703597619847,11.0485856830301,84.5691830022436,3.71003059637683e-20,7.29614617083467e-17
"Snhg11",0.697779084311524,14.5966812803288,81.4028964618575,1.84087941738121e-19,3.29115769292899e-16
"Ly6h",1.01251309736066,11.1784963994424,79.7026902838934,4.35207665751587e-19,6.85990710461417e-16
"Celf2",0.927966334228866,11.4415108795286,79.6214877475492,4.53466858334101e-19,6.85990710461417e-16
"Cacna2d1",0.968126026864127,11.2358536741952,76.2578909105489,2.48935949046347e-18,3.49683883853247e-15
"Dlgap1",0.863021263259467,11.5650421286327,73.7764091266622,8.74859423546514e-18,1.14699902823105e-14
"Miat",1.00334544074679,11.0708099203042,71.212212473201,3.20796303882658e-17,3.94298757009773e-14
"Tenm1",1.02199979829936,11.017108012049,69.7945045966621,6.581599143816e-17,7.61374875072268e-14
"4930402H24Rik",1.17757504040764,10.7661465708706,69.1990790394441,8.90096003152891e-17,9.72479333222487e-14
"Snap25",0.830862634875104,11.5510557802519,68.0685518067777,1.57909136617999e-16,1.5477742894732e-13
"Rbm39",0.864028347578497,11.4220638394439,67.9984214672664,1.63626471689863e-16,1.5477742894732e-13
"R3hdm1",0.883167981970994,11.3342697715874,67.9786382445109,1.65276416551089e-16,1.5477742894732e-13
"Luc7l2",0.813074161818139,11.6164215661198,67.0142340032523,2.695538408583e-16,2.40956628832697e-13
"Gria1",0.974194527308625,11.0556416825217,66.0560631507394,4.38277562746523e-16,3.74746371694484e-13
"Pnisr",0.816537220536832,11.5544240760778,65.5440898840675,5.68282859934914e-16,4.65660446811667e-13
"Ptprt",1.15929987175665,10.7331680483261,63.819393736864,1.36364521567746e-15,1.07269787246052e-12
"Adgrb3",1.06278049675299,10.8620444450267,63.6407992215276,1.49304698018435e-15,1.1293177658579e-12
"Grin2a",0.823821110317007,11.4356999985096,63.1575405511894,1.90817609554334e-15,1.38985892944279e-12
"Ptchd4",1.09794011708873,10.7900955293997,63.0112182204856,2.05532628469563e-15,1.44357309695801e-12
"Slc6a1",0.816138143983378,11.3906206051618,60.3248048586374,8.04274626594168e-15,5.454091312621e-12
"Hbb-bs",1.32490637408368,10.531780596924,60.0881438876798,9.0703064877579e-15,5.94588824627489e-12
"Galntl6",1.07156779605741,10.8021191988626,59.6795589900273,1.11629979309929e-14,7.08166184873892e-12
"Meis2",1.24293803216249,10.5951056091982,57.8344148502074,2.85137197079028e-14,1.7523462867988e-11
"Ttc14",0.796862983767795,11.4003108160308,57.4764169323413,3.42056069775186e-14,2.03844686915115e-11
"Lrrc7",0.914109557367849,11.0422139634795,56.9992174345825,4.35985357779849e-14,2.52179060179368e-11
"Ogt",0.834387693208286,11.240143481102,56.3425315653599,6.0884094038952e-14,3.38797326665046e-11
"Pam",0.948055952924917,10.9440253708471,56.3062099312536,6.20192401095376e-14,3.38797326665046e-11
"Kcnq1ot1",0.739351741162423,11.6544877741816,56.1448019684871,6.7325359334833e-14,3.57843382886169e-11
