"","logFC","logCPM","LR","PValue","FDR"
"C130073E24Rik",1.54898893040824,12.0848531964637,58.6799595063821,1.85521561945735e-14,3.64846703722483e-10
"Col19a1",1.46972576836407,10.8341780763255,34.4335496174868,4.41054786725209e-09,4.33689171786898e-05
"Plp1",-2.34746887162424,9.70683204808639,27.1074861846327,1.92451230290427e-07,0.00126158196496385
"Serpine2",1.41145259234453,10.371708450076,23.5007210819636,1.24866959215263e-06,0.00613908404981841
"Ndnf",2.1031558938776,9.75747959451116,22.9898595485016,1.62858172221728e-06,0.006405537629825
"Npy",-1.66840777645181,9.96494731728044,22.037718280106,2.67344834031771e-06,0.00876267251011466
"Ptprz1",1.26249686232461,10.3234303414149,18.1829164483021,2.00670805727437e-05,0.0563770295062253
"Nrip3",-1.49733490849668,9.93479650190397,16.5107972219779,4.83738206048436e-05,0.118914944501857
"Snx7",1.71992122018318,9.59472805120529,15.6006850747008,7.82262416232321e-05,0.170933029751387
"B4galnt1",1.68948581940199,9.72732657034923,14.7254685490461,0.000124355069721958,0.237829670930594
"Cadm4",1.76341755273132,9.63808256363406,14.5983937403421,0.000133027884686085,0.237829670930594
"Map2",0.876404144279367,10.9779706532743,13.938306215476,0.000188909137247206,0.309590591091963
"Cntn5",1.10096254057312,10.2732268804169,13.5586456158317,0.000231223884622425,0.349788378075739
"Hip1r",1.56297526816236,9.58534868829363,13.2131592628554,0.000277990385797629,0.373999653007342
"Kcnc2",1.4723318469008,9.81792224982673,13.1647578894363,0.000285263642586705,0.373999653007342
"Wls",1.43601674430063,9.82432564070521,12.9896097064239,0.000313224252095285,0.384991758856617
"Pde4d",1.10019501443487,10.2081038664306,12.5835994885193,0.000389146532547429,0.407849182569546
"Mapkap1",1.59987806167768,9.6820923157803,12.49043103718,0.000409041804192994,0.407849182569546
"E330009J07Rik",-1.48387423843834,9.57315090810769,12.4793918280593,0.000411466134956376,0.407849182569546
"Cog2",1.62809056097113,9.6209160468018,12.4151152947957,0.000425872719414447,0.407849182569546
"Rasgrf2",1.17166359499458,10.0623312919684,12.3290827122418,0.000445955494366167,0.407849182569546
