"","logFC","logCPM","LR","PValue","FDR"
"Plp1",-1.53259048666631,11.0536289404168,136.685111539159,1.413069067768e-31,2.77894162867256e-27
"Nnat",2.11328480255786,10.3742548993988,97.705334298571,4.85512693639265e-23,4.77404631655489e-19
"Mbp",-1.33991494645631,10.7013052248563,81.167195601033,2.07406410170248e-19,1.35961815413603e-15
"Cldn11",-1.6778328335191,10.3035223423641,74.4527727706628,6.21063894843126e-18,3.05346063899623e-14
"Mag",-1.55815107568368,10.3820606827314,73.0669203022084,1.25327551434437e-17,4.92938325301926e-14
"Baiap3",1.72701348247675,10.3123682223278,63.3163646669715,1.76035750245001e-15,5.76986510719698e-12
"Hap1",1.47844317352495,10.4435512360997,57.6629965089072,3.11100609143424e-14,8.74014939916369e-11
"Mobp",-1.37777563771492,10.246776988807,46.2490798939698,1.04135439015721e-11,2.55990942960396e-08
"Mog",-1.32160156235961,10.2295137824918,41.5978926807359,1.12114053667277e-10,2.44981664380074e-07
"Pde1a",1.40119876706771,10.2334014685612,40.1935641067144,2.30004735792897e-10,4.52327313410311e-07
"Mal",-1.13308857497161,10.3887120057098,39.2936831095025,3.64619017540328e-10,6.51872508995281e-07
"Gm32647",1.36630377444359,10.1832686528803,37.9466329526632,7.27064397226068e-10,1.19153736965399e-06
"Meis2",1.34415798119584,10.2410517783208,36.9406746802564,1.21778747695334e-09,1.82173991536446e-06
"Ptgds",-1.16448877316219,10.3318139482382,36.8179963957808,1.29687576604813e-09,1.82173991536446e-06
"Ly6h",0.874156254379389,10.9480014733302,36.0289204121028,1.94410566553098e-09,2.54885213455548e-06
"Ugt8a",-1.19653441497306,10.1399560539728,34.5229203535755,4.21261514048878e-09,5.17783058455327e-06
"Olig1",-1.12105210791801,10.135385374789,30.4912916162169,3.35368554956839e-08,3.87962235398894e-05
"Clic4",-1.14994930619252,10.2110288711259,30.1675614947654,3.9628247993652e-08,4.32960625023978e-05
"Atp2b4",1.11869591871825,10.3172336950563,29.1404439745329,6.73169508421636e-08,6.66344491228683e-05
"Ralyl",1.13359508100078,10.306146202841,29.1275588066424,6.77661437230431e-08,6.66344491228683e-05
"Nfasc",-0.85960300767818,10.5696731230275,29.024058914512,7.14849568311314e-08,6.69439600495728e-05
"Tspan2",-1.07494087936008,10.2551689846219,28.328311889858,1.02387503362517e-07,9.15251200512391e-05
"Kcna4",1.14739793724447,10.2491351595382,27.0887745081425,1.94323078248419e-07,0.000166154680731887
"Rprml",1.05057406668906,10.1365718057801,26.8370971539147,2.21347252832346e-07,0.000181375628091705
"Sgcd",1.12696608597048,10.2168008902016,26.1038198865343,3.23543298828751e-07,0.000254512100590648
"Rreb1",1.08745046408372,10.2715192500808,25.7935858315315,3.79949035927914e-07,0.000278484368316385
"Nkain3",1.0484771191232,10.3159263400774,25.7814834779053,3.8233895782276e-07,0.000278484368316385
