"","logFC","logCPM","LR","PValue","FDR"
"Calm1",-1.50962954992127,10.7659013065338,756.452121481663,1.58666781398112e-166,3.12034092297527e-162
"Oaz1",-1.73738392869438,10.1549272265329,505.828715885449,5.12594444577727e-112,5.04034117353279e-108
"Syt1",-0.918425196119215,11.7616118719874,474.125674836998,4.05508497664388e-105,2.65824337168929e-101
"Actg1",-1.26113669177839,10.4889048123323,430.449465605071,1.2973645023888e-95,6.37849257599453e-92
"Atp6v0c",-1.14097250973797,10.6867927510163,425.434045941735,1.60206362882099e-94,6.30123666487871e-91
"Map1b",-0.991367090940325,11.0836498520889,422.541439440075,6.82772218719426e-94,2.23789974222271e-90
"Atp5g3",-1.68035427245736,10.0638736788441,418.80125572379,4.45008197017032e-93,1.25021874321956e-89
"Pea15a",-1.38606857988322,10.2551370468388,389.153674818835,1.26509687569412e-86,3.10992439467506e-83
"Hnrnpa2b1",-1.25143309219831,10.3932910536718,381.611847261518,5.54675134921083e-85,1.21202680037311e-81
"Rpl8",-1.45517952758281,10.1678221730434,374.007924502711,2.50932683109862e-83,4.93484214603855e-80
"Plk2",-1.21601513419908,10.3474504813621,344.781041417879,5.80317781592369e-77,1.03750268116323e-73
"Cst3",-1.48493626942192,10.067271885197,333.669392735511,1.52616641799185e-74,2.50113239801897e-71
"Pdlim7",-1.21610920769117,10.2923751158235,320.875344295087,9.33755350049773e-72,1.41255636262145e-68
"Ctxn1",-1.34927036869964,10.1250214906777,306.610334717072,1.19578572744972e-68,1.5945105178769e-65
"Pgrmc1",-1.39758034587839,10.0840159223771,306.576599509682,1.2161933167982e-68,1.5945105178769e-65
"Lrp1b",-0.978792603427965,10.6237175754825,302.437314042075,9.69995611258266e-68,1.19224585568782e-64
"Ly6h",-1.29179721494047,10.1273235463742,283.113383309822,1.57452340238253e-63,1.82144571948557e-60
"AC124490.1",-1.40402192556101,9.97039073503831,273.684118495612,1.78645234010484e-61,1.95179842891677e-58
"AC149090.1",-0.809841865967435,10.9577344766931,266.707252627962,5.92332048032304e-60,6.13094845084383e-57
"Tmeff2",-1.23531902978287,10.1312338056104,262.489639093093,4.91862848180736e-59,4.83648738616117e-56
"Actb",-0.9336554643925,10.5576557325756,261.51302278622,8.03002533042295e-59,7.5199275308618e-56
"Snrnp70",-0.886734776521269,10.6705543064727,261.002578935884,1.03747935337443e-58,9.27412225611891e-56
"Chd3os",-1.35689949130331,10.0004891295772,260.045930696246,1.67688913055748e-58,1.43381311484971e-55
"Sncb",-1.14592402868552,10.2143786216866,258.72737735596,3.25027461449163e-58,2.66332919035802e-55
"Col6a1",-1.29095373047786,10.0496383982698,250.829203632356,1.71264355647746e-56,1.34723392726743e-53
"Slc25a4",-1.18590670334905,10.1412078654035,247.000100539993,1.17073964090916e-55,8.85529453004596e-53
"Mtif2",-1.29132575981741,10.0155554130538,240.168261843266,3.61423997978813e-54,2.63250531268568e-51
"Rpl27a",-1.25356922715461,10.0096711585481,224.740172255247,8.36527033123801e-51,5.87540736907596e-48
"Snhg20",-1.24634853706876,9.99574307726647,219.536019005457,1.14180029745085e-49,7.74298091367876e-47
"Ube2b",-0.998242946249602,10.2845475083067,219.170661891701,1.37178136455911e-49,8.99248410513982e-47
"Camk2d",-0.946332390078706,10.3315417918575,210.198437224069,1.24329023715656e-47,7.88727283997447e-45
"Hap1",-0.99514542908412,10.2584968373583,210.046297954444,1.34203829806476e-47,8.24766411554423e-45
"Dgkg",-1.15576236143857,10.0551931356243,205.918563255864,1.06748158823955e-46,6.36154330736937e-44
"Uchl1",-0.894096962906615,10.3903590055112,202.719573386986,5.3257359393437e-46,3.08046832303333e-43
"Mecr",-1.20437738088624,9.968968451458,201.952394646485,7.83043286068112e-46,4.39980836109014e-43
"Grm7",-0.927728985529407,10.3122173718119,198.258805797129,5.00965202884246e-45,2.736661577756e-42
"Grcc10",-1.1735760570705,10.0085322471425,198.076087785726,5.49139291941581e-45,2.91874954468193e-42
"Chgb",-0.900294800403259,10.3474877221994,195.775928820796,1.74448380097971e-44,9.02816274475444e-42
"Ckb",-0.783632631793857,10.604560150425,194.497368868544,3.31673875869823e-44,1.67248678021947e-41
"Ptma",-1.18104910540602,9.95622476244535,194.236598488348,3.78116164874679e-44,1.85900812460636e-41
"Ndufs3",-1.15139466515587,9.97462046986079,185.310519322883,3.35744755197575e-42,1.61042837944281e-39
"1700020I14Rik",-0.961300259414748,10.2028224222451,182.371701838163,1.47095666608733e-41,6.8875794750651e-39
"Tmem59",-1.11988045430697,10.0069832619632,180.300604686359,4.16664418706387e-41,1.90560987401856e-38
"Mdh2",-1.09339704482275,10.0260626074461,177.44417870433,1.75178747271834e-40,7.8296937360179e-38
"Prkcg",-0.860731923394051,10.3307399641757,175.911728127643,3.78539818575742e-40,1.65430312713568e-37
"Ccng1",-1.08526611852437,9.94616505306468,164.932234694493,9.46483790944351e-38,4.04642396363296e-35
"Rbm39",-0.675387041559419,10.7504724674077,163.386522783653,2.0595897869593e-37,8.61784952134929e-35
"Syngr3",-1.03490056375362,10.0282513251541,160.253188488832,9.9616199073194e-37,4.08135868952799e-34
"Olfm1",-0.722264688468847,10.561476581532,159.968170208186,1.14974827551652e-36,4.61447950740978e-34
"Lmo3",-1.01744819244143,10.0520803972615,159.852272539053,1.21877937899538e-36,4.79370305346463e-34
"Timm23",-1.04346436212199,9.9302301684072,155.618608811469,1.02567664122996e-35,3.9550895738095e-33
"Ndufb5",-1.05177849930361,9.97345771715722,154.79240901081,1.55438633482242e-35,5.87856955011881e-33
"Ddx50",-0.896524100300692,10.1791599785277,154.278080499935,2.01352783818384e-35,7.47132801240064e-33
"Mblac2",-0.917909672729782,10.1445755720859,152.416895330837,5.13701833747969e-35,1.87082597453473e-32
"Ptchd4",-1.03229038581256,9.99476971198782,152.038624124583,6.21418799765265e-35,2.22196765748795e-32
"Mettl26",-1.04028051863101,9.94236416065541,151.833893800613,6.88858279550756e-35,2.41912266529378e-32
"Gprasp2",-0.815374648426585,10.2999483665992,151.767540627896,7.12249243127114e-35,2.45738484479611e-32
"Osbpl1a",0.826573192449513,10.255473564369,151.592833588833,7.77707104854574e-35,2.63696343518449e-32
"Hint1",-1.03793006237301,9.97710437551566,151.312029482184,8.95755248826956e-35,2.98574961414083e-32
"Trim35",-1.00323333655864,10.0270913366881,150.322055262736,1.47423461170522e-34,4.83204964563248e-32
"Ndufs7",-1.02977147162695,9.97935333948822,148.970689570944,2.91036527611045e-34,9.38282680655542e-32
"Erp29",-1.02610264170518,9.96069512866145,146.753909333372,8.88235587297689e-34,2.81742597738651e-31
"Arnt",-0.941283883731079,10.0871849996922,145.974128351818,1.31521592277574e-33,4.10556132338217e-31
"Tmem59l",-0.880559558641404,10.1650467144214,145.941317223815,1.33711903489208e-33,4.10871608440432e-31
"2900055J20Rik",-0.639713653538929,10.7333783168361,145.05836203382,2.08545863605943e-33,6.30963531334533e-31
"Gnptg",-1.01764753918699,9.96129288265247,144.52558695657,2.72697124279943e-33,8.12554794862024e-31
"Ndufb9",-1.01367637435433,9.96429030669253,143.310548952901,5.02726020821818e-33,1.47561342171371e-30
"Srek1",-0.727709747279084,10.4352844515109,142.858603371761,6.31170528701602e-33,1.82538229668319e-30
"Klhl7",-0.926780573806127,10.091113747096,142.665465712432,6.95626013397881e-33,1.98263495354822e-30
"Cx3cl1",-0.69973480811804,10.4959214890591,141.793827714973,1.07885301434859e-32,3.03096048288276e-30
"Kirrel3",-0.812135212633513,10.2523061531005,141.716077916751,1.12192263603531e-32,3.10756768454512e-30
"Rprm",-1.00313495726514,9.95556979196625,140.306594308744,2.28123045133577e-32,6.23092750777351e-30
"Kif3a",-0.887868305621493,10.1242311425116,138.835822858328,4.78409418059843e-32,1.28882186514587e-29
"Cntn5",-0.740187151769529,10.3737737171068,137.556516298601,9.11128650214688e-32,2.41068452998426e-29
"Dnajc24",-0.990366957091039,9.94049272099657,137.538656953619,9.19360010926571e-32,2.41068452998426e-29
"Ntng1",-0.940697515286419,10.0497604529178,137.511726537115,9.31913064630547e-32,2.41144767487162e-29
"Ccdc30",-0.976800025214282,9.99116400652107,136.04395419347,1.95162093315371e-31,4.98449055472739e-29
"Vdac2",-0.951403205162818,9.99212790073541,129.516875316733,5.22701743936262e-30,1.31787852516033e-27
"Gm46218",-0.916357086569281,9.90809494128677,129.03322201552,6.66926890659696e-30,1.66022585211564e-27
"Usp11",-0.854447693401736,10.1247362476301,128.868529414022,7.24626085218158e-30,1.78131207398754e-27
"Trim9",-0.668710452652399,10.4893061677097,128.555479372419,8.48422450352684e-30,2.05988591464641e-27
"Cd34",0.941623767416524,9.9774215405411,128.28177117836,9.73874537231912e-30,2.33563617673205e-27
"Auts2",-0.704405130295813,10.3876196765905,127.51282289227,1.43470923193004e-29,3.39939659700436e-27
"Lhfpl3",-0.95515518177114,9.96025577732835,127.097984187704,1.76824267744949e-29,4.13979291603829e-27
"Blcap",-0.948782082165638,9.97824549737575,126.77322783431,2.08261477077394e-29,4.81843553906356e-27
"Nnat",-0.779097710601407,10.2240582985847,125.14954775598,4.72001031417204e-29,1.07934561440125e-26
"Dpyd",-0.895892246528697,10.0406646190295,123.159962312073,1.28647656515393e-28,2.90802852072612e-26
"Trmt112",-0.936863598124683,9.96149848694228,122.557708463749,1.74271928064835e-28,3.89458151968528e-26
"Nkain3",-0.929568385343793,9.94759471078514,120.618814103627,4.63085341744041e-28,1.02326250907172e-25
"Dnajc30",-0.848944516072825,9.89572107347217,120.430046757519,5.09314475250103e-28,1.11290871891873e-25
"Matk",-0.686946752172247,10.3791418766466,120.197671809991,5.72609170772384e-28,1.23746504971535e-25
"Rab3c",-0.757319111438467,10.2303747214827,120.170325485564,5.80557309342579e-28,1.24100435277513e-25
"Prrc2c",-0.631858951940774,10.5333892628268,120.05894815475,6.14085026572864e-28,1.29855872393354e-25
"Ttc3",-0.514543512082006,11.1192219882919,119.979901109949,6.39048887718075e-28,1.33697185381528e-25
"Dync1i1",-0.848266953120017,10.0824291793924,118.882504429891,1.11120433426362e-27,2.30030994080297e-25
"Cd81",-0.868754281033843,10.0523441931483,118.706062911081,1.21457691764522e-27,2.48811142316781e-25
