"","logFC","logCPM","LR","PValue","FDR"
"Calm1",-1.32252544096672,10.8114399681812,625.522161988829,4.70668943653602e-138,9.25617544589174e-134
"Rpl8",-1.52313511630495,10.4044665239406,479.433797510188,2.83758067017011e-106,2.79019307297827e-102
"Oaz1",-1.47143833593802,10.3730405928593,432.96189225303,3.68330374193184e-96,2.41452837962772e-92
"Actg1",-1.14152309377147,10.6572126927498,403.23035365284,1.09077267175039e-89,5.36278384066078e-86
"Syt1",-0.743247507293426,11.923068517572,395.162124036843,6.22436829476955e-88,2.44816853769876e-84
"Cst3",-1.43114220394974,10.3030399939955,367.245376851476,7.44675264714594e-82,2.4407972926462e-78
"Hnrnpa2b1",-1.11366559824731,10.6056984631717,359.328690637678,3.94239391374081e-80,1.10758741010895e-76
"Map1b",-0.828581497768354,11.2240228409366,358.080700238684,7.37070488959137e-80,1.8119035294838e-76
"AC149090.1",-0.858814992761681,11.1047289753568,352.452573042677,1.23897439065603e-78,2.70729670740461e-75
"Actb",-1.00480925706006,10.7253981816539,342.263112920517,2.05120756757593e-76,4.03390480239483e-73
"Atp5g3",-1.34030597297909,10.3128819411712,332.609253503324,2.59713865630951e-74,4.64321171045298e-71
"Atp6v0c",-0.909917743253358,10.8890210714513,331.679229410337,4.14048981623161e-74,6.78557272716757e-71
"Pdlim7",-1.09673938417752,10.5093904999482,308.73714780391,4.11462561181717e-69,6.22447902169204e-66
"Rpl27a",-1.30089183258143,10.2686003535204,294.125129358637,6.27696117452454e-66,8.81733703272854e-63
"Pea15a",-1.17636633829571,10.3806651582596,289.350022738092,6.88939388621594e-65,9.03245467775484e-62
"Slc25a4",-1.17967644720567,10.3732789915068,288.248255496206,1.19742827383917e-64,1.47178902708257e-61
"AC124490.1",-1.279249981138,10.2665151133826,286.739570952279,2.55263035884882e-64,2.95294286100711e-61
"Ctxn1",-1.20610916290204,10.3241039923022,277.063721110631,3.27698181872598e-62,3.58028469150362e-59
"Nnat",-0.891728936446892,10.7368040983904,273.704808076439,1.76800077813337e-61,1.82997385804057e-58
"Ly6h",-1.13229485957888,10.3570764987044,258.499910852589,3.64337039046059e-58,3.5825261049399e-55
"Tmem59",-1.19611538472436,10.2642730333925,249.844386553055,2.80779150450189e-56,2.62942989178734e-53
"Plk2",-0.987321519776215,10.4952543613041,249.735111210872,2.96611471997784e-56,2.65143691286746e-53
"Prkcg",-0.879205704343577,10.6593318068121,248.344571507896,5.9613239657699e-56,5.09719117873177e-53
"Cpne7",-0.941249069874007,10.5377616208898,240.6504214956,2.83717021238222e-54,2.3248245581962e-51
"Ptma",-1.15638392539065,10.2089820105234,229.318256849382,8.39499295708047e-52,6.60383725975778e-49
"Chd3os",-1.15254570193591,10.247233434009,229.10032268172,9.36588544020972e-52,7.0842116564294e-49
"Pgrmc1",-1.09531363385193,10.3150739202371,227.689943746112,1.90168319330531e-51,1.3851296918349e-48
"Uchl1",-0.863353836710025,10.6069994571123,223.975235034545,1.22833799017917e-50,8.62731961245125e-48
"Hint1",-1.12536449944458,10.2354314567487,216.213414120318,6.05851915481902e-49,4.10851164478176e-46
"Dgkg",-1.03056177912027,10.3480312653376,214.190797828183,1.67337934542556e-48,1.09695594023797e-45
"Tmeff2",-0.985378487694135,10.3424574138006,193.283591144836,6.10415352913468e-44,3.8723962356117e-41
"Sncb",-0.90989394892706,10.4276288641018,192.670478730101,8.3069969436107e-44,5.10516880915775e-41
"Tmem59l",-0.953388905052433,10.3742114418114,192.445302385448,9.30233193162788e-44,5.54362605355739e-41
"Olfm1",-0.774570995928971,10.6405683369818,188.620064805326,6.36131235936338e-43,3.67945790762471e-40
"Ube2b",-0.841423631128312,10.501869461821,185.122439670992,3.69035715453221e-42,2.07355896574373e-39
"Arnt",-0.967842158526626,10.3317953601548,183.555494575783,8.11245941528902e-42,4.4316563016965e-39
"Lrp1b",-0.638590668527229,10.9634071549022,178.779263151664,8.95285608438992e-41,4.75856399339492e-38
"Syngr3",-1.00821303920408,10.2550634992609,178.167738262485,1.21755466893142e-40,6.30116582084349e-38
"Snhg20",-1.01417796446501,10.236061411547,176.944340159413,2.25229768883702e-40,1.13573554740176e-37
"Snrnp70",-0.667238414538332,10.8348946276315,174.660493223964,7.10144342164462e-40,3.49142465825158e-37
"Zbtb20",-0.842255512623217,10.4733975904114,174.57447663023,7.41533323799429e-40,3.55682788922916e-37
"Gprasp2",-0.799444048866622,10.5268306517776,173.03297358399,1.60978617776205e-39,7.53763213615918e-37
"mt-Co1",-0.965660812951473,10.2935989505508,172.218858170022,2.42417326759016e-39,1.10869282512623e-36
"Vdac2",-0.986998505367231,10.2361612227908,168.145666322633,1.88011396928695e-38,8.40325484545391e-36
"Mecr",-0.983865228337634,10.2207833604606,165.65262423731,6.58790473102146e-38,2.87906076533929e-35
"Srek1",-0.72319387379965,10.6283218993457,162.771576453186,2.80623289620645e-37,1.19972556819122e-34
"Mblac2",-0.916400791029116,10.313060840041,161.472544692439,5.39416197023643e-37,2.25705509163127e-34
"Stmn3",-0.681296219544909,10.7089125950272,159.769192692057,1.2707999050731e-36,5.2065731110766e-34
"Camk2d",-0.832523740184244,10.4188678318205,158.909982975396,1.95798277340639e-36,7.85830392281837e-34
"Erp29",-0.949286172511245,10.2136791355632,154.225759483035,2.06724396140417e-35,8.13088394899488e-33
"Usp11",-0.885530491403445,10.3259822335028,153.472575120103,3.01990524310879e-35,1.16449914727407e-32
"Ndufb5",-0.945827657618434,10.2260143839961,152.90258358252,4.02312164102518e-35,1.52151365754618e-32
"Mettl26",-0.930506458644796,10.1912963418202,151.539500044583,7.98863782612536e-35,2.96423682053927e-32
"Nkain3",-0.930011867777811,10.2478451603886,151.19435507843,9.50405213695298e-35,3.46123498750587e-32
"Timm23",-0.902114203582651,10.1747490705442,149.708203360243,2.00789007854642e-34,7.17948477903526e-32
"Grcc10",-0.916222082664943,10.2519287343706,146.852928850777,8.45048856097503e-34,2.9676305007167e-31
"Ttc3",-0.530871605604623,11.1895809116047,146.109201575048,1.22876293497301e-33,4.2394476981016e-31
"Rbm39",-0.594901930903499,10.887416577105,145.136077702824,2.00544650286343e-33,6.79984671126071e-31
"Mdh2",-0.898035794897448,10.2642624796472,144.610232631205,2.61321139311952e-33,8.71040936560823e-31
"Mtif2",-0.905604468067133,10.253034823499,144.303142723853,3.05009738661769e-33,9.99720253420391e-31
"Cldn11",-0.838722985689658,10.1665900274251,137.134329033828,1.1269758515305e-31,3.63329624527848e-29
"Ntng1",-0.806437275866105,10.3472610341576,132.725760736985,1.03804705679116e-30,3.29261829336371e-28
"Ywhaq",-0.872822104006513,10.2429949268753,132.540170939128,1.13976885222114e-30,3.55788797583823e-28
"Trim35",-0.855266252466645,10.2688882231376,131.91757539374,1.55962149377215e-30,4.79242442133175e-28
"Dync1i1",-0.805031335453664,10.3424032685932,131.885453380014,1.58506299600088e-30,4.79566905836206e-28
"Grm7",-0.729492672919565,10.4580898586952,131.426113016175,1.99773345026945e-30,5.95264030803014e-28
"Klhl7",-0.824398034880617,10.3056820776931,129.968879276882,4.16252892584589e-30,1.22179543068187e-27
"Hap1",-0.755902611987801,10.3936383243068,126.354655264998,2.57162742626979e-29,7.43729778897379e-27
"Sf3b5",-0.816185114617175,10.1721765617954,122.801571554562,1.54116223578488e-28,4.39253572883268e-26
"Rtn1",-0.579513156229893,10.7599049812225,122.689223559002,1.63094777766306e-28,4.58203128507454e-26
"Dnajc24",-0.836715559240492,10.1900995211741,122.302695898047,1.98174562519083e-28,5.48915626267647e-26
"Ckb",-0.592787330846658,10.7069631957497,121.70565699197,2.67755959570255e-28,7.31345652903977e-26
"Ndufb9",-0.835761594940197,10.2163038964032,120.20823814224,5.69567324636359e-28,1.53439876798612e-25
"Cltc",-0.657932950623634,10.5281327927081,119.840309879413,6.8563767169769e-28,1.82212843940632e-25
"Eef1a1",-0.572434555174994,10.7583288572943,119.256106290675,9.20443139299744e-28,2.41352463699584e-25
"Rps16",-0.689651497451989,10.468795936317,119.029883700358,1.03163540152343e-27,2.66949234294207e-25
"Rps7",-0.698156293536966,10.4386292797353,116.462864520466,3.76360845544243e-27,9.61235375126374e-25
"Gm46218",-0.75896084578794,10.1580428370735,115.65544208508,5.65483202744602e-27,1.42574264938145e-24
"Cpe",-0.661517758627632,10.4986526470219,115.356548867448,6.57470274666725e-27,1.63668486349314e-24
"Hspa5",-0.656522480722163,10.5040898749905,114.620051850129,9.53173683321957e-27,2.3431392070262e-24
"Pfdn2",-0.806163937566917,10.1901408921985,113.27628177358,1.87709270371261e-26,4.55739569274225e-24
"Ndufs3",-0.80784981141564,10.2101359018298,111.77735524522,3.99776068217588e-26,9.58780019215499e-24
"Rrp1",-0.762751702466925,10.304243813501,111.558379178317,4.46462875613744e-26,1.05784806166505e-23
"Auts2",-0.661886957900347,10.4745169495902,111.332782491729,5.00270691377144e-26,1.17122897816939e-23
"1700020I14Rik",-0.685828838649192,10.428637401846,111.094439090959,5.64180443271126e-26,1.30531442322e-23
"Atp5f1",-0.770559714190698,10.2847058805751,110.139330884166,9.13397083823039e-26,2.08870547098417e-23
"Rab3c",-0.575771988016964,10.6576617351835,109.735531493706,1.11976589159007e-25,2.53118574988623e-23
"Rreb1",-0.697864238179226,10.3970824637641,109.475095789141,1.27698879295895e-25,2.85377972753757e-23
"1500011B03Rik",-0.783610735995844,10.1817069285998,108.915232357267,1.69376722365815e-25,3.74265463151248e-23
"C130073E24Rik",-0.796969898790841,10.2171628205225,108.457317428035,2.13396582767288e-25,4.66295244077942e-23
"Snhg10",-0.591141087400217,10.1336160314964,107.281415554928,3.86239338783835e-25,8.34701410606912e-23
"Tm2d2",-0.787941483139406,10.2016054107001,106.922617199322,4.62895591528856e-25,9.8948964163114e-23
"Mid1",-0.781731254711081,10.1894177125688,106.553398860261,5.57693352388198e-25,1.17931155570605e-22
"Trmt112",-0.784317585656702,10.2036012793677,105.830661037856,8.031326526324e-25,1.68025603687966e-22
"Blcap",-0.774236023241603,10.2313605261475,103.810497117412,2.22622537490421e-24,4.60852086556486e-22
"Dnajc30",-0.706067323126502,10.154042806485,103.366827515496,2.78499008737854e-24,5.70516823524859e-22
"Atp1b1",-0.521718256736989,10.7925346483255,103.096529303658,3.1920980195646e-24,6.47173192296467e-22
"Cck",-0.737219313508555,10.2917547862106,102.835749653143,3.64119188297235e-24,7.30690607862594e-22
"2310035C23Rik",-0.713841500553265,10.3337658232019,102.564278784454,4.17595721259192e-24,8.29539136796289e-22
"Nrd1",-0.703897988913769,10.3432779124572,102.233074676916,4.93588871810391e-24,9.70691875302315e-22
"Rps3a1",-0.640451399033592,10.4596756155857,101.752885945117,6.28984917391425e-24,1.22471459261582e-21
"Mrpl4",-0.748952441680073,10.2602779234673,100.824088329457,1.00526318959859e-23,1.93818685163194e-21
"Mif",-0.746228503714087,10.2633972658576,100.285850526291,1.31915828272937e-23,2.51869580467532e-21
"Ndufs7",-0.74923297918029,10.2460927280057,98.8450766798028,2.73048073072982e-23,5.15564409893001e-21
"March1",-0.658432832636904,10.4064157671943,98.8290390714533,2.7526829573256e-23,5.15564409893001e-21
"Hbs1l",-0.750425840380918,10.2433483932082,98.7792315352337,2.822793550594e-23,5.23708094018695e-21
"Tor1aip2",-0.718193092466997,10.3035975363572,98.548812086111,3.1711106365771e-23,5.82832353074067e-21
"Ccdc30",-0.754001831248846,10.2276371712683,98.2744512744503,3.64235062166576e-23,6.6324506783036e-21
"Smdt1",-0.620647193090701,10.1405248501948,97.305540455567,5.94138479963903e-23,1.07195663733671e-20
"Dock4",-0.625718758743062,10.4537279022962,96.6953954895494,8.08570797703076e-23,1.44557757342079e-20
"Samd5",-0.719171670625933,10.2842602533031,96.351856377853,9.61776661179715e-23,1.70399097466309e-20
"Cadm1",-0.672649117065285,10.3619451080899,95.8518347048216,1.2381122291914e-22,2.1739924195784e-20
"Selenof",-0.736593959987928,10.1840580144216,95.7962972736898,1.27333643898017e-22,2.21605614238797e-20
"St6galnac5",-0.617374360596389,10.4535443349955,95.2982590830643,1.63757094517036e-22,2.82495352699301e-20
"Sgcz",0.696842901478713,10.2930396267818,95.196750883757,1.72372963333798e-22,2.94772756254128e-20
"Kirrel3",-0.62710432341189,10.4372222403478,95.1267508982119,1.78577191972825e-22,3.02749918735999e-20
"Pebp1",-0.731033533610757,10.2399706998803,93.7802222264231,3.52577301415103e-22,5.92631214498241e-20
"4732440D04Rik",-0.738109640795183,10.207792885132,93.724896267737,3.62571593160061e-22,6.04265504329301e-20
"2900097C17Rik",-0.57284585089237,10.5480610929237,93.463755274608,4.13707493315434e-22,6.83695089373221e-20
"G3bp2",-0.638439476692191,10.4027404157304,93.3968178801556,4.27938210496838e-22,7.01319403969234e-20
"Lhfpl3",-0.732467632201177,10.1893678762491,93.3228787201549,4.44227281099476e-22,7.21997827281182e-20
"Gm13306",0.725862011276177,10.1969881883567,93.2196021601144,4.68022775580046e-22,7.54437369225999e-20
"Phf6",-0.735026968597321,10.2009255220051,93.198297395463,4.73087943194256e-22,7.56402235029125e-20
"Ddx50",-0.649820925904553,10.3821706655011,93.1613993350779,4.81990441753081e-22,7.6442129254162e-20
"Fau",-0.586528248998522,10.5081376216146,92.2798791293849,7.52454588344939e-22,1.18382175475133e-19
"Nap1l5",-0.691285842325811,10.3087259341937,92.2425496574042,7.66782754855406e-22,1.19678965531638e-19
"Kmt2e",-0.59844868905168,10.4766758101027,91.7459516719873,9.85496788769138e-22,1.52604565731763e-19
"Ptchd4",-0.728676332748225,10.2336276238458,91.6617584926476,1.02833061212295e-21,1.57993357953202e-19
"Syt5",-0.674131544531122,10.3327393904046,91.5767260614516,1.07348178861879e-21,1.63651882596722e-19
"Cttnbp2",-0.514440991288735,10.6871538934098,90.7060957258786,1.66678955363748e-21,2.52146795091036e-19
"Atxn10",-0.694960324697485,10.2821974060664,90.1371866492141,2.2220579018408e-21,3.32186791501803e-19
"Timm13",-0.719276015275038,10.1913646594177,90.1304219735875,2.22966828425903e-21,3.32186791501803e-19
"H3f3b",-0.613879617313953,10.4293743923407,90.074211677465,2.29392271407251e-21,3.39190105977068e-19
"Ahsa1",-0.721585717880064,10.2192106437374,89.7540258862348,2.69688975806503e-21,3.95798761060499e-19
"Prrc2c",-0.518942449543572,10.6706483840847,89.7248121403027,2.73700804609271e-21,3.97080960190041e-19
"Mrpl2",-0.619599329875764,10.1442056531208,89.7183166647737,2.74600887754732e-21,3.97080960190041e-19
"Tenm3",-0.713701720595605,10.246831595188,89.6387832402306,2.8586494969052e-21,4.10351832161588e-19
"Ccng1",-0.70853072339432,10.1805798799738,89.353581628435,3.3019385072441e-21,4.70550164372916e-19
"Ak5",-0.711267119545747,10.2418434366291,88.7525616041064,4.47417689236299e-21,6.33015559461946e-19
"Nefl",-0.64228948392018,10.3548295009658,87.8436238556155,7.08392278842755e-21,9.95088753980116e-19
"Uchl5",-0.633235226704532,10.1492932117068,87.2780246609067,9.42897408406169e-21,1.31510783217842e-18
"Rpl32",-0.643531873520729,10.3528089891837,86.45571048177,1.42902062027845e-20,1.9790929238307e-18
"Ndufa6",-0.652084814754417,10.1557215598567,86.0916013520315,1.71790889464905e-20,2.36254519735443e-18
"Nt5c",-0.634272080788545,10.1498246847635,86.0728844859298,1.7342456757408e-20,2.36844968466101e-18
"Negr1",-0.563127343781506,10.5098456802631,85.5756084478085,2.23009403477991e-20,3.00823225818549e-18
"Oxct1",-0.682932483313112,10.2717610885741,85.5727626946527,2.23330575457684e-20,3.00823225818549e-18
"Rpl9-ps6",-0.563416441154574,10.5120994253874,85.4715762742699,2.35056233369639e-20,3.14463665676688e-18
"Mtf2",-0.631234783421304,10.3663150043032,85.4147632007662,2.41907739611693e-20,3.21443081567807e-18
"Tiam1",-0.683277269307864,10.2697478206067,84.7461377353839,3.39241136030584e-20,4.47752763837414e-18
"Bmyc",-0.639300422325814,10.1533920092303,84.3184442204924,4.21167705555444e-20,5.52178939830224e-18
"Matk",-0.516797640801336,10.6165219036817,83.959693716844,5.0496561985921e-20,6.57659197361008e-18
"Adprh",-0.692937375403557,10.1932173168763,83.0614883933274,7.95403198617874e-20,1.02910521736968e-17
"Tax1bp1",-0.670679775891643,10.2765472261855,83.0090541753229,8.16784111226109e-20,1.04986119812893e-17
"Dlk1",-0.606536253765541,10.1474603449417,82.3429155830938,1.14410815103269e-19,1.46104096741616e-17
"H2afz",-0.67630055879354,10.259426377467,81.7680814735536,1.53030125747119e-19,1.94160674383409e-17
"BC031181",-0.683264026795347,10.2382004647136,81.5697001882913,1.69188236655047e-19,2.12245366590697e-17
"Kif3a",-0.627095032773785,10.3462599297806,81.5667346445584,1.69442299169834e-19,2.12245366590697e-17
"Rpsa",-0.5413084900508,10.5366034652415,81.4174088299965,1.82741089314532e-19,2.27454826737948e-17
"Amph",-0.620367734351889,10.3563638182912,81.353083135923,1.88786965855188e-19,2.33502167956486e-17
"Stx18",-0.678363164339165,10.1835378767444,81.0433492607383,2.20820267789587e-19,2.71415711646876e-17
"Cerkl",-0.595797826527685,10.145355684691,81.0140444473569,2.24119216941007e-19,2.73759535426201e-17
"Dynll1",-0.575931270554401,10.4414938071588,80.9945172235425,2.26344792094768e-19,2.74771400082451e-17
"Ppp4r3b",-0.684281615540568,10.221574695515,80.5640093296443,2.81439051037832e-19,3.39557078387116e-17
"Tiprl",-0.68171538257917,10.198592341539,80.4955725804653,2.91356979135428e-19,3.4937965559008e-17
"Tspan13",-0.666301334030699,10.2643422383947,80.4830011104511,2.93216500867636e-19,3.49478527640178e-17
"Lypd1",-0.676134606423896,10.238980793285,80.0903313559538,3.57678348682647e-19,4.23741108746563e-17
"Ankrd10",-0.606853136816086,10.3702145823998,80.0423287425238,3.66474202707007e-19,4.31561776672815e-17
"Arpc5",-0.676068986829094,10.1915685708522,79.4081703009845,5.05167716555534e-19,5.91346923439353e-17
"Ankrd12",-0.566434756623167,10.4461599077378,79.1375826395247,5.7931735368677e-19,6.74133436544617e-17
"Ndst4",-0.676713169030699,10.1936997543613,79.1113871799414,5.87049859133294e-19,6.79113089983257e-17
"Tmbim4",-0.62663548996884,10.1557848778966,79.0021921529085,6.20410540654876e-19,7.13508403071275e-17
"Rps8",-0.502429058777666,10.6228945246505,78.8437240791759,6.72226566043241e-19,7.68605095802696e-17
"Lingo2",-0.607328181199736,10.3637143818216,78.7044893542939,7.21314631656139e-19,8.19963788794776e-17
"Bex1",-0.626931278514497,10.157124399569,78.5265746361432,7.89292696278657e-19,8.92082193391728e-17
"Nr2f2",-0.65606120774739,10.1724196791514,78.4408937891628,8.24280100018361e-19,9.26302425540633e-17
"Cpne9",0.645067309959608,10.1678250418745,78.3950991184911,8.43612033757902e-19,9.4264058272062e-17
"Ddn",-0.663993198333983,10.2434868185063,77.6059173580359,1.25792693571179e-18,1.39764921568973e-16
"Chchd2",-0.657241612922709,10.1776859260439,77.1927352327484,1.55062861702845e-18,1.70912401025731e-16
"Alcam",-0.626476640055918,10.31539235892,77.186355838146,1.55564526510759e-18,1.70912401025731e-16
"Romo1",-0.465129938483178,10.1282440551195,77.0207025911926,1.69175264354219e-18,1.84833374932782e-16
"2900055J20Rik",-0.491051649863593,10.6360198682538,76.9736070136155,1.73257926365095e-18,1.8824808728707e-16
"Srrt",-0.615758458295412,10.3318211138158,76.9571022782006,1.7471190441345e-18,1.88784852318402e-16
"H3f3a",-0.664682819832732,10.1982494442065,76.3514406564379,2.37418133143047e-18,2.5514016428367e-16
"Pak7",0.565516878052391,10.4145721949739,76.126451135588,2.66069296587895e-18,2.84376021016171e-16
"Fam212b",0.538040646280713,10.4682127869294,75.8377893584457,3.0795085907106e-18,3.27360086188728e-16
"Rundc3a",-0.649360357746875,10.2594946371542,75.8041821294871,3.13236959912443e-18,3.31189142668716e-16
"Gm28928",0.495991908014985,10.5816750376484,75.7393329323013,3.23695051390783e-18,3.39435460514726e-16
"Rmst",-0.661023578950783,10.2342741863141,75.7345000252467,3.24488287281442e-18,3.39435460514726e-16
"Eif3h",-0.658746356228023,10.2315829268916,75.5757537559648,3.51653268843076e-18,3.65905459527403e-16
"5330434G04Rik",-0.440907428381058,10.8142045152681,75.4238105437221,3.79782404816181e-18,3.9309477753237e-16
"Cntn5",-0.494782594322584,10.6122655810614,75.3357783071215,3.97098339991210e-18,4.08865756767912e-16
"Mrpl43",-0.518127949877462,10.1346082886314,75.1014196878981,4.47144679157841e-18,4.57997253141568e-16
"Rad50",-0.636663665863344,10.168879304363,74.9532469703774,4.81993825712425e-18,4.91134226759614e-16
"Emc3",-0.658035570566196,10.2197654241206,74.6671167983679,5.57164627546217e-18,5.64804101305356e-16
"Saysd1",-0.50121298776034,10.132885033015,74.5241909166375,5.98997597442981e-18,6.04096756477624e-16
"Rpl18",-0.607707378647861,10.3300180105285,74.2828628875068,6.76885704024422e-18,6.7916501302777e-16
"Ttll7",-0.614955471710758,10.3121519455518,74.1908532318967,7.09181361118396e-18,7.07957393287024e-16
"Camkv",-0.52762065264515,10.4941951491078,73.7362815990796,8.92826332246423e-18,8.86783972220109e-16
"Dpyd",-0.639578810053551,10.2574984184545,73.2741132871329,1.12838173267863e-17,1.11511332436472e-15
"Acot7",-0.635789559254405,10.2601163204592,72.9434803405286,1.33416311964123e-17,1.31188259554322e-15
"Lrrtm1",-0.636391476581939,10.259461926183,72.8664765200415,1.3872462350783e-17,1.35729275915671e-15
"Dnm3",-0.566557040772622,10.4028885421463,72.8136763478592,1.42486041045906e-17,1.3871933085192e-15
"Pdcd6",-0.622278910011736,10.1654099642675,72.7650639900619,1.46039267267942e-17,1.41478237935535e-15
"Enc1",-0.504028992205903,10.5385169582947,72.5622903643748,1.61842176609858e-17,1.56019031627916e-15
"Rps24",-0.554269048421469,10.4222435256684,72.518036493022,1.65512335211439e-17,1.58778808988691e-15
"Rapgef6",-0.557640912363385,10.4116844732947,72.3213658821269,1.82856874322648e-17,1.74566179147048e-15
