"","logFC","logCPM","LR","PValue","FDR"
"Cst3",-2.91720300197456,12.5512564480343,645.958715782295,1.69049946018385e-142,3.32453623839755e-138
"Calm1",-1.15507753151336,11.9084049731905,89.0668035098523,3.81702732940984e-21,3.7532829730087e-17
"Oaz1",-1.23577804372089,11.7309959638236,85.2821926466745,2.58682415845761e-20,1.69574946334091e-16
"Atp5g3",-1.19953294165535,11.6871668101398,82.5589544096711,1.02564933952342e-19,5.04260497776691e-16
"Hnrnpa2b1",-1.08939127693652,11.9201147869121,78.335700502652,8.69363990553962e-19,3.41938244764684e-15
"C1qc",-1.05233997410286,11.8940733082092,67.9968881839663,1.63753758199718e-16,5.36730234792611e-13
"Rpl8",-1.07115415733861,11.7372596965349,64.5067184564696,9.62037533761052e-16,2.70277573413498e-12
"Cartpt",-0.847293149670612,11.625317535032,64.2059890470385,1.1206756922247e-15,2.75490102041137e-12
"Mgp",-0.885198432771715,11.6341196820868,60.7831735664534,6.37202435167762e-15,1.39235812111213e-11
"Actb",-0.831969789626033,11.9703702342946,49.1144416686793,2.4145595138149e-12,4.74847273986837e-09
"Sf3b5",-0.769899941558144,11.6290572816551,47.6790292172317,5.02033197809943e-12,8.9754407892094e-09
"Pgrmc1",-0.908769962379396,11.6830869933578,47.3429291473198,5.95926957537701e-12,9.76624962244702e-09
"Atp6v0c",-0.799295485812135,11.9615940680489,46.2963502855114,1.01653135281813e-11,1.53777735265549e-08
"Actg1",-0.824436618342031,11.8729587232155,44.5133401221241,2.52629947859366e-11,3.54872896757306e-08
"Ddx50",-0.879918433858602,11.7093117604815,43.7849871583799,3.66505656808488e-11,4.80513349786381e-08
"Ptma",-0.782584714312731,11.6384768139839,42.9667244661676,5.56788778561963e-11,6.84363007449973e-08
"Tmem59",-0.837839998248989,11.665246634701,41.6452966850935,1.09428326082153e-10,1.26589262395977e-07
"Rpl27a",-0.818469069699845,11.6649112139403,39.4451704633159,3.37401169770885e-10,3.68629522484124e-07
"Gna15",-0.701999394027308,11.6314787836449,38.6284124801506,5.12671600765086e-10,5.30642089507694e-07
"Ndufs3",-0.710707145401341,11.6352998652899,36.004263140233,1.96886295870924e-09,1.9359829472988e-06
"Spcs2",-0.684635894259985,11.6307651154002,34.9762580869161,3.3375008385939e-09,3.12549007103751e-06
"C1qa",-0.728728916645249,11.9062693257287,33.5164096254823,7.06652760288924e-09,6.31683326538271e-06
"Ywhaq",-0.743206093500011,11.6586039718179,33.4070168784177,7.47537695440367e-09,6.39177231240446e-06
"Ndufb9",-0.729193950220703,11.6524866462243,32.9163634944432,9.6210035238714e-09,7.88361063751896e-06
"Bex1",-0.583769065179624,11.6182788351674,32.6515793326892,1.10249795925368e-08,8.67268994667316e-06
"Sst",-0.604894861970127,11.622515791701,32.3933033109529,1.25919663386743e-08,9.5243696160142e-06
"Ly6h",-0.750452188140644,11.6856240197798,32.2882453332178,1.3291497623894e-08,9.68113304709256e-06
"Snhg20",-0.737181911313706,11.6653427763946,32.1179724062323,1.45088889509854e-08,1.01904217896457e-05
"Cd81",-0.735586370045952,11.7818242692629,31.6024301097368,1.89192686135469e-08,1.28298736742763e-05
"Utp3",-0.601946387625611,11.6235675267618,31.0644132937868,2.49605926376375e-08,1.6362500493726e-05
"Grcc10",-0.706590824024546,11.6587225368726,30.2670022520062,3.76476549740987e-08,2.34776573396533e-05
"Tmeff2",-0.728818636504814,11.6958719561987,30.1943850901636,3.90839348309468e-08,2.34776573396533e-05
"Rplp2",-0.606712130013158,11.6248174533833,30.1789587862009,3.93960486224223e-08,2.34776573396533e-05
"Nrros",-0.711753181946681,11.662073937275,30.084435595009,4.13637761846195e-08,2.39252947778449e-05
"Tmem59l",-0.722182420818032,11.7113942491308,29.9698353930871,4.38819890425497e-08,2.42668575206658e-05
"Atxn10",-0.708997800884141,11.6682267779505,29.9027720648714,4.54262905476596e-08,2.42668575206658e-05
"Arhgap45",-0.729942928463017,11.7912776501338,29.8929861218589,4.5656144018338e-08,2.42668575206658e-05
"Mtif2",-0.692127761957117,11.6524306230367,29.7046038292006,5.03151849728768e-08,2.60394323072788e-05
"Mid1",-0.613435886377773,11.6271266512941,29.5153868665769,5.54745424371376e-08,2.73583856304453e-05
"Map1b",-0.602018765091536,12.0630042629501,29.5094036189143,5.56460604707521e-08,2.73583856304453e-05
"mt-Co1",-0.705533061447726,11.7088213426322,28.8188225838599,7.9474973397127e-08,3.81208494348268e-05
"Ccdc30",-0.652818015879137,11.6379172607283,28.6540264503783,8.65338772711657e-08,4.05184578670177e-05
"Pea15a",-0.702213119048432,11.689002707916,28.4697015126058,9.51763087861113e-08,4.35287741532015e-05
"Pdlim7",-0.687628124747275,11.7421067922406,27.9471715624999,1.24673061738369e-07,5.57231916396991e-05
"Selenos",-0.594905942212858,11.6265627373323,27.672271571412,1.43707930370328e-07,6.28035590813973e-05
"Cck",-0.672119286491324,11.6589549580406,27.3478832723407,1.69950378414045e-07,7.26574813454482e-05
"Erp29",-0.670506695532825,11.6639938145858,26.749863866482,2.31568043857679e-07,9.68939819256406e-05
"Hexb",-0.670278946331238,11.8444377361306,26.6849627227901,2.39477983889225e-07,9.81161256492812e-05
"Sncb",-0.682291201262147,11.711519613244,26.5193471658334,2.60911931607432e-07,0.000104716205040648
"Chchd2",-0.567209987650606,11.6241099019396,26.4340835220893,2.72686140248517e-07,0.000107252912682547
"Snrnp70",-0.593272510916053,11.9915505003092,26.3221292125229,2.88958753338029e-07,0.000111424761630307
"Ptgds",0.628478244464473,11.9168076355301,25.8999840260385,3.59572121131869e-07,0.000135987410272679
"1500011B03Rik",-0.570496713184442,11.6250198928769,25.862018593606,3.66714237230654e-07,0.000136071739422227
"Uchl1",-0.645067335080104,11.7997557369531,25.7355166373212,3.91554429336686e-07,0.00014259832235806
"AC124490.1",-0.61860452508122,11.6404511555688,25.1685791714671,5.2531121299247e-07,0.000185889737190478
"Camk2d",-0.653559032535813,11.759807890697,25.1538777521026,5.29331093393e-07,0.000185889737190478
"Gal",-0.358060509131339,11.6024786644597,25.0796713954029,5.50097337472692e-07,0.000189793232258561
"Tm2d2",-0.519798516447405,11.6170255067616,24.9990802722678,5.73576684598358e-07,0.000194482053091574
"Bex2",-0.627810212156009,11.6458235719986,24.9107746944184,6.00458875984342e-07,0.000200146173815391
"Ntng1",-0.652166731080126,11.6813927229031,24.857668268245,6.17230260693002e-07,0.000200223113676164
"Vsir",-0.675120237978178,11.6960132532515,24.8457690569155,6.21052066218142e-07,0.000200223113676164
"Lrp1b",-0.567841139464156,11.9797184652218,24.6209387397337,6.978929120752e-07,0.00021906621803005
"Tmbim4",-0.543199419790825,11.6232177311676,24.6102399558364,7.01778284139791e-07,0.00021906621803005
"Mif",-0.651612045548069,11.6836289562158,24.574056451156,7.15080125506464e-07,0.000219730714815783
"Syt1",-0.48036940721919,12.5405767826019,24.4868468327293,7.4818859990141e-07,0.000226367338548633
"Dnajc19",-0.412744606249676,11.606210635061,24.3268178694964,8.12992712311146e-07,0.000242247192125924
"G3bp2",-0.647668683888216,11.7277401886954,24.2312227690417,8.54359595639503e-07,0.000250773668773828
"Tial1",-0.649149787015181,11.7351927979854,24.1361663918983,8.97586278622634e-07,0.000259587231696952
"Sumo2",-0.6155188106329,11.6501613483115,23.8250011258783,1.05503184619732e-06,0.000300699366482848
"Tmsb4x",-0.605711023013397,11.8789645965073,23.7654453903045,1.08818609313405e-06,0.000305718110108203
"Hint1",-0.611767845739909,11.6484296099197,23.4624748929815,1.27374092422071e-06,0.00035280829599612
"Chd3os",-0.595972635869008,11.6425388552168,23.254585534788,1.41911684826209e-06,0.000387615999137808
"Usp11",-0.635283558482841,11.6965802572871,23.0037361844294,1.6168686635002e-06,0.00043174049549012
"Dnajc30",-0.45569954438374,11.6117556910925,22.9946008088473,1.62457015490028e-06,0.00043174049549012
"Mecr",-0.555819586051674,11.6311398648379,22.6125479932929,1.98185990735321e-06,0.000519670092506778
"Gm28928",0.62902948888047,11.6990786672175,22.4838156561088,2.11921619462467e-06,0.000548375074782746
"Rps16",-0.6145521748307,11.7652726434358,22.3607756062599,2.25941744813226e-06,0.000577061084869726
"Arnt",-0.621425730302882,11.6835271322047,22.20904979638,2.4451854316565e-06,0.000616500214089189
"AC149090.1",-0.504789665235073,12.1647577912115,21.9367194071251,2.81790187259682e-06,0.000701479218056824
"C130073E24Rik",-0.599099158704767,11.6542898615172,21.887764140639,2.89071256051176e-06,0.000710609415187803
"Anxa2",-0.314166568542839,11.6015655278207,21.4162552604061,3.69624162764416e-06,0.000897410961101853
"Cldn11",-0.598961895128435,11.6616812811887,21.2736684869508,3.98163457136409e-06,0.000954912505859101
"4732440D04Rik",-0.542436939634336,11.6324005115606,21.01419027434,4.55894257695525e-06,0.0010801947556434
"Dusp11",-0.606593619168953,11.7096405724142,20.9217035703984,4.78442995771878e-06,0.00112012618510116
"D430042O09Rik",-0.583289104252791,11.6576180866947,20.6233378609405,5.59103889091375e-06,0.00128189292751277
"Ndn",-0.584196557442045,11.6580550727231,20.6183050434199,5.6057557086392e-06,0.00128189292751277
"Hbb-bs",-0.564779718934521,11.6443491529739,20.452064507137,6.1143565246328e-06,0.00138212569440722
"Psmd7",-0.526900109698851,11.6297648214737,20.3953312800452,6.29832643994824e-06,0.00140753281554571
"Slc25a4",-0.597147516477187,11.7113392590501,20.3292060892427,6.51977625632005e-06,0.00144065078490775
"Nap1l5",-0.598945803414609,11.6976184419644,20.1443602851369,7.18116721932556e-06,0.00156916482816952
"Ctxn1",-0.573805753643588,11.6643416040325,19.8828561423454,8.23353775883039e-06,0.00177934894027647
"Wdr36",-0.408951920945763,11.6085439126475,19.8310581165102,8.45968793107935e-06,0.0018083502483979
"Dguok",-0.48356432642989,11.6206553432123,19.6931562558267,9.09264158292441e-06,0.00192275149859991
"Ccl25",-0.587257092952788,11.6844103081436,19.6030474817117,9.53170423043203e-06,0.00199415420633698
"Syngr3",-0.549360568066507,11.6497355324009,19.0826241430913,1.251794124006e-05,0.00259134560449496
"Smdt1",-0.421013114672861,11.6119004169771,19.014696787269,1.2971550309009e-05,0.0026428611489384
"Npy",0.537457826020799,11.6430626567468,19.0053024280604,1.30355706013945e-05,0.0026428611489384
"Neat1",0.578846213681713,11.7644344847661,18.9132760079007,1.36797352642681e-05,0.0027451599357867
