"","logFC","logCPM","LR","PValue","FDR"
"Cst3",-1.68713870757409,12.0701448032766,117.802171950888,1.91573440663835e-27,3.76748328409499e-23
"Cldn11",-1.42332110062823,12.2433374395794,102.553603863355,4.19852023929208e-24,4.1284049512959e-20
"Gatm",-1.28328059437543,12.1838118893057,78.9773391821401,6.2826463566111e-19,4.1184841083038e-15
"Ptma",-1.21452430351348,11.9699941510653,58.5206897867754,2.0116431617296e-14,9.89024360464358e-11
"Cd81",-0.96078530782002,12.3257186142391,52.2538771547297,4.87695550626159e-13,1.91820413972281e-09
"9630013A20Rik",0.893821402773481,11.8774436900935,46.7495105492151,8.06650813818322e-12,2.46124273625849e-08
"Mal",-1.01483122604214,12.1018270702239,46.5877427312538,8.76065247320727e-12,2.46124273625849e-08
"Ckb",-0.871650307923477,12.3614513407901,44.4219826532409,2.64698120371337e-11,6.5069415440284e-08
"Oaz1",-1.04910632828697,11.9490250994652,44.0353317279079,3.22501611876665e-11,6.70132797855868e-08
"Atp5g3",-1.01133618207584,11.9135441184829,43.9275584289389,3.40757041521341e-11,6.70132797855868e-08
"Sst",-0.874743630264209,11.8812962635413,43.3790103659343,4.51000002537376e-11,8.06306004536366e-08
"Calm1",-0.988748326484217,11.9905583706723,39.2842328380634,3.66388029198116e-10,6.00448915184179e-07
"Rpl27a",-0.873898988550569,11.8891639650167,37.3625876562842,9.80857574938351e-10,1.44972229683206e-06
"H3f3a",-0.906925889092756,11.9009207028771,37.2633875923628,1.03204068725968e-09,1.44972229683206e-06
"Ywhaq",-0.92704941279261,11.9394986113019,34.7970283988699,3.65931570113836e-09,4.79760683857246e-06
"Ttr",0.625563483389885,11.8629476418324,34.580053990207,4.09076553976742e-09,5.02806219406663e-06
"Rabac1",-0.816659388279122,11.8943616964731,30.7316303501387,2.96295560215856e-08,3.23170948673822e-05
"Actg1",-0.827102535133018,12.0895349853046,30.697553278552,3.01545045239756e-08,3.23170948673822e-05
"Snrnp70",-0.820875132909116,12.0905059323044,30.6300118259225,3.12226585213192e-08,3.23170948673822e-05
"Sec11c",-0.865110026117872,11.935131917363,30.3974773465218,3.51985601465063e-08,3.46107441920596e-05
"Vdac2",-0.785480411935112,11.8956075231282,28.3430830755438,1.01609214167092e-07,9.5154609800478e-05
"Tmem59",-0.832792838856959,11.9314917031073,28.1494266273518,1.12300934200408e-07,0.000100386825999329
"Actb",-0.703804131615269,12.3041978430705,28.0130576455514,1.20499609575857e-07,0.000103032405300817
"Cryab",-0.737794056486693,12.1762052369839,27.2624552493033,1.77627198850278e-07,0.000145550687191232
"Neat1",0.624812331956111,12.6147603650977,26.8571731190625,2.19059768285451e-07,0.000172321176124067
"Rpl8",-0.809031427043382,11.9527283400221,26.4333862923814,2.72784585343735e-07,0.000206330063668073
"Cpne7",-0.690234305123859,11.876280490744,25.7213207670065,3.94445185052905e-07,0.000287302185527794
"Hnrnpa2b1",-0.718041114066701,12.1308779332299,24.4020505613104,7.81854285277028e-07,0.000549140941937787
"Hint1",-0.732012237480886,11.8974092630316,24.2694668303454,8.37562784338645e-07,0.000565324569147499
"Man2c1os",-0.467238827874554,11.8555060002064,24.2021094714567,8.67372259937709e-07,0.000565324569147499
"Rbmxl1",-0.463307621848253,11.8546496857214,24.1500575690923,8.91135037301559e-07,0.000565324569147499
"Slc25a4",-0.77141996389083,11.971024293403,23.8694922165738,1.03092669107938e-06,0.000633568884586474
"Selenof",-0.682507233391768,11.8845759634088,23.2690030906383,1.40851829285702e-06,0.000839391537797762
"Lrp1b",-0.652431720044382,12.2580030014574,22.8197433756135,1.77928442883432e-06,0.00102915904639576
"Trim35",-0.674376214169017,11.8839544441292,22.516354708125,2.08362056277782e-06,0.00117075662821681
"Vkorc1",-0.600614409876807,11.8699093053571,22.1091996217345,2.57572412170176e-06,0.00140706084937185
"Atp6v0b",-0.726488177471167,12.0039604425136,21.8011034920615,3.02426147719521e-06,0.0016074358435276
"Hs3st1",-0.527907133875098,11.8623384677361,20.8569823817535,4.94884890454692e-06,0.00256115954096894
"Spcs2",-0.608286986881823,11.8750077869942,20.221495409859,6.89735384759022e-06,0.00347328812809679
"Ndufb5",-0.605924596943747,11.8770022603597,20.1719836005023,7.07820623289736e-06,0.00347328812809679
"Chchd2",-0.603704005015914,11.8754417425832,20.1284454524703,7.24116817105504e-06,0.00347328812809679
"Snhg20",-0.61154758959597,11.8805241714461,19.8207360232166,8.50549400909861e-06,0.00398259631387936
"Gnptg",-0.578202355760138,11.8733215980102,19.5601338880659,9.74822612708388e-06,0.00445833988407515
"Dnajc24",-0.584350476596372,11.8741229921818,19.1234234356944,1.22531820086333e-05,0.00547661539504049
"Atat1",-0.61307878826739,11.8861321121047,18.4053049908396,1.78560164923586e-05,0.00780347600752719
"Selenos",-0.625461597621734,11.8899937827355,18.3373944667984,1.85039225330503e-05,0.0079108291420645
"Sf3a1",-0.567453037072614,11.8740235465551,18.1789442685967,2.01089784593439e-05,0.00841411000811609
"H3f3b",-0.663389159561507,11.9817349345373,18.1255030314554,2.06812877955203e-05,0.00847329595388961
"Zfp36l1",-0.650140201363506,11.9899208431424,17.6407411942095,2.66810981014939e-05,0.0105029110496681
"Plekhn1",-0.502061790204975,11.864504093822,17.6391648317988,2.67032214219163e-05,0.0105029110496681
"Penk",-0.538794833866729,11.8695785459616,17.5196535681914,2.84353062267559e-05,0.0109648771030467
"Pam16",-0.512081673514138,11.8675587122434,16.9961263549387,3.74561576231657e-05,0.0141656306887918
"Myo18a",0.588889988529208,11.8867487036913,16.5822102704752,4.65859627210324e-05,0.0172006232478484
"Atp5a1",-0.62860501918567,11.915317446695,16.5561552840376,4.72304309663285e-05,0.0172006232478484
"Ss18",-0.450579181143749,11.8597505869333,16.3607068911042,5.23595261940822e-05,0.0187218625842331
"Psmb4",-0.329143212226753,11.8501833355989,16.2193505044959,5.64149131495454e-05,0.019744605843624
"Fth1",-0.636047517394198,11.9293838302294,16.192247785914,5.72278314393658e-05,0.019744605843624
"Ndufb9",-0.569020574262645,11.884907036784,15.9758549605437,6.41555211299229e-05,0.0217531461817425
"Pcdhgc3",0.600143215556592,11.8998211655018,15.810153330667,7.00257246387884e-05,0.0233411169618036
"Mettl26",-0.502262555561089,11.8679271828273,15.5821278144592,7.89977704591173e-05,0.0256670235985365
"Cuta",-0.501401339730451,11.8676650695988,15.5674369959661,7.96139753641171e-05,0.0256670235985365
"Mdh2",-0.570271786329736,11.8891423375644,15.231275834291,9.51150744649695e-05,0.0301698879746466
"Grik5",-0.423107253683979,11.8569203552233,15.1553811261685,9.90157117071892e-05,0.0309086188322791
"Mif",-0.585607017667824,11.9029655714287,15.0611731780659,0.000104082297860826,0.0319825385895471
"Gabra2",-0.545458249418936,11.882301141567,14.8947158812938,0.000113680971332317,0.0343946151110976
"Rplp2",-0.481143461776608,11.8673586640601,14.5868895089402,0.000133842494313262,0.039881007472191
"Gm42418",0.374602639497752,14.4920438356302,14.5545991499571,0.000136155893462054,0.0399648029973842
"Tmeff2",-0.54278123509671,12.1470957058661,14.3251759007783,0.000153794259065293,0.0444782043937949
