"","logFC","logCPM","LR","PValue","FDR"
"Cst3",-1.87181386440984,11.1712682781114,470.502815222258,2.49087866836333e-104,4.89856198920332e-100
"Oaz1",-1.56543671994935,11.1155789941678,321.457176207553,6.97427282252091e-72,6.85780246638481e-68
"Sst",-1.57163845008359,11.0813415243082,311.655240043078,9.52017293175931e-70,6.24079069586595e-66
"Atp5g3",-1.42457677723318,11.1183562140526,271.449051785063,5.48400453584814e-61,2.69621083004974e-57
"Calm1",-1.23323965588585,11.2877648058924,262.851358570852,4.10204894714513e-59,1.61341789189112e-55
"Rpl8",-1.34709044167761,11.0998335731792,235.908709621299,3.06775613455803e-53,1.0055082023703e-49
"Syt1",-0.766351910454475,12.2097459016246,210.073218197422,1.32401127478662e-47,3.7197151042791e-44
"Actg1",-1.06451819337091,11.3035071815097,200.899682782733,1.32893312394273e-45,3.26684985193221e-42
"Ckb",-0.91776218520961,11.5634714503242,200.4191668658,1.69184578216248e-45,3.6968710168897e-42
"Hnrnpa2b1",-1.0374637192835,11.3168358366737,193.367295310636,5.85269981510597e-44,1.15099194563874e-40
"Actb",-0.98963653511498,11.3730572475029,186.971489886007,1.45685619702372e-42,2.60459399733349e-39
"Slc25a4",-1.10198355892372,11.1712092116673,179.421596050151,6.48202144836306e-41,1.0622952816959e-37
"Cldn11",-1.16380965305179,11.1133558429012,167.832641036107,2.20067899692348e-38,3.32911947334593e-35
"Atp6v0c",-0.840879651678052,11.5475473365316,167.275834020533,2.9119173963495e-38,4.0904119654721e-35
"Tmem59",-1.13253319780816,11.0453788299035,158.644114644557,2.23820883989214e-36,2.93444100302125e-33
"Pgrmc1",-1.13159956348132,11.0333078487941,158.09309590454,2.9532423173409e-36,3.62990396330163e-33
"Ywhaq",-1.08541790025509,11.0410104284473,143.468701239907,4.6425090391331e-33,5.37056369197598e-30
"Cemip",0.851759334918398,11.3309752533407,134.632615325618,3.97279357193242e-31,4.34049768809016e-28
"Snhg20",-1.01818201575151,11.0095788771208,128.811761211985,7.45650423293714e-30,7.71787432868114e-27
"Ly6h",-0.992840408480177,11.041286179036,123.141648333543,1.29840595095024e-28,1.27672257156937e-25
"Hint1",-0.978280442920237,11.0074694198017,118.902957588237,1.09980534848526e-27,1.02994152301481e-24
"Ndufb5",-0.974112692789793,11.0178983354666,117.475783414638,2.25840751614143e-27,2.01881100965624e-24
"Gatm",-0.967803408387884,11.0768999552896,112.778453667988,2.41283667524858e-26,2.06308026327994e-23
"Sncb",-0.873195201085878,11.1554913411581,112.488035080638,2.79345638816041e-26,2.28900472206511e-23
"Cd81",-0.877194191205914,11.1678173586287,109.930069060726,1.01509345736463e-25,7.98513117301315e-23
"Tmeff2",-0.877203728923067,11.160234584794,107.793007325898,2.98367209736928e-25,2.25680367180247e-22
"Ndufs7",-0.928218841088311,11.0463656388716,107.396401946942,3.64467706740144e-25,2.5761967439421e-22
"Tmem59l",-0.912455662714572,11.0709350386455,107.383797884712,3.66792987035385e-25,2.5761967439421e-22
"Ptma",-0.921843856142283,10.9974774266746,106.20152686611,6.66053115072795e-25,4.51675881414538e-22
"Pdlim7",-0.901762373719093,11.0585271333071,103.976876218913,2.04691124295968e-24,1.34181855013483e-21
"C130073E24Rik",-0.904491727216813,11.0338968380303,101.414809700684,7.46039218352009e-24,4.7327765381002e-21
"Chd3os",-0.900948259831516,11.0264970578357,100.718925783222,1.06007808568667e-23,6.51484238534814e-21
"Pam16",-0.851061707241779,10.9736427026852,98.3903592477913,3.43527614207577e-23,2.0472163821231e-20
"Ndufb9",-0.891720150292927,11.0132435821851,98.0946465736733,3.98855686930312e-23,2.30702821740339e-20
"Cort",-0.882817967201141,10.9994313368855,97.7113345818977,4.84043696523645e-23,2.71977238166686e-20
"Nap1l5",-0.82041252177651,11.133279435237,95.1636194187381,1.75282125334796e-22,9.57527299120585e-20
"Mettl26",-0.800072541132877,10.9647556784666,92.0034798225774,8.65242006582222e-22,4.59887818958e-19
"Ndufs3",-0.830625647108721,10.9896619902546,87.9669652339765,6.65568046771783e-21,3.44448979152997e-18
"Usp11",-0.838426494940649,11.0450778871396,87.3489858166963,9.09667695838596e-21,4.58705766829791e-18
"Ndufa6",-0.769296552482023,10.9622607209333,86.7934393599012,1.20468499134551e-20,5.92283375995019e-18
"Vdac2",-0.812938614922503,11.031573867655,82.1874002798331,1.23776407903983e-19,5.9370410679018e-17
"Emc4",-0.813201361183721,11.0185833903676,81.7940564149458,1.51032068645044e-19,7.07189681422248e-17
"Mtif2",-0.809570980316592,11.0087132196815,81.1911674994926,2.04905733573941e-19,9.37133989875609e-17
"AC149090.1",-0.595315051603453,11.4924929014301,80.4172612227517,3.03135587295505e-19,1.35487828630759e-16
"Uchl1",-0.724071829631809,11.179203624631,79.8633956883816,4.01210915629747e-19,1.75338085928324e-16
"Rpl27a",-0.80034677810794,10.9997485577481,79.6311084146786,4.51264152583542e-19,1.92925235319738e-16
"Snrnp70",-0.610486374952887,11.4054420474264,76.8765960286951,1.81980950780465e-18,7.61454761286943e-16
