"","logFC","logCPM","LR","PValue","FDR"
"Sst",-2.26465172985451,11.7317773218764,1246.77457022255,4.1690820512159e-273,8.19891676192118e-269
"Cst3",-2.05285549774697,10.6758477838081,445.443544843979,7.07517856937478e-99,6.95702308726623e-95
"Calm1",-1.40309305678683,10.9315298328633,324.339986839483,1.64277353985461e-72,1.07689281449269e-68
"Oaz1",-1.71244525843882,10.6468289944015,319.932637215205,1.49821561172373e-71,7.36597705503974e-68
"Rpl8",-1.47798220172058,10.639707029476,243.252513191823,7.68301925912852e-55,3.02188513500043e-51
"Atp5g3",-1.45452308462717,10.6235439540233,233.02502563549,1.30512842748006e-52,4.27777594247049e-49
"Hnrnpa2b1",-1.13247724286684,10.8711655320302,204.149620763627,2.59619309846245e-46,7.29381906776607e-43
"Actb",-1.07091268761506,10.9437376249168,201.343998235718,1.06303163500869e-45,2.61319751676012e-42
"Tmem59l",-1.27456818109963,10.6332036653845,186.20024420486,2.14673657543183e-42,4.69085794360471e-39
"Actg1",-1.05213651103062,10.891949175891,184.970616203964,3.98302224315285e-42,7.83301154338439e-39
"Chd3os",-1.3450424572274,10.5495574483324,181.966157217705,1.80360329667208e-41,3.22451476657755e-38
"Slc25a4",-1.20686867260728,10.6622180548476,176.11129748637,3.4239872952679e-40,5.61134451239488e-37
"C130073E24Rik",-1.23196849974093,10.6289210027407,172.365480747598,2.25186453006284e-39,3.40655137293967e-36
"Nap1l5",-1.09676813849853,10.7032915075851,156.498471128367,6.58781985912269e-36,9.25400466782191e-33
"Pgrmc1",-1.21411287750227,10.5659112294136,153.428319193845,3.08791405307738e-35,4.04846118452132e-32
"Ly6h",-1.19223718236075,10.5868866949626,152.516653168421,4.88549647698537e-35,6.00488585727464e-32
"Atp6v0c",-0.79729881735505,11.2411841992633,150.209666053197,1.56002633259249e-34,1.80467516804494e-31
"Avp",-1.04055165570561,10.3931670822629,137.876770347256,7.75424527281906e-32,8.47194375195887e-29
"Ckb",-0.849900314848584,10.9801716753485,136.396897763803,1.63380452576915e-31,1.69107367388296e-28
"AC149090.1",-0.792114598790029,11.1287753606652,135.287667422969,2.85636925976447e-31,2.80866789312641e-28
"Rpl27a",-1.17772981537458,10.4818476972474,131.427671280682,1.99616589768061e-30,1.86936183541842e-27
"Unc13c",1.06912037726391,10.5249452542121,128.306778351131,9.61681101291846e-30,8.59655479000247e-27
"Tmem59",-1.13157230287553,10.5114044305464,125.465517326296,4.02524100720535e-29,3.44175607163915e-26
"Cd81",-1.0045984881471,10.6384184820174,120.349408074115,5.30444088253424e-28,4.3465472664966e-25
"Hap1",-0.969520121525642,10.6765595585679,118.313631587972,1.48029341699051e-27,1.16445801354141e-24
"Snrnp70",-0.786182901962075,10.9911902310751,118.214975989123,1.55578220911496e-27,1.17676972786365e-24
"Hint1",-1.1122291155707,10.47866050464,117.824132348346,1.89464061479315e-27,1.38000008631563e-24
"Mettl26",-1.07496645416885,10.4245049909274,115.308572897162,6.73570096611935e-27,4.73086768570368e-24
"AC124490.1",-1.08358004413369,10.4359773278852,113.716420468538,1.50342907705633e-26,1.01953228377206e-23
"Syngr3",-1.04079209837541,10.5282925248322,109.521554308767,1.24740713801884e-25,8.17716959209282e-23
"Pdyn",1.01153958984459,10.43065882168,106.714453289562,5.14163041494728e-25,3.2617839916243e-22
"Grcc10",-1.04480899268183,10.4873582765455,104.815724850542,1.34039388551733e-24,8.23755817268245e-22
"Spock3",-0.966954660535101,10.5890705337592,104.341282371682,1.70303452143974e-24,1.01490536056467e-21
"Usp11",-0.927571230350908,10.6183139195428,100.100013019766,1.44892567726303e-23,8.38075657913373e-21
"Map1b",-0.6142851021517,11.3079742669135,96.5134808418161,8.86382484618816e-23,4.9804565550039e-20
"Sncb",-0.86304859875968,10.6652747488074,95.5838716308385,1.41756596154413e-22,7.74384783325746e-20
"Selenof",-0.993366726565507,10.4374614453563,95.068576797141,1.83902872787337e-22,9.77468620604262e-20
"Mgat4c",0.748254889086605,10.7853167956618,92.9763790056459,5.29222077155859e-22,2.73886351824924e-19
"Penk",-0.971465093817419,10.4491162071261,90.7543876461978,1.62660143821392e-21,8.20224202151667e-19
"Syt1",-0.489813005304646,12.137382177931,89.9536478702644,2.43805554009562e-21,1.19867000628801e-18
"Timm23",-0.932591806518149,10.4123458243249,89.427525523978,3.18080067422711e-21,1.52569819656952e-18
"Mtif2",-0.968404664559894,10.463865089084,89.3679011683095,3.27812473191401e-21,1.53494288042431e-18
"Timm13",-0.929255339157056,10.4164860073825,87.1544294875351,1.00369978703786e-20,4.59040930508989e-18
"Tmeff2",-0.846178636958051,10.6366203948925,86.555022308042,1.35903101632094e-20,6.07425090158353e-18
"Cort",-0.949139000512735,10.4641977083422,86.3252299670323,1.52648577706895e-20,6.67108206485289e-18
"Snhg20",-0.949096389596396,10.4646893110662,86.0763777105517,1.73118490789025e-20,7.40119182577603e-18
"Ndufs7",-0.926002965628904,10.4986931803208,84.0964190637458,4.71223454663004e-20,1.97171924668141e-17
"Ndufb9",-0.928595345594618,10.4608494878029,82.1361101151909,1.27030449107285e-19,5.20454335863306e-17
"Bex2",-0.915484375969143,10.4798354068362,80.9946715746373,2.2632711385349e-19,9.08356943069945e-17
"Gad1",-0.699684509424801,10.8380081806677,80.9099297888542,2.36243596169001e-19,9.29193312451915e-17
"Uchl1",-0.697262849399198,10.8125432952722,77.8524094007164,1.11034621033084e-18,4.28158207301298e-16
"mt-Co1",-0.87669483880747,10.5186398823228,77.661297248095,1.22314707169902e-18,4.62584813692942e-16
"Ano3",0.807816842608694,10.5501625623439,77.3751318697055,1.41384193803032e-18,5.24615387798195e-16
"Pdlim7",-0.810081607830562,10.5997665039583,76.2298582716844,2.52494950882015e-18,9.19549204452908e-16
"Stmn3",-0.602894455613725,11.0500021416239,75.9243012381271,2.94750239894837e-18,1.05391967595852e-15
"Cdh9",0.725854502288932,10.6820649563957,75.7038404972473,3.29565999284588e-18,1.15736516820191e-15
"Ptma",-0.883346949245366,10.4448161579017,74.6295018018939,5.67882122132909e-18,1.95929294980101e-15
"Rrp1",-0.827424468866793,10.5527115502132,74.1171488387549,7.36160287752668e-18,2.49609107223172e-15
"Mdh2",-0.855751605620912,10.5053511819367,73.6449744521337,9.35096201973823e-18,3.11688167932495e-15
"Erp29",-0.871353128271931,10.4462122250419,72.7306078956879,1.48611319217518e-17,4.87098367288617e-15
"Ndufb5",-0.860880148231042,10.4703184898624,71.517366345038,2.74828573291012e-17,8.86029298744434e-15
"Mif",-0.828269029945869,10.5212991081731,70.1529612135946,5.48795962815231e-17,1.74074538785876e-14
"Fam212b",0.810954612680595,10.4696123542433,69.4558774600619,7.81431882875382e-17,2.43930784263925e-14
"Rreb1",-0.807074802942229,10.5479931128117,69.3502947191816,8.24403021675339e-17,2.53323591004175e-14
"Ttc3",-0.491652287092663,11.4872318742025,68.9051930165779,1.03312425533802e-16,3.12575717007345e-14
"Apbb2",-0.840176197438169,10.4802720385239,68.6169384786683,1.19572637556345e-16,3.56290225785315e-14
"Synpr",0.660488488294772,10.7396121872632,68.1568122969807,1.50996913844136e-16,4.43209747411758e-14
"1500011B03Rik",-0.824932344599679,10.4202322602305,67.2738325844565,2.36296983910312e-16,6.83384777291206e-14
"Ndufs3",-0.826741106734485,10.4257026734207,66.9581998468494,2.77325480032684e-16,7.90417810191705e-14
"Trmt112",-0.833601840135393,10.4399326302398,66.9036566835397,2.85105566539336e-16,8.00703488249719e-14
"Bex1",-0.814665136082392,10.4143311832812,66.8763836277495,2.89077329735228e-16,8.00703488249719e-14
"Rnf112",0.696080959109584,10.6424141535713,66.82292394202,2.97023947658695e-16,8.11287910368875e-14
"Pea15a",-0.767818193213262,10.5695011421869,65.7052762470285,5.23654895421976e-16,1.41071194155734e-13
"Cldn11",-0.792168943963355,10.4118379251699,64.3537087490465,1.03972490378582e-15,2.7631391834935e-13
"Cdh7",0.743406951691631,10.5219472904012,62.3272912051573,2.90866185483558e-15,7.62689920495953e-13
"Laptm4b",-0.791410186605857,10.4228008269548,61.7214113747044,3.95654502936145e-15,1.02380808615029e-12
"Ywhaq",-0.795440016563925,10.4707274151481,61.3972286489043,4.66466636843616e-15,1.19136790651514e-12
"Atxn10",-0.762897954165093,10.5253998549643,60.5373833464168,7.21943293961113e-15,1.8202226691076e-12
"Ccdc30",-0.787919399744543,10.4302548096478,60.3587639310983,7.905180550895e-15,1.96788962928989e-12
"Ttr",0.569672555561457,10.3633154894373,60.1570712561776,8.758168423576e-15,2.15297675272557e-12
"Mid1",-0.757180351613338,10.4071791858141,59.8023238636846,1.04879446203306e-14,2.54636936917803e-12
"Spcs2",-0.766470374965905,10.4171294213548,58.5364921578707,1.99555051748613e-14,4.78591420449785e-12
"Gprasp2",-0.564262050139019,10.9244004018147,58.2886192232781,2.26349723516918e-14,5.36312489479965e-12
"Sf3b5",-0.743468878506191,10.4050103242325,57.9012712765274,2.7560894905602e-14,6.45253046682821e-12
"H2afz",-0.735597926281385,10.5404133350956,57.7569921229579,2.96583922968889e-14,6.86190521071314e-12
"Reln",0.658807844453396,10.6272755339371,57.5565814050228,3.28395249138051e-14,7.50955926691734e-12
"Nptn",-0.621452510266875,10.7515612243988,57.5147487384268,3.35454430157388e-14,7.58281244077609e-12
"Pam16",-0.763005700324677,10.4226856822323,57.3945745967043,3.56589557220907e-14,7.9689661730754e-12
"Ndufa6",-0.732483162365882,10.4012987819025,57.3487470197945,3.6499576725954e-14,8.06517613362484e-12
"Mecr",-0.765024457865703,10.4272679603203,57.1696099862592,3.99801487242537e-14,8.73610672012414e-12
"G3bp2",-0.648569179333765,10.6876732864918,57.1260868099212,4.08747756764516e-14,8.83344327970437e-12
"Cdh13",0.567070005698954,10.8295413457825,56.7209644486345,5.0225232614588e-14,1.07361893978097e-11
"Malat1",0.31451748378323,16.1887818381383,56.5671340340841,5.43120670895649e-14,1.14849581869181e-11
"Dync1i1",-0.725324314190374,10.5403618710979,56.1106081072849,6.85064922185769e-14,1.43324327230908e-11
"Plk2",-0.729615768673269,10.5272952223573,56.0126261568269,7.20070953234492e-14,1.49062267013784e-11
"Arnt",-0.738188699084232,10.5086513620777,55.2584102454905,1.05681159772012e-13,2.16492259174623e-11
"Pfdn2",-0.749774010196912,10.4241051299271,55.1777796572923,1.1010645979392e-13,2.23232333846107e-11
"Snhg10",-0.486115192975779,10.3616844115605,55.1024468580501,1.1440839152504e-13,2.29587288544024e-11
"Unc5d",-0.746902641825128,10.4825971646102,54.8634511857679,1.2920146558552e-13,2.56654143657054e-11
"Utp11",-0.741986265259349,10.4214177732044,54.3602972715315,1.66901114420112e-13,3.28227731618592e-11
"Rbm39",-0.516788469851212,11.0236654313576,54.0999562045968,1.90545510824975e-13,3.71016635236036e-11
"Klhl7",-0.729652618704096,10.5043408077366,53.626466418413,2.42470840167841e-13,4.67493288503997e-11
"Galntl6",0.61372349230042,10.6711171488993,53.5572244361492,2.51169079469211e-13,4.79562244353544e-11
"1700020I14Rik",-0.666700725677776,10.6122183901099,53.5018841461103,2.58344940940801e-13,4.88520346975173e-11
"Emc4",-0.734618717453343,10.482395244919,53.1076759286852,3.1575614250449e-13,5.91396218904124e-11
"Romo1",-0.542727782999312,10.3673953781583,52.6925590596667,3.90066122745906e-13,7.23683053766131e-11
"Cops6",-0.726951037610365,10.4213008458535,52.3819018764242,4.56915417161828e-13,8.39784915318179e-11
"Nrxn3",0.433438600317231,11.3516292598406,52.2529810972269,4.8791813803154e-13,8.88462787271136e-11
"Trim35",-0.728634156122249,10.4650294813672,51.3782263374237,7.61787813670234e-13,1.37443294895769e-10
"Nkain3",-0.694123504665047,10.5391333721959,51.2522060743852,8.12293987843313e-13,1.45223396044787e-10
"Smdt1",-0.626864918696831,10.380675186775,51.1523877457609,8.54666578670228e-13,1.51422278703862e-10
"Ccdc107",-0.656595505926215,10.38783955132,51.0592877917375,8.96178553895014e-13,1.57359352150887e-10
"Tax1bp1",-0.703446396111488,10.5144713827467,51.0138339106752,9.17172867656903e-13,1.59620545268501e-10
"Tm2d2",-0.721931227858671,10.4298642096558,50.7307497641541,1.05946611375573e-12,1.82767198185264e-10
"Becn1",-0.72055650888225,10.4670864915003,50.5644847570622,1.15312978979747e-12,1.97195221270931e-10
"Mrpl4",-0.7168053689898,10.4811508935002,50.4681021846634,1.21117452409318e-12,2.05335846472556e-10
"Ddx50",-0.659917661473049,10.5831634472041,50.03991626947,1.50649986564395e-12,2.53220738100461e-10
"Cntn4",0.604582819275335,10.6397675634946,49.8494895503291,1.66003564471796e-12,2.76663228720538e-10
"Kalrn",0.488339168657669,10.9660724849111,49.7644244901207,1.73358977533307e-12,2.84334841063525e-10
"Rabac1",-0.713465024961631,10.4763751063284,49.7628480167286,1.73498326693903e-12,2.84334841063525e-10
"Cartpt",-0.616295567986288,10.3808500651254,49.6284967730185,1.85795332083127e-12,3.01971157086511e-10
"Dnajc24",-0.711442932599659,10.4233737205118,49.5465567373274,1.93719560873575e-12,3.12269580667191e-10
"Baiap3",-0.710214808150918,10.4318423498977,49.0858478192126,2.45001506152656e-12,3.91723546341312e-10
"Praf2",-0.681016193056274,10.4050282946937,48.3926524699708,3.48872913001473e-12,5.53301186055401e-10
"Terf1",-0.705830766662078,10.4574973952093,48.0449130959911,4.16566956781904e-12,6.55376461765834e-10
"5330434G04Rik",-0.452199765820659,11.1882386882319,48.0194795769203,4.22005648451168e-12,6.58663736701641e-10
"Lypd1",-0.699000020800166,10.4301539235822,47.5519130068974,5.35664605477493e-12,8.29478750497668e-10
"Pcdh7",-0.595009723934201,10.6675494611136,46.9839387505988,7.15708247393909e-12,1.09961862447255e-09
"Slc25a3",-0.613029027162027,10.631960768232,46.9190471864811,7.39802104767737e-12,1.1278254412684e-09
"Cox4i1",-0.566713293564014,10.7299290611911,46.8384215368467,7.70871888462964e-12,1.16615127373174e-09
"Srek1",-0.544133911754104,10.7989171414241,46.8051957204646,7.8405264347489e-12,1.17703658676162e-09
"Atp5a1",-0.656671044488758,10.5445570993229,46.7766677664417,7.95549575392284e-12,1.18524832952005e-09
"Cltc",-0.575525844982716,10.7046366825535,46.70124659307,8.26763984242019e-12,1.22249176797771e-09
"Lrp1b",-0.51359190039285,10.878151262466,46.0639342444165,1.14456181639084e-11,1.67977258814494e-09
"Hspa5",-0.54200682864565,10.7804839613928,46.0013387607949,1.18172206839398e-11,1.72146268126192e-09
"Selenot",-0.689314925725473,10.4429455200505,45.9380147427319,1.22054365549893e-11,1.76494202419426e-09
"Srpr",-0.684539761873758,10.432747435734,45.5436806040282,1.49272506031276e-11,2.1427686887672e-09
"Zfp612",-0.684407540647887,10.4599958431867,45.3934606427566,1.61171606176019e-11,2.28599028964357e-09
"Ppp4r3b",-0.685662394930548,10.4527706299006,45.3885692810226,1.61574621306039e-11,2.28599028964357e-09
"Mir124a-1hg",0.397440711907433,11.3920840851137,45.1898101368843,1.78833166080536e-11,2.51209503152844e-09
"Hbs1l",-0.682749791404559,10.4599091145678,44.9338355977712,2.03805660174143e-11,2.8425830588544e-09
"Tenm3",-0.680540401520532,10.4600506289993,44.8378093893459,2.14049348964146e-11,2.96443274417528e-09
"Lama4",0.636251265504815,10.3973507474929,44.5001745177636,2.54334534788226e-11,3.49772235045123e-09
"Dnajc30",-0.584737461645388,10.3803488212749,44.4637296489072,2.59113431671712e-11,3.53869774114992e-09
"Kmt2e",-0.579375565325037,10.6638388380112,44.2348750816316,2.91246009034961e-11,3.95009931978037e-09
"Pdcd6",-0.622697124499998,10.3920775580705,44.0923164463352,3.13248135225796e-11,4.21940947078802e-09
"Ube2b",-0.560889010840542,10.7015849182089,43.7020160270315,3.82377678222653e-11,5.09603922225108e-09
"Rchy1",-0.673950225877016,10.4455776951292,43.6962213225383,3.83511545252294e-11,5.09603922225108e-09
"Psmb5",-0.668887572242,10.4617518348196,43.5400165834221,4.1537788861286e-11,5.48243057547685e-09
"Vdac2",-0.661797580765424,10.4756925486581,43.1877478516071,4.97311239727446e-11,6.5200818936533e-09
"Kif3a",-0.621774950533552,10.5600903911976,43.0530463401508,5.32755990006149e-11,6.93852933739134e-09
"Grik2",-0.528618892740455,10.7803072297494,43.0237816074996,5.407849206953e-11,6.99676069104853e-09
"Adprh",-0.665657012513631,10.4379091863129,43.006581554916,5.45560239420268e-11,7.01241024080979e-09
"Mrpl52",-0.543225589753646,10.3740704961714,42.779889198376,6.12587040865061e-11,7.82281606860539e-09
"Emc3",-0.662701928822992,10.4389706089937,42.4414391262105,7.28304960424021e-11,9.24054538819277e-09
"Hnrnpm",-0.652345085002607,10.4851357211988,42.1303395783702,8.53880973382348e-11,1.07643738606008e-08
"Dusp11",-0.611941534226758,10.5672790698735,42.0190208977394,9.03898912570212e-11,1.13223414105769e-08
"Lhfpl3",-0.6551962733935,10.4666393689208,41.8707010819442,9.7512899677338e-11,1.2137270158573e-08
"Cpne7",-0.657705617485944,10.4517148554087,41.832387146568,9.94425149189044e-11,1.22996006188376e-08
"Cadm1",-0.605532713250767,10.5774832801643,41.7611704908397,1.03131348946048e-10,1.26761319273312e-08
"Erbb4",-0.606822193531295,10.5667069732305,41.3486973423248,1.27356302542209e-10,1.55564537005906e-08
"Plp1",-0.516327612830871,10.8235612479887,41.2826292482423,1.31734374790973e-10,1.59919025595017e-08
"Arl1",-0.631624654233732,10.4043914999037,41.2192445335593,1.36076173179455e-10,1.64176320352587e-08
"Bex3",-0.645246545150731,10.4205968068603,41.1299593927446,1.42436233199156e-10,1.70801887932598e-08
"Tmem234",-0.651283697707374,10.4407755524751,41.0886763975059,1.45476728036528e-10,1.73390626276749e-08
"Gpx1",-0.589810518306864,10.387539577938,40.8873921529586,1.61258119353253e-10,1.91042299710908e-08
"Zrsr2",-0.593788323289293,10.3888127491779,40.8358888056134,1.65564453650163e-10,1.94969493741563e-08
"Cbarp",-0.586048485921234,10.5984245859878,40.8072685950906,1.68007033102843e-10,1.96668232916697e-08
"Grm7",-0.57618055159286,10.6198053788516,40.7577765879323,1.72316340499794e-10,2.00519121436033e-08
"Blcap",-0.641242762487128,10.458323912049,40.2585592289729,2.22478481918087e-10,2.56188890237412e-08
"Gabrg1",-0.645858851133249,10.4410074574515,40.2560745160808,2.22761620210503e-10,2.56188890237412e-08
"Pcsk1n",-0.539630807315023,10.3759351207862,40.1126009462147,2.39737544171254e-10,2.74109217655342e-08
"Tshz3",0.603963518422177,10.3971035254047,40.0852255812449,2.43120831386537e-10,2.76370767054777e-08
"2810001G20Rik",-0.561816704905034,10.3809266882231,40.0309625444382,2.49969062790821e-10,2.82522505105993e-08
"Itm2c",-0.531025812464475,10.704139763111,39.6634827812986,3.0171455789958e-10,3.39058199751608e-08
"Jagn1",-0.58240737423833,10.3881381108941,39.4663288315529,3.33765101377059e-10,3.72944572936434e-08
"Nppc",-0.473505349888044,10.3653147712009,39.3329032225191,3.5736826010457e-10,3.97062384362513e-08
"Rplp2",-0.60892260147964,10.4017912828367,39.0092300897118,4.21806537726903e-10,4.63159461121538e-08
"Tmbim4",-0.594358022878991,10.3937706057513,39.0084286074284,4.21979743702543e-10,4.63159461121538e-08
"Atp5c1",-0.605449250718676,10.5295549961249,38.9994588792667,4.23923029603767e-10,4.63159461121538e-08
"Ifit1",0.485535639423725,10.3639734203549,38.9123221582927,4.43273732522855e-10,4.81625481977595e-08
"Adgrl2",-0.593973681844141,10.5554730803264,38.8037850957344,4.68618284254362e-10,5.06365229568477e-08
"Paip2",-0.629061677212112,10.4702626513191,38.78059337936,4.74219167404616e-10,5.09617166457879e-08
"Selenom",-0.584064148574981,10.5743620898084,38.7580200438797,4.79735065410655e-10,5.1274292371554e-08
"Eno2",-0.528812084360275,10.6886950838776,38.7033246987833,4.93367974172834e-10,5.24463490815295e-08
"Rmdn1",-0.583697417372021,10.3916307229019,38.2268952125155,6.29783721432379e-10,6.65877777725224e-08
