"","logFC","logCPM","LR","PValue","FDR"
"Cd9",4.65481994895371,10.9297432247453,36.2308549463633,1.75273427009357e-09,3.44692721556601e-05
"Bmp4",4.52513659051892,10.2634174476626,27.796620758902,1.34761288126944e-07,0.00132510774615224
"Vcan",4.02848925054587,10.08752791561,21.6964859910105,3.1937578534389e-06,0.0181299755600018
"Kcnc1",-4.3140753167262,10.3238535358685,21.4207548257483,3.68757765890406e-06,0.0181299755600018
"Gpr17",3.17136079478491,10.5061498627562,18.3095185994026,1.87766636748042e-05,0.0738523735657399
"Fyn",2.80802955501356,10.9158002212789,17.4145762467945,3.00512595777029e-05,0.0984980118091841
"Ptgds",3.44104517196082,10.1501708658039,17.0772693015902,3.5889299071694e-05,0.100828422220562
"Nkx2-2",3.45518313854741,9.92991542421059,15.7766286798546,7.12775713202879e-05,0.175218089698098
"Enpp2",3.2553325660163,10.0812496408105,15.098874274777,0.000102024110725419,0.222934017947343
"Neu4",3.20328206307789,10.0667513798432,14.5327230210104,0.000137746014864388,0.270891312832305
"Gatm",3.03880268831811,10.1807033456484,14.3448846363606,0.000152192639823081,0.27209276861461
"Ankrd28",2.65509100237375,10.4979128110785,13.7780109356697,0.000205730143043511,0.33715741609114
"Lims2",3.12269469878523,9.85849853781982,12.8645111852467,0.000334872355877314,0.506584596206405
"Gad1",-3.32957236723521,9.98605622291895,12.6680137509031,0.000371964473563066,0.522503809792232
"Cacna2d3",-3.25887877688246,9.96889934411656,12.1201135477907,0.000498808663601172,0.653971411892043
"Sox8",2.74936241973114,10.090238315087,11.5318961017139,0.000684122027894491,0.720148376524285
"Ptprz1",2.40543656090199,10.4991485428943,11.4839940881931,0.000701981097813291,0.720148376524285
"Maf",-3.15516852455177,9.94188830262389,11.3897406709235,0.000738508397641,0.720148376524285
"Hivep3",-3.14799791969488,9.93935764795617,11.3502254296752,0.000754388116754392,0.720148376524285
"Spock1",-3.14061350337561,9.93667724620901,11.310181958357,0.000770832180748992,0.720148376524285
"Cd81",2.44212031880947,10.3236447365951,10.9727644620143,0.00092460726770655,0.720148376524285
"Lrfn5",-2.92952003710976,10.1382381009519,10.9140996894643,0.000954350859110141,0.720148376524285
"Dgkg",-3.08172350130971,9.9269986448971,10.8414046477282,0.000992554109343346,0.720148376524285
"3110035E14Rik",2.85931413025083,9.81195008031749,10.7993275192024,0.00101536972735964,0.720148376524285
"Chn2",2.36835773905848,10.3866027777395,10.7807980869614,0.00102558452354645,0.720148376524285
"Gm38393",-3.06381174912555,9.9209385827208,10.7457893351776,0.00104516851820642,0.720148376524285
"Spsb1",2.84568780211876,9.80838551611259,10.7308625822691,0.00105363319705884,0.720148376524285
"Card19",2.84484295188393,9.80817336477317,10.7265388583503,0.00105609802607516,0.720148376524285
"Fyttd1",2.84285282207678,9.80767772303244,10.7163147728566,0.00106194970605127,0.720148376524285
"Snhg11",-1.95854761577748,13.6452458565867,10.4904221271115,0.00119994953254172,0.786606916898846
"Peg3",-2.24030077390419,11.0461915156527,10.3307617495035,0.0013083119909471,0.829976245611796
"Epha5",-2.31871243503015,10.7713047041186,10.1920875382422,0.0014104455151233,0.836899975478187
"5330434G04Rik",-2.4074338027881,10.5881074160553,10.1740911506085,0.00142427887475464,0.836899975478187
"Brinp2",-2.96035519125506,9.89814698071909,10.0507381892514,0.00152286907123061,0.836899975478187
"Pdgfra",2.76359295505296,9.80275659039533,9.96838757169498,0.00159250897060577,0.836899975478187
"Itpr2",2.27740987617049,10.3544663613441,9.90371289133906,0.00164945649904691,0.836899975478187
"Ust",2.56009791933378,10.0453735675234,9.89650353524668,0.0016559309907455,0.836899975478187
"Camk2n1",2.46659521738195,10.1381250224879,9.88895974389678,0.00166273339685456,0.836899975478187
"Cacna2d2",-2.92672849294995,9.88666232770294,9.88535943832059,0.00166598984601996,0.836899975478187
"Clstn2",-2.91915786366517,9.88450275054151,9.84577010890866,0.00170222714426561,0.836899975478187
"Ndufc2",2.7086591819792,9.78898243707945,9.71304934723099,0.00182964176037613,0.857436607038879
"Cyp2j6",2.66654512050728,9.93018283353369,9.71148697219834,0.00183119787936708,0.857436607038879
"Selenos",2.6968734173597,9.78602635408565,9.65905239078113,0.00188420788216009,0.86174028396652
"Smurf1",2.68607680581234,9.78339841478755,9.60907321616732,0.00193618333279374,0.865385941425491
"Fam46a",2.67479197393301,9.78050822896414,9.55836311472562,0.00199040514287754,0.866654791591512
"Car4",2.66752477016657,9.77876773461414,9.52477935955558,0.00202715958574237,0.866654791591512
"Dlgap2",-2.84701826773781,9.87422232745142,9.32633513092185,0.0022588367458181,0.87536375763236
"B3galt2",-2.83814055519366,9.87153330237547,9.28351095840831,0.00231225807057045,0.87536375763236
"Idh3b",-2.83064357100867,9.86894094211511,9.24939504998432,0.00235573232317596,0.87536375763236
"Tet2",-2.82693817856282,9.86759773937731,9.23295929536772,0.00237697168529503,0.87536375763236
"Disp2",-2.82573186830013,9.86729404662213,9.22683283760302,0.00238493831904521,0.87536375763236
"Rap1gds1",-2.82168940917659,9.86590417466911,9.20845183264847,0.00240900331009948,0.87536375763236
"Fbxw2",-2.81981113918526,9.86530570040156,9.19964326233191,0.00242062295814892,0.87536375763236
"Arhgap24",2.47657436516064,10.0239608153066,9.1972990288687,0.00242372487750366,0.87536375763236
"Dusp15",2.30279735420872,10.1824297746111,9.16193272879849,0.00247101454610317,0.87536375763236
"Spire1",-2.80831346524996,9.86164294376548,9.14598387324049,0.00249264570463806,0.87536375763236
"Gabrb2",-2.79432673114452,9.8569969713074,9.08210095125664,0.00258123338540668,0.890570802761539
"Sparcl1",-2.52106193649894,10.2074375397916,8.99853351487248,0.00270196335926944,0.910533297322298
"Bcas1",1.85401322170851,11.1795268840151,8.87302460256499,0.00289415236469012,0.910533297322298
"Zfp276",2.55661751311377,9.90478269197469,8.85581901853488,0.00292155997884849,0.910533297322298
"Cnr1",-2.75316357802709,9.85951248185996,8.70435163482531,0.00317451306412446,0.910533297322298
"Mllt11",-2.73510685790096,9.85388930220819,8.62420101005789,0.00331725910239601,0.910533297322298
"Epb41l3",-2.73233348221641,9.85307696776503,8.61165818061576,0.0033401807263313,0.910533297322298
"Tubgcp4",2.54701654418327,9.76777282093737,8.60795644837119,0.00334697624370488,0.910533297322298
"Rhbdl1",-2.72580180683473,9.85118495302103,8.58207138756334,0.00339488956366635,0.910533297322298
"Pdia4",2.53063417719817,9.76369725478349,8.54169495334695,0.00347102265619509,0.910533297322298
"Chrm3",-2.71612831580054,9.84784881064832,8.54129538187433,0.00347178469218327,0.910533297322298
"Mfsd2a",2.52674705566413,9.76280786576059,8.52545233374554,0.0035021369693942,0.910533297322298
"Helz",-2.71170976067375,9.84646566187077,8.52196151780506,0.0035088609026005,0.910533297322298
"Trim46",-2.71088885364132,9.84612135227187,8.51889020396093,0.00351478765384116,0.910533297322298
"Sh3bp4",2.51622343345456,9.76020065693902,8.48312459831602,0.00358455907006825,0.910533297322298
"Tnrc6c",-2.70218231199184,9.84343220977594,8.48072252849133,0.00358929518518388,0.910533297322298
