"","logFC","logCPM","LR","PValue","FDR"
"Ptgds",3.31592112380978,10.1700055804163,27.8312685418289,1.32369411779923e-07,0.00260317685206396
"Snph",-3.26865474049015,9.71495976168869,16.1039769023107,5.99579948138512e-05,0.402269788747713
"Sox6",-3.27960147680405,9.72618559426641,16.0600437008048,6.13652682926442e-05,0.402269788747713
"Vcan",-3.08549484018224,9.68017800320924,14.1411720092907,0.000169591043287373,0.760387485033155
"Bcas1",-2.87631834170073,9.85057326251665,13.6190374409272,0.00022390345190223,0.760387485033155
"Dalrd3",2.73161719630906,9.52676824199379,13.5524331206945,0.000231990486636781,0.760387485033155
"Deptor",2.66570975459509,9.50972821673371,13.1383780933144,0.000289308187954646,0.81279068918801
"Csf1",2.64081304175559,9.51912750746142,12.5275275704363,0.000401000074852379,0.892725319000899
"Fezf2",2.60298860958357,9.50860856229639,12.3148703583077,0.000449363919537032,0.892725319000899
"Junb",-2.72944964445374,9.79691187313644,12.2959448062184,0.000453943516221346,0.892725319000899
"Ndor1",2.47983510965659,9.49694619043528,11.1191173661995,0.000854424372600502,1
"Adipor2",2.46731498504651,9.49405997360671,11.0516687827473,0.000886074074598798,1
"Ift80",2.44654328604505,9.48827243743631,10.9487743797026,0.000936655507102931,1
"Mterf3",2.43087193435222,9.48381560121204,10.8721602642067,0.000976205954027711,1
"Itih3",2.41291854315166,9.47960688446352,10.7782141851573,0.00102701719517076,1
"Atp1a2",2.26408771496987,9.73475501079468,10.6681251094432,0.00108997542118581,1
"Ndst3",2.30475129043944,9.64614629127778,10.4409346766506,0.0012325288336231,1
"Adgrb2",2.09193329788531,9.83585403270149,10.3291917472975,0.00130942534865482,1
"Kpnb1",-2.56960716140728,9.5654898223001,10.0054968714982,0.00156073677168267,1
"Ubn1",2.36374735360081,9.49059941013777,9.96848672294144,0.00159242321232154,1
"Cemip",-2.52788886286892,9.55191431842579,9.78591198749478,0.00175853987725237,1
"Prex2",2.29370632474529,9.4717084475843,9.6565219602644,0.00188680507300871,1
"Cyp4f13",2.28599771021096,9.47102116531385,9.61382983116124,0.00193117476538149,1
"2810474O19Rik",2.28331032967844,9.47021992532485,9.60259726816643,0.00194302348030384,1
"Pisd",2.28229237567859,9.47002045997398,9.59763204400987,0.00194828453047614,1
"Gtf2ird1",2.24650798904509,9.46100489515949,9.43770057033551,0.00212569842968016,1
"Ubap2",2.2429821735618,9.46012383078491,9.42214394757608,0.00214380728892409,1
"Mkx",2.2212723282175,9.4552754620906,9.32252739267866,0.00226353559532475,1
"Tmem44",-2.4311815750764,9.53751149220261,9.08231566964083,0.00258093034042915,1
"Btrc",2.13019557813187,9.61686988378371,8.7164022430237,0.00315359762094034,1
"Tuba4a",2.1967379407474,9.55048635227103,8.51840193460306,0.0035157308103356,1
"Tmem86b",2.16009570713252,9.46811482247658,8.44598403772849,0.00365850424357275,1
"Elavl3",1.77861968485543,9.93406849509779,8.29907640330385,0.0039665245592409,1
"Atf1",2.11064505623382,9.45581307359951,8.253660311626,0.00406699107908262,1
"Sox12",2.1054135541015,9.45467617047403,8.23247128725884,0.00411474623432504,1
"4732440D04Rik",2.10232171046096,9.45410553098909,8.2198212424026,0.00414352816247344,1
"Ube2f",2.09909501633403,9.4522961300485,8.21227123676593,0.00416080381514521,1
"Cpox",2.09805833290144,9.45220388921144,8.20747923184372,0.00417180672160432,1
"Prkag1",2.09286788885144,9.4510196437963,8.18684227565921,0.00421953058823084,1
"Spred2",2.08160424216157,9.448678239362,8.14168712571738,0.00432590156833965,1
"E330009J07Rik",2.08219343659176,9.62210166419824,8.13354124858411,0.00434537934097948,1
"Nt5c2",2.07299285228316,9.44664797415745,8.10806960852637,0.00440686314374468,1
"L2hgdh",2.06999143626492,9.44606494828016,8.09575143754753,0.00443691393717771,1
"Tubgcp6",2.06682024054876,9.4453453829853,8.08355545787722,0.00446687220800956,1
"Agl",2.06535124102363,9.44414114775394,8.08186643673351,0.00447103733515397,1
"Col12a1",2.04579309129128,9.43997866176835,8.00423196380818,0.00466681524130283,1
"Slc35b3",2.04390513349213,9.43953039803392,7.99703123004155,0.00468541082908427,1
"Vipr1",2.03530205587038,9.43761495100916,7.96361750240034,0.00477269306412092,1
"Wwc1",2.01520223744449,9.43325140627655,7.88534337047953,0.00498370153990591,1
