"","logFC","logCPM","LR","PValue","FDR"
"Plp1",1.34756346123725,9.97433981485555,21.307624284228,3.91172603746767e-06,0.0687390037841889
"mt-Co1",1.72293008221563,9.56216820906809,20.1957948141583,6.99064413548143e-06,0.0687390037841889
"Mal",1.65936143274081,9.53507615927587,18.3997952894355,1.79077219383009e-05,0.117391086546209
"Calb1",1.57534685420188,9.49448972412093,17.309521853141,3.17591457525039e-05,0.156143840092185
"Asph",1.33728230549474,9.71660358072707,15.693824568277,7.44669035049053e-05,0.223766347563878
"Plekha7",-1.49427417607239,9.57680382649365,15.51796237641,8.17249722037851e-05,0.223766347563878
"Gabra4",1.3765844842795,9.66071994016727,15.4156901514821,8.62690163907316e-05,0.223766347563878
"Mid1",-1.44449957769854,9.61859727405166,15.1140320805177,0.000101208201749505,0.223766347563878
"Lamp5",1.49456441775074,9.527878780623,15.091839530805,0.000102405020241783,0.223766347563878
"Strap",1.31680126529084,9.45717444495538,14.8764218936567,0.000114788811870023,0.225743677423587
"Tnr",1.4334177489625,9.58513840113721,14.6790762183426,0.000127453325993265,0.22786337354396
"Gria3",1.11528343033486,9.87837056228518,13.9157718119957,0.000191187439303094,0.313324348444554
"Nme1",1.24190237307465,9.45321877169797,13.601688109442,0.00022598222371352,0.341858954734623
"Mef2c",0.807857293421874,10.6263667197453,12.9278158623236,0.000323735296432784,0.421588695637403
"Scamp3",1.37950728390212,9.50042339407256,12.8564531853877,0.000336317432302664,0.421588695637403
"Epha3",-1.23128377285861,9.71450129494688,12.7886388937465,0.000348730756450183,0.421588695637403
"Celf2",0.795714609163446,10.590428861454,12.4644919609009,0.00041476131262598,0.421588695637403
"Uck1",1.17442625539043,9.45298567052468,12.3899249327173,0.00043165660737641,0.421588695637403
"Leo1",1.17098640909001,9.45191552285525,12.3680319782675,0.000436747730257273,0.421588695637403
"C130073E24Rik",-0.873812017500646,10.3260179572191,12.3483094922257,0.000441385978923736,0.421588695637403
"Zfp422",1.15557157260026,9.44719352708613,12.2704114676696,0.000460196791393293,0.421588695637403
"Xrcc2",1.14843570263465,9.44522885572217,12.2246449442271,0.000471623680668304,0.421588695637403
"Psmf1",-1.33799935734337,9.52928233221343,11.8955778150598,0.00056267370578798,0.466953136704787
"Crh",-1.13381820268882,9.79341555860613,11.8489624056882,0.000576934827330201,0.466953136704787
"mt-Co3",1.28730454193801,9.47537027219977,11.7959265270159,0.000593604618001611,0.466953136704787
"Atp2b4",1.30754431483594,9.49257927947029,11.681984240893,0.000631081936675574,0.468084747898404
"Apoe",-1.32363329319114,9.50858485519409,11.6482008049357,0.000642646608016724,0.468084747898404
"Exosc9",-1.27738001456799,9.47967526867907,11.5288560424022,0.000685241674802925,0.481284384881226
"Rab34",1.27449611321907,9.56323278925496,11.3890000494781,0.000738802898214207,0.491456850544937
"Ncald",1.10634085635137,9.76368157088579,11.3617900088023,0.000749705355250081,0.491456850544937
"Vps28",1.2930742284815,9.51304259680101,11.2134218608468,0.000812078394315649,0.508507460954923
"Npas4",-1.3022380881744,9.5257922789492,11.1255804267795,0.000851452276231628,0.508507460954923
"Ust",-1.26644302146296,9.58219501567738,11.121587535785,0.000853287206931378,0.508507460954923
"Mgat4c",1.14090450612251,9.68543552096279,10.9656597974753,0.00092815893316144,0.513318103956871
"Eepd1",1.06889451374289,9.44308376684121,10.9606083877889,0.00093069255103678,0.513318103956871
"Mapk9",1.12523442261627,9.69707231554719,10.7951658000132,0.00101765497937311,0.513318103956871
"Sytl2",1.25907921951724,9.49454611162465,10.7648715505415,0.00103444743553338,0.513318103956871
"Cgn",1.22577416173695,9.4747376943375,10.7228564110738,0.00105820188031686,0.513318103956871
"Lins1",1.253369400831,9.49144936899003,10.7121903486491,0.00106431956317792,0.513318103956871
"Unc5b",-1.20626677784434,9.59853971865244,10.6796652611129,0.00108319660344885,0.513318103956871
"Tmed9",1.19300424719788,9.61182780881857,10.6284742236947,0.00111359556675921,0.513318103956871
"Arhgef4",1.23236633704876,9.55973560195067,10.5944159841607,0.00113429723503347,0.513318103956871
"Rnf169",1.20784495405609,9.46643641750168,10.5847156781995,0.00114026431606686,0.513318103956871
"Cd34",1.20560099645989,9.46589466598172,10.5673116864221,0.00115104999301148,0.513318103956871
"Rc3h2",1.03737654393731,9.7847826505162,10.5297101656402,0.00117470633746074,0.513318103956871
"Ephb2",-1.24793536234563,9.49367051109218,10.4892930426683,0.00120068304596848,0.513318103956871
"Slc5a7",1.2330178944517,9.50160412947317,10.0476568820035,0.00152541838865214,0.601541207609474
"Znhit1",1.21901664676752,9.5237308133461,9.99074305537096,0.00157329106604249,0.601541207609474
"Nol4",1.21471276256062,9.52368182181841,9.94694931531649,0.00161116172733565,0.601541207609474
"Vstm2a",-0.867587149149028,10.0563675748047,9.90191622055079,0.00165106762839555,0.601541207609474
"Sec24a",1.12258145602888,9.62986583569674,9.88824584286921,0.00166337860196119,0.601541207609474
"Ppp2ca",1.18146048435175,9.57084781730448,9.8688572516868,0.00168099883176379,0.601541207609474
"Plod3",1.20526331414338,9.52526968264799,9.85122989272014,0.00169718255244487,0.601541207609474
"Zbtb41",-1.21183935499759,9.50975780008554,9.84663758568717,0.00170142462121136,0.601541207609474
"Rnf121",1.1998696142474,9.52551300056893,9.79678854560665,0.00174816898260271,0.601541207609474
"Camk2b",0.829668326008093,10.1077024509328,9.74642406413054,0.00179671887681918,0.601541207609474
"Nrg3",1.0127660035296,9.76234946831806,9.7025102436629,0.00184016469333561,0.601541207609474
"Cdk2ap1",0.976513469826104,9.43880859972686,9.64109880700256,0.0019027137892207,0.601541207609474
"Cadps2",-0.781098414656088,10.2495697040275,9.63094301492089,0.00191326349199136,0.601541207609474
"Tmtc1",0.972304042379522,9.4375930895815,9.61996849228085,0.00192473035355768,0.601541207609474
"Apba3",0.969188579047673,9.43659671518679,9.60465812885674,0.00194084406593709,0.601541207609474
"Fmnl2",0.969114378923688,9.43665708277482,9.60401565346447,0.00194152323456463,0.601541207609474
"Tfr2",0.965883796463138,9.43579690371107,9.58771752291613,0.00195883300445129,0.601541207609474
"Col23a1",0.962633270095607,9.43492258411506,9.57141177095274,0.00197630745270023,0.601541207609474
"Fbxl15",0.957622352539716,9.43330250007864,9.54690197515506,0.00200287177856216,0.601541207609474
"Gnpnat1",1.14277961451372,9.46733328179399,9.51546519792252,0.00203747447985891,0.601541207609474
"Gad2",0.851738627794512,10.0194063249439,9.47750904142728,0.00208006205694744,0.601541207609474
"Xk",-0.962228065068346,9.43877580061719,9.43426079557364,0.00212968913303062,0.601541207609474
"Chrna4",-1.17847747164349,9.49007548071636,9.42813728740173,0.00213681222042647,0.601541207609474
"Ifrd1",-1.16798540183149,9.56483380213325,9.41992807754697,0.00214639939677807,0.601541207609474
"Ifitm7",-0.952686597153508,9.43601866535834,9.38686442738728,0.00218545677682608,0.601541207609474
"Nxph1",1.12246557533839,9.46143214058342,9.3720948921203,0.00220313589603603,0.601541207609474
"Slc22a23",-1.07598776532993,9.64488454508166,9.31358174668334,0.00227461380958319,0.601541207609474
"Hnrnpa3",0.859147554316329,9.99433202805592,9.27260813484506,0.00232606242535931,0.601541207609474
"Stx18",1.17459441711882,9.49970443191328,9.26702845046468,0.00233315932719976,0.601541207609474
"Syncrip",1.11994836829629,9.60054454961182,9.25375789813138,0.0023501267749475,0.601541207609474
"Slit3",1.17258633167866,9.49992905165906,9.24975712385734,0.00235526660154223,0.601541207609474
"Comt",1.16922113869248,9.50253542298314,9.2198234992512,0.00239408625833831,0.603616671236938
"AC129186.1",1.16518881646137,9.49798377895555,9.18347429724345,0.00244210015302076,0.607928374801346
"Ints6l",-0.89319093529326,9.89806534719443,9.1422360964948,0.00249775657520984,0.614011010100959
"Zmat4",-0.849716099446306,10.0044770038555,9.05582786054165,0.00261858812461644,0.635767334058111
"March1",1.04394233637719,9.64582912506137,8.68087859739896,0.00321565928069179,0.648294127292255
"Psmc6",0.9623948529228,9.75362896022323,8.67767926380931,0.0032213092534548,0.648294127292255
"Ssbp3",1.12269669244374,9.48353117054096,8.6667877707835,0.00324061920137124,0.648294127292255
"Pcp4",-1.12355230836788,9.56101331840689,8.66597854737907,0.00324205859100101,0.648294127292255
"Dcc",-1.11971489118052,9.52182215675373,8.52450581678562,0.00350395883411017,0.648294127292255
"Tmbim4",1.08260314503675,9.46463555146281,8.49882082144379,0.00355376715972499,0.648294127292255
"mt-Nd4l",1.07462953119954,9.46371978822673,8.4473410725487,0.00365577533474302,0.648294127292255
"Zc3h12c",-1.11386904539776,9.48333108856052,8.44599645521035,0.00365847926343476,0.648294127292255
"Dclk2",-1.01910040888883,9.65893702783406,8.41923739579448,0.00371271485339912,0.648294127292255
"Ralyl",0.865950539355915,9.85259168667741,8.41834046041052,0.00371454687094682,0.648294127292255
"Ctxn1",1.01884870432255,9.64531568593431,8.3811125890218,0.00379140260712851,0.648294127292255
"3110035E14Rik",1.11872442146844,9.49911651539366,8.37295808415251,0.0038084521509435,0.648294127292255
"Fcf1",1.06185371810185,9.45842617447601,8.36718369978041,0.00382057245680431,0.648294127292255
"Klhl11",1.06141790516866,9.46162509448094,8.36323603749342,0.00382888108806745,0.648294127292255
"Kcnip2",1.11709265181563,9.4984408791386,8.36020771060262,0.00383526725370234,0.648294127292255
"Mpi",1.06058471418571,9.45947918088287,8.35839297494789,0.00383909937711133,0.648294127292255
"Spon1",1.0581592522394,9.46065957921565,8.34244560103821,0.00387294293927396,0.648294127292255
"Dtx3",0.760381262038732,10.1125711106022,8.34122805329633,0.00387553926022123,0.648294127292255
"Krt73",1.05751842280509,9.45730806052602,8.3393128213791,0.00387962691939003,0.648294127292255
"mt-Atp8",0.873614400324469,9.4332966296008,8.29326531647195,0.00397923727012934,0.648294127292255
"Islr2",1.05012037880557,9.45844986871716,8.29180814283497,0.00398243157387228,0.648294127292255
"Stk26",0.871726372957387,9.43289041617042,8.28476474317453,0.00399790839548928,0.648294127292255
