"","logFC","logCPM","LR","PValue","FDR"
"AC149090.1",-1.18198689325034,10.8957488812173,120.760892205078,4.31079735595627e-28,8.47761408022361e-24
"Fos",-1.4962804979546,9.88664938602283,89.1444380705626,3.6701344324772e-21,3.60884318745483e-17
"Junb",-1.45385384423628,9.94360369912238,84.6552965028188,3.55191137949081e-20,2.32839630630221e-16
"Ptgds",1.01669479416548,10.4266989277348,73.147959285352,1.20285875164856e-17,5.91385505248016e-14
"Cldn11",0.871504822899617,10.7391351844394,65.5545835719229,5.65265014771879e-16,2.22330035610075e-12
"Mal",0.862124475032034,10.7572825426737,64.6612191438194,8.89483947204015e-16,2.91543188428569e-12
"Mid1",-1.24700919187394,9.91904398068304,61.8801874647547,3.65003629090905e-15,1.02545162424311e-11
"mt-Co3",1.22095370590043,9.89868486195272,60.5040066970585,7.342886640715e-15,1.72514815974947e-11
"mt-Atp8",1.18956777229952,9.85024118198542,60.3612971699712,7.89501344337702e-15,1.72514815974947e-11
"mt-Co1",1.11187519693299,10.0049365822436,55.7414232076151,8.26581105955821e-14,1.62555440297272e-10
"Plp1",0.661056142667517,12.4645415339128,55.1022399003314,1.1442043868912e-13,2.04562940660021e-10
"mt-Co2",1.13836638575381,9.88360130531763,52.3527246576983,4.63754694594014e-13,7.18591029552027e-10
"mt-Nd4l",1.11626307619919,9.8521232110539,52.3056040892744,4.75016952312435e-13,7.18591029552027e-10
"Mog",0.825972435346676,10.5126464341506,52.1030241379083,5.26637607253001e-13,7.26674735313629e-10
"Apod",1.08091280022825,10.0003040427074,51.8853619551394,5.88374226954121e-13,7.26674735313629e-10
"Arc",-1.12031778302369,9.94355369856998,51.8759111897634,5.91213046121126e-13,7.26674735313629e-10
"Coro6",-1.09929805114321,9.95572955412128,50.0084750679538,1.53083354206541e-12,1.77090426107402e-09
"Egr1",-0.963293310740319,10.0969381040235,45.6628961776004,1.40458285107394e-11,1.5345847971789e-08
"mt-Nd2",0.87244076515236,9.8101395138155,43.3720411300607,4.52609155549644e-11,4.68474297528384e-08
"Plk2",-0.930140729760234,10.0539740256633,40.8212199330553,1.66811888547329e-10,1.64026130008589e-07
"Npas4",-0.994757644316654,9.88750675415393,39.6471371452021,3.04250394943091e-10,2.84923250807183e-07
"Sst",-0.941818551066014,9.87487790422376,35.4014930006996,2.68281157854837e-09,2.39818965926056e-06
"Mag",0.657937696715872,10.5466785006778,34.0668564123562,5.32505996506332e-09,4.55315779447545e-06
"Cnp",0.702860684978188,10.3396521665612,33.519554250249,7.05511189854273e-09,5.78107627486422e-06
"mt-Nd1",0.810345732947347,9.81721658288208,32.7508525161761,1.04760347804579e-08,8.24086799969938e-06
"Epha5",-0.634632921566715,10.6460543704449,31.9389863140256,1.59091843373113e-08,1.20334622760602e-05
"Gsn",0.769568204165751,10.066029379853,29.6816730172523,5.09139010364443e-08,3.70841769549153e-05
"Fa2h",0.795787616093176,10.0126170234061,29.5981938476826,5.31544455036128e-08,3.73334044740732e-05
"Gm47283",-0.831825319224165,9.89213409119695,27.4357320648657,1.62402625812537e-07,0.000110131380663081
"Ntng1",-0.787859000531053,9.96209490903218,26.7517809004455,2.3133842685248e-07,0.000147507332857715
"Pde4b",0.563740950691006,10.671145070062,26.7419410638474,2.32519440587265e-07,0.000147507332857715
"Mbp",0.477528357270362,11.7270370458259,26.4441598769495,2.71267382738695e-07,0.000166710760904349
"Tspan2",0.604266123483214,10.4002115393161,26.1276013780725,3.19582831019206e-07,0.000190451998631022
"Snhg11",-0.434481487143545,13.853523322981,25.307962657972,4.8868719751505e-07,0.000282662424303852
"Rreb1",-0.698965975395571,10.038313456395,23.4828945186749,1.26029316898677e-06,0.000708140727465537
"Opalin",0.679014880392087,10.0602509078034,23.2792234207012,1.40105329904074e-06,0.000765364282748199
"mt-Atp6",0.599263844656904,9.79939536875595,23.1883715125886,1.46882833617284e-06,0.000780702109707437
"Peg3",-0.500961191619932,10.9355831458226,23.1108341653498,1.52926584376255e-06,0.000791435317985113
"Reln",-0.756429134093592,9.88291500586075,22.7398492237409,1.85481309249747e-06,0.000935301391719365
"Lypd1",-0.751827890275451,9.87666577302446,22.5453594333685,2.05239712758144e-06,0.00100906104777542
"Mobp",0.53715204323159,10.4976805144093,22.0631572352968,2.6382508078177e-06,0.001265459521623
"Rnf13",0.625364038747174,10.1584240227788,21.7983805613742,3.02855651684494e-06,0.00141808553476839
"Kalrn",-0.529142617597168,10.5580711175155,21.6844805469545,3.21380838079027e-06,0.00146983152596794
"Atp1a2",0.669444547681924,9.81725236668222,21.6045659623033,3.35053256447295e-06,0.00149753575938466
"Ywhaq",0.67235997741976,10.0221361109908,21.4156825665071,3.69734582117446e-06,0.00161582228709371
"Cd81",0.561768449755669,10.3216252478761,21.2885360666181,3.95087206351985e-06,0.00168908369567786
"Hapln2",0.695123332227306,9.83198824522751,21.1651075422824,4.21366470260033e-06,0.00176310489449655
"Nr4a1",-0.72068844345992,9.87789799617511,20.7712630764473,5.17537435044204e-06,0.00212039399949569
"Meg3",-0.387594406549181,14.7826105215847,20.5964027800351,5.67025579543487e-06,0.00227573980557188
"Trim59",0.673778511728362,9.98438611876548,20.5551350455279,5.79381631184792e-06,0.00227882383177602
"Hmgcs1",0.662954585764274,10.0082197163981,20.4939887625408,5.98188213246409e-06,0.00230666066700076
"Zdhhc16",-0.676837004396933,9.82740333830046,20.3867849027445,6.32651744811319e-06,0.00239264023335758
"Gpr37",0.672376890637854,9.93560147402041,19.3758935683882,1.07353666818267e-05,0.00398342870122271
"Trib1",-0.590452434369554,9.80676062747029,19.3118439165328,1.11015580224714e-05,0.00404302296425784
"Zdhhc23",-0.672238645609645,9.95012304211364,19.2065009894607,1.17313197960664e-05,0.0041946933656262
"Enpp2",0.505929018122266,10.4658226761639,19.1309637800825,1.22048696113691e-05,0.00428608867459257
"Idi1",0.680639912282186,9.85336619281018,18.8645155555116,1.40339078061869e-05,0.00484194440204336
"Dusp1",-0.646188693829646,9.82650388048567,18.7396973433919,1.49830642557551e-05,0.00508029209747725
"Ier2",-0.643969177111869,9.82776192126588,18.5053253964344,1.69430229030877e-05,0.00564748285444277
"Rhobtb2",-0.658379842999543,9.96375020816675,18.4439399212998,1.74976375236387e-05,0.00573514232566464
"Car2",0.627667918122249,10.0149696388989,18.3460095127519,1.84204394956771e-05,0.00588070451881172
"Kcnma1",-0.519637435426734,10.3761042106558,18.3337042136627,1.85397986456995e-05,0.00588070451881172
"9530059O14Rik",-0.562343096468295,10.1960408747461,18.2743420778601,1.91266066206797e-05,0.00597053723495695
"Olig1",0.620278458686738,10.0057726377911,18.093109401756,2.10361324010309e-05,0.00640795034781769
"Fat3",-0.643572878173923,9.96969693462418,18.0801735475604,2.11795368965804e-05,0.00640795034781769
"Aifm3",-0.653655290039918,9.9517026627051,18.0171813265207,2.18920188893434e-05,0.00652315823451252
"Sgpp2",-0.579729666082511,9.80910033400556,17.9242110921861,2.29878112202737e-05,0.00674743724564035
"Mical2",-0.545599007209948,10.2225293216616,17.8215113770087,2.42624679963494e-05,0.00695513506168312
"Btg2",-0.652331429251618,9.84138351256892,17.8105422456346,2.44027417500323e-05,0.00695513506168312
"Adcy8",-0.659796383978767,9.91601545723665,17.5940262482038,2.73445967321618e-05,0.00768226913335276
"Rhob",0.611545635078678,10.0005973322184,17.204048319042,3.35720172243092e-05,0.00929897592582063
"Ugt8a",0.525741398028331,10.2362743045416,17.1154278313584,3.51754070624218e-05,0.00960777160124427
"Gm26917",-0.422608182093448,11.0215502988599,17.0317095790883,3.67607582236585e-05,0.0099032475510475
"Epha10",-0.609740500767313,10.0140563750537,16.864299109826,4.0149699773574e-05,0.0106700539965825
"Adamtsl4",0.531545877319435,9.80191366491661,16.7739823373545,4.21066881693553e-05,0.0110409350605139
"Osbpl6",-0.551410530771996,10.1601085120938,16.7058728780971,4.36456765262608e-05,0.0112938930863874
"mt-Cytb",0.62282753737333,9.84045179533322,16.5805440029484,4.66269118073171e-05,0.0119086343844506
"Tenm2",-0.594539928924644,10.0265238797387,16.4871183830315,4.89817342898635e-05,0.0120277823931675
"Iqsec3",-0.617548995763862,9.97392181940298,16.4857882175738,4.9016110997054e-05,0.0120277823931675
"Unc80",-0.485113150730914,10.4118205669952,16.4781130557545,4.92149417226939e-05,0.0120277823931675
"Strbp",-0.46919082201217,10.4969160879853,16.4656385791335,4.95398339187718e-05,0.0120277823931675
"Stxbp5l",-0.536924006838404,10.1807834665909,16.2543146321512,5.53833282235331e-05,0.0132825430834634
"Shank2",-0.611801840170324,9.96326585350668,16.0369299163804,6.21189399678311e-05,0.0147068344922946
"Ttyh2",0.62444754308717,9.85482532795542,16.0157489168301,6.28177614844275e-05,0.0147068344922946
"Acly",0.617092493365998,9.83944357787765,15.9649030038307,6.45277594309716e-05,0.014831088780741
"Rorb",0.595062037384341,9.8234267976549,15.9552750751913,6.48567901527371e-05,0.014831088780741
"Micall1",0.611042421121149,9.93788732767959,15.8435331898354,6.88012556060227e-05,0.0155493144367761
"Scn1a",-0.490286816735951,10.339935173655,15.8208721116648,6.96301581743065e-05,0.0155493144367761
"Nsf",-0.549346776520493,10.120759099475,15.7884596775206,7.08332391835266e-05,0.0155493144367761
"Cit",-0.42882645047653,10.7733584106137,15.7709006629686,7.1493702472123e-05,0.0155493144367761
"Panct2",-0.409263327794928,9.78808642256056,15.7588393404349,7.19509617485316e-05,0.0155493144367761
"Mical3",-0.508573035377136,10.2423468961821,15.7213228040499,7.33921522665293e-05,0.0156344781256212
"Gm28175",-0.623057316091388,9.92942871777067,15.7073824352349,7.39350384258504e-05,0.0156344781256212
