"","logFC","logCPM","LR","PValue","FDR"
"Ttr",3.56091807202998,10.9032112943008,267.884818178602,3.28027693326524e-60,6.45099261695943e-56
"Zmat4",-1.40783136862822,10.6217603524673,37.9726827847977,7.17421176345858e-10,7.05440242700882e-06
"Meg3",-0.688894431639094,13.2263672811426,29.2193585307709,6.46302430818227e-08,0.000423672786815708
"Snhg11",-0.694656250876845,12.8181934906665,28.5196962856019,9.27501482983185e-08,0.000456006104108683
"Gm40841",-1.15986379734001,10.6090703583379,26.0158019763089,3.38634275107355e-07,0.00133191633085225
"Ralyl",-1.10692221111929,10.6962473646658,25.130984366623,5.35652438318568e-07,0.00175569014199549
"Kalrn",-0.875270797830165,11.0772456828595,24.7219547729338,6.62254642768156e-07,0.00181432699539324
"Kcnip4",-0.892778287979621,11.0099706884069,24.5131180003993,7.38056339018912e-07,0.00181432699539324
"Egfr",0.99333477135388,10.7884530829639,23.1300854736327,1.51403128596857e-06,0.00320128978979233
"Camk2n1",-0.814931003873616,11.2052016448747,22.9907475276756,1.62782965005203e-06,0.00320128978979233
"Igsf9b",-1.05536132102593,10.6721165025422,22.2782885549354,2.35858331569965e-06,0.00421671813514085
"Gm7967",1.04753055089786,10.6494082827687,21.9691702483634,2.77065495720153e-06,0.0045406416990271
"Luzp2",0.707925426713684,11.5586717549589,21.7298656998946,3.13866690546384e-06,0.00474807872021937
"Apoe",0.630938815496905,12.1781715671875,21.0523135845486,4.46912898266813e-06,0.00627784932665368
"Edil3",-0.920627141138129,10.8440530611772,20.769406850687,5.18039313088794e-06,0.00639004450288532
"Ptn",0.776071106619028,11.1628976292641,20.7625935607292,5.19885650595775e-06,0.00639004450288532
"Mfge8",0.75691589174563,11.1728124541566,20.0057367743941,7.72101770257871e-06,0.00893185494934782
"Gabra1",-0.94019522889302,10.7345508170539,18.9082965993048,1.37154879022907e-05,0.0146160730687725
"Clvs1",-0.923997066808153,10.5615388626539,18.8269704171181,1.43128814389603e-05,0.0146160730687725
"Plpp3",0.641707469352895,11.6850669815244,18.7548727156201,1.4864306995599e-05,0.0146160730687725
"Ppil6",0.929571723983634,10.5665580762368,18.6232385111414,1.59267257416905e-05,0.0149149994493374
"Arpp21",-0.696152933345999,11.2069480243733,17.5983718664264,2.7282182127857e-05,0.0243877906239289
"Khdrbs2",-0.947768037137428,10.6149024337429,17.2467590308174,3.28257015162997e-05,0.02806740200085
"Cit",-0.894291737492592,10.7238619788521,17.1454997804586,3.46228734006832e-05,0.0283705595124098
"Smpdl3a",0.914289429987503,10.6710527578297,16.7511835512348,4.26156735867538e-05,0.033523193470284
"Frem1",0.873050975790043,10.5648041033396,16.4879219248489,4.89609793551893e-05,0.0351422883369085
"Ccdc117",0.816485228949586,10.5494415242464,16.4638636812243,4.95862352663691e-05,0.0351422883369085
"Rmnd5a",-0.825659245759667,10.5528044321207,16.4467918181138,5.00347845740587e-05,0.0351422883369085
"Ptprd",-0.623811521046964,11.4271725709086,16.0431360783945,6.1915665967575e-05,0.0419873616178734
