"","logFC","logCPM","LR","PValue","FDR"
"Npy",1.14815875162373,11.1225731169349,180.162404831946,4.46643317235905e-41,8.78368747676131e-37
"mt-Atp8",1.11414438575094,9.86124417200149,56.9613287281988,4.44466517073494e-14,4.37043926238367e-10
"Arc",1.10351372230589,9.88249842668202,52.9180736509143,3.47754844998274e-13,2.27964892724536e-09
"mt-Co2",1.05494091930863,9.88613862489314,47.623573614972,5.16437227016037e-12,2.53906362662435e-08
"Kit",0.691068026357807,10.2596699203098,33.4927451587876,7.15303054258968e-09,2.81342997301137e-05
"Scg2",0.749177037162795,10.1110358571423,31.9156627755997,1.61013586900279e-08,5.27748866663479e-05
"Cx3cl1",0.627097614131779,10.3077106136776,29.5128293462828,5.55477923664202e-08,0.000156057554954003
"Dner",0.651241449511852,10.2426271220813,28.9871440210474,7.28602365178324e-08,0.000179108676419961
"Ptgds",0.590400627756776,10.4400157137753,27.1533711439615,1.87937198384295e-07,0.000410663660380616
"2900055J20Rik",0.478817769984426,10.8706962881378,26.8153480074732,2.23852407886585e-07,0.000436993459788967
"Gja1",0.475271313856845,9.81386985571077,26.6454291284633,2.4442835643642e-07,0.000436993459788967
"Slc6a1",0.514258655932823,10.6171686745346,25.9092484722942,3.57850548206047e-07,0.000586457406751676
"Gad2",0.538786381446346,10.4792582896515,25.3955443656123,4.66995489794878e-07,0.000706456407869698
"Adarb2",0.411582808258488,11.4103178090748,24.5657512828811,7.18168786740955e-07,0.00100882195428912
"Epha5",-0.480965373174457,10.8548226757322,24.349036000955,8.03669521988892e-07,0.00105366432129557
"AC149090.1",0.454009632589273,10.8751055479363,24.0343949706928,9.46300839233648e-07,0.00116312201902306
"Zbtb8b",0.477069421372263,9.81444418004892,22.1670925076924,2.49920958935653e-06,0.00289114445789915
"Atp1a2",0.730393402250364,9.90449557720299,21.7407479617441,3.12091336277607e-06,0.00340977123290857
"Vtn",-0.486326805954587,9.8256034376345,21.1603718973484,4.22408962483018e-06,0.0043721550822058
"Gpr37l1",0.649526366473056,9.84422585402757,20.2932165931593,6.64357062662497e-06,0.00653262299716034
"Atp6v0c",0.492488936599241,10.4120685797838,19.9478517625811,7.95833222992153e-06,0.0074527886492208
"Mfge8",0.569601991082871,9.82837105453128,19.7411655424853,8.86706313447593e-06,0.00792634834557289
"Luzp2",0.57101453528683,10.1580835804188,19.637240380129,9.36264431974927e-06,0.00800546796487779
"Rimbp2",0.497034088850648,10.3558059046828,19.2518384170545,1.14560009952903e-05,0.00938723814889075
"Plpp3",0.674746286490404,9.87764700043783,18.8026476674596,1.44965741565159e-05,0.0114035850944817
"Gnb3",0.344484332817492,9.80967848217987,18.4635655660176,1.73183656725404e-05,0.0130993453583146
"Rhobtb2",0.604217112938284,10.027384027577,18.3609785725712,1.82762824902502e-05,0.0133119026464171
"Fos",0.57497640738128,9.83091492424125,17.9694274897993,2.24481510659406e-05,0.0157666192450995
"Ttr",0.580671151363673,9.83521436867631,17.7694363796593,2.49356930233001e-05,0.0169098392757317
"Cnr1",0.470188602168894,10.3835340060647,17.4596169445545,2.93475864055675e-05,0.0192383211417297
"Junb",0.64345621398991,9.90837811607978,17.3452943039619,3.11669031874706e-05,0.0197718812285418
"Dusp6",0.607376189141438,9.84652299821142,17.0749871148955,3.59324542019187e-05,0.0220827388854667
"Akap6",0.450302028420438,10.4223025801225,17.0040588611223,3.72999968477228e-05,0.0222285375153732
"Gm35339",-0.390652659656168,9.81777660156409,16.7014845199532,4.37467526134557e-05,0.0253036363793006
"Gjb6",0.388198966304546,9.81297447151019,16.5704554216285,4.68756161340682e-05,0.0263387390540739
"mt-Nd4l",0.617578916229611,9.86661296812383,16.3084549843411,5.382326312434e-05,0.0290919252629582
"Syngr3",0.593241849246026,9.98556461796979,16.2766559663692,5.47341215666356e-05,0.0290919252629582
"Pcdhga6",0.566643024284702,9.83798720452145,16.2186973262941,5.6434367337147e-05,0.0292062702119035
"Caly",0.543468008067805,10.0869247875199,16.0841679167976,6.05884553712759e-05,0.0305521170085003
"Parm1",0.58289358948771,9.99255826152706,15.9159152885113,6.62195398730856e-05,0.0325568367786025
"Gabbr2",0.506515346536763,10.1627771133907,15.6926559854109,7.45129259244742e-05,0.0344090039831432
"Tcaf1",0.473157221468516,10.2666755099858,15.6832218840474,7.4885519585453e-05,0.0344090039831432
"Fam213a",0.610805297067759,9.87172037171863,15.6743958114861,7.52357963630202e-05,0.0344090039831432
"Ddit4l",-0.577506976726039,9.84794732703259,15.5181290293101,8.17177677075472e-05,0.0365241277212869
"Cpne9",0.606411875501904,9.89315410822316,15.4078330260748,8.66284564039642e-05,0.0371934913936339
"Hmgcr",0.574376223810734,9.99591047193119,15.3997914465259,8.69978950527386e-05,0.0371934913936339
"Mirt1",-0.351229437092752,9.81491461153724,14.928470329083,0.000111665049606721,0.0467235077779953
"Rpl26",-0.624375301285474,9.90188474777066,14.8771562047885,0.000114744135088238,0.0470116283467767
"mt-Co3",0.592695425238089,9.8895991747627,14.4960846363894,0.000140451162878111,0.0563696442685905
"Apoe",0.596475821578309,9.91837279833145,14.2802342080867,0.000157510193206344,0.0619519091919194
"9630013A20Rik",-0.336385251263322,9.81525378793799,14.0869833079498,0.00017454754090507,0.067306900773316
"2610044O15Rik8",-0.603111373757845,9.89905502746622,13.9478460907313,0.000187952882900913,0.0710823345217185
"Psmd10",0.401623726152521,9.81530955086141,13.8447976069013,0.000198545651604051,0.0726051777675229
"Bsg",0.524470433893684,10.0456605171693,13.8117771104828,0.000202065636032963,0.0726051777675229
"Orai2",0.525599837908233,9.83629915451502,13.7918846422517,0.000204216450609635,0.0726051777675229
"Gm20754",-0.598389297296479,9.91561310260551,13.7687469938236,0.000206747175581271,0.0726051777675229
"Hrh3",0.571369432662895,9.87846220384588,13.6350767330475,0.000221998790723236,0.076526760067903
"Pde10a",0.440550946364648,10.2558539686833,13.5806768590179,0.000228525818280918,0.076526760067903
"Banp",-0.567697525614351,9.86032689199054,13.5719719038381,0.000229588062849907,0.076526760067903
"Slc32a1",0.52006131217533,10.0297131141068,13.3711982516045,0.000255518051824447,0.0837503001196595
"mt-Cytb",0.565196412646276,9.87364805631626,13.3067317736201,0.000264454921610932,0.0852585325967309
"Gabrg3",0.399501423893332,10.4263287266186,13.2636509836577,0.00027060211627233,0.085833245461478
"Gm20517",0.358933275203005,9.81236990405569,13.129462237182,0.000290688196658871,0.0905160207275069
"Fn1",-0.395394218994374,9.81950678530054,13.1046061708329,0.000294570595269015,0.0905160207275069
"Stmn3",0.414349991309135,10.3258948032669,12.989030887339,0.000313321094292093,0.0947965021592048
"Clu",0.525179643413683,10.0009771006325,12.9446289377723,0.000320840686900497,0.0956008022512904
"Cplx3",-0.502330367983936,9.84103871320388,12.7804709265299,0.000350256743241398,0.102808195710229
"Npas4",0.515971572061753,9.84320669103787,12.62889745161,0.000379829134175635,0.109827318249769
"Trappc10",0.554223283789176,9.89437296524992,12.6019747782723,0.000385339416212451,0.109827318249769
"Htr2c",-0.430312513080406,9.82683272213333,12.5716392592213,0.000391644896846375,0.11002983630544
"Clstn3",0.413493858698036,10.2995421321641,12.4829742943926,0.000410677801587398,0.113751966845321
"Mroh1",0.537987702018258,9.93702897605159,12.4404505118559,0.000420134428986377,0.114755051117307
"Mylk",0.238340644848499,9.80657103125297,12.3179151328826,0.000448631512021684,0.119804762043759
"Rubcnl",0.235621973380092,9.80600801233156,12.3027091164983,0.000452301307922499,0.119804762043759
"Bdh1",0.54576459708462,9.89747636034736,12.2474807370682,0.000465886733941692,0.119804762043759
"Crispld1",0.460119835072447,10.1299276478641,12.2363344846808,0.000468678111567716,0.119804762043759
"Pgrmc1",0.514587822676352,9.98479845295712,12.2347272544678,0.000469082003323982,0.119804762043759
"Csmd1",-0.34492973614114,10.7730733386731,12.2096857937238,0.000475420406328751,0.11986689372899
"Slc38a1",0.435873247913543,10.1958264731387,12.170836784089,0.00048542524271555,0.11990490693329
"Ptpro",0.532126332921831,9.94746634444898,12.1615298189257,0.000487853464236025,0.11990490693329
"Cpne7",0.44681585837598,10.175546584533,12.1386981958616,0.00049386237473795,0.11990490693329
"Med8",-0.555204265275826,9.90621156253301,11.8317912569107,0.000582279524236105,0.139647672239357
"Mapk11",-0.551265024667806,9.9310197105492,11.7826771265194,0.000597844451795218,0.140416036129029
"Tiparp",0.5064137585169,9.8488572727159,11.7767116071877,0.000599763400530787,0.140416036129029
"Tex9",0.531564102175057,9.91881806227726,11.6728611746986,0.000634184050420373,0.145798582592534
"Npy5r",-0.497918534566419,9.84583956932158,11.6629210673348,0.000637581516472997,0.145798582592534
"Btg2",0.51655639620974,9.86104329966682,11.5752536776922,0.000668353174155962,0.150320815548532
"Lin7a",-0.535126171795662,9.96747700089166,11.5633521597504,0.000672644755836002,0.150320815548532
"C530050E15Rik",0.474356006415962,9.83577500402865,11.4845231234611,0.000701781310392584,0.151400910119145
"1700037H04Rik",0.466896954824348,9.83271672955074,11.4558198234668,0.000712704395412157,0.151400910119145
"Ndnf",0.476336937700864,10.0487254766849,11.4547985875706,0.000713096176932131,0.151400910119145
"Galnt9",-0.543100155021617,9.89384784934127,11.4450602006399,0.000716843107318262,0.151400910119145
"E2f5",0.465974789780146,9.8328907718989,11.4419050522171,0.000718061339666036,0.151400910119145
"Specc1",-0.505097416000925,10.0312367836819,11.4274495100033,0.000723669559198598,0.151400910119145
"Wtap",0.510910693489568,9.85566649283448,11.3740718143398,0.000744764324515428,0.152601344530709
"Tshz2",-0.541778868707772,9.91378071095119,11.3736668195282,0.000744926730140754,0.152601344530709
