"","logFC","logCPM","LR","PValue","FDR","Sex","Time_point","Cell_type","SYMBOL"
"1",-3.53713557253255,12.2991293688957,358.204444010489,6.92729671486503e-80,1.36232217194536e-75,"Male","P120","Astro","Cst3"
"2",1.27535235034761,11.9181542213959,68.3985412252678,1.33576341423048e-16,1.31345616521283e-12,"Male","P120","Astro","Plp1"
"3",-1.62543721272518,11.1490637103819,57.5457738486627,3.30204636612363e-14,2.16460146120624e-10,"Male","P120","Astro","Avp"
"4",-1.35807146502667,11.5300864466049,51.4445738528207,7.36472574123552e-13,3.62086741067844e-09,"Male","P120","Astro","AC149090.1"
"5",-1.38374769393873,11.4443644053699,49.7103877764738,1.78199928357945e-12,7.00895958217469e-09,"Male","P120","Astro","Calm1"
"6",-1.2624562857219,11.498136333563,42.5745334585575,6.80394928838456e-11,2.02451307657172e-07,"Male","P120","Astro","Plpp3"
"7",-1.3814775504851,11.1147135312082,42.4622036629569,7.20613827723078e-11,2.02451307657172e-07,"Male","P120","Astro","Sst"
"8",-1.43579151584435,11.1724442454992,40.5960449219873,1.87185162474192e-10,4.60147925652184e-07,"Male","P120","Astro","Atp5g3"
"9",-1.30822069796865,11.1215038689312,36.4290322405793,1.58327223215077e-09,3.45962574638635e-06,"Male","P120","Astro","Id3"
"10",-1.30526800198278,11.1421667121199,34.3364197583365,4.63624140347584e-09,9.11763234407558e-06,"Male","P120","Astro","Rpl27a"
"11",1.06052389284923,11.355333539167,32.8933166436472,9.7357393599184e-09,1.54678835110594e-05,"Male","P120","Astro","Adarb2"
"12",0.970535287947717,11.6038706869311,32.8481172481659,9.96475357555689e-09,1.54678835110594e-05,"Male","P120","Astro","Mbp"
"13",1.20410748206935,11.1759607081277,32.7980226802923,1.02248797744214e-08,1.54678835110594e-05,"Male","P120","Astro","Mag"
"14",1.01780338284635,11.0675884818058,32.113948810929,1.45389685291492e-08,2.04230967924463e-05,"Male","P120","Astro","Efnb3"
"15",1.02182552882481,11.4085178219546,31.1069142358038,2.44199987232478e-08,3.20162463260927e-05,"Male","P120","Astro","Tubb4a"
"16",-1.16060981243564,11.2450130386207,28.5515553256516,9.123651187794e-08,0.000112141077661973,"Male","P120","Astro","Slc25a4"
