"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC149090.1",-1.76567841119017,1.28004418027568,-5.38113758195756,1.57770204025987e-07,0.000741440995416503,6.49911220977332
"Hnrnpa2b1",-1.66222714478292,1.34171100147003,-5.35872269985376,1.76565100706563e-07,0.000741440995416503,6.40323397990746
"Mag",0.903422131369787,0.158416549470289,5.30957957566541,2.25700536886338e-07,0.000741440995416503,6.19413409929245
"Cst3",-2.14989235074566,1.28887693383854,-5.29338806937703,2.44625400778197e-07,0.000741440995416503,6.12557478544375
"Plp1",1.6651243266724,0.529269697052571,5.28102850515784,2.60099977343894e-07,0.000741440995416503,6.07335282604722
"Rpl8",-1.22146020904566,0.608216041104872,-4.93156969920896,1.40807061610085e-06,0.00334487174854756,4.63753597407207
"Mog",0.695642585729259,0.113146881714987,4.85368648888701,2.02689489346067e-06,0.00344949709769366,4.32845499415772
"Atp5g3",-1.05394696378385,0.461410690638204,-4.84294273888781,2.13060375349968e-06,0.00344949709769366,4.28613608806083
"Calm1",-1.42772561905617,1.00713033682464,-4.83818289527865,2.17817118355735e-06,0.00344949709769366,4.26741211092748
"Oaz1",-1.18407287136597,0.643688655212135,-4.74637672198461,3.32366401010816e-06,0.00473721831360715,3.90925358351551
"Slc25a4",-1.16916518859946,0.676256233293799,-4.51312808219291,9.45236045174582e-06,0.0122476812289757,3.02512864292974
"Rpl9-ps6",-1.19526113051152,0.780898305222762,-4.46735051985479,1.15484653545992e-05,0.0137166897249252,2.85602306374038
"Luc7l3",-1.31332582585617,1.00069364017906,-4.35905675805413,1.84298198467907e-05,0.0202061709443314,2.46182538128859
"Bcas1",0.717570394514579,0.141292414641165,4.33763980601494,2.01930843025114e-05,0.0205580021831211,2.38484567678707
"Gjc3",0.726520567634575,0.162587543542006,4.28827526342904,2.48930899425824e-05,0.0222464223904367,2.20865294485702
"Efnb3",0.57758668386638,0.121214801002359,4.28751396391924,2.4973181663298e-05,0.0222464223904367,2.20594927847027
"Tmem59",-0.995777266250147,0.492751194605959,-4.16834009478328,4.10621652063502e-05,0.0344270023933005,1.78783195590941
"Ttr",0.488096740667284,0.0988997894403088,4.12175856920918,4.97217906253858e-05,0.0364352204251926,1.62718100977802
"Snhg20",-0.734295300802706,0.265972896325071,-4.12052270645385,4.99737063244515e-05,0.0364352204251926,1.62294013817713
"Gm32834",0.423649776748402,0.0733812648286595,4.11494249296199,5.11263880238443e-05,0.0364352204251926,1.60380538672054
"Rundc3a",-0.660545329988374,0.239752555635486,-4.05239291439096,6.59063629171349e-05,0.0447315900313297,1.39086921537564
