"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arc",0.731724014263031,0.248227207628981,15.9613124454336,9.76417181863664e-55,1.64711814408582e-50,112.834859447603
"Cck",0.938072575604667,1.36780562107123,12.4887930983214,8.76574168510872e-35,7.39346482430495e-31,67.8483148276553
"Bhlhe40",0.626120190778092,0.350299409526423,12.1616296848054,4.03875275252641e-33,2.2709906727456e-29,64.1025450706634
"Cx3cl1",0.841884138789796,1.37954018596202,11.4389162611483,1.38953450387275e-29,5.86001438645734e-26,56.1428203666068
"Dusp1",0.339828068583353,0.107296373837851,11.1735216639225,2.47364344055809e-28,7.73867389600703e-25,53.3299857852108
"AC149090.1",0.830798801261541,2.05244434117067,11.1635678012056,2.75250716557248e-28,7.73867389600703e-25,53.2256493616676
"Rhobtb2",0.713264126015128,0.686027835368514,10.9344720863369,3.14236658834353e-27,7.5726545683953e-24,50.847578438059
"Gm42418",0.631089675458496,3.58643546751179,9.70247183968914,6.99844795300256e-22,1.47571023149e-18,38.8349411852482
"Fos",0.29827936487268,0.108731654975525,9.42402794743448,9.40455818338844e-21,1.76272768883977e-17,36.303817859015
"Adam23",0.647535817472298,0.950984502952795,9.18491926846964,8.28625043872272e-20,1.39780758650814e-16,34.1850935593982
"Myh10",0.62122568271585,0.880112159305798,9.13054926038895,1.34941882046415e-19,2.06939509840088e-16,33.7104249287119
"Atp1a1",0.685165043690362,1.64144189311375,9.04222110315018,2.96320768315077e-19,4.16552920058919e-16,32.9449140951775
"Gabbr2",0.588125213368214,0.70932264340761,9.02451760417371,3.46630020615904e-19,4.49792447520744e-16,32.7923222767811
"Dusp6",0.361811240222698,0.214916152482902,8.66855237786928,7.64310680914658e-18,9.20939776882097e-15,29.7837633692648
"Enc1",0.68139409926861,1.28640653499637,8.61828147809834,1.17217855733802e-17,1.31823200558233e-14,29.3680617945676
"Nectin3",0.478481573911348,0.437883307112085,8.4496027395405,4.84080209781228e-17,5.10371816174971e-14,27.9898855286938
"Trib1",0.220456972657103,0.0778778227105653,8.43417571739376,5.5041456475438e-17,5.46173134873037e-14,27.8651240308435
"Cpne9",0.49799121665087,0.538581751116057,8.12398780353794,6.9531223969122e-16,6.51623453963955e-13,25.4023734620074
"Fat3",0.475363896797765,0.465009602653806,8.06971838969819,1.07395053555514e-15,9.53498504435771e-13,24.9804908120615
"Adarb2",-0.25581237575255,0.0669528605459408,-8.05132838758437,1.24365204542015e-15,1.04895831770962e-12,24.8381385312837
"Dusp3",0.525742499889687,0.73888621838043,7.87444552805286,5.01978204066807e-15,4.03231920209665e-12,23.4847001677159
"Pdp1",0.476108549952655,0.608261489480733,7.60056795739047,4.11559236890815e-14,3.15572398505053e-11,21.4456135454989
"Sema5a",-0.24670783774964,0.0897506656685077,-7.48982784717811,9.44954570069838e-14,6.93062549674265e-11,20.6406922319415
"Ywhag",0.546180704960258,1.2631255961036,7.46440123252626,1.14183299284933e-13,8.0256586484897e-11,20.4574717532205
"Syt11",0.552551391956006,1.30899457494638,7.44252106228057,1.3431469786448e-13,9.06301855310362e-11,20.3002835577907
"H3f3b",-0.535075688920303,1.03273154100043,-7.35351685111831,2.58830711352788e-13,1.62048991199642e-10,19.6654258895065
"Per1",0.320009554090753,0.245050632348623,7.35323254562508,2.59370606579544e-13,1.62048991199642e-10,19.6634096867398
"Hmgcr",0.375431608273801,0.348599729299546,7.24365066716571,5.75854246829388e-13,3.46931617491605e-10,18.891854452136
"Hspa8",0.554404415041256,1.26183029842792,7.16581176926867,1.00795464670068e-12,5.86316790868754e-10,18.3505479619847
"Atp6v0c",0.531404384372505,1.12295213620887,7.10099743231507,1.5996797575932e-12,8.99499927694655e-10,17.9041006359822
"Itm2c",0.495775283964881,0.905129707511507,7.06241635120955,2.1020154287397e-12,1.14383542798097e-09,17.6402006244998
"Rbm24",0.370727157781104,0.375826962616557,7.02912949759366,2.65756107426145e-12,1.40094993005364e-09,17.4136242545974
"Mettl7a1",0.404196983770993,0.441860064231755,7.02195536359046,2.79495968973085e-12,1.42873257594151e-09,17.364926276877
"Pard6a",0.241993231279652,0.15069181589567,6.95888261035217,4.34465599658804e-12,2.10990841255108e-09,16.9388474298941
"Sgsm1",-0.374842626628724,0.384333388055832,-6.95779586361988,4.3776628394859e-12,2.10990841255108e-09,16.9315384789193
"Slc25a25",0.376692862401718,0.422223575953241,6.86071524117105,8.5693943723942e-12,4.01547537966438e-09,16.2830532236156
"Selenok",0.401373481581145,0.465281513908801,6.85104607052243,9.15790961187924e-12,4.17526424980516e-09,16.2189449698463
"Egfem1",-0.355228634327245,0.322602885404374,-6.77234155532243,1.56746015139356e-11,6.95828560364684e-09,15.7003615965369
"Nr4a1",0.336873738473868,0.306805372295508,6.75235532426784,1.79501811322274e-11,7.75067265563967e-09,15.5695921353588
"Prox1",-0.21986157177498,0.0733343803732245,-6.74887300236164,1.83784993909293e-11,7.75067265563967e-09,15.5468455059303
"Tmem108",-0.469258257433264,0.850965925428954,-6.72426242804695,2.17044263252044e-11,8.93004799219203e-09,15.3864111204189
"Slc39a10",0.495664329679838,1.13000241863898,6.68828055362623,2.76518824972704e-11,1.11061810915822e-08,15.1528658137834
"Chgb",0.519910460302721,1.06575078061929,6.68428003658641,2.84044323724246e-11,1.11431248765216e-08,15.1269745944697
"Atp2b2",0.475872258883943,1.88992611121154,6.65662713563331,3.41835473504721e-11,1.3105505914889e-08,14.9484147593261
"Vgf",0.346459572620747,0.341560101983374,6.63991618142729,3.82184382757027e-11,1.43268185616184e-08,14.8408554575009
"Sorbs1",-0.388401621131842,0.468444883362007,-6.62072178540942,4.34300961026421e-11,1.5926571546858e-08,14.7176337058181
"Spred1",0.415884936995894,0.614743997312331,6.61145172758069,4.6190243482373e-11,1.65783663256202e-08,14.6582463191572
"Prag1",0.32477503695782,0.301438577393601,6.59939951270948,5.00367366645917e-11,1.75847856415624e-08,14.5811555774388
"Nrp1",-0.263248025069945,0.168903738324881,-6.579339278048,5.71451807877753e-11,1.96731031573261e-08,14.4531436487582
"Mical2",-0.491947600248959,1.26274537986962,-6.57294824688301,5.96108426995451e-11,2.01115061099725e-08,14.4124391467071
"Syt4",0.450069479683076,0.801166176797878,6.56381870112989,6.33145163887062e-11,2.09422073913938e-08,14.3543593306298
"Zfp365",0.429948231782037,0.709802349156622,6.5274749353333,8.04232427045466e-11,2.60896092535192e-08,14.1239231157018
"Dgkz",0.464747422099351,1.05356460810162,6.46510582796836,1.20893305685061e-10,3.84782862943642e-08,13.7313571693966
"Ttr",0.122390908095648,0.0363446960810071,6.44465865540887,1.38068550823174e-10,4.26618491156473e-08,13.6034512420299
"Tcf4",-0.435446907408721,2.04861226988157,-6.44351628444918,1.39095482918999e-10,4.26618491156473e-08,13.5963167774656
"Ndfip2",0.449796905000447,0.926493389867702,6.42301670294365,1.58845264584279e-10,4.78492994334322e-08,13.4684984752178
"Gpr26",0.433100207335255,0.784760773298079,6.40298258655589,1.80784868266555e-10,5.35028060138335e-08,13.343963241582
"C1ql2",-0.100367478740999,0.0216325601271124,-6.39569540098656,1.89478310451544e-10,5.48325196336609e-08,13.2987583334444
"C78859",0.42339208885271,0.68993368708522,6.39181000161312,1.94279185680215e-10,5.48325196336609e-08,13.2746762356709
"Chrm3",0.4888285365045,1.17638384920067,6.3912113280775,1.95029413600074e-10,5.48325196336609e-08,13.2709668561087
"Mprip",0.417538543925937,0.721229865049164,6.38189954881564,2.07069625159444e-10,5.72632378166338e-08,13.2133143974886
"Ddit4l",-0.357279057001281,0.388779948194607,-6.37237621223529,2.20134176427095e-10,5.90093975316283e-08,13.1544362845462
"Egr3",0.326017272624324,0.337332526845482,6.37220229031298,2.20380108156535e-10,5.90093975316283e-08,13.1533618022113
"Midn",0.19552484576952,0.109290015030932,6.36277241371674,2.34123975681926e-10,6.17099585277877e-08,13.0951469250004
"Ntrk2",0.491029775414363,1.56107406678732,6.34132127259839,2.68583295915702e-10,6.97035633661842e-08,12.9630303193304
"Exph5",0.350783498037144,0.43528603986459,6.30070880433255,3.47912190070045e-10,8.89231929438119e-08,12.7140835736653
"Egr1",0.380720329085694,0.486429967675136,6.25147693177665,4.75136404473908e-10,1.19628000105528e-07,12.4143797215079
"Fam131a",0.442354963593756,1.04540226608804,6.20383932259072,6.40987619181988e-10,1.5901206099972e-07,12.1265507385098
"Megf11",0.181611347744683,0.102947673884126,6.09147884846922,1.28797079808982e-09,3.14880860767784e-07,11.4561238225891
"Pclo",0.446825218884325,1.24829433345141,6.08613788965821,1.33101861398841e-09,3.20756471419578e-07,11.4245517612257
"Grasp",0.37627424198999,0.555116755943326,6.07526611060936,1.42302385014529e-09,3.33992655497494e-07,11.3603683848887
"Ptn",0.446580510803668,0.899592020058838,6.0749782691582,1.42554218956782e-09,3.33992655497494e-07,11.3586705785707
"Ier2",0.143619585191129,0.0628148896030559,6.05856023073192,1.57660927966208e-09,3.64326327926297e-07,11.2619595903873
"Chd8",0.385731987090787,0.62917098464792,6.04392358692238,1.72436653307781e-09,3.930856627904e-07,11.175956276443
"Sema6d",-0.304213114045979,0.288639889176878,-6.03207580255815,1.8537809651753e-09,4.16952414687228e-07,11.1064879716797
"Col25a1",0.211893180637096,0.14382155842947,6.02091135336037,1.98436906010186e-09,4.40451600984977e-07,11.0411475173751
"Atp1a3",0.430525107674893,1.70920078794088,6.00988301890955,2.1221515349409e-09,4.64916548609325e-07,10.9767191423458
"Shisa4",0.42949845911848,0.8613220252192,5.99021011388384,2.39144370374818e-09,5.17195690237538e-07,10.8620735114159
"Frmd4b",-0.249019951632161,0.135195686114851,-5.97449749379352,2.63018675497089e-09,5.61628105944354e-07,10.7707692036954
"Synpo",0.388226193302111,0.634573015410629,5.96970541899366,2.70751260710924e-09,5.70912877116572e-07,10.7429693668081
"Hsp90aa1",0.449125155967335,1.09577288086164,5.96544195477934,2.77816754098808e-09,5.78579114184295e-07,10.7182543381759
"Mapre2",0.414569488087179,0.856184308411368,5.94772519061944,3.09151071915748e-09,6.35984077091067e-07,10.6157352593732
"Chd4",0.416535217305649,0.976182292870669,5.86455649317275,5.08561450954297e-09,1.03360519471663e-06,10.1384383950573
"Drp2",0.317936285260423,0.407066160635999,5.84840141456942,5.59768002416565e-09,1.1241340991387e-06,10.0464844165873
"4930447C04Rik",0.313410337687126,0.359280765174849,5.82045018057647,6.60457884683383e-09,1.31073694784988e-06,9.88797029531279
"Rheb",0.275967665517257,0.290060486863613,5.80518539593108,7.22674862279163e-09,1.41753514555665e-06,9.8017143119787
"Cebpd",-0.098284178814423,0.0284699049581906,-5.79417375706605,7.71060361158558e-09,1.49505945199813e-06,9.73962828742231
"Robo1",0.248372787679118,0.227941287781682,5.76172870058569,9.32675510457203e-09,1.78787536203438e-06,9.55736331564431
"Trpm3",-0.229538964046444,0.177309686051899,-5.75217898846464,9.86219483196222e-09,1.86927375977945e-06,9.50390623555246
"Nudt4",0.311773722918928,0.388633737588152,5.74860361100728,1.0070256572557e-08,1.88750175691627e-06,9.48391432033586
"Junb",0.328647887388108,0.365118294040141,5.74584006289274,1.02339945221283e-08,1.89711267685474e-06,9.46847008822805
"Tspan13",0.392464029886244,0.823135853794175,5.72865437290162,1.13118941188269e-08,2.07413415098359e-06,9.37258933929192
"Ppia",0.419050844440427,0.956824993543835,5.68639438277119,1.44533341658593e-08,2.62164832305247e-06,9.13800658354595
"Adcy2",0.362856799909599,0.635353777467854,5.67993480485165,1.50028120877025e-08,2.69236635220696e-06,9.10229897515902
