"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC149090.1",-1.65335160549773,2.19471300809041,-10.4114479142548,1.71814178283884e-23,2.75177587939469e-19,39.3023662833171
"Mid1",-0.867529529134116,0.347798011400694,-8.1775128989688,1.66106260179701e-15,1.33017893151904e-11,22.9631411680701
"Gm47283",-0.718172071861389,0.309713767000224,-7.30171529290466,8.82456793353987e-13,4.71114266745249e-09,17.3907400983621
"Egr1",-0.691297062160303,0.527175595876162,-4.93864779751125,1.0147489174688e-06,0.00406305466554508,5.07519734153217
"Dusp1",-0.391141685911173,0.185417303714217,-4.62812851008383,4.50221617239718e-06,0.0144214988434226,3.77593072531017
"Gpr83",-0.270782702262543,0.0971693600361168,-4.50119237277673,8.08270565675718e-06,0.0215754356331038,3.26729533574931
"mt-Co1",0.468953610685878,0.336121648097307,4.46215470095393,9.64925940083105e-06,0.0220775055091014,3.11351513122144
"Zfp335os",0.233558260404217,0.0823965925330414,4.35875034688072,1.53289691973041e-05,0.0287588503870275,2.71221410176307
"Pcdh9",-0.746406207866405,1.59266066867994,-4.34681274166839,1.61606926500529e-05,0.0287588503870275,2.66645130599543
"mt-Atp8",0.219971262713447,0.0716337204691831,4.29450768955009,2.0340808713028e-05,0.0325778392347856,2.46732419055347
"Prr14",-0.283659814143266,0.133084975990936,-4.22630871012054,2.73577783417137e-05,0.0398329252655351,2.21108070885009
"Phip",-0.671985502800928,1.20243831995323,-4.16075892251232,3.62353456355781e-05,0.0483621079749516,1.96842013389974
