"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Arc",0.381209416530282,0.127559013565093,5.27396469183957,1.76858372199071e-07,0.00280444320796067,6.54284421751985
"Zbtb8b",0.167907152830325,0.031054699362975,4.92507807455761,1.04719985404955e-06,0.00675473990384724,4.9979599590027
"Npy",1.18009503365313,0.945745173953409,4.88467951308216,1.27793527852316e-06,0.00675473990384724,4.82539700131669
"Trappc10",0.40856299847009,0.203630415778434,4.70288504325301,3.07626057426545e-06,0.0121950659815318,4.06524224881126
"AC149090.1",0.838054646191837,1.74350233533315,4.60182962150327,4.95077055135451e-06,0.0157008737265657,3.65433707450462
"Trrap",0.586990124480689,0.640990886512114,4.29714170893614,1.96857900674495e-05,0.0455301427764098,2.46623056681186
"Rpl26",-0.388756349150734,0.220050554102753,-4.25159753411066,2.40275274510541e-05,0.0455301427764098,2.29522919845892
"Scg2",0.590180543121349,0.542761293430339,4.24312379749338,2.49301852622769e-05,0.0455301427764098,2.26360362325912
"Orai2",0.216529033068621,0.0734730234197207,4.2348589783282,2.58416651944055e-05,0.0455301427764098,2.23281528030265
"Cx3cl1",0.653740874745243,0.903362498287547,4.20169780720525,2.98283310200324e-05,0.0472987844984654,2.10985380493067
"2900055J20Rik",0.814971299173342,1.58370069945104,4.17586129922553,3.33335739213157e-05,0.0480518619700276,2.01468680709588
