"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ptgds",0.339420517837373,0.149585725012196,8.45107970056283,4.09726997055032e-17,3.08073729085679e-13,27.4774517803416
"Gm42047",-0.611020411958348,0.556445667349579,-7.95827114459289,2.30111212789085e-15,8.65103104480565e-12,23.7111951054501
"Dlx6os1",-0.70107011731076,0.782383645706851,-6.83774697515351,9.37438914169297e-12,2.34953439854631e-08,15.962882300106
"mt-Co1",-0.570252836701251,3.22877769323646,-6.23621260436902,4.98837649519764e-10,9.37690071684777e-07,12.274810045267
"Sox4",-0.512787101550129,0.965625983388165,-6.16026655313047,8.0410182727697e-10,1.20920832785911e-06,11.8327577769252
"Gad2",-0.362182382053196,0.328712073793504,-6.12674515255139,9.91011581316755e-10,1.24190267998678e-06,11.6393289066706
"H3f3a",-0.526004172138006,1.5873914890027,-5.74837833032613,9.73996596265644e-09,1.0462114867602e-05,9.52776457457436
"Nrxn3",-0.610433598485799,0.99285360880865,-5.72325590928791,1.12815822841462e-08,1.06032771493119e-05,9.39223543334847
"Mpped2",-0.550586503309581,1.10976407439722,-5.66779363012344,1.55714202634076e-08,1.30090565511735e-05,9.09509365290597
"Dlx1",-0.323928655972103,0.31489351103391,-5.43053177213914,5.98086474200123e-08,4.49701219951073e-05,7.85604673563081
"Fscn1",-0.322943935820882,0.409993578302957,-5.34570749706789,9.55180974278318e-08,6.52909613236243e-05,7.42571119451365
"Ptprd",0.559971623758015,1.37482289241554,5.27407302881875,1.41086522037172e-07,8.84024632664583e-05,7.06748269729615
"Usp20",0.21690162916857,0.200391826208514,5.0356574140897,4.98974801417426e-07,0.000288599348604433,5.90950009695725
"mt-Co3",-0.448816280670404,3.47157089964893,-5.01682555348,5.5006522217884e-07,0.00029542431468305,5.82028280083919
"Tcf4",0.533054185604479,2.20781510007959,4.99234908841205,6.24052766746593e-07,0.000312816850211175,5.70481627409943
"mt-Cytb",-0.474699034546288,3.13619731503103,-4.89691438114432,1.01522790774365e-06,0.000477093664895282,5.25992651099149
"Nkain3",0.441037887348889,1.02417541078145,4.8441225987676,1.32392537486119e-06,0.000585564405504782,5.01746480410191
"Kcnq1ot1",0.373229989205234,0.751365960954022,4.81807517851037,1.50775354245638e-06,0.000607159118894691,4.89878978368424
"Banf1",-0.301011219772866,0.447299861461669,-4.81457542657773,1.53424966870583e-06,0.000607159118894691,4.88289263371188
"Tubb2a",-0.464188274878869,1.62947599843764,-4.78367594226812,1.78844423146484e-06,0.000672365608819206,4.74303060038464
"Gabra2",0.343798000804853,0.584455738921404,4.76188924336129,1.99151478221143e-06,0.000713057126068941,4.64495057835944
"Nrp1",0.380957006041444,0.742339970944102,4.62874168353941,3.80538950517314e-06,0.00130057834951804,4.05515020615819
"Ptma",-0.417032632112392,1.97585938408177,-4.57219340449653,4.98459621212187e-06,0.00162952951821497,3.80965828699995
