"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm47283",-0.964907763114491,0.654473219591312,-14.5736177217157,3.55534104610808e-46,2.67681627361477e-42,93.4947272043476
"Snrpn",-0.773194063890958,0.729288041761396,-11.0840512358355,6.96559536155733e-28,2.62219837385826e-24,52.3084950711609
"Atp2b2",-0.906338639574753,1.82950645315779,-11.0141425387915,1.4616768853056e-27,3.66832175648863e-24,51.5849592880579
"Adgrl2",-0.76068027902584,0.704471642055849,-10.720700742974,3.13482994923654e-26,5.90053367195048e-23,48.5931053957624
"Mast3",-0.703344902652648,0.810781392165545,-9.45450112061557,7.40811763391742e-21,1.11551435331528e-17,36.5323319738907
"Cacna1a",-0.725788913855538,0.929076612023802,-9.42916294056038,9.35424526275935e-21,1.17380187638859e-17,36.3052409235378
"Calm2",-0.788954807791323,1.27148928602555,-9.3737134919497,1.55536373422719e-20,1.67290479357093e-17,35.8102538019023
"Mid1",-0.484904825963943,0.388721613497405,-9.16679801303556,1.0125124078254e-19,9.52900739814676e-17,33.9871250445163
"Igfbp4",-0.34206033363676,0.157791139769637,-9.03385380657406,3.30670503961981e-19,2.76624247147751e-16,32.835764947182
"Olfm1",-0.772647874009656,1.57145297601513,-8.92927452585444,8.29684172980811e-19,6.24669213837253e-16,31.9410962797252
"Prkar1b",-0.640952429766258,0.749590702036998,-8.8799619945841,1.27592563832591e-18,8.73313102814164e-16,31.5226102622245
"Cyfip2",-0.714085380337253,1.30455072296948,-8.84830478503753,1.68004028389092e-18,1.05408527478456e-15,31.2550974451475
"Lamp5",-0.734957487618353,1.24379737750739,-8.71885771874135,5.12716063375366e-18,2.96941480088702e-15,30.1705452500184
"Kcnb1",-0.702981308275448,1.2938584727255,-8.6675398456255,7.94633522301816e-18,4.27342556386455e-15,29.7447358668337
"Hecw2",-0.574826856222844,0.673983021192949,-8.63451907122725,1.05212338969399e-17,5.28095800067068e-15,29.4719940883313
"C78859",-0.657117633589518,0.874572938663078,-8.60582270467639,1.34170383531814e-17,5.9969333325758e-15,29.2357647268594
"Pkm",-0.611038058450846,0.738599136989343,-8.6047382019806,1.35406915465253e-17,5.9969333325758e-15,29.2268515555481
"Atp2b1",-0.578131794510683,2.64287715006592,-8.56333900681716,1.92037995112301e-17,8.0325225844473e-15,28.8873945270767
"Dnm1",-0.685769670909152,1.37215525129813,-8.54103105989419,2.31674279142312e-17,8.94175345399464e-15,28.7051163104676
"Adgrb1",-0.705149255505277,1.52220177738144,-8.53806027101932,2.37528315951511e-17,8.94175345399464e-15,28.68087573287
"Gm42418",-0.57322151524075,4.33631430416717,-8.52439348952393,2.66396145028487e-17,9.55093607580703e-15,28.5694618450136
