"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Trub1",-1.47706738097573,0.364864741569672,-5.93180235110041,1.35296105331521e-07,0.0010030853249279,6.937995548425
"Zer1",-1.64275118714739,0.732985311730013,-5.01341854374819,4.55401898631656e-06,0.0103039341324754,3.87753441762784
"Actr10",-1.24556386352921,0.306822030111578,-4.97933489736687,5.16917783034136e-06,0.0103039341324754,3.7671514082594
"Kcnt2",-1.39858675318121,0.386555757397537,-4.95972939164312,5.55917676421657e-06,0.0103039341324754,3.70378545255402
"Rps13",-1.23660897264088,0.363322370613587,-4.75220065654811,1.19242010296303e-05,0.0176812052867358,3.03910117592397
"Gtf2i",-1.39443147538122,0.487099994905783,-4.51462875216934,2.80984260040044e-05,0.0347202883989481,2.29307124834374
"Mtss1l",-1.36499297798757,0.492303762644777,-4.43812737028951,3.68804965049219e-05,0.0390617144410702,2.05655634129946
"2810004N23Rik",-1.2490828244623,0.337301959882248,-4.40028268536865,4.21594271064036e-05,0.0390712490708595,1.94026537475791
"Ap3m1",-1.22304066033538,0.355063149776505,-4.32493867758243,5.49398331281676e-05,0.0452582136458038,1.71019157482911
"Scaf1",-1.19078033333228,0.367162873663108,-4.27332207399093,6.57865848267262e-05,0.0458508433060671,1.55371510273592
"AC149090.1",2.10583359807078,1.66486994624465,4.2474667990687,7.1972812963343e-05,0.0458508433060671,1.47569229643556
"Slc27a4",-0.907871363486549,0.194250638438394,-4.23863462368374,7.42123171935265e-05,0.0458508433060671,1.44909514915092
"Tbcel",-1.0326487350367,0.313503338807239,-4.21388483862494,8.08531361376876e-05,0.0461111654865243,1.37471576879568
