"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm47283",-0.748441646962883,0.46235701131404,-6.70348572092185,4.08146664432499e-11,3.07211994318342e-07,14.6811250715335
"Ptprj",-0.584948044643164,0.300119012584175,-6.08856506142655,1.84320144452002e-09,6.93688863645109e-06,11.1274338117704
"Tecr",-0.891170236517919,1.29452174621856,-5.81494942819005,9.07884196948284e-09,2.27788145014324e-05,9.64480200381435
"Gtf2i",-0.682079230427878,0.521933541873254,-5.6320291113594,2.54489105076867e-08,4.78884873478394e-05,8.68812498201357
"Phyhipl",-0.809637313504119,0.780484717736867,-5.50865308799627,5.01904124407778e-08,6.48610492679047e-05,8.05863020641094
"Prkar1a",-0.73458168146072,0.701633279462541,-5.48572207460926,5.68616947379494e-08,6.48610492679047e-05,7.94303748965368
"Pcsk1n",-0.928589878972954,1.51115081114804,-5.47484507313848,6.0319827936141e-08,6.48610492679047e-05,7.88836231538234
"Rtl4",-0.284237975130473,0.086638470565519,-5.44900579280112,6.93736711155402e-08,6.52719528108339e-05,7.75887581215103
"Cadm2",-0.825544982080309,2.33782409969077,-5.38900414968334,9.57787834225105e-08,7.35147050934872e-05,7.46036454385736
"Ubl7",-0.366646054967409,0.150653620640874,-5.38535188492288,9.76680019841732e-08,7.35147050934872e-05,7.44229244754485
"Nedd4",-0.789443498173576,1.0485811740858,-5.34623439267675,1.20308783398352e-07,8.23240193308541e-05,7.24943886058263
"Kcnd2",-0.522809462019926,0.332058087426478,-5.30980221686263,1.45919476549228e-07,9.15279916655035e-05,7.07098898355894
"Bcan",-0.644709165335231,0.372268219646181,-5.2290981863416,2.22851019298985e-07,0.000128616682173811,6.67969943947005
"Adcy1",-0.685051577735729,0.617399350572824,-5.21548122839863,2.39223269620481e-07,0.000128616682173811,6.61422417626466
"Zfpm2",-0.385130950458306,0.159364663838753,-5.1897343490182,2.73419083565244e-07,0.000137201696133039,6.4908553969763
"Mical3",-0.701227307491606,0.762590226388906,-5.16735851758944,3.06941092640175e-07,0.000144396600268912,6.38409824081343
"Rtl8c",-0.586051471006326,0.47485860799096,-5.14775033547543,3.3955828543774e-07,0.00014569421289172,6.29089699121861
"Syt11",-0.803925704369093,1.41805645308491,-5.14104354932473,3.5146561251023e-07,0.00014569421289172,6.2590937644826
"Ncdn",-0.633780573956273,0.535083186270415,-5.13220918538218,3.67768041044598e-07,0.00014569421289172,6.21726031976703
"Slc36a4",-0.453495347602464,0.260380601140815,-5.06727376949751,5.12164916847025e-07,0.000192753266455378,5.911819544418
"Gm42418",-0.56626133513312,4.41013416589589,-5.02686795057583,6.28217633970005e-07,0.000225171149090106,5.72358338212577
"Ubc",-0.580289871570019,0.49456483719963,-4.99536059331035,7.35951511879071e-07,0.000251795774086989,5.57777441159578
"Maged1",-0.696804494446967,0.829228943991615,-4.98206181514657,7.86593831667796e-07,0.000257421381346239,5.51648670815744
"Tuba1a",-0.607312300619786,0.465733852138176,-4.96446147517364,8.58810855699281e-07,0.000269344554618687,5.43560906804625
"Zbtb20",-0.760675433909613,0.594332375994629,-4.94309291280291,9.55112487251747e-07,0.000287565267661756,5.33777398606767
"Plcb4",-0.447753513234753,0.272492875959596,-4.91410766814636,1.10252411076914e-06,0.000296184091661063,5.20569504424033
"Abcb7",-0.373422556493759,0.187702496594112,-4.90752577063084,1.13893356154034e-06,0.000296184091661063,5.17580382368766
"Atp5f1",-0.623719274673141,0.598163486766542,-4.90118113824311,1.17512624104688e-06,0.000296184091661063,5.14702550925139
"Tulp4",-0.731258637485637,1.07700784286332,-4.89611263016573,1.20483361347247e-06,0.000296184091661063,5.12406046951023
"Fam13a",-0.351295016979028,0.161767039218531,-4.88779197423416,1.25517864520258e-06,0.000296184091661063,5.08640827506363
"Gnb4",-0.433061940724741,0.165090645102175,-4.88760311096647,1.25634459454996e-06,0.000296184091661063,5.08555433480615
"Dock4",-0.762351240616902,0.770627852232186,-4.88331164375251,1.28312114143151e-06,0.000296184091661063,5.0661588822121
"Gnptg",-0.504486463786112,0.375123214448283,-4.87702733221941,1.32332681215554e-06,0.000296184091661063,5.03778539590996
"Susd4",-0.524608677183555,0.338464755907204,-4.87202108586795,1.35622193545779e-06,0.000296184091661063,5.01520675394097
"Prkca",-0.555831382519658,0.420684262929341,-4.86888413249932,1.37723438396934e-06,0.000296184091661063,5.00106983612921
"Coro1b",-0.46280851327651,0.319060825425391,-4.86212145511084,1.42360572885712e-06,0.000297652231141876,4.97062225028309
"Bsg",-0.695298641414284,0.845000317338053,-4.85356924478104,1.48440534410751e-06,0.000301976189867493,4.9321742707586
"Ssr3",-0.408347270027086,0.233001691090218,-4.80946856548935,1.83980362789367e-06,0.000364426365977779,4.73491639122668
"Lynx1",-0.565084623893075,0.507063019833559,-4.79189911741547,2.00310589911621e-06,0.000378054289913511,4.65679922668764
"Chd3",-0.662467735926208,0.710430254874967,-4.7912852246555,2.00905694121701e-06,0.000378054289913511,4.6540745787008
"Rapgef1",-0.41196811350971,0.208372364013209,-4.7854624681205,2.06635514292071e-06,0.000379352564896688,4.62824761390852
"Cald1",-0.300930815433831,0.0830917066977939,-4.77848945212055,2.1370432924916e-06,0.000382988687204388,4.59735733860109
"Tspan7",-0.717609281204827,0.933037189265435,-4.76826800383566,2.24488308169759e-06,0.000391112490766394,4.55215283009147
"Ppia",-0.785298000142058,1.18866933409291,-4.76446786039428,2.28629594708667e-06,0.000391112490766394,4.53536975808797
"Qk",-0.772817649794181,0.816405441408712,-4.75677873776692,2.37234962366107e-06,0.000396592395311512,4.50144961933156
"Rpl28",-0.590346253038167,0.56556172933579,-4.7483318460914,2.47047477619341e-06,0.000396592395311512,4.46424579672465
"Tmem59l",-0.679009445493712,0.799956273673751,-4.74772829616291,2.47763353614955e-06,0.000396592395311512,4.46158986959184
"Eno2",-0.726156534908826,1.08471695315791,-4.74343904392334,2.52908661816827e-06,0.000396592395311512,4.44272408949264
"Ash2l",-0.470644361953932,0.330669060170675,-4.72445638970889,2.76940045969117e-06,0.000417849871093603,4.3594230047334
"Hbb-bs",-0.441607814344301,0.233143695742367,-4.72398240013841,2.77567338311149e-06,0.000417849871093603,4.35734701662669
"Morf4l1",-0.700742249073392,0.919610998288616,-4.69872834175854,3.13038377390365e-06,0.000457010494825934,4.24702137588056
"Unc80",-0.720123943881875,1.11056988835648,-4.69692998769168,3.15724003333979e-06,0.000457010494825934,4.2391861955362
"Adcyap1r1",-0.615918147694044,0.669007673647139,-4.69119948464703,3.24430340466582e-06,0.000460752296734333,4.21423796171486
"Syp",-0.737801977560848,1.21425449788115,-4.68549489393269,3.33326232211342e-06,0.000461543371835775,4.18943093415023
"Hmgb1",-0.515939459246593,0.392326179027142,-4.68302444489314,3.3725103561801e-06,0.000461543371835775,4.17869671288865
"Ccdc88a",-0.678703440596202,1.13767390758753,-4.65845216830938,3.78784967453292e-06,0.00050912758036088,4.07221840338433
"Rps10",-0.480008677879354,0.375572301158606,-4.63750828418012,4.18025412427756e-06,0.000543301126153606,3.98187837294157
"Trio",-0.680482441451759,0.821070176348285,-4.63719259569107,4.18645746205781e-06,0.000543301126153606,3.98051959879785
"Kcnc3",-0.449385550745592,0.334973049460812,-4.62552131295551,4.42210684125378e-06,0.000564155901595207,3.93034555506512
"Cox7c",-0.628704026696138,0.792039618516634,-4.60697289879498,4.82301348532442e-06,0.000602758129290819,3.85085184666068
"Kif1b",-0.698556835627841,1.49382697051809,-4.60182720929737,4.94027314603416e-06,0.000602758129290819,3.82885199152943
"Ate1",-0.589523366718551,0.652137590745847,-4.60076026231557,4.96492679899439e-06,0.000602758129290819,3.8242932671768
"Prpf8",-0.459067739345013,0.321742689517879,-4.5944867375048,5.11229282169552e-06,0.000610797270934956,3.79750861420241
"Hsp90b1",-0.694788240072387,0.977845951230751,-4.59021725538885,5.21497399408688e-06,0.000613329832085811,3.77929983855782
"Nptn",-0.725028592313725,1.28547000069103,-4.56369383978205,5.89859587507617e-06,0.00068305740233382,3.66653802987198
"Ncl",-0.533708926848665,0.498039833731839,-4.55737254985048,6.07377603530537e-06,0.000690940423168299,3.63975446802222
"Stmn3",-0.752244392297073,1.22184471144844,-4.55098515870704,6.25584989002981e-06,0.000690940423168299,3.61272635487535
"Slc22a17",-0.698269942138207,1.49562996670612,-4.5494238768772,6.30114409029116e-06,0.000690940423168299,3.60612525485488
"Adipor1",-0.411086744232603,0.282010267718124,-4.54830318575451,6.33385003302945e-06,0.000690940423168299,3.60138828814324
"Usp20",-0.45647533154553,0.336720389541383,-4.54414529087378,6.45662085273067e-06,0.000694271216550053,3.58382319681036
"Dctn4",-0.587697535752355,0.71341047916249,-4.53531517014968,6.72496070511815e-06,0.000707008268756761,3.54657043025506
"Hectd1",-0.604123896540301,0.659615057761508,-4.53409301238963,6.76293282190604e-06,0.000707008268756761,3.54141973623841
"Ap1g1",-0.474640033536339,0.376820455546742,-4.52578265615414,7.02663675376604e-06,0.000724513628021877,3.50643105148307
"Cdk14",-0.598950139886984,0.553299012520731,-4.52222193219561,7.14261642539945e-06,0.000726519916675428,3.49145802899857
"Ranbp2",-0.668094167203821,1.00213829171608,-4.50943721269631,7.57434553286969e-06,0.000757525827904819,3.43778922532162
